energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,4.23875041,0.53398893,0.22235193,0.01817287,1.28329100,0.05426819,1.20300927,1.38410482,1.07085336
-5.99399700,4.41788754,0.56060857,0.23406255,0.01877444,1.33475981,0.05706159,1.25905571,1.44575321,1.11118721
-5.98799400,4.59860706,0.58743708,0.24589508,0.01929234,1.38713662,0.05998095,1.31537689,1.50839859,1.15173487
-5.98199100,4.78098753,0.61430272,0.25777632,0.01972116,1.44090834,0.06300619,1.37154882,1.57250862,1.19287763
-5.97598799,4.96544142,0.64106293,0.26964545,0.02005740,1.49667120,0.06612173,1.42723084,1.63866876,1.23509483
-5.96998499,5.15266887,0.66760406,0.28145397,0.02029955,1.55510323,0.06931653,1.48216589,1.70755546,1.27894296
-5.96398199,5.34359671,0.69384049,0.29316527,0.02044806,1.61693041,0.07258401,1.53617817,1.77990229,1.32502954
-5.95797899,5.53930496,0.71971330,0.30475373,0.02050534,1.68288797,0.07592174,1.58916858,1.85646027,1.37398295
-5.95197599,5.74094373,0.74518833,0.31620353,0.02047556,1.75367804,0.07933090,1.64110788,1.93795365,1.42641913
-5.94597299,5.94964367,0.77025380,0.32750718,0.02036451,1.82992564,0.08281563,1.69202781,2.02503320,1.48290655
-5.93996998,6.16642358,0.79491744,0.33866368,0.02017937,1.91213477,0.08638217,1.74201041,2.11822890,1.54393083
-5.93396698,6.39209894,0.81920301,0.34967648,0.01992840,2.00064663,0.09003787,1.79117570,2.21790419,1.60986066
-5.92796398,6.62719519,0.84314647,0.36055133,0.01962063,2.09560205,0.09379008,1.83966801,2.32421421,1.68091642
-5.92196098,6.87186952,0.86679155,0.37129386,0.01926558,2.19690991,0.09764497,1.88764141,2.43707000,1.75714301
-5.91595798,7.12584461,0.89018503,0.38190726,0.01887291,2.30422336,0.10160634,1.93524439,2.55611077,1.83838834
-5.90995498,7.38835743,0.91337162,0.39238988,0.01845208,2.41692520,0.10567443,1.98260448,2.68068591,1.92428844
-5.90395198,7.65812574,0.93638871,0.40273300,0.01801209,2.53412346,0.10984480,2.02981320,2.80984812,2.01426035
-5.89794897,7.93333419,0.95926102,0.41291877,0.01756119,2.65465788,0.11410734,2.07691184,2.94235850,2.10750309
-5.89194597,8.21164124,0.98199555,0.42291839,0.01710669,2.77711737,0.11844547,2.12387879,3.07670378,2.20300727
-5.88594297,8.49020734,1.00457689,0.43269076,0.01665472,2.89986820,0.12283558,2.17061887,3.21112571,2.29957304
-5.87993997,8.76574401,1.02696318,0.44218151,0.01621019,3.02109202,0.12724671,2.21695539,3.34366158,2.39583604
-5.87393697,9.03458245,1.04908306,0.45132260,0.01577666,3.13883245,0.13164062,2.26262526,3.47219453,2.49030044
-5.86793397,9.29275979,1.07083377,0.46003250,0.01535637,3.25104856,0.13597210,2.30727779,3.59451197,2.58137811
-5.86193097,9.53611996,1.09208057,0.46821702,0.01495025,3.35567331,0.14018975,2.35047738,3.70836956,2.66743231
-5.85592796,9.76042585,1.11265772,0.47577079,0.01455804,3.45067445,0.14423695,2.39171023,3.81155852,2.74682444
-5.84992496,9.96147880,1.13237098,0.48257933,0.01417840,3.53411580,0.14805328,2.43039504,3.90197333,2.81796203
-5.84392196,10.13524085,1.15100168,0.48852184,0.01380913,3.60421625,0.15157614,2.46589758,3.97767713,2.87934613
-5.83791896,10.27795540,1.16831221,0.49347433,0.01344731,3.65940431,0.15474253,2.49754842,4.03696220,2.92961635
-5.83191596,10.38626166,1.18405278,0.49731331,0.01308955,3.69836601,0.15749112,2.52466349,4.07840305,2.96759174
-5.82591296,10.45729845,1.19796907,0.49991967,0.01273225,3.72008444,0.15976413,2.54656632,4.10090016,2.99230608
-5.81990995,10.48879345,1.20981049,0.50118274,0.01237173,3.72386939,0.16150940,2.56261129,4.10371257,3.00303626
-5.81390695,10.47913452,1.21933861,0.50100425,0.01200455,3.70937619,0.16268213,2.57220659,4.08647841,2.99932268
-5.80790395,10.42742033,1.22633534,0.49930209,0.01162761,3.67661320,0.16324653,2.57483604,4.04922270,2.98098122
-5.80190095,10.33348849,1.23061041,0.49601369,0.01123837,3.62593791,0.16317706,2.57007857,3.99235241,2.94810623
-5.79589795,10.19792030,1.23200776,0.49109885,0.01083492,3.55804212,0.16245941,2.55762446,3.91663953,2.90106489
-5.78989495,10.02202217,1.23041056,0.48454183,0.01041614,3.47392705,0.16109092,2.53728761,3.82319292,2.84048313
-5.78389195,9.80778470,1.22574456,0.47635278,0.00998167,3.37486968,0.15908074,2.50901326,3.71342062,2.76722410
-5.77788894,9.55782139,1.21797961,0.46656817,0.00953198,3.26238177,0.15644943,2.47288075,3.58898432,2.68235998
-5.77188594,9.27528970,1.20712944,0.45525044,0.00906831,3.13816349,0.15322823,2.42910140,3.45174805,2.58713861
-5.76588294,8.96379789,1.19324965,0.44248680,0.00859260,3.00405336,0.14945790,2.37801157,3.30372322,2.48294617
-5.75987994,8.62730150,1.17643420,0.42838717,0.00810744,2.86197665,0.14518733,2.32006148,3.14701219,2.37126750
-5.75387694,8.26999375,1.15681064,0.41308149,0.00761589,2.71389400,0.14047193,2.25580043,2.98375243,2.25364557
-5.74787394,7.89619410,1.13453447,0.39671642,0.00712139,2.56175208,0.13537180,2.18585921,2.81606327,2.13164151
-5.74187094,7.51023926,1.10978294,0.37945163,0.00662764,2.40743784,0.12994996,2.11093067,2.64599678,2.00679663
-5.73586793,7.11638043,1.08274887,0.36145582,0.00613840,2.25273779,0.12427056,2.03174954,2.47549431,1.88059749
-5.72986493,6.71869035,1.05363461,0.34290272,0.00565741,2.09930317,0.11839721,1.94907234,2.30634969,1.75444523
-5.72386193,6.32098285,1.02264674,0.32396702,0.00518825,1.94862200,0.11239151,1.86365836,2.14017983,1.62962967
-5.71785893,5.92674705,0.98999162,0.30482071,0.00473422,1.80199824,0.10631178,1.77625244,1.97840308,1.50730888
-5.71185593,5.53909754,0.95587195,0.28562957,0.00429825,1.66053827,0.10021209,1.68757023,1.82222542,1.38849434
-5.70585293,5.16074098,0.92048452,0.26655027,0.00388286,1.52514453,0.09414153,1.59828616,1.67263416,1.27404183
-5.69984992,4.79395891,0.88401906,0.24772787,0.00349009,1.39651587,0.08814377,1.50902450,1.53039877,1.16464776
-5.69384692,4.44060587,0.84665810,0.22929389,0.00312149,1.27515394,0.08225687,1.42035343,1.39607793,1.06085052
