energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.04675770,0.04500302,0.31251362,1.85305445,2.20229719,0.03601075,2.95858359,0.15112537,0.51573589
-5.99399700,6.17508602,0.04486356,0.31767489,1.90219668,2.26649792,0.03745153,3.02271806,0.15379876,0.51415140
-5.98799400,6.29661954,0.04495253,0.32262000,1.95097586,2.32816022,0.03920481,3.08086419,0.15666562,0.51196904
-5.98199100,6.41148359,0.04526637,0.32739312,1.99947738,2.38728382,0.04126550,3.13305287,0.15969383,0.50917964
-5.97598799,6.52019353,0.04579795,0.33206232,2.04791160,2.44399373,0.04362382,3.17953230,0.16285865,0.50581355
-5.96998499,6.62364438,0.04653656,0.33671801,2.09660939,2.49853562,0.04626511,3.22076079,0.16614391,0.50194282
-5.96398199,6.72308525,0.04746797,0.34147075,2.14601218,2.55126721,0.04916974,3.25739168,0.16954288,0.49768122
-5.95797899,6.82008018,0.04857441,0.34644845,2.19665651,2.60264637,0.05231314,3.29025121,0.17305872,0.49318242
-5.95197599,6.91645729,0.04983469,0.35179316,2.24915383,2.65321677,0.05566590,3.32031034,0.17670437,0.48863617
-5.94597299,7.01424880,0.05122433,0.35765761,2.30416592,2.70359186,0.05919401,3.34865190,0.18050206,0.48426283
-5.93996998,7.11562467,0.05271587,0.36420160,2.36237705,2.75443824,0.06285928,3.37643450,0.18448222,0.48030622
-5.93396698,7.22282249,0.05427918,0.37158846,2.42446377,2.80645896,0.06661990,3.40485470,0.18868200,0.47702544
-5.92796398,7.33807656,0.05588205,0.37998161,2.49106338,2.86037748,0.07043114,3.43510877,0.19314342,0.47468557
-5.92196098,7.46354833,0.05749081,0.38954126,2.56274249,2.91692281,0.07424624,3.46835572,0.19791118,0.47354798
-5.91595798,7.60126051,0.05907110,0.40042146,2.63996663,2.97681587,0.07801743,3.50568240,0.20303019,0.47386030
-5.90995498,7.75303648,0.06058875,0.41276722,2.72307233,3.04075725,0.08169695,3.54807211,0.20854310,0.47584661
-5.90395198,7.92044623,0.06201070,0.42671191,2.81224262,3.10941603,0.08523831,3.59637711,0.21448771,0.47969818
-5.89794897,8.10475971,0.06330600,0.44237475,2.90748703,3.18341939,0.08859738,3.65129591,0.22089463,0.48556498
-5.89194597,8.30690794,0.06444669,0.45985836,3.00862712,3.26334244,0.09173356,3.71335538,0.22778507,0.49354840
-5.88594297,8.52745198,0.06540868,0.47924628,3.11528785,3.34969779,0.09461082,3.78289794,0.23516911,0.50369538
-5.87993997,8.76655962,0.06617254,0.50060042,3.22689571,3.44292423,0.09719861,3.86007361,0.24304430,0.51599422
-5.87393697,9.02398926,0.06672398,0.52395839,3.34268351,3.54337421,0.09947263,3.94483677,0.25139489,0.53037212
-5.86793397,9.29908070,0.06705434,0.54933062,3.46170183,3.65129962,0.10141527,4.03694712,0.26019163,0.54669473
-5.86193097,9.59075222,0.06716064,0.57669754,3.58283704,3.76683603,0.10301599,4.13597447,0.26939211,0.56476762
-5.85592796,9.89750363,0.06704559,0.60600652,3.70483495,3.88998533,0.10427127,4.24130680,0.27894175,0.58433969
-5.84992496,10.21742495,0.06671724,0.63716907,3.82632967,4.02059745,0.10518442,4.35216111,0.28877529,0.60510839
-5.84392196,10.54821064,0.06618846,0.67005814,3.94587633,4.15835175,0.10576512,4.46759675,0.29881877,0.62672667
-5.83791896,10.88717942,0.06547625,0.70450589,4.06198661,4.30273913,0.10602870,4.58653048,0.30899183,0.64881129
-5.83191596,11.23129977,0.06460087,0.74030206,4.17316576,4.45304623,0.10599532,4.70775342,0.31921022,0.67095239
-5.82591296,11.57722166,0.06358491,0.77719310,4.27794974,4.60834283,0.10568890,4.82994920,0.32938847,0.69272378
-5.81990995,11.92131460,0.06245228,0.81488242,4.37494108,4.76747420,0.10513609,4.95171351,0.33944240,0.71369380
-5.81390695,12.25971259,0.06122723,0.85303172,4.46284230,4.92905955,0.10436506,5.07157471,0.34929146,0.73343626
-5.80790395,12.58836616,0.05993338,0.89126371,4.54048559,5.09149792,0.10340443,5.18801568,0.35886075,0.75154112
-5.80190095,12.90310151,0.05859297,0.92916625,4.60685800,5.25298255,0.10228215,5.29949660,0.36808254,0.76762456
-5.79589795,13.19968675,0.05722608,0.96629793,4.66112135,5.41152425,0.10102459,5.40447892,0.37689738,0.78133813
-5.78989495,13.47390438,0.05585018,1.00219511,4.70262639,5.56498396,0.09965567,5.50145014,0.38525451,0.79237675
-5.78389195,13.72162933,0.05447977,1.03638019,4.73092104,5.71111426,0.09819626,5.58894938,0.39311182,0.80048517
-5.77788894,13.93891112,0.05312628,1.06837107,4.74575294,5.84760891,0.09666369,5.66559336,0.40043522,0.80546303
-5.77188594,14.12205812,0.05179805,1.09769149,4.74706639,5.97215907,0.09507151,5.73010247,0.40719764,0.80716810
-5.76588294,14.26772202,0.05050064,1.12388191,4.73499447,6.08251442,0.09342941,5.78132633,0.41337756,0.80551797
-5.75987994,14.37297972,0.04923713,1.14651063,4.70984688,6.17654690,0.09174340,5.81826817,0.41895750,0.80049003
-5.75387694,14.43541010,0.04800860,1.16518475,4.67209437,6.25231465,0.09001604,5.84010748,0.42392225,0.79211990
