energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,4.01730448,0.04089149,0.11234058,1.52606860,1.10401053,2.66570861,0.00000000,1.45506404,0.47507416
-5.99399700,3.98436963,0.04097390,0.10969449,1.51412333,1.10691529,2.64641438,0.00000000,1.44563982,0.46804485
-5.98799400,3.93951376,0.04090852,0.10687174,1.49720664,1.10594211,2.61912692,0.00000000,1.42973327,0.46033606
-5.98199100,3.88329369,0.04069722,0.10389650,1.47553009,1.10112218,2.58419322,0.00000000,1.40763798,0.45200990
-5.97598799,3.81642222,0.04034403,0.10079305,1.44937114,1.09254680,2.54206452,0.00000000,1.37975038,0.44312852
-5.96998499,3.73974108,0.03985486,0.09758520,1.41906301,1.08036095,2.49327886,0.00000000,1.34655627,0.43375233
-5.96398199,3.65419058,0.03923722,0.09429571,1.38498324,1.06475540,2.43844155,0.00000000,1.30861490,0.42393829
-5.95797899,3.56077780,0.03849993,0.09094584,1.34754164,1.04595820,2.37820457,0.00000000,1.26654120,0.41373846
-5.95197599,3.46054497,0.03765281,0.08755494,1.30716816,1.02422575,2.31324600,0.00000000,1.22098714,0.40319889
-5.94597299,3.35453978,0.03670645,0.08414021,1.26430145,0.99983414,2.24425072,0.00000000,1.17262312,0.39235899
-5.93996998,3.24378892,0.03567197,0.08071653,1.21937853,0.97307106,2.17189314,0.00000000,1.12212008,0.38125134
-5.93396698,3.12927609,0.03456084,0.07729646,1.17282595,0.94422869,2.09682287,0.00000000,1.07013327,0.36990204
-5.92796398,3.01192532,0.03338482,0.07389032,1.12505289,0.91359786,2.01965375,0.00000000,1.01728818,0.35833155
-5.92196098,2.89258986,0.03215582,0.07050637,1.07644614,0.88146355,1.94095657,0.00000000,0.96416901,0.34655593
-5.91595798,2.77204683,0.03088591,0.06715117,1.02736714,0.84810182,1.86125546,0.00000000,0.91131010,0.33458847
-5.90995498,2.65099707,0.02958733,0.06382988,0.97815078,0.81377805,1.78102764,0.00000000,0.85919031,0.32244155
-5.90395198,2.53006954,0.02827244,0.06054669,0.92910578,0.77874637,1.70070621,0.00000000,0.80823018,0.31012855
-5.89794897,2.40982940,0.02695382,0.05730520,0.88051631,0.74325003,1.62068506,0.00000000,0.75879174,0.29766581
-5.89194597,2.29078837,0.02564421,0.05410882,0.83264444,0.70752238,1.54132546,0.00000000,0.71118051,0.28507437
-5.88594297,2.17341647,0.02435651,0.05096111,0.78573287,0.67178820,1.46296328,0.00000000,0.66564922,0.27238139
-5.87993997,2.05815354,0.02310375,0.04786608,0.74000781,0.63626504,1.38591610,0.00000000,0.62240269,0.25962125
-5.87393697,1.94541972,0.02189893,0.04482834,0.69568126,0.60116436,1.31048953,0.00000000,0.58160342,0.24683610
-5.86793397,1.83562382,0.02075497,0.04185326,0.65295278,0.56669215,1.23698207,0.00000000,0.54337727,0.23407587
-5.86193097,1.72916884,0.01968441,0.03894696,0.61201020,0.53304888,1.16568810,0.00000000,0.50781890,0.22139781
-5.85592796,1.62645425,0.01869929,0.03611628,0.57302943,0.50042885,1.09689861,0.00000000,0.47499647,0.20886546
-5.84992496,1.52787486,0.01781081,0.03336861,0.53617312,0.46901865,1.03089978,0.00000000,0.44495544,0.19654714
-5.84392196,1.43381640,0.01702911,0.03071169,0.50158848,0.43899502,0.96796938,0.00000000,0.41772133,0.18451403
-5.83791896,1.34464821,0.01636293,0.02815337,0.46940423,0.41052216,0.90837123,0.00000000,0.39330132,0.17283809
-5.83191596,1.26071362,0.01581937,0.02570134,0.43972706,0.38374862,0.85234829,0.00000000,0.37168479,0.16158960
-5.82591296,1.18231874,0.01540361,0.02336284,0.41263784,0.35880400,0.80011483,0.00000000,0.35284303,0.15083484
-5.81990995,1.10972070,0.01511868,0.02114437,0.38818784,0.33579576,0.75184814,0.00000000,0.33672825,0.14063378
-5.81390695,1.04311591,0.01496530,0.01905149,0.36639539,0.31480624,0.70768065,0.00000000,0.32327221,0.13103793
-5.80790395,0.98262964,0.01494176,0.01708856,0.34724320,0.29589020,0.66769286,0.00000000,0.31238474,0.12208856
-5.80190095,0.92830729,0.01504387,0.01525862,0.33067660,0.27907306,0.63190764,0.00000000,0.30395251,0.11381531
-5.79589795,0.88010833,0.01526498,0.01356329,0.31660292,0.26434991,0.60028643,0.00000000,0.29783821,0.10623520
-5.78989495,0.83790327,0.01559612,0.01200272,0.30489223,0.25168541,0.57272756,0.00000000,0.29388047,0.09935222
-5.78389195,0.80147398,0.01602615,0.01057561,0.29537934,0.24101471,0.54906699,0.00000000,0.29189463,0.09315738
-5.77788894,0.77051745,0.01654203,0.00927929,0.28786723,0.23224525,0.52908143,0.00000000,0.29167447,0.08762929
-5.77188594,0.74465293,0.01712915,0.00810987,0.28213173,0.22525941,0.51249383,0.00000000,0.29299485,0.08273517
-5.76588294,0.72343215,0.01777163,0.00706233,0.27792730,0.21991795,0.49898099,0.00000000,0.29561540,0.07843237
-5.75987994,0.70635211,0.01845282,0.00613079,0.27499372,0.21606406,0.48818292,0.00000000,0.29928488,0.07467011
-5.75387694,0.69286993,0.01915563,0.00530870,0.27306344,0.21352776,0.47971370,0.00000000,0.30374625,0.07139160
