energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,5.29254842,0.01568707,0.38053331,0.05830381,0.00000000,3.08198529,0.00000000,1.34599018,0.84211886
-5.99399700,5.40121255,0.01606639,0.39204837,0.05986393,0.00000000,3.14056364,0.00000000,1.38182580,0.86661329
-5.98799400,5.49731960,0.01640578,0.40275726,0.06128715,0.00000000,3.19163801,0.00000000,1.41431975,0.88940517
-5.98199100,5.57908447,0.01669805,0.41243441,0.06255444,0.00000000,3.23431624,0.00000000,1.44295603,0.91004886
-5.97598799,5.64503942,0.01693693,0.42087513,0.06364958,0.00000000,3.26789471,0.00000000,1.46729051,0.92814393
-5.96998499,5.69405467,0.01711718,0.42790054,0.06455943,0.00000000,3.29186484,0.00000000,1.48695893,0.94334435
-5.96398199,5.72534962,0.01723467,0.43336200,0.06527411,0.00000000,3.30591421,0.00000000,1.50168286,0.95536636
-5.95797899,5.73849560,0.01728649,0.43714470,0.06578704,0.00000000,3.30992282,0.00000000,1.51127388,0.96399481
-5.95197599,5.73341121,0.01727095,0.43917052,0.06609504,0.00000000,3.30395541,0.00000000,1.51563584,0.96908801
-5.94597299,5.71035128,0.01718762,0.43940002,0.06619824,0.00000000,3.28825073,0.00000000,1.51476558,0.97058095
-5.93996998,5.66989051,0.01703738,0.43783358,0.06610004,0.00000000,3.26320845,0.00000000,1.50875184,0.96848693
-5.93396698,5.61290283,0.01682233,0.43451155,0.06580696,0.00000000,3.22937453,0.00000000,1.49777273,0.96289739
-5.92796398,5.54053713,0.01654585,0.42951350,0.06532853,0.00000000,3.18742562,0.00000000,1.48209166,0.95398013
-5.92196098,5.45419025,0.01621251,0.42295649,0.06467704,0.00000000,3.13815296,0.00000000,1.46205177,0.94197574
-5.91595798,5.35547750,0.01582798,0.41499237,0.06386733,0.00000000,3.08244614,0.00000000,1.43806902,0.92719235
-5.90995498,5.24620122,0.01539904,0.40580423,0.06291648,0.00000000,3.02127686,0.00000000,1.41062384,0.90999880
-5.90395198,5.12831761,0.01493341,0.39560196,0.06184357,0.00000000,2.95568281,0.00000000,1.38025156,0.89081616
-5.89794897,5.00390200,0.01443968,0.38461704,0.06066926,0.00000000,2.88675171,0.00000000,1.34753165,0.87010795
-5.89194597,4.87511289,0.01392722,0.37309677,0.05941548,0.00000000,2.81560538,0.00000000,1.31307598,0.84836913
-5.88594297,4.74415479,0.01340599,0.36129792,0.05810500,0.00000000,2.74338378,0.00000000,1.27751624,0.82611411
-5.87993997,4.61324047,0.01288645,0.34948019,0.05676103,0.00000000,2.67122910,0.00000000,1.24149088,0.80386416
-5.87393697,4.48455277,0.01237943,0.33789943,0.05540677,0.00000000,2.60026962,0.00000000,1.20563178,0.78213441
-5.86793397,4.36020668,0.01189593,0.32680106,0.05406500,0.00000000,2.53160367,0.00000000,1.17055104,0.76142101
-5.86193097,4.24221227,0.01144698,0.31641373,0.05275763,0.00000000,2.46628360,0.00000000,1.13682830,0.74218860
-5.85592796,4.13243914,0.01104352,0.30694351,0.05150529,0.00000000,2.40529991,0.00000000,1.10499881,0.72485865
-5.84992496,4.03258329,0.01069620,0.29856879,0.05032694,0.00000000,2.34956598,0.00000000,1.07554282,0.70979906
-5.84392196,3.94413716,0.01041521,0.29143609,0.04923953,0.00000000,2.29990343,0.00000000,1.04887649,0.69731519
-5.83791896,3.86836364,0.01021016,0.28565690,0.04825768,0.00000000,2.25702866,0.00000000,1.02534461,0.68764285
