energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up
-6.00000000,2.19024593,0.24807521,1.17872165,0.12285630,0.75276602,0.00032458,0.05031327,0.01141279,0.17746570
-5.99399700,2.26623617,0.25280805,1.20528010,0.12597628,0.79353112,0.00029556,0.05197926,0.01191433,0.18302000
-5.98799400,2.33985331,0.25748149,1.22914377,0.12917729,0.83492264,0.00027421,0.05350347,0.01238899,0.18831413
-5.98199100,2.40983814,0.26197007,1.24982052,0.13238920,0.87634161,0.00025970,0.05485563,0.01282942,0.19325017
-5.97598799,2.47505481,0.26616696,1.26691565,0.13555264,0.91719148,0.00025131,0.05601148,0.01322954,0.19774342
-5.96998499,2.53452505,0.26998890,1.28014562,0.13862082,0.95689296,0.00024846,0.05695375,0.01358486,0.20172543
-5.96398199,2.58745879,0.27338043,1.28934870,0.14156104,0.99489925,0.00025067,0.05767295,0.01389270,0.20514652
-5.95797899,2.63327985,0.27631714,1.29449187,0.14435574,1.03071113,0.00025763,0.05816788,0.01415246,0.20797783
-5.95197599,2.67164557,0.27880774,1.29567362,0.14700317,1.06389146,0.00026912,0.05844586,0.01436574,0.21021257
-5.94597299,2.70245913,0.28089490,1.29312224,0.14951742,1.09407844,0.00028508,0.05852274,0.01453641,0.21186659
-5.93996998,2.72587400,0.28265468,1.28718945,0.15192795,1.12099713,0.00030560,0.05842248,0.01467061,0.21297807
-5.93396698,2.74228990,0.28419462,1.27833954,0.15427846,1.14446875,0.00033091,0.05817648,0.01477661,0.21360632
-5.92796398,2.75234025,0.28565052,1.26713422,0.15662522,1.16441724,0.00036137,0.05782262,0.01486466,0.21382977
-5.92196098,2.75687123,0.28718207,1.25421367,0.15903480,1.18087277,0.00039752,0.05740401,0.01494665,0.21374311
-5.91595798,2.75691319,0.28896741,1.24027451,0.16158130,1.19397196,0.00044008,0.05696748,0.01503585,0.21345376
-5.90995498,2.75364521,0.29119696,1.22604543,0.16434318,1.20395458,0.00048989,0.05656189,0.01514640,0.21307777
-5.90395198,2.74835432,0.29406674,1.21226163,0.16739979,1.21115681,0.00054800,0.05623634,0.01529292,0.21273532
-5.89794897,2.74239063,0.29777149,1.19963892,0.17082774,1.21600112,0.00061561,0.05603828,0.01548998,0.21254600
-5.89194597,2.73712049,0.30249783,1.18884875,0.17469726,1.21898311,0.00069407,0.05601167,0.01575159,0.21262407
-5.88594297,2.73387917,0.30841791,1.18049510,0.17906870,1.22065560,0.00078492,0.05619517,0.01609073,0.21307401
-5.87993997,2.73392532,0.31568363,1.17509441,0.18398945,1.22161069,0.00088982,0.05662052,0.01651886,0.21398642
-5.87393697,2.73839886,0.32442177,1.17305926,0.18949120,1.22246017,0.00101058,0.05731119,0.01704553,0.21543452
-5.86793397,2.74828409,0.33473026,1.17468664,0.19558793,1.22381519,0.00114911,0.05828119,0.01767798,0.21747144
-5.86193097,2.76437948,0.34667557,1.18015129,0.20227458,1.22626578,0.00130740,0.05953439,0.01842092,0.22012842
-5.85592796,2.78727532,0.36029139,1.18950434,0.20952652,1.23036115,0.00148748,0.06106408,0.01927630,0.22341392
-5.84992496,2.81734000,0.37557850,1.20267728,0.21729989,1.23659130,0.00169140,0.06285300,0.02024327,0.22731377
-5.84392196,2.85471535,0.39250582,1.21949097,0.22553273,1.24537080,0.00192113,0.06487379,0.02131821,0.23179225
-5.83791896,2.89932088,0.41101243,1.23966932,0.23414701,1.25702523,0.00217854,0.06708981,0.02249479,0.23679411
-5.83191596,2.95086664,0.43101042,1.26285663,0.24305118,1.27178084,0.00246532,0.06945639,0.02376425,0.24224737
-5.82591296,3.00887352,0.45238827,1.28863796,0.25214349,1.28975768,0.00278290,0.07192232,0.02511567,0.24806674
-5.81990995,3.07270009,0.47501463,1.31656124,0.26131558,1.31096654,0.00313240,0.07443172,0.02653633,0.25415747
-5.81390695,3.14157423,0.49874213,1.34616007,0.27045640,1.33530956,0.00351452,0.07692602,0.02801212,0.26041949
-5.80790395,3.21462793,0.52341107,1.37697597,0.27945610,1.36258465,0.00392946,0.07934612,0.02952797,0.26675154
-5.80190095,3.29093362,0.54885280,1.40857904,0.28820983,1.39249323,0.00437690,0.08163451,0.03106832,0.27305513
-5.79589795,3.36953997,0.57489256,1.44058592,0.29662119,1.42465114,0.00485587,0.08373735,0.03261751,0.27923815
