energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,2.19617073,0.01745280,0.35051849,0.00328746,0.00000000,0.63175077,0.49183093,0.02233893,0.59869755
-5.99399700,2.17126099,0.01688572,0.34465349,0.00317922,0.00000000,0.63956050,0.48079795,0.02070465,0.59678410
-5.98799400,2.15343196,0.01649172,0.34029885,0.00310760,0.00000000,0.64822438,0.47268553,0.01933165,0.59592614
-5.98199100,2.14206571,0.01625346,0.33740149,0.00307229,0.00000000,0.65760476,0.46739155,0.01821515,0.59588999
-5.97598799,2.13663936,0.01615513,0.33591544,0.00307285,0.00000000,0.66758553,0.46483338,0.01735108,0.59648012
-5.96998499,2.13673837,0.01618321,0.33580164,0.00310870,0.00000000,0.67807425,0.46495112,0.01673623,0.59754610
-5.96398199,2.14206275,0.01632701,0.33702681,0.00317912,0.00000000,0.68900320,0.46770871,0.01636833,0.59898720
-5.95797899,2.15242706,0.01657903,0.33956175,0.00328330,0.00000000,0.70032987,0.47309340,0.01624593,0.60075502
-5.95197599,2.16775503,0.01693526,0.34337923,0.00342033,0.00000000,0.71203690,0.48111359,0.01636827,0.60285396
-5.94597299,2.18807006,0.01739524,0.34845181,0.00358919,0.00000000,0.72413189,0.49179536,0.01673489,0.60533988
-5.93996998,2.21348251,0.01796200,0.35474979,0.00378878,0.00000000,0.73664706,0.50517812,0.01734535,0.60831702
-5.93396698,2.24417474,0.01864185,0.36223946,0.00401786,0.00000000,0.74963895,0.52130949,0.01819875,0.61193342
-5.92796398,2.28038500,0.01944404,0.37088173,0.00427510,0.00000000,0.76318816,0.54023981,0.01929329,0.61637517
-5.92196098,2.32239069,0.02038030,0.38063134,0.00455900,0.00000000,0.77739904,0.56201650,0.02062581,0.62185956
-5.91595798,2.37049174,0.02146428,0.39143651,0.00486796,0.00000000,0.79239925,0.58667851,0.02219132,0.62862759
-5.90995498,2.42499460,0.02271093,0.40323911,0.00520018,0.00000000,0.80833892,0.61425106,0.02398269,0.63693596
-5.90395198,2.48619712,0.02413581,0.41597521,0.00555374,0.00000000,0.82538931,0.64474096,0.02599021,0.64704890
-5.89794897,2.55437463,0.02575443,0.42957594,0.00592649,0.00000000,0.84374070,0.67813245,0.02820149,0.65922994
-5.89194597,2.62976731,0.02758154,0.44396849,0.00631613,0.00000000,0.86359931,0.71438395,0.03060121,0.67373410
-5.88594297,2.71256914,0.02963047,0.45907725,0.00672015,0.00000000,0.88518315,0.75342558,0.03317126,0.69080042
-5.87993997,2.80291818,0.03191254,0.47482482,0.00713586,0.00000000,0.90871665,0.79515763,0.03589077,0.71064528
-5.87393697,2.90088850,0.03443647,0.49113291,0.00756038,0.00000000,0.93442422,0.83944997,0.03873647,0.73345649
-5.86793397,3.00648349,0.03720794,0.50792298,0.00799065,0.00000000,0.96252261,0.88614231,0.04168309,0.75938831
-5.86193097,3.11963069,0.04022914,0.52511668,0.00842347,0.00000000,0.99321256,0.93504531,0.04470389,0.78855753
-5.85592796,3.24017785,0.04349854,0.54263593,0.00885551,0.00000000,1.02666968,0.98594240,0.04777133,0.82104049
-5.84992496,3.36789024,0.04701058,0.56040273,0.00928336,0.00000000,1.06303526,1.03859205,0.05085780,0.85687117
-5.84392196,3.50244892,0.05075555,0.57833871,0.00970354,0.00000000,1.10240707,1.09273051,0.05393638,0.89604011
-5.83791896,3.64344979,0.05471951,0.59636446,0.01011260,0.00000000,1.14483087,1.14807458,0.05698159,0.93849417
-5.83191596,3.79040319,0.05888425,0.61439869,0.01050713,0.00000000,1.19029285,1.20432441,0.05997019,0.98413687
-5.82591296,3.94273381,0.06322736,0.63235724,0.01088384,0.00000000,1.23871345,1.26116594,0.06288176,1.03282922
-5.81990995,4.09978062,0.06772230,0.65015214,0.01123959,0.00000000,1.28994296,1.31827305,0.06569927,1.08439081
-5.81390695,4.26079683,0.07233856,0.66769062,0.01157147,0.00000000,1.34375912,1.37530907,0.06840943,1.13860095
-5.80790395,4.42494968,0.07704183,0.68487432,0.01187685,0.00000000,1.39986682,1.43192787,0.07100289,1.19519983
-5.80190095,4.59132014,0.08179426,0.70159864,0.01215340,0.00000000,1.45790017,1.48777437,0.07347418,1.25388950
-5.79589795,4.75890283,0.08655480,0.71775234,0.01239913,0.00000000,1.51742670,1.54248469,0.07582150,1.31433467
-5.78989495,4.92660649,0.09127953,0.73321756,0.01261243,0.00000000,1.57795378,1.59568621,0.07804627,1.37616344
-5.78389195,5.09325552,0.09592216,0.74787020,0.01279209,0.00000000,1.63893692,1.64699775,0.08015251,1.43896796
-5.77788894,5.25759329,0.10043457,0.76158078,0.01293728,0.00000000,1.69978983,1.69603016,0.08214611,1.50230534
-5.77188594,5.41828823,0.10476747,0.77421585,0.01304758,0.00000000,1.75989584,1.74238789,0.08403391,1.56569901
-5.76588294,5.57394320,0.10887113,0.78563999,0.01312293,0.00000000,1.81862053,1.78567162,0.08582284,1.62864093
-5.75987994,5.72310949,0.11269628,0.79571837,0.01316366,0.00000000,1.87532515,1.82548258,0.08751906,1.69059498
