energy_ev,total_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.29777067,0.34804719,0.28088551,0.02619248,0.98845414,0.01130641,0.00005864
-5.99399700,1.29018015,0.34405731,0.27841982,0.02544871,0.98522002,0.01128489,0.00005782
-5.98799400,1.27996472,0.33964229,0.27550445,0.02474357,0.97977444,0.01122395,0.00005678
-5.98199100,1.26686595,0.33470061,0.27207875,0.02406850,0.97192830,0.01112385,0.00005552
-5.97598799,1.25070824,0.32914541,0.26809440,0.02341598,0.96156417,0.01098635,0.00005407
-5.96998499,1.23140671,0.32290744,0.26351727,0.02277987,0.94864248,0.01081475,0.00005243
-5.96398199,1.20897262,0.31593726,0.25832916,0.02215561,0.93320554,0.01061384,0.00005062
-5.95797899,1.18351608,0.30820705,0.25252890,0.02154043,0.91537912,0.01038980,0.00004867
-5.95197599,1.15524595,0.29971169,0.24613322,0.02093339,0.89537163,0.01015011,0.00004659
-5.94597299,1.12446672,0.29046917,0.23917687,0.02033549,0.87347066,0.00990333,0.00004442
-5.93996998,1.09157247,0.28052033,0.23171239,0.01974958,0.85003686,0.00965893,0.00004219
-5.93396698,1.05703781,0.26992784,0.22380921,0.01918026,0.82549554,0.00942703,0.00003992
-5.92796398,1.02140621,0.25877459,0.21555212,0.01863369,0.80032569,0.00921819,0.00003765
-5.92196098,0.98527571,0.24716132,0.20703936,0.01811734,0.77504719,0.00904307,0.00003540
-5.91595798,0.94928269,0.23520385,0.19838004,0.01763968,0.75020614,0.00891225,0.00003321
-5.90995498,0.91408395,0.22302968,0.18969127,0.01720981,0.72635902,0.00883589,0.00003109
-5.90395198,0.88033779,0.21077437,0.18109487,0.01683712,0.70405608,0.00882359,0.00002909
-5.89794897,0.84868478,0.19857764,0.17271397,0.01653082,0.68382448,0.00888409,0.00002721
-5.89194597,0.81972874,0.18657943,0.16466949,0.01629954,0.66615191,0.00902519,0.00002549
-5.88594297,0.79401890,0.17491608,0.15707669,0.01615096,0.65147120,0.00925364,0.00002394
-5.87993997,0.77203368,0.16371666,0.15004198,0.01609144,0.64014650,0.00957508,0.00002258
-5.87393697,0.75416697,0.15309979,0.14366004,0.01612566,0.63246166,0.00999413,0.00002142
-5.86793397,0.74071723,0.14317086,0.13801142,0.01625645,0.62861123,0.01051452,0.00002049
-5.86193097,0.73188017,0.13401991,0.13316071,0.01648453,0.62869451,0.01113934,0.00001978
-5.85592796,0.72774497,0.12572011,0.12915534,0.01680851,0.63271280,0.01187135,0.00001930
-5.84992496,0.72829443,0.11832696,0.12602502,0.01722484,0.64057008,0.01271349,0.00001906
-5.84392196,0.73340895,0.11187816,0.12378190,0.01772794,0.65207699,0.01366938,0.00001906
-5.83791896,0.74287404,0.10639415,0.12242132,0.01831036,0.66695800,0.01474402,0.00001930
-5.83191596,0.75639105,0.10187924,0.12192311,0.01896310,0.68486137,0.01594448,0.00001977
-5.82591296,0.77359062,0.09832322,0.12225351,0.01967587,0.70537139,0.01728079,0.00002048
-5.81990995,0.79404811,0.09570336,0.12336727,0.02043752,0.72802252,0.01876674,0.00002141
-5.81390695,0.81730031,0.09398673,0.12521015,0.02123642,0.75231447,0.02042081,0.00002256
-5.80790395,0.84286261,0.09313265,0.12772145,0.02206087,0.77772785,0.02226701,0.00002391
-5.80190095,0.87024592,0.09309512,0.13083659,0.02289949,0.80373944,0.02433575,0.00002545
-5.79589795,0.89897251,0.09382520,0.13448953,0.02374157,0.82983659,0.02666450,0.00002717
-5.78989495,0.92859017,0.09527325,0.13861492,0.02457735,0.85553016,0.02929842,0.00002903
-5.78389195,0.95868411,0.09739076,0.14315001,0.02539829,0.88036549,0.03229068,0.00003103
-5.77788894,0.98888626,0.10013198,0.14803614,0.02619713,0.90393114,0.03570258,0.00003314
-5.77188594,1.01888183,0.10345508,0.15321987,0.02696804,0.92586520,0.03960334,0.00003533
-5.76588294,1.04841283,0.10732292,0.15865366,0.02770652,0.94585931,0.04406957,0.00003758
-5.75987994,1.07727904,0.11170349,0.16429621,0.02840933,0.96366025,0.04918426,0.00003985
-5.75387694,1.10533635,0.11656981,0.17011253,0.02907432,0.97906976,0.05503541,0.00004213
