energy_ev,total_up,As_p_up,As_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.78115779,0.35424830,0.00000000,0.17390122,0.00000000,0.37571397,0.21813018
-5.99399700,0.76768421,0.34765591,0.00000000,0.17035202,0.00000000,0.37254001,0.21102029
-5.98799400,0.75635246,0.34221545,0.00000000,0.16702921,0.00000000,0.37052954,0.20453055
-5.98199100,0.74801911,0.33833081,0.00000000,0.16411308,0.00000000,0.37015715,0.19889227
-5.97598799,0.74351363,0.33638159,0.00000000,0.16179017,0.00000000,0.37189082,0.19431679
-5.96998499,0.74361380,0.33671157,0.00000000,0.16024809,0.00000000,0.37617826,0.19099002
-5.96398199,0.74902239,0.33961796,0.00000000,0.15967066,0.00000000,0.38343343,0.18906774
-5.95797899,0.76034587,0.34534157,0.00000000,0.16023328,0.00000000,0.39402345,0.18867175
-5.95197599,0.77807551,0.35405830,0.00000000,0.16209874,0.00000000,0.40825633,0.18988693
-5.94597299,0.80257141,0.36587203,0.00000000,0.16541361,0.00000000,0.42636994,0.19275920
-5.93996998,0.83405000,0.38080918,0.00000000,0.17030522,0.00000000,0.44852246,0.19729446
-5.93396698,0.87257524,0.39881511,0.00000000,0.17687942,0.00000000,0.47478470,0.20345844
-5.92796398,0.91805406,0.41975252,0.00000000,0.18521910,0.00000000,0.50513461,0.21117751
-5.92196098,0.97023619,0.44340201,0.00000000,0.19538358,0.00000000,0.53945418,0.22034042
-5.91595798,1.02871852,0.46946487,0.00000000,0.20740879,0.00000000,0.57752896,0.23080091
-5.90995498,1.09295404,0.49756813,0.00000000,0.22130823,0.00000000,0.61905026,0.24238124
-5.90395198,1.16226518,0.52727197,0.00000000,0.23707463,0.00000000,0.66362013,0.25487650
-5.89794897,1.23586128,0.55807920,0.00000000,0.25468220,0.00000000,0.71075899,0.26805961
-5.89194597,1.31285959,0.58944679,0.00000000,0.27408919,0.00000000,0.75991564,0.28168707
-5.88594297,1.39230918,0.62079921,0.00000000,0.29524074,0.00000000,0.81047959,0.29550510
-5.87993997,1.47321694,0.65154300,0.00000000,0.31807160,0.00000000,0.86179504,0.30925617
-5.87393697,1.55457448,0.68108249,0.00000000,0.34250859,0.00000000,0.91317622,0.32268572
