energy_ev,total_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.95984931,0.38370547,0.39638955,0.00244198,0.51755130,0.04704147,0.00010140
-5.99399700,0.98728828,0.38801351,0.41042136,0.00270340,0.53268962,0.04792563,0.00010365
-5.98799400,1.02091696,0.39558346,0.42766135,0.00300309,0.55113519,0.04882019,0.00010639
-5.98199100,1.06156726,0.40678194,0.44842808,0.00334604,0.57335094,0.04976140,0.00010971
-5.97598799,1.11006591,0.42196869,0.47302012,0.00373738,0.59980029,0.05078983,0.00011368
-5.96998499,1.16721923,0.44149051,0.50171150,0.00418227,0.63093879,0.05194932,0.00011837
-5.96398199,1.23379571,0.46567411,0.53474692,0.00468575,0.66720451,0.05328587,0.00012384
-5.95797899,1.31050662,0.49481766,0.57233675,0.00525266,0.70900724,0.05484627,0.00013016
-5.95197599,1.39798482,0.52918143,0.61465171,0.00588740,0.75671669,0.05667655,0.00013737
-5.94597299,1.49676227,0.56897737,0.66181734,0.00659383,0.81064988,0.05882040,0.00014548
-5.93996998,1.60724675,0.61435831,0.71390827,0.00737510,0.87105791,0.06131749,0.00015453
-5.93396698,1.72969849,0.66540686,0.77094240,0.00823344,0.93811279,0.06420179,0.00016450
-5.92796398,1.86420758,0.72212470,0.83287522,0.00917006,1.01189445,0.06749997,0.00017538
-5.92196098,2.01067308,0.78442261,0.89959447,0.01018497,1.09237874,0.07122992,0.00018712
-5.91595798,2.16878484,0.85211191,0.97091540,0.01127684,1.17942678,0.07539949,0.00019967
-5.90995498,2.33800897,0.92489779,1.04657697,0.01244294,1.27277635,0.08000542,0.00021294
-5.90395198,2.51757808,1.00237521,1.12623920,0.01367903,1.37203583,0.08503265,0.00022685
-5.89794897,2.70648705,1.08402765,1.20948211,0.01497935,1.47668130,0.09045389,0.00024128
-5.89194597,2.90349526,1.16922937,1.29580645,0.01633658,1.58605706,0.09622968,0.00025611
-5.88594297,3.10713574,1.25725132,1.38463649,0.01774192,1.69938016,0.10230877,0.00027119
