energy_ev,total_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.69797526,0.34052416,0.12104992,0.32344791,2.21924176,0.05838335,0.03954375,0.05033673,0.77150243
-5.99399700,3.76668043,0.35186948,0.12591389,0.33150177,2.23757397,0.05877474,0.04037129,0.05449054,0.80056247
-5.98799400,3.85620817,0.36548495,0.13221421,0.34163058,2.26580026,0.05955198,0.04132951,0.05897670,0.83548333
-5.98199100,3.96695500,0.38138644,0.14002321,0.35386666,2.30418431,0.06071598,0.04241604,0.06379010,0.87630205
-5.97598799,4.09893179,0.39955089,0.14939988,0.36821032,2.35277096,0.06226175,0.04362461,0.06891938,0.92296503
-5.96998499,4.25175141,0.41991488,0.16038750,0.38462876,2.41138014,0.06417841,0.04494501,0.07434670,0.97532524
-5.96398199,4.42462580,0.44237413,0.17301128,0.40305583,2.47960724,0.06644925,0.04636328,0.08004775,1.03314109
-5.95797899,4.61637267,0.46678398,0.18727594,0.42339216,2.55683008,0.06905187,0.04786199,0.08599187,1.09607703
-5.95197599,4.82543197,0.49296092,0.20316352,0.44550611,2.64222210,0.07195840,0.04942063,0.09214242,1.16370587
-5.94597299,5.04989123,0.52068509,0.22063124,0.46923522,2.73477131,0.07513584,0.05101626,0.09845729,1.23551294
-5.93996998,5.28751927,0.54970389,0.23960972,0.49438819,2.83330440,0.07854647,0.05262410,0.10488957,1.31090197
-5.93396698,5.53580704,0.57973633,0.26000163,0.52074745,2.93651482,0.08214836,0.05421832,0.11138832,1.38920257
-5.92796398,5.79201418,0.61047835,0.28168077,0.54807202,3.04299384,0.08589587,0.05577280,0.11789944,1.46967924
-5.92196098,6.05321996,0.64160875,0.30449174,0.57610089,3.15126347,0.08974038,0.05726192,0.12436661,1.55154171
-5.91595798,6.31637698,0.67279552,0.32825037,0.60455656,3.25980988,0.09363091,0.05866132,0.13073228,1.63395640
-5.90995498,6.57836628,0.70370267,0.35274481,0.63314886,3.36711645,0.09751490,0.05994859,0.13693859,1.71605882
-5.90395198,6.83605232,0.73399699,0.37773750,0.66157893,3.47169510,0.10133899,0.06110388,0.14292838,1.79696675
-5.89794897,7.08633676,0.76335485,0.40296793,0.68954329,3.57211535,0.10504982,0.06211041,0.14864605,1.87579376
-5.89194597,7.32620981,0.79146869,0.42815626,0.71673797,3.66703022,0.10859487,0.06295483,0.15403846,1.95166315
