energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,0.67057367,0.05201929,0.00870755,0.02698723,0.03795703,0.03305848,0.33545762,0.01631144,0.14784820
-5.99399700,0.61613760,0.04907997,0.00756484,0.02660810,0.03321868,0.02877014,0.31164183,0.01594406,0.12815304
-5.98799400,0.56638228,0.04621301,0.00656226,0.02608794,0.02903050,0.02491690,0.28966508,0.01602596,0.11071498
-5.98199100,0.52141750,0.04342662,0.00569850,0.02544149,0.02538527,0.02148447,0.26961651,0.01663092,0.09549216
-5.97598799,0.48134799,0.04072952,0.00497132,0.02468673,0.02227225,0.01845329,0.25159129,0.01784558,0.08242302
-5.96998499,0.44629129,0.03813144,0.00437808,0.02384461,0.01967910,0.01580006,0.23569810,0.01977134,0.07143385
-5.96398199,0.41639347,0.03564351,0.00391608,0.02293868,0.01759362,0.01349896,0.22206549,0.02252605,0.06244575
-5.95797899,0.39184213,0.03327844,0.00358302,0.02199473,0.01600537,0.01152294,0.21084700,0.02624535,0.05538088
-5.95197599,0.37287621,0.03105068,0.00337727,0.02104034,0.01490691,0.00984471,0.20222464,0.03108355,0.05016774
-5.94597299,0.35979222,0.02897637,0.00329808,0.02010444,0.01429487,0.00843765,0.19641078,0.03721385,0.04674538
-5.93996998,0.35294663,0.02707319,0.00334581,0.01921685,0.01417063,0.00727645,0.19364813,0.04482780,0.04506644
-5.93396698,0.35275426,0.02536021,0.00352191,0.01840777,0.01454069,0.00633765,0.19420782,0.05413385,0.04509904
-5.92796398,0.35968249,0.02385747,0.00382892,0.01770730,0.01541667,0.00559994,0.19838551,0.06535490,0.04682738
-5.92196098,0.37424142,0.02258569,0.00427039,0.01714493,0.01681496,0.00504440,0.20649549,0.07872467,0.05025122
-5.91595798,0.39697005,0.02156580,0.00485059,0.01674907,0.01875600,0.00465447,0.21886296,0.09448297,0.05538424
-5.90995498,0.42841865,0.02081849,0.00557432,0.01654648,0.02126324,0.00441593,0.23581441,0.11286976,0.06225139
-5.90395198,0.46912786,0.02036370,0.00644645,0.01656180,0.02436179,0.00431667,0.25766645,0.13411818,0.07088540
-5.89794897,0.51960497,0.02022019,0.00747157,0.01681696,0.02807675,0.00434648,0.28471338,0.15844657,0.08132262
-5.89194597,0.58029820,0.02040501,0.00865351,0.01733071,0.03243139,0.00449671,0.31721380,0.18604984,0.09359832
-5.88594297,0.65156981,0.02093311,0.00999481,0.01811804,0.03744504,0.00475993,0.35537679,0.21709043,0.10774193
-5.87993997,0.73366927,0.02181690,0.01149626,0.01918967,0.04313101,0.00512956,0.39934827,0.25168924,0.12377215
-5.87393697,0.82670775,0.02306595,0.01315644,0.02055156,0.04949444,0.00559950,0.44919822,0.28991705,0.14169255
-5.86793397,0.93063528,0.02468670,0.01497128,0.02220445,0.05653023,0.00616376,0.50490944,0.33178692,0.16148780
-5.86193097,1.04522211,0.02668233,0.01693368,0.02414347,0.06422121,0.00681619,0.56636868,0.37724810,0.18312084
-5.85592796,1.17004587,0.02905272,0.01903332,0.02635787,0.07253663,0.00755013,0.63336090,0.42618191,0.20653143
-5.84992496,1.30448564,0.03179450,0.02125649,0.02883081,0.08143099,0.00835826,0.70556736,0.47840025,0.23163613
-5.84392196,1.44772451,0.03490132,0.02358616,0.03153936,0.09084347,0.00923237,0.78256810,0.53364695,0.25833011
-5.83791896,1.59876111,0.03836421,0.02600208,0.03445463,0.10069790,0.01016334,0.86384931,0.59160235,0.28649084
-5.83191596,1.75643095,0.04217207,0.02848118,0.03754212,0.11090347,0.01114109,0.94881570,0.65189110,0.31598370
-5.82591296,1.91943727,0.04631231,0.03099805,0.04076224,0.12135600,0.01215468,1.03680788,0.71409332,0.34666941
-5.81990995,2.08639100,0.05077160,0.03352560,0.04407110,0.13194006,0.01319242,1.12712421,0.77775852,0.37841316
-5.81390695,2.25585844,0.05553664,0.03603579,0.04742141,0.14253164,0.01424210,1.21904662,0.84242200,0.41109502
-5.80790395,2.42641500,0.06059500,0.03850057,0.05076362,0.15300141,0.01529124,1.31186911,0.90762295,0.44462119
-5.80190095,2.59670245,0.06593587,0.04089275,0.05404724,0.16321848,0.01632745,1.40492778,0.97292319,0.47893553
-5.79589795,2.76548693,0.07155073,0.04318698,0.05722216,0.17305442,0.01733870,1.49763070,1.03792574,0.51403060
-5.78989495,2.93171435,0.07743383,0.04536063,0.06024014,0.18238744,0.01831372,1.58948592,1.10229181,0.54995751
