energy_ev,total_up,Ag_p_up,Ag_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.64655287,0.48929894,1.51595303,1.21569493,0.30827148,0.00029276,0.41543808,0.02067073,0.27237289
-5.99399700,2.66417715,0.48729619,1.52107792,1.23134036,0.31256762,0.00029001,0.41928188,0.02131087,0.27195614
-5.98799400,2.69010117,0.48872796,1.53105006,1.24941201,0.31812071,0.00029281,0.42399164,0.02194222,0.27256414
-5.98199100,2.72246633,0.49316096,1.54496544,1.26894200,0.32463657,0.00030076,0.42922395,0.02254359,0.27405263
-5.97598799,2.75928254,0.50011931,1.56183417,1.28891822,0.33180672,0.00031349,0.43462469,0.02309468,0.27625723
-5.96998499,2.79848305,0.50909440,1.58060689,1.30831577,0.33931647,0.00033058,0.43984028,0.02357680,0.27899789
-5.96398199,2.83798100,0.51955533,1.60020334,1.32612810,0.34685303,0.00035167,0.44452858,0.02397336,0.28208401
-5.95797899,2.87572643,0.53095967,1.61954187,1.34139684,0.35411341,0.00037637,0.44836909,0.02427042,0.28531982
-5.95197599,2.90976167,0.54276459,1.63756931,1.35323946,0.36081192,0.00040432,0.45107210,0.02445709,0.28851007
-5.94597299,2.93827377,0.55443798,1.65329007,1.36087371,0.36668711,0.00043520,0.45238665,0.02452583,0.29146581
-5.93996998,2.95964215,0.56546955,1.66579352,1.36363829,0.37150789,0.00046871,0.45210687,0.02447261,0.29400992
-5.93396698,2.97248009,0.57538153,1.67427876,1.36100908,0.37507877,0.00050460,0.45007682,0.02429697,0.29598236
-5.92796398,2.97566887,0.58373879,1.67807599,1.35261057,0.37724397,0.00054266,0.44619345,0.02400198,0.29724488
-5.92196098,2.96838347,0.59015812,1.67666366,1.33822239,0.37789039,0.00058274,0.44040795,0.02359400,0.29768499
-5.91595798,2.95010908,0.59431639,1.66968085,1.31778072,0.37694927,0.00062477,0.43272526,0.02308241,0.29721915
-5.90995498,2.92064825,0.59595738,1.65693465,1.29137493,0.37439667,0.00066873,0.42320204,0.02247923,0.29579496
-5.90395198,2.88011844,0.59489702,1.63840216,1.25923976,0.37025254,0.00071470,0.41194310,0.02179864,0.29339239
-5.89794897,2.82894045,0.59102684,1.61422726,1.22174344,0.36457869,0.00076281,0.39909663,0.02105646,0.29002396
-5.89194597,2.76781821,0.58431562,1.58471239,1.17937242,0.35747555,0.00081331,0.38484829,0.02026958,0.28573384
-5.88594297,2.69771117,0.57480900,1.55030576,1.13271344,0.34907805,0.00086651,0.36941461,0.01945541,0.28059612
-5.87993997,2.61980022,0.56262719,1.51158458,1.08243366,0.33955051,0.00092284,0.35303576,0.01863136,0.27471207
-5.87393697,2.53544872,0.54796068,1.46923512,1.02925956,0.32908111,0.00098278,0.33596820,0.01781422,0.26820671
-5.86793397,2.44616011,0.53106432,1.42403040,0.97395558,0.31787576,0.00104691,0.31847722,0.01701980,0.26122482
-5.86193097,2.35353370,0.51224965,1.37680640,0.91730303,0.30615186,0.00111589,0.30082980,0.01626242,0.25392643
-5.85592796,2.25922028,0.49187595,1.32843783,0.86008004,0.29413203,0.00119043,0.28328791,0.01555464,0.24648203
-5.84992496,2.16487875,0.47034023,1.27981409,0.80304307,0.28203812,0.00127132,0.26610250,0.01490701,0.23906777
-5.84392196,2.07213545,0.44806643,1.23181654,0.74691055,0.27008544,0.00135936,0.24950816,0.01432786,0.23186055
-5.83791896,1.98254687,0.42549413,1.18529737,0.69234874,0.25847777,0.00145541,0.23371875,0.01382324,0.22503336
-5.83191596,1.89756688,0.40306723,1.14106094,0.63996029,0.24740276,0.00156031,0.21892383,0.01339694,0.21875093
-5.82591296,1.81851875,0.38122276,1.09984768,0.59027542,0.23702833,0.00167489,0.20528607,0.01305053,0.21316571
-5.81990995,1.74657238,0.36038018,1.06232093,0.54374571,0.22749964,0.00179995,0.19293951,0.01278350,0.20841426
-5.81390695,1.68272674,0.34093143,1.02905652,0.50074042,0.21893696,0.00193620,0.18198855,0.01259348,0.20461425
-5.80790395,1.62779715,0.32323189,1.00053518,0.46154503,0.21143431,0.00208425,0.17250776,0.01247638,0.20186178
-5.80190095,1.58240709,0.30759249,0.97713739,0.42636183,0.20505874,0.00224456,0.16454218,0.01242674,0.20022936
-5.79589795,1.54698405,0.29427305,0.95914031,0.39531221,0.19985037,0.00241741,0.15810823,0.01243789,0.19976432
-5.78989495,1.52175868,0.28347694,0.94671659,0.36844028,0.19582292,0.00260286,0.15319490,0.01250227,0.20048765
-5.78389195,1.50676682,0.27534719,0.93993446,0.34571757,0.19296474,0.00280069,0.14976534,0.01261168,0.20239344
-5.77788894,1.50185391,0.26996396,0.93875900,0.32704854,0.19124031,0.00301040,0.14775861,0.01275749,0.20544866
-5.77188594,1.50668126,0.26734341,0.94305418,0.31227653,0.19059199,0.00323113,0.14709162,0.01293085,0.20959345
-5.76588294,1.52073414,0.26743809,0.95258562,0.30119021,0.19094212,0.00346165,0.14766121,0.01312294,0.21474193
-5.75987994,1.54333152,0.27013856,0.96702403,0.29353005,0.19219537,0.00370035,0.14934636,0.01332509,0.22078345
-5.75387694,1.57363760,0.27527645,0.98594948,0.28899508,0.19424127,0.00394524,0.15201054,0.01352897,0.22758433
-5.74787394,1.61067543,0.28262878,1.00885656,0.28724964,0.19695697,0.00419392,0.15550413,0.01372668,0.23499030
