energy_ev,total_up,Al_p_up,Al_d_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,1.75742017,0.07238066,0.00000000,0.74228392,0.13589523,0.98941212,0.00000000
-5.99399700,1.77443424,0.07299290,0.00000000,0.74348556,0.13860659,0.99680596,0.00000000
-5.98799400,1.78033991,0.07316706,0.00000000,0.74012060,0.14047460,0.99787982,0.00000000
-5.98199100,1.77507062,0.07290830,0.00000000,0.73228179,0.14146616,0.99262410,0.00000000
-5.97598799,1.75878230,0.07223181,0.00000000,0.72014813,0.14156588,0.98115121,0.00000000
-5.96998499,1.73185102,0.07116270,0.00000000,0.70398031,0.14077681,0.96369261,0.00000000
-5.96398199,1.69486405,0.06973565,0.00000000,0.68411391,0.13912078,0.94059229,0.00000000
-5.95797899,1.64860471,0.06799429,0.00000000,0.66095064,0.13663796,0.91229701,0.00000000
-5.95197599,1.59403171,0.06599033,0.00000000,0.63494804,0.13338599,0.87934369,0.00000000
-5.94597299,1.53225369,0.06378253,0.00000000,0.60660789,0.12943849,0.84234447,0.00000000
-5.93996998,1.46450009,0.06143542,0.00000000,0.57646398,0.12488311,0.80197021,0.00000000
-5.93396698,1.39208945,0.05901798,0.00000000,0.54506944,0.11981913,0.75893284,0.00000000
-5.92796398,1.31639625,0.05660215,0.00000000,0.51298426,0.11435480,0.71396757,0.00000000
-5.92196098,1.23881763,0.05426134,0.00000000,0.48076325,0.10860436,0.66781534,0.00000000
-5.91595798,1.16074101,0.05206890,0.00000000,0.44894487,0.10268508,0.62120630,0.00000000
-5.90995498,1.08351365,0.05009661,0.00000000,0.41804121,0.09671417,0.57484490,0.00000000
-5.90395198,1.00841521,0.04841326,0.00000000,0.38852929,0.09080585,0.52939682,0.00000000
-5.89794897,0.93663378,0.04708331,0.00000000,0.36084404,0.08506866,0.48547833,0.00000000
-5.89194597,0.86924605,0.04616563,0.00000000,0.33537274,0.07960297,0.44364807,0.00000000
-5.88594297,0.80720200,0.04571245,0.00000000,0.31245131,0.07449889,0.40440147,0.00000000
-5.87993997,0.75131401,0.04576843,0.00000000,0.29236207,0.06983454,0.36816759,0.00000000
-5.87393697,0.70225056,0.04636995,0.00000000,0.27533322,0.06567484,0.33530838,0.00000000
-5.86793397,0.66053409,0.04754455,0.00000000,0.26153955,0.06207058,0.30611995,0.00000000
-5.86193097,0.62654276,0.04931063,0.00000000,0.25110456,0.05905811,0.28083558,0.00000000
-5.85592796,0.60051551,0.05167734,0.00000000,0.24410345,0.05665935,0.25962997,0.00000000
-5.84992496,0.58255993,0.05464471,0.00000000,0.24056700,0.05488219,0.24262446,0.00000000
-5.84392196,0.57266225,0.05820393,0.00000000,0.24048601,0.05372127,0.22989251,0.00000000
-5.83791896,0.57069880,0.06233793,0.00000000,0.24381590,0.05315908,0.22146525,0.00000000
-5.83191596,0.57644834,0.06702205,0.00000000,0.25048154,0.05316723,0.21733658,0.00000000
-5.82591296,0.58960459,0.07222485,0.00000000,0.26038172,0.05370798,0.21746754,0.00000000
-5.81990995,0.60978849,0.07790914,0.00000000,0.27339334,0.05473583,0.22178956,0.00000000
-5.81390695,0.63655959,0.08403291,0.00000000,0.28937484,0.05619922,0.23020667,0.00000000
-5.80790395,0.66942630,0.09055038,0.00000000,0.30816894,0.05804218,0.24259630,0.00000000
-5.80190095,0.70785464,0.09741296,0.00000000,0.32960449,0.06020596,0.25880892,0.00000000
-5.79589795,0.75127534,0.10457009,0.00000000,0.35349727,0.06263052,0.27866654,0.00000000
-5.78989495,0.79908924,0.11196996,0.00000000,0.37964987,0.06525593,0.30196024,0.00000000
-5.78389195,0.85067102,0.11955996,0.00000000,0.40785066,0.06802352,0.32844715,0.00000000
-5.77788894,0.90537156,0.12728697,0.00000000,0.43787190,0.07087684,0.35784716,0.00000000
-5.77188594,0.96251904,0.13509740,0.00000000,0.46946736,0.07376241,0.38983969,0.00000000
-5.76588294,1.02141941,0.14293692,0.00000000,0.50236951,0.07663026,0.42406121,0.00000000
-5.75987994,1.08135646,0.15075008,0.00000000,0.53628678,0.07943420,0.46010359,0.00000000
-5.75387694,1.14159226,0.15847977,0.00000000,0.57090111,0.08213196,0.49751400,0.00000000
-5.74787394,1.20136838,0.16606651,0.00000000,0.60586628,0.08468511,0.53579652,0.00000000
-5.74187094,1.25990838,0.17344789,0.00000000,0.64080728,0.08705891,0.57441582,0.00000000
-5.73586793,1.31642216,0.18055799,0.00000000,0.67532124,0.08922202,0.61280300,0.00000000
-5.72986493,1.37011250,0.18732709,0.00000000,0.70897997,0.09114625,0.65036370,0.00000000
-5.72386193,1.42018395,0.19368168,0.00000000,0.74133456,0.09280625,0.68648842,0.00000000
-5.71785893,1.46585417,0.19954479,0.00000000,0.77192194,0.09417930,0.72056465,0.00000000
-5.71185593,1.50636768,0.20483680,0.00000000,0.80027349,0.09524520,0.75199073,0.00000000
-5.70585293,1.54101155,0.20947672,0.00000000,0.82592542,0.09598625,0.78019070,0.00000000
-5.69984992,1.56913262,0.21338389,0.00000000,0.84843068,0.09638737,0.80462970,0.00000000
-5.69384692,1.59015545,0.21648011,0.00000000,0.86737196,0.09643635,0.82482922,0.00000000
-5.68784392,1.60360031,0.21869210,0.00000000,0.88237512,0.09612418,0.84038157,0.00000000
-5.68184092,1.60910020,0.21995417,0.00000000,0.89312250,0.09544555,0.85096283,0.00000000
-5.67583792,1.60641584,0.22021094,0.00000000,0.89936540,0.09439925,0.85634358,0.00000000
-5.66983492,1.59544790,0.21942002,0.00000000,0.90093497,0.09298872,0.85639699,0.00000000
-5.66383192,1.57624550,0.21755446,0.00000000,0.89775098,0.09122244,0.85110376,0.00000000
-5.65782891,1.54901028,0.21460473,0.00000000,0.88982774,0.08911427,0.84055346,0.00000000
-5.65182591,1.51409557,0.21058026,0.00000000,0.87727688,0.08668358,0.82494242,0.00000000
-5.64582291,1.47200047,0.20551025,0.00000000,0.86030651,0.08395531,0.80456791,0.00000000
-5.63981991,1.42335876,0.19944383,0.00000000,0.83921692,0.08095969,0.77981901,0.00000000
-5.63381691,1.36892301,0.19244937,0.00000000,0.81439262,0.07773179,0.75116450,0.00000000
-5.62781391,1.30954443,0.18461315,0.00000000,0.78629119,0.07431088,0.71913815,0.00000000
-5.62181091,1.24614921,0.17603719,0.00000000,0.75542928,0.07073953,0.68432227,0.00000000
-5.61580790,1.17971236,0.16683663,0.00000000,0.72236644,0.06706257,0.64733006,0.00000000
-5.60980490,1.11123018,0.15713648,0.00000000,0.68768747,0.06332592,0.60878746,0.00000000
-5.60380190,1.04169242,0.14706812,0.00000000,0.65198404,0.05957533,0.56931547,0.00000000
-5.59779890,0.97205544,0.13676563,0.00000000,0.61583648,0.05585514,0.52951331,0.00000000
-5.59179590,0.90321734,0.12636208,0.00000000,0.57979643,0.05220703,0.48994338,0.00000000
-5.58579290,0.83599607,0.11598605,0.00000000,0.54437126,0.04866892,0.45111821,0.00000000
-5.57978989,0.77111142,0.10575837,0.00000000,0.51001072,0.04527401,0.41349010,0.00000000
-5.57378689,0.70917125,0.09578942,0.00000000,0.47709639,0.04205002,0.37744343,0.00000000
-5.56778389,0.65066253,0.08617683,0.00000000,0.44593429,0.03901860,0.34328994,0.00000000
-5.56178089,0.59594714,0.07700389,0.00000000,0.41675087,0.03619510,0.31126682,0.00000000
-5.55577789,0.54526246,0.06833848,0.00000000,0.38969216,0.03358848,0.28153756,0.00000000
-5.54977489,0.49872620,0.06023270,0.00000000,0.36482631,0.03120154,0.25419520,0.00000000
-5.54377189,0.45634519,0.05272296,0.00000000,0.34214879,0.02903131,0.22926771,0.00000000
-5.53776888,0.41802728,0.04583075,0.00000000,0.32159018,0.02706971,0.20672501,0.00000000
-5.53176588,0.38359576,0.03956364,0.00000000,0.30302584,0.02530428,0.18648724,0.00000000
-5.52576288,0.35280535,0.03391683,0.00000000,0.28628694,0.02371906,0.16843382,0.00000000
-5.51975988,0.32535907,0.02887477,0.00000000,0.27117230,0.02229558,0.15241284,0.00000000
-5.51375688,0.30092519,0.02441308,0.00000000,0.25746044,0.02101377,0.13825034,0.00000000
-5.50775388,0.27915355,0.02050041,0.00000000,0.24492125,0.01985294,0.12575921,0.00000000
-5.50175088,0.25969062,0.01710037,0.00000000,0.23332687,0.01879264,0.11474733,0.00000000
-5.49574787,0.24219293,0.01417337,0.00000000,0.22246135,0.01781346,0.10502477,0.00000000
-5.48974487,0.22633846,0.01167827,0.00000000,0.21212878,0.01689769,0.09640987,0.00000000
-5.48374187,0.21183574,0.00957392,0.00000000,0.20215974,0.01602983,0.08873414,0.00000000
-5.47773887,0.19843073,0.00782052,0.00000000,0.19241595,0.01519702,0.08184595,0.00000000
-5.47173587,0.18591132,0.00638075,0.00000000,0.18279308,0.01438927,0.07561300,0.00000000
-5.46573287,0.17410985,0.00522079,0.00000000,0.17322193,0.01359958,0.06992377,0.00000000
-5.45972986,0.16290360,0.00431104,0.00000000,0.16366807,0.01282393,0.06468799,0.00000000
-5.45372686,0.15221385,0.00362687,0.00000000,0.15413016,0.01206117,0.05983622,0.00000000
-5.44772386,0.14200358,0.00314907,0.00000000,0.14463733,0.01131288,0.05531895,0.00000000
-5.44172086,0.13227430,0.00286439,0.00000000,0.13524578,0.01058307,0.05110504,0.00000000
-5.43571786,0.12306235,0.00276578,0.00000000,0.12603492,0.00987795,0.04717999,0.00000000
-5.42971486,0.11443488,0.00285282,0.00000000,0.11710339,0.00920560,0.04354399,0.00000000
-5.42371186,0.10648593,0.00313187,0.00000000,0.10856519,0.00857576,0.04020994,0.00000000
-5.41770885,0.09933261,0.00361636,0.00000000,0.10054594,0.00799948,0.03720153,0.00000000
-5.41170585,0.09311169,0.00432690,0.00000000,0.09317965,0.00748896,0.03455150,0.00000000
-5.40570285,0.08797664,0.00529141,0.00000000,0.08660595,0.00705729,0.03230003,0.00000000
-5.39969985,0.08409495,0.00654510,0.00000000,0.08096778,0.00671832,0.03049340,0.00000000
-5.39369685,0.08164587,0.00813033,0.00000000,0.07640953,0.00648649,0.02918276,0.00000000
-5.38769385,0.08081833,0.01009634,0.00000000,0.07307557,0.00637672,0.02842306,0.00000000
-5.38169085,0.08180879,0.01249873,0.00000000,0.07110898,0.00640424,0.02827209,0.00000000
-5.37568784,0.08481898,0.01539870,0.00000000,0.07065037,0.00658450,0.02878953,0.00000000
-5.36968484,0.09005311,0.01886196,0.00000000,0.07183656,0.00693293,0.03003590,0.00000000
-5.36368184,0.09771459,0.02295739,0.00000000,0.07479899,0.00746478,0.03207142,0.00000000
-5.35767884,0.10800174,0.02775520,0.00000000,0.07966175,0.00819477,0.03495462,0.00000000
-5.35167584,0.12110272,0.03332483,0.00000000,0.08653892,0.00913675,0.03874069,0.00000000
-5.34567284,0.13718932,0.03973245,0.00000000,0.09553145,0.01030330,0.04347962,0.00000000
-5.33966983,0.15640979,0.04703815,0.00000000,0.10672324,0.01170513,0.04921393,0.00000000
-5.33366683,0.17888086,0.05529280,0.00000000,0.12017670,0.01335060,0.05597622,0.00000000
-5.32766383,0.20467892,0.06453486,0.00000000,0.13592784,0.01524498,0.06378646,0.00000000
-5.32166083,0.23383107,0.07478699,0.00000000,0.15398100,0.01738988,0.07264921,0.00000000
-5.31565783,0.26630604,0.08605289,0.00000000,0.17430365,0.01978250,0.08255081,0.00000000
-5.30965483,0.30200573,0.09831427,0.00000000,0.19682137,0.02241506,0.09345676,0.00000000
-5.30365183,0.34075790,0.11152834,0.00000000,0.22141353,0.02527423,0.10530939,0.00000000
-5.29764882,0.38231040,0.12562585,0.00000000,0.24790995,0.02834071,0.11802601,0.00000000
-5.29164582,0.42632764,0.14050999,0.00000000,0.27608888,0.03158896,0.13149783,0.00000000
-5.28564282,0.47238989,0.15605618,0.00000000,0.30567673,0.03498709,0.14558956,0.00000000
-5.27963982,0.51999553,0.17211294,0.00000000,0.33634972,0.03849711,0.16014013,0.00000000
-5.27363682,0.56856691,0.18850395,0.00000000,0.36773772,0.04207527,0.17496434,0.00000000
-5.26763382,0.61745967,0.20503128,0.00000000,0.39943032,0.04567278,0.18985568,0.00000000
-5.26163082,0.66597562,0.22147977,0.00000000,0.43098511,0.04923676,0.20459029,0.00000000
-5.25562781,0.71337893,0.23762247,0.00000000,0.46193801,0.05271142,0.21893188,0.00000000
-5.24962481,0.75891506,0.25322697,0.00000000,0.49181537,0.05603947,0.23263758,0.00000000
-5.24362181,0.80183191,0.26806237,0.00000000,0.52014732,0.05916369,0.24546455,0.00000000
-5.23761881,0.84140235,0.28190667,0.00000000,0.54648199,0.06202862,0.25717699,0.00000000
-5.23161581,0.87694708,0.29455412,0.00000000,0.57039978,0.06458227,0.26755335,0.00000000
-5.22561281,0.90785696,0.30582236,0.00000000,0.59152722,0.06677780,0.27639346,0.00000000
-5.21960980,0.93361355,0.31555879,0.00000000,0.60954956,0.06857509,0.28352521,0.00000000
-5.21360680,0.95380708,0.32364605,0.00000000,0.62422148,0.06994211,0.28881038,0.00000000
-5.20760380,0.96815072,0.33000610,0.00000000,0.63537543,0.07085601,0.29214958,0.00000000
-5.20160080,0.97649056,0.33460280,0.00000000,0.64292699,0.07130397,0.29348581,0.00000000
-5.19559780,0.97881071,0.33744281,0.00000000,0.64687697,0.07128361,0.29280664,0.00000000
-5.18959480,0.97523319,0.33857466,0.00000000,0.64731012,0.07080307,0.29014482,0.00000000
