energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.80671951,0.22623009,0.29111672,0.00046646,0.07789262,0.00085501,0.23214186,0.14264272,0.03531635
-5.99399700,0.85089494,0.24284871,0.30515822,0.00047346,0.08341176,0.00085196,0.24476767,0.14664991,0.03772116
-5.98799400,0.89603898,0.25949546,0.31957165,0.00050288,0.08898095,0.00084908,0.25766024,0.15108207,0.04013350
-5.98199100,0.94171271,0.27596202,0.33422102,0.00055368,0.09454464,0.00084669,0.27068486,0.15595292,0.04252538
-5.97598799,0.98746873,0.29203645,0.34896709,0.00062527,0.10004553,0.00084515,0.28370523,0.16127399,0.04486856
-5.96998499,1.03286231,0.30750898,0.36367044,0.00071736,0.10542624,0.00084483,0.29658680,0.16705378,0.04713550
-5.96398199,1.07746365,0.32217813,0.37819513,0.00082988,0.11063101,0.00084613,0.30920050,0.17329692,0.04930026
-5.95797899,1.12087035,0.33585674,0.39241235,0.00096286,0.11560747,0.00084951,0.32142649,0.18000360,0.05133958
-5.95197599,1.16271931,0.34837772,0.40620405,0.00111634,0.12030818,0.00085552,0.33315781,0.18716883,0.05323378
-5.94597299,1.20269715,0.35959903,0.41946612,0.00129028,0.12469201,0.00086480,0.34430362,0.19478187,0.05496762
-5.93996998,1.24054850,0.36940791,0.43211088,0.00148442,0.12872524,0.00087811,0.35479183,0.20282538,0.05653107
-5.93396698,1.27608154,0.37772377,0.44406870,0.00169826,0.13238222,0.00089637,0.36457088,0.21127464,0.05791983
-5.92796398,1.30917026,0.38449994,0.45528869,0.00193090,0.13564576,0.00092066,0.37361067,0.22009661,0.05913572
-5.92196098,1.33975358,0.38972387,0.46573824,0.00218104,0.13850700,0.00095226,0.38190239,0.22924896,0.06018678
-5.91595798,1.36783105,0.39341608,0.47540157,0.00244689,0.14096492,0.00099266,0.38945747,0.23867911,0.06108719
-5.90995498,1.39345570,0.39562764,0.48427738,0.00272614,0.14302554,0.00104354,0.39630554,0.24832350,0.06185692
-5.90395198,1.41672454,0.39643668,0.49237575,0.00301598,0.14470077,0.00110681,0.40249169,0.25810699,0.06252120
-5.89794897,1.43776725,0.39594382,0.49971457,0.00331308,0.14600708,0.00118459,0.40807309,0.26794271,0.06310977
-5.89194597,1.45673400,0.39426699,0.50631570,0.00361363,0.14696406,0.00127915,0.41311529,0.27773238,0.06365592
-5.88594297,1.47378329,0.39153600,0.51220132,0.00391342,0.14759298,0.00139296,0.41768835,0.28736721,0.06419555
-5.87993997,1.48907037,0.38788690,0.51739053,0.00420788,0.14791541,0.00152857,0.42186312,0.29672943,0.06476596
-5.87393697,1.50273727,0.38345674,0.52189659,0.00449224,0.14795201,0.00168860,0.42570782,0.30569454,0.06540471
-5.86793397,1.51490476,0.37837879,0.52572498,0.00476162,0.14772161,0.00187567,0.42928507,0.31413412,0.06614850
-5.86193097,1.52566677,0.37277849,0.52887230,0.00501116,0.14724052,0.00209233,0.43264960,0.32191927,0.06703194
-5.85592796,1.53508732,0.36677032,0.53132617,0.00523618,0.14652222,0.00234094,0.43584653,0.32892443,0.06808656
-5.84992496,1.54320009,0.36045560,0.53306603,0.00543232,0.14557728,0.00262361,0.43891043,0.33503147,0.06933976
-5.84392196,1.55001014,0.35392128,0.53406472,0.00559567,0.14441370,0.00294212,0.44186497,0.34013383,0.07081397
-5.83791896,1.55549766,0.34723971,0.53429074,0.00572291,0.14303733,0.00329777,0.44472313,0.34414047,0.07252592
-5.83191596,1.55962305,0.34046918,0.53371091,0.00581142,0.14145268,0.00369131,0.44748791,0.34697940,0.07448602
-5.82591296,1.56233285,0.33365519,0.53229327,0.00585940,0.13966363,0.00412284,0.45015330,0.34860062,0.07669798
-5.81990995,1.56356595,0.32683223,0.53000988,0.00586587,0.13767440,0.00459174,0.45270548,0.34897817,0.07915851
-5.81390695,1.56325959,0.32002593,0.52683950,0.00583076,0.13549029,0.00509661,0.45512412,0.34811137,0.08185727
-5.80790395,1.56135473,0.31325527,0.52276971,0.00575488,0.13311848,0.00563518,0.45738364,0.34602490,0.08477703
-5.80190095,1.55780046,0.30653493,0.51779866,0.00563993,0.13056862,0.00620438,0.45945448,0.34276791,0.08789396
-5.79589795,1.55255750,0.29987736,0.51193606,0.00548838,0.12785324,0.00680027,0.46130423,0.33841213,0.09117822
-5.78989495,1.54560054,0.29329468,0.50520365,0.00530344,0.12498799,0.00741814,0.46289873,0.33304911,0.09459471
-5.78389195,1.53691976,0.28680024,0.49763502,0.00508894,0.12199164,0.00805259,0.46420316,0.32678668,0.09810410
-5.77788894,1.52652164,0.28040971,0.48927497,0.00484917,0.11888597,0.00869766,0.46518313,0.31974497,0.10166394
-5.77188594,1.51442937,0.27414192,0.48017845,0.00458876,0.11569535,0.00934697,0.46580583,0.31205213,0.10523013
-5.76588294,1.50068317,0.26801922,0.47040924,0.00431258,0.11244636,0.00999393,0.46604143,0.30383993,0.10875844
-5.75987994,1.48534064,0.26206749,0.46003848,0.00402551,0.10916719,0.01063197,0.46586449,0.29523963,0.11220612
-5.75387694,1.46847751,0.25631587,0.44914320,0.00373239,0.10588702,0.01125477,0.46525565,0.28637818,0.11553370
-5.74787394,1.45018864,0.25079615,0.43780484,0.00343784,0.10263539,0.01185648,0.46420338,0.27737499,0.11870665
-5.74187094,1.43058947,0.24554195,0.42610803,0.00314618,0.09944154,0.01243203,0.46270583,0.26833939,0.12169703
-5.73586793,1.40981758,0.24058775,0.41413938,0.00286131,0.09633379,0.01297731,0.46077262,0.25936877,0.12448500
-5.72986493,1.38803422,0.23596766,0.40198652,0.00258670,0.09333899,0.01348940,0.45842646,0.25054757,0.12706001
-5.72386193,1.36542552,0.23171421,0.38973725,0.00232527,0.09048198,0.01396674,0.45570439,0.24194696,0.12942181
-5.71785893,1.34220300,0.22785698,0.37747868,0.00207943,0.08778514,0.01440923,0.45265872,0.23362518,0.13158093
-5.71185593,1.31860307,0.22442122,0.36529655,0.00185103,0.08526797,0.01481827,0.44935717,0.22562847,0.13355885
-5.70585293,1.29488530,0.22142656,0.35327434,0.00164141,0.08294677,0.01519679,0.44588251,0.21799246,0.13538761
-5.69984992,1.27132924,0.21888577,0.34149243,0.00145139,0.08083435,0.01554915,0.44233136,0.21074383,0.13710903
-5.69384692,1.24822973,0.21680372,0.33002709,0.00128133,0.07893982,0.01588096,0.43881232,0.20390222,0.13877341
-5.68784392,1.22589085,0.21517651,0.31894941,0.00113118,0.07726847,0.01619889,0.43544333,0.19748221,0.14043785
-5.68184092,1.20461873,0.21399104,0.30832412,0.00100053,0.07582169,0.01651038,0.43234858,0.19149531,0.14216417
-5.67583792,1.18471343,0.21322487,0.29820840,0.00088866,0.07459702,0.01682330,0.42965495,0.18595182,0.14401668
-5.66983492,1.16646064,0.21284657,0.28865079,0.00079461,0.07358835,0.01714558,0.42748825,0.18086266,0.14605968
-5.66383192,1.15012349,0.21281661,0.27969018,0.00071723,0.07278610,0.01748488,0.42596955,0.17624098,0.14835502
-5.65782891,1.13593510,0.21308874,0.27135510,0.00065521,0.07217775,0.01784816,0.42521174,0.17210364,0.15095973
-5.65182591,1.12409245,0.21361192,0.26366324,0.00060716,0.07174827,0.01824136,0.42531659,0.16847255,0.15392386
-5.64582291,1.11475203,0.21433272,0.25662147,0.00057165,0.07148089,0.01866906,0.42637255,0.16537582,0.15728865
-5.63981991,1.10802744,0.21519810,0.25022623,0.00054721,0.07135783,0.01913428,0.42845330,0.16284881,0.16108512
-5.63381691,1.10398938,0.21615853,0.24446437,0.00053241,0.07136121,0.01963821,0.43161721,0.16093493,0.16533315
-5.62781391,1.10266777,0.21717117,0.23931444,0.00052586,0.07147401,0.02018018,0.43590772,0.15968629,0.17004099
-5.62181091,1.10405595,0.21820301,0.23474835,0.00052625,0.07168100,0.02075761,0.44135447,0.15916406,0.17520532
-5.61580790,1.10811655,0.21923375,0.23073329,0.00053238,0.07196965,0.02136607,0.44797510,0.15943855,0.18081177
-5.60980490,1.11478849,0.22025828,0.22723386,0.00054315,0.07233098,0.02199943,0.45577742,0.16058881,0.18683579
-5.60380190,1.12399443,0.22128833,0.22421416,0.00055762,0.07276019,0.02265006,0.46476178,0.16270179,0.19324383
-5.59779890,1.13564805,0.22235349,0.22163985,0.00057500,0.07325711,0.02330916,0.47492321,0.16587093,0.19999470
-5.59179590,1.14966036,0.22350104,0.21947989,0.00059469,0.07382639,0.02396698,0.48625311,0.17019407,0.20704095
-5.58579290,1.16594440,0.22479487,0.21770795,0.00061627,0.07447740,0.02461325,0.49874029,0.17577067,0.21433029
-5.57978989,1.18441788,0.22631315,0.21630334,0.00063955,0.07522377,0.02523747,0.51237094,0.18269837,0.22180669
-5.57378689,1.20500321,0.22814502,0.21525133,0.00066457,0.07608268,0.02582924,0.52712761,0.19106883,0.22941139
-5.56778389,1.22762497,0.23038627,0.21454303,0.00069161,0.07707377,0.02637861,0.54298702,0.20096302,0.23708352
-5.56178089,1.25220476,0.23313413,0.21417460,0.00072120,0.07821783,0.02687629,0.55991680,0.21244605,0.24476037
-5.55577789,1.27865374,0.23648163,0.21414602,0.00075414,0.07953530,0.02731391,0.57787136,0.22556180,0.25237748
-5.54977489,1.30686351,0.24051151,0.21445944,0.00079148,0.08104456,0.02768414,0.59678711,0.24032748,0.25986835
-5.54377189,1.33669594,0.24529020,0.21511728,0.00083454,0.08276026,0.02798083,0.61657747,0.25672852,0.26716403
-5.53776888,1.36797283,0.25086220,0.21612015,0.00088489,0.08469165,0.02819904,0.63712793,0.27471404,0.27419269
-5.53176588,1.40046644,0.25724502,0.21746487,0.00094433,0.08684107,0.02833507,0.65829188,0.29419316,0.28087926
-5.52576288,1.43389170,0.26442521,0.21914252,0.00101485,0.08920270,0.02838639,0.67988743,0.31503256,0.28714515
-5.51975988,1.46790110,0.27235565,0.22113703,0.00109861,0.09176165,0.02835165,0.70169572,0.33705547,0.29290847
-5.51375688,1.50208288,0.28095429,0.22342394,0.00119792,0.09449343,0.02823053,0.72346113,0.36004229,0.29808452
-5.50775388,1.53596313,0.29010457,0.22596991,0.00131509,0.09736396,0.02802374,0.74489358,0.38373304,0.30258678
-5.50175088,1.56901206,0.29965750,0.22873260,0.00145246,0.10032993,0.02773285,0.76567299,0.40783160,0.30632848
-5.49574787,1.60065435,0.30943544,0.23166126,0.00161226,0.10333983,0.02736030,0.78545598,0.43201177,0.30922457
-5.48974487,1.63028343,0.31923740,0.23469774,0.00179656,0.10633532,0.02690928,0.80388459,0.45592496,0.31119415
-5.48374187,1.65727902,0.32884573,0.23777801,0.00200714,0.10925309,0.02638369,0.82059668,0.47920922,0.31216324
