energy_ev,total_up,Ag_p_up,Ag_d_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up
-6.00000000,11.37504193,0.95245878,9.92869547,0.59207367,0.00000000,0.05036509,0.49573046
-5.99399700,11.18641452,0.90815121,9.78341324,0.55576213,0.00000000,0.05158674,0.50103047
-5.98799400,11.02884575,0.86707701,9.66484921,0.52169277,0.00000000,0.05306838,0.50690091
-5.98199100,10.90447239,0.82946624,9.57488545,0.49008699,0.00000000,0.05479893,0.51334188
-5.97598799,10.81459202,0.79546215,9.51467622,0.46111008,0.00000000,0.05676302,0.52033392
-5.96998499,10.75965748,0.76512131,9.48464306,0.43487000,0.00000000,0.05894124,0.52783720
-5.96398199,10.73930029,0.73841696,9.48449454,0.41141813,0.00000000,0.06131063,0.53579192
-5.95797899,10.75238099,0.71524540,9.51326908,0.39075188,0.00000000,0.06384516,0.54411962
-5.95197599,10.79706391,0.69543478,9.56939880,0.37281883,0.00000000,0.06651655,0.55272549
-5.94597299,10.87091309,0.67875609,9.65079157,0.35752215,0.00000000,0.06929509,0.56150160
-5.93996998,10.97100538,0.66493555,9.75492805,0.34472699,0.00000000,0.07215055,0.57033078
-5.93396698,11.09405655,0.65366797,9.87897023,0.33426752,0.00000000,0.07505325,0.57909114
-5.92796398,11.23655570,0.64463048,10.01987744,0.32595438,0.00000000,0.07797505,0.58766102
-5.92196098,11.39490340,0.63749606,10.17452581,0.31958207,0.00000000,0.08089038,0.59592411
-5.91595798,11.56554839,0.63194645,10.33982705,0.31493632,0.00000000,0.08377722,0.60377464
-5.90995498,11.74511832,0.62768389,10.51284228,0.31180086,0.00000000,0.08661794,0.61112239
-5.90395198,11.93053973,0.62444139,10.69088694,0.30996368,0.00000000,0.08940002,0.61789718
-5.89794897,12.11914304,0.62199123,10.87162295,0.30922253,0.00000000,0.09211662,0.62405292
-5.89194597,12.30874878,0.62015155,11.05313471,0.30938945,0.00000000,0.09476694,0.62957076
-5.88594297,12.49773172,0.61879072,11.23398608,0.31029442,0.00000000,0.09735632,0.63446130
-5.87993997,12.68506073,0.61782967,11.41325617,0.31178796,0.00000000,0.09989618,0.63876574
-5.87393697,12.87031259,0.61724207,11.59055232,0.31374275,0.00000000,0.10240367,0.64255586
-5.86793397,13.05365937,0.61705249,11.76599997,0.31605427,0.00000000,0.10490107,0.64593278
-5.86193097,13.23582987,0.61733273,11.94020953,0.31864048,0.00000000,0.10741509,0.64902451
-5.85592796,13.41804674,0.61819649,12.11422179,0.32144073,0.00000000,0.10997586,0.65198233
-5.84992496,13.60194175,0.61979262,12.28943401,0.32441391,0.00000000,0.11261586,0.65497615
-5.84392196,13.78945307,0.62229726,12.46750988,0.32753594,0.00000000,0.11536870,0.65818895
-5.83791896,13.98270873,0.62590514,12.65027723,0.33079692,0.00000000,0.11826784,0.66181057
-5.83191596,14.18390139,0.63082036,12.83961797,0.33419784,0.00000000,0.12134536,0.66603095
-5.82591296,14.39515987,0.63724687,13.03735509,0.33774726,0.00000000,0.12463065,0.67103320
-5.81990995,14.61842298,0.64537912,13.24514169,0.34145784,0.00000000,0.12814930,0.67698674
-5.81390695,14.85532118,0.65539297,13.46435703,0.34534313,0.00000000,0.13192204,0.68404070
-5.80790395,15.10707114,0.66743728,13.69601403,0.34941460,0.00000000,0.13596388,0.69231792
-5.80190095,15.37438767,0.68162632,13.94068242,0.35367899,0.00000000,0.14028340,0.70190971
-5.79589795,15.65741674,0.69803328,14.19843063,0.35813622,0.00000000,0.14488231,0.71287168
-5.78989495,15.95569223,0.71668503,14.46878894,0.36277778,0.00000000,0.14975515,0.72522058
-5.78389195,16.26811787,0.73755835,14.75073524,0.36758573,0.00000000,0.15488929,0.73893258
-5.77788894,16.59297508,0.76057768,15.04270372,0.37253221,0.00000000,0.16026513,0.75394270
-5.77188594,16.92795565,0.78561443,15.34261584,0.37757963,0.00000000,0.16585644,0.77014570
-5.76588294,17.27021790,0.81248813,15.64793204,0.38268125,0.00000000,0.17163100,0.78739816
-5.75987994,17.61646336,0.84096907,15.95572160,0.38778230,0.00000000,0.17755132,0.80552184
-5.75387694,17.96303073,0.87078269,16.26274768,0.39282145,0.00000000,0.18357551,0.82430810
-5.74787394,18.30600300,0.90161550,16.56556372,0.39773256,0.00000000,0.18965830,0.84352322
-5.74187094,18.64132353,0.93312232,16.86061737,0.40244660,0.00000000,0.19575205,0.86291457
-5.73586793,18.96491644,0.96493480,17.14435778,0.40689372,0.00000000,0.20180792,0.88221719
-5.72986493,19.27280681,0.99667089,17.41334214,0.41100526,0.00000000,0.20777691,0.90116090
-5.72386193,19.56123656,1.02794495,17.66433771,0.41471572,0.00000000,0.21361101,0.91947736
-5.71785893,19.82677174,1.05837831,17.89441568,0.41796455,0.00000000,0.21926423,0.93690722
