energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,14.74609467,0.04427988,0.02303113,0.10695833,0.14970604,0.23260828,13.57678080
-5.99399700,13.62474434,0.04493172,0.02139173,0.10175187,0.14579842,0.22811326,12.51216042
-5.98799400,12.55434021,0.04571536,0.01996688,0.09667631,0.14212379,0.22430772,11.49590419
-5.98199100,11.54094906,0.04667577,0.01876193,0.09175108,0.13877380,0.22134699,10.53343059
-5.97598799,10.58951561,0.04786286,0.01778125,0.08699718,0.13584748,0.21939888,9.62905421
-5.96998499,9.70390600,0.04933055,0.01702829,0.08243766,0.13344978,0.21864059,8.78603303
-5.96398199,8.88697050,0.05113551,0.01650563,0.07809789,0.13168966,0.21925475,8.00663610
-5.95797899,8.14061865,0.05333566,0.01621491,0.07400562,0.13067781,0.22142455,7.29222486
-5.95197599,7.46590020,0.05598843,0.01615680,0.07019073,0.13052391,0.22532812,6.64334153
-5.94597299,6.86308627,0.05914884,0.01633074,0.06668481,0.13133366,0.23113229,6.05979916
-5.93996998,6.33174650,0.06286736,0.01673479,0.06352042,0.13320550,0.23898595,5.54076868
-5.93396698,5.87081888,0.06718779,0.01736532,0.06073031,0.13622721,0.24901321,5.08485970
-5.92796398,5.47867090,0.07214512,0.01821678,0.05834635,0.14047253,0.26130671,4.69019286
-5.92196098,5.15315117,0.07776346,0.01928138,0.05639847,0.14599780,0.27592128,4.35446277
-5.91595798,4.89163247,0.08405415,0.02054888,0.05491355,0.15283896,0.29286823,4.07499167
-5.90995498,4.69104750,0.09101416,0.02200635,0.05391423,0.16100875,0.31211070,3.84877459
-5.90395198,4.54791954,0.09862479,0.02363804,0.05341789,0.17049458,0.33356013,3.67251773
-5.89794897,4.45839052,0.10685080,0.02542534,0.05343565,0.18125684,0.35707422,3.54267178
-5.89194597,4.41824899,0.11564003,0.02734680,0.05397148,0.19322805,0.38245648,3.45546243
-5.88594297,4.42296029,0.12492343,0.02937830,0.05502160,0.20631262,0.40945748,3.40691990
-5.87993997,4.46770114,0.13461577,0.03149328,0.05657388,0.22038752,0.43777786,3.39290950
-5.87393697,4.54740002,0.14461670,0.03366309,0.05860760,0.23530372,0.46707304,3.40916446
-5.86793397,4.65678423,0.15481248,0.03585745,0.06109329,0.25088841,0.49695951,3.45132212
-5.86193097,4.79043412,0.16507807,0.03804499,0.06399293,0.26694793,0.52702259,3.51496397
-5.85592796,4.94284387,0.17527962,0.04019381,0.06726018,0.28327145,0.55682530,3.59565937
-5.84992496,5.10848816,0.18527739,0.04227214,0.07084100,0.29963502,0.58591813,3.68901279
-5.84392196,5.28189310,0.19492875,0.04424893,0.07467432,0.31580623,0.61384933,3.79071338
-5.83791896,5.45770989,0.20409148,0.04609454,0.07869301,0.33154902,0.64017542,3.89658604
