energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,2.90831455,0.01838529,0.23372384,1.22781927,1.02291507,0.27465098,0.02410716,1.40044319
-5.99399700,2.96179813,0.01854338,0.24354365,1.23159587,1.06087906,0.28175504,0.02465796,1.40784752
-5.98799400,3.00520987,0.01862218,0.25292836,1.22946680,1.09735982,0.28872489,0.02513839,1.40856551
-5.98199100,3.03862415,0.01862381,0.26178105,1.22163396,1.13224280,0.29563629,0.02554834,1.40281897
-5.97598799,3.06229028,0.01855184,0.27000384,1.20839577,1.16543603,0.30256319,0.02588848,1.39095723
-5.96998499,3.07661382,0.01841112,0.27749935,1.19013519,1.19686677,0.30957276,0.02616004,1.37344350
-5.96398199,3.08213500,0.01820753,0.28417258,1.16730613,1.22647841,0.31672078,0.02636462,1.35083823
-5.95797899,3.07950532,0.01794771,0.28993305,1.14041855,1.25422803,0.32404760,0.02650397,1.32378024
-5.95197599,3.06946369,0.01763885,0.29469732,1.11002319,1.28008466,0.33157499,0.02657980,1.29296653
-5.94597299,3.05281292,0.01728839,0.29839158,1.07669620,1.30402870,0.33930387,0.02659361,1.25913133
-5.93996998,3.03039757,0.01690379,0.30095435,1.04102448,1.32605224,0.34721318,0.02654664,1.22302547
-5.93396698,3.00308400,0.01649231,0.30233910,1.00359203,1.34616052,0.35525988,0.02643971,1.18539667
-5.92796398,2.97174296,0.01606081,0.30251666,0.96496766,1.36437429,0.36338001,0.02627331,1.14697141
-5.92196098,2.93723518,0.01561561,0.30147722,0.92569443,1.38073289,0.37149080,0.02604754,1.10843901
-5.91595798,2.90039999,0.01516236,0.29923188,0.88628088,1.39529775,0.37949367,0.02576231,1.07043824
-5.90995498,2.86204689,0.01470598,0.29581358,0.84719410,1.40815607,0.38727785,0.02541735,1.03354689
-5.90395198,2.82294975,0.01425063,0.29127725,0.80885472,1.41942420,0.39472458,0.02501246,0.99827416
-5.89794897,2.78384322,0.01379970,0.28569933,0.77163363,1.42925042,0.40171146,0.02454763,0.96505618
-5.89194597,2.74542088,0.01335588,0.27917639,0.73585023,1.43781680,0.40811686,0.02402325,0.93425419
-5.88594297,2.70833444,0.01292122,0.27182309,0.70177219,1.44533977,0.41382412,0.02344026,0.90615537
-5.87993997,2.67319359,0.01249722,0.26376935,0.66961631,1.45206914,0.41872536,0.02280031,0.88097577
-5.87393697,2.64056577,0.01208494,0.25515699,0.63955041,1.45828556,0.42272475,0.02210587,0.85886502
-5.86793397,2.61097550,0.01168516,0.24613589,0.61169586,1.46429602,0.42574108,0.02136032,0.83991232
-5.86193097,2.58490287,0.01129845,0.23685982,0.58613074,1.47042783,0.42770971,0.02056796,0.82415317
-5.85592796,2.56278089,0.01092531,0.22748212,0.56289332,1.47702071,0.42858369,0.01973402,0.81157644
-5.84992496,2.54499158,0.01056630,0.21815148,0.54198573,1.48441758,0.42833428,0.01886456,0.80213125
-5.84392196,2.53186083,0.01022211,0.20900782,0.52337766,1.49295411,0.42695076,0.01796640,0.79573341
-5.83791896,2.52365205,0.00989367,0.20017867,0.50701007,1.50294736,0.42443968,0.01704694,0.79227094
-5.83191596,2.52055900,0.00958215,0.19177595,0.49279878,1.51468409,0.42082377,0.01611400,0.79160857
-5.82591296,2.52269801,0.00928908,0.18389346,0.48063780,1.52840902,0.41614042,0.01517562,0.79359105
-5.81990995,2.53010012,0.00901627,0.17660507,0.47040258,1.54431361,0.41043996,0.01423988,0.79804524
-5.81390695,2.54270366,0.00876586,0.16996367,0.46195293,1.56252580,0.40378389,0.01331465,0.80478115
-5.80790395,2.56034773,0.00854027,0.16400088,0.45513578,1.58310126,0.39624301,0.01240745,0.81359190
-5.80190095,2.58276728,0.00834211,0.15872753,0.44978771,1.60601660,0.38789567,0.01152524,0.82425307
-5.79589795,2.60959034,0.00817416,0.15413481,0.44573730,1.63116488,0.37882605,0.01067429,0.83652160
-5.78989495,2.64033787,0.00803922,0.15019608,0.44280732,1.65835389,0.36912264,0.00986009,0.85013465
-5.78389195,2.67442670,0.00794003,0.14686910,0.44081687,1.68730736,0.35887685,0.00908722,0.86480883
-5.77788894,2.71117600,0.00787914,0.14409872,0.43958340,1.71766939,0.34818181,0.00835932,0.88023998
-5.77188594,2.74981745,0.00785884,0.14181970,0.43892472,1.74901191,0.33713126,0.00767908,0.89610410
-5.76588294,2.78950903,0.00788098,0.13995977,0.43866104,1.78084540,0.32581867,0.00704827,0.91205942
-5.75987994,2.82935255,0.00794692,0.13844258,0.43861711,1.81263229,0.31433646,0.00646773,0.92774993
-5.75387694,2.86841437,0.00805745,0.13719053,0.43862433,1.84380287,0.30277540,0.00593746,0.94281045
-5.74787394,2.90574894,0.00821270,0.13612746,0.43852303,1.87377315,0.29122401,0.00545672,0.95687311
-5.74187094,2.94042427,0.00841213,0.13518089,0.43816477,1.90196389,0.27976826,0.00502407,0.96957523
-5.73586793,2.97154866,0.00865455,0.13428407,0.43741473,1.92782020,0.26849121,0.00463753,0.98056810
-5.72986493,2.99829745,0.00893817,0.13337753,0.43615402,1.95083077,0.25747285,0.00429461,0.98952669
-5.72386193,3.01993886,0.00926063,0.13241032,0.43428195,1.97054595,0.24679003,0.00399248,0.99615937
-5.71785893,3.03585767,0.00961920,0.13134086,0.43171820,1.98659379,0.23651643,0.00372803,1.00021760
-5.71185593,3.04557567,0.01001085,0.13013746,0.42840461,1.99869318,0.22672264,0.00349801,1.00150472
-5.70585293,3.04876784,0.01043248,0.12877856,0.42430673,2.00666362,0.21747624,0.00329908,0.99988364
-5.69984992,3.04527347,0.01088106,0.12725268,0.41941486,2.01043082,0.20884191,0.00312792,0.99528269
-5.69384692,3.03510141,0.01135386,0.12555826,0.41374456,2.01002808,0.20088146,0.00298130,0.98769943
-5.68784392,3.01842927,0.01184862,0.12370332,0.40733649,2.00559302,0.19365376,0.00285617,0.97720211
-5.68184092,2.99559634,0.01236367,0.12170498,0.40025563,1.99736009,0.18721457,0.00274968,0.96392856
-5.67583792,2.96709045,0.01289809,0.11958904,0.39258964,1.98564893,0.18161611,0.00265928,0.94808245
-5.66983492,2.93352940,0.01345177,0.11738935,0.38444665,1.97084937,0.17690639,0.00258273,0.92992723
