energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-5.70585293,3.76576180,1.61774928,1.56485484,0.02560414,0.26326304,0.06940768,0.15001746,1.82758798
-5.69984992,3.80017034,1.59604974,1.57981834,0.02616948,0.26365359,0.06855569,0.15200879,1.84783529
-5.69384692,3.81642071,1.57109463,1.58654388,0.02659881,0.26302317,0.06737857,0.15322251,1.85910840
-5.68784392,3.81362298,1.54250735,1.58475759,0.02688331,0.26131372,0.06589378,0.15361887,1.86092574
-5.68184092,3.79126801,1.50996389,1.57435651,0.02701733,0.25848914,0.06412590,0.15317486,1.85299455
-5.67583792,3.74925533,1.47321624,1.55541527,0.02699870,0.25453769,0.06210618,0.15188528,1.83522572
-5.66983492,3.68790780,1.43211227,1.52818735,0.02682887,0.24947360,0.05987182,0.14976335,1.80774196
-5.66383192,3.60797186,1.38661077,1.49310052,0.02651292,0.24333770,0.05746509,0.14684068,1.77087870
-5.65782891,3.51060300,1.33679084,1.45074667,0.02605948,0.23619709,0.05493226,0.14316654,1.72517764
-5.65182591,3.39733672,1.28285532,1.40186633,0.02548047,0.22814373,0.05232245,0.13880660,1.67137281
-5.64582291,3.27004618,1.22512801,1.34732826,0.02479080,0.21929211,0.04968627,0.13384107,1.61037002
-5.63981991,3.13088802,1.16404509,1.28810506,0.02400785,0.20977600,0.04707454,0.12836236,1.54322024
-5.63381691,2.98223875,1.10014150,1.22524560,0.02315093,0.19974454,0.04453691,0.12247230,1.47108812
-5.62781391,2.82662430,1.03403290,1.15984543,0.02224068,0.18935766,0.04212056,0.11627913,1.39521705
-5.62181091,2.66664560,0.96639467,1.09301613,0.02129840,0.17878124,0.03986900,0.10989432,1.31689213
-5.61580790,2.50490321,0.89793884,1.02585492,0.02034531,0.16818204,0.03782089,0.10342925,1.23740257
-5.60980490,2.34392402,0.82939054,0.95941550,0.01940196,0.15772269,0.03600914,0.09699215,1.15800502
-5.60380190,2.18609264,0.76146483,0.89468116,0.01848752,0.14755700,0.03446007,0.09068508,1.07988933
-5.59779890,2.03359013,0.69484525,0.83254105,0.01761921,0.13782561,0.03319285,0.08460129,1.00414780
-5.59179590,1.88834195,0.63016498,0.77377029,0.01681186,0.12865227,0.03221911,0.07882295,0.93174910
-5.58579290,1.75197673,0.56799116,0.71901455,0.01607741,0.12014083,0.03154277,0.07341932,0.86351766
-5.57978989,1.62579700,0.50881306,0.66877928,0.01542473,0.11237299,0.03116013,0.06844544,0.80011888
-5.57378689,1.51076226,0.45303426,0.62342395,0.01485937,0.10540692,0.03106020,0.06394132,0.74205071
-5.56778389,1.40748454,0.40096880,0.58316113,0.01438357,0.09927676,0.03122521,0.05993163,0.68964131
-5.56178089,1.31623586,0.35284127,0.54806030,0.01399632,0.09399287,0.03163137,0.05642594,0.64305281
-5.55577789,1.23696687,0.30879036,0.51805596,0.01369354,0.08954302,0.03224985,0.05341942,0.60229055
-5.54977489,1.16933535,0.26887552,0.49295971,0.01346844,0.08589418,0.03304793,0.05089389,0.56721720
-5.54377189,1.11274306,0.23308599,0.47247556,0.01331185,0.08299500,0.03399030,0.04881934,0.53757115
-5.53776888,1.06637939,0.20135180,0.45621799,0.01321271,0.08077881,0.03504049,0.04715563,0.51298810
-5.53176588,1.02926984,0.17355595,0.44373198,0.01315859,0.07916701,0.03616244,0.04585452,0.49302505
-5.52576288,1.00032754,0.14954723,0.43451426,0.01313627,0.07807276,0.03732201,0.04486174,0.47718579
-5.51975988,0.97840589,0.12915309,0.42803510,0.01313223,0.07740478,0.03848864,0.04411916,0.46494682
-5.51375688,0.96235056,0.11219211,0.42375997,0.01313330,0.07707120,0.03963679,0.04356699,0.45578285
-5.50775388,0.95104907,0.09848562,0.42117016,0.01312710,0.07698330,0.04074744,0.04314582,0.44919111
-5.50175088,0.94347642,0.08786807,0.41978203,0.01310256,0.07705897,0.04180929,0.04279855,0.44471352
-5.49574787,0.93873539,0.08019604,0.41916408,0.01305032,0.07722593,0.04281987,0.04247218,0.44195629
-5.48974487,0.93609033,0.07535548,0.41895136,0.01296303,0.07742442,0.04378623,0.04211921,0.44060609
-5.48374187,0.93499351,0.07326726,0.41885696,0.01283565,0.07760944,0.04472550,0.04169891,0.44044256
-5.47773887,0.93510328,0.07389082,0.41868005,0.01266553,0.07775247,0.04566498,0.04117815,0.44134675
-5.47173587,0.93629381,0.07722595,0.41831052,0.01245251,0.07784246,0.04664184,0.04053203,0.44330530
-5.46573287,0.93865605,0.08331276,0.41772985,0.01219889,0.07788632,0.04770256,0.03974406,0.44641026
