energy_ev,total_up,Ga_p_up,Ga_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,7.18950681,0.02849897,0.00000000,1.94305063,3.86909892,0.74480232,2.32747966
-5.99399700,6.99974816,0.02792487,0.00000000,1.87714230,3.77110551,0.72776798,2.27746763
-5.98799400,6.79084951,0.02735271,0.00000000,1.80625889,3.66240432,0.70816358,2.22090185
-5.98199100,6.56589137,0.02676107,0.00000000,1.73154180,3.54480833,0.68628456,2.15873264
-5.97598799,6.32801211,0.02613426,0.00000000,1.65411573,3.42012814,0.66244305,2.09191470
-5.96998499,6.08032478,0.02546216,0.00000000,1.57505944,3.29012648,0.63696069,2.02138224
-5.96398199,5.82584257,0.02474014,0.00000000,1.49538035,3.15647815,0.61016158,1.94802718
-5.95797899,5.56741519,0.02396874,0.00000000,1.41599410,3.02073679,0.58236562,1.87268077
-5.95197599,5.30767804,0.02315341,0.00000000,1.33770925,2.88430931,0.55388254,1.79609949
-5.94597299,5.04901521,0.02230413,0.00000000,1.26121778,2.74843831,0.52500651,1.71895533
-5.93996998,4.79353656,0.02143504,0.00000000,1.18709098,2.61419259,0.49601177,1.64183055
-5.93396698,4.54306858,0.02056414,0.00000000,1.11578070,2.48246540,0.46714904,1.56521674
-5.92796398,4.29915782,0.01971291,0.00000000,1.04762519,2.35397952,0.43864292,1.48951775
-5.92196098,4.06308554,0.01890601,0.00000000,0.98285900,2.22929840,0.41069037,1.41505604
-5.91595798,3.83589133,0.01817104,0.00000000,0.92162590,2.10884187,0.38345991,1.34208165
-5.90995498,3.61840366,0.01753833,0.00000000,0.86399393,1.99290528,0.35709189,1.27078310
-5.90395198,3.41127473,0.01704073,0.00000000,0.80997166,1.88168055,0.33169943,1.20129936
-5.89794897,3.21501743,0.01671350,0.00000000,0.75952464,1.77527790,0.30737003,1.13373221
-5.89194597,3.03004202,0.01659415,0.00000000,0.71259115,1.67374695,0.28416781,1.06815812
-5.88594297,2.85669052,0.01672235,0.00000000,0.66909667,1.57709634,0.26213608,1.00463923
-5.87993997,2.69526720,0.01713972,0.00000000,0.62896625,1.48531084,0.24130022,0.94323277
-5.87393697,2.54606379,0.01788966,0.00000000,0.59213456,1.39836567,0.22167076,0.88399869
-5.86793397,2.40937858,0.01901697,0.00000000,0.55855320,1.31623753,0.20324638,0.82700527
-5.86193097,2.28552888,0.02056746,0.00000000,0.52819527,1.23891249,0.18601694,0.77233270
-5.85592796,2.17485690,0.02258735,0.00000000,0.50105719,1.16639079,0.16996622,0.72007476
-5.84992496,2.07772919,0.02512252,0.00000000,0.47715805,1.09868897,0.15507441,0.67033873
-5.84392196,1.99453037,0.02821753,0.00000000,0.45653667,1.03583986,0.14132034,0.62324390
-5.83791896,1.92565185,0.03191453,0.00000000,0.43924686,0.97789086,0.12868324,0.57891909
-5.83191596,1.87147670,0.03625189,0.00000000,0.42535120,0.92490121,0.11714413,0.53749937
-5.82591296,1.83236153,0.04126274,0.00000000,0.41491391,0.87693880,0.10668682,0.49912254
-5.81990995,1.80861667,0.04697331,0.00000000,0.40799317,0.83407681,0.09729847,0.46392559
-5.81390695,1.80048573,0.05340130,0.00000000,0.40463331,0.79639077,0.08896976,0.43204138
-5.80790395,1.80812539,0.06055409,0.00000000,0.40485745,0.76395606,0.08169469,0.40359580
-5.80190095,1.83158649,0.06842715,0.00000000,0.40866062,0.73684614,0.07547009,0.37870545
-5.79589795,1.87079712,0.07700248,0.00000000,0.41600399,0.71513124,0.07029473,0.35747585
-5.78989495,1.92554824,0.08624735,0.00000000,0.42681022,0.69887752,0.06616829,0.34000019
-5.78389195,1.99548246,0.09611333,0.00000000,0.44096015,0.68814642,0.06309003,0.32635839
-5.77788894,2.08008613,0.10653572,0.00000000,0.45829096,0.68299374,0.06105732,0.31661638
-5.77188594,2.17868494,0.11743345,0.00000000,0.47859589,0.68346832,0.06006405,0.31082531
-5.76588294,2.29044315,0.12870952,0.00000000,0.50162539,0.68960989,0.06009896,0.30902066
-5.75987994,2.41436620,0.14025194,0.00000000,0.52708970,0.70144576,0.06114397,0.31122082
-5.75387694,2.54930668,0.15193535,0.00000000,0.55466282,0.71898632,0.06317257,0.31742528
-5.74787394,2.69397333,0.16362304,0.00000000,0.58398757,0.74221911,0.06614827,0.32761205
-5.74187094,2.84694273,0.17516959,0.00000000,0.61468167,0.77110166,0.07002328,0.34173461
-5.73586793,3.00667344,0.18642392,0.00000000,0.64634461,0.80555319,0.07473745,0.35971814
