energy_ev,total_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,1.28164507,0.53230847,0.54674610,0.00240127,0.50625940,0.23169432,0.00000000
-5.99399700,1.31575641,0.56089646,0.55991139,0.00260228,0.52651132,0.23410966,0.00000000
-5.98799400,1.35522810,0.59391381,0.57418028,0.00286567,0.54989603,0.23655185,0.00000000
-5.98199100,1.40033774,0.63152851,0.58971185,0.00319184,0.57651348,0.23909637,0.00000000
-5.97598799,1.45135383,0.67386378,0.60667461,0.00358074,0.60644662,0.24182643,0.00000000
-5.96998499,1.50851247,0.72098537,0.62523668,0.00403178,0.63975054,0.24482953,0.00000000
-5.96398199,1.57199249,0.77288923,0.64555497,0.00454368,0.67644131,0.24819380,0.00000000
-5.95797899,1.64189029,0.82949051,0.66776407,0.00511441,0.71648500,0.25200400,0.00000000
-5.95197599,1.71819600,0.89061429,0.69196530,0.00574099,0.75978762,0.25633770,0.00000000
-5.94597299,1.80077228,0.95598902,0.71821667,0.00641950,0.80618670,0.26126151,0.00000000
-5.93996998,1.88933737,1.02524295,0.74652410,0.00714496,0.85544513,0.26682770,0.00000000
-5.93396698,1.98345333,1.09790423,0.77683458,0.00791135,0.90724773,0.27307138,0.00000000
-5.92796398,2.08252055,1.17340465,0.80903159,0.00871161,0.96120102,0.28000823,0.00000000
-5.92196098,2.18577920,1.25108741,0.84293306,0.00953770,1.01683635,0.28763298,0.00000000
-5.91595798,2.29231767,1.33021847,0.87829217,0.01038074,1.07361660,0.29591863,0.00000000
-5.90995498,2.40108816,1.41000143,0.91480082,0.01123119,1.13094612,0.30481646,0.00000000
-5.90395198,2.51092865,1.48959517,0.95209589,0.01207901,1.18818379,0.31425682,0.00000000
-5.89794897,2.62059068,1.56813381,0.98976789,0.01291397,1.24465862,0.32415052,0.00000000
-5.89194597,2.72877171,1.64474803,1.02737171,0.01372588,1.29968737,0.33439093,0.00000000
-5.88594297,2.83415064,1.71858698,1.06443908,0.01450497,1.35259337,0.34485655,0.00000000
-5.87993997,2.93542521,1.78883988,1.10049218,0.01524214,1.40272583,0.35541396,0.00000000
-5.87393697,3.03134955,1.85475635,1.13505779,0.01592932,1.44947884,0.36592108,0.00000000
-5.86793397,3.12077034,1.91566480,1.16768157,0.01655978,1.49230913,0.37623059,0.00000000
-5.86193097,3.20266031,1.97098804,1.19794174,0.01712835,1.53075203,0.38619343,0.00000000
-5.85592796,3.27614747,2.02025566,1.22546182,0.01763173,1.56443482,0.39566224,0.00000000
-5.84992496,3.34053925,2.06311269,1.24992173,0.01806860,1.59308703,0.40449472,0.00000000
-5.84392196,3.39534053,2.09932441,1.27106715,0.01843977,1.61654724,0.41255679,0.00000000
-5.83791896,3.44026512,2.12877717,1.28871654,0.01874821,1.63476618,0.41972553,0.00000000
-5.83191596,3.47524017,2.15147546,1.30276581,0.01899903,1.64780605,0.42589180,0.00000000
-5.82591296,3.50040378,2.16753537,1.31319037,0.01919935,1.65583617,0.43096258,0.00000000
-5.81990995,3.51609570,2.17717506,1.32004464,0.01935810,1.65912508,0.43486289,0.00000000
-5.81390695,3.52284192,2.18070246,1.32345888,0.01948582,1.65802955,0.43753736,0.00000000
-5.80790395,3.52133345,2.17850110,1.32363373,0.01959425,1.65298097,0.43895127,0.00000000
-5.80190095,3.51240033,2.17101443,1.32083238,0.01969602,1.64446952,0.43909121,0.00000000
-5.79589795,3.49698179,2.15872937,1.31537089,0.01980419,1.63302688,0.43796521,0.00000000
-5.78989495,3.47609343,2.14215976,1.30760678,0.01993183,1.61920804,0.43560232,0.00000000
-5.78389195,3.45079270,2.12183009,1.29792651,0.02009152,1.60357280,0.43205167,0.00000000
-5.77788894,3.42214372,2.09826022,1.28673199,0.02029491,1.58666774,0.42738107,0.00000000
-5.77188594,3.39118258,2.07195146,1.27442690,0.02055233,1.56900905,0.42167501,0.00000000
-5.76588294,3.35888432,2.04337435,1.26140308,0.02087229,1.55106699,0.41503231,0.00000000
-5.75987994,3.32613256,2.01295849,1.24802753,0.02126125,1.53325236,0.40756330,0.00000000
-5.75387694,3.29369291,1.98108462,1.23463057,0.02172325,1.51590533,0.39938675,0.00000000
-5.74787394,3.26219105,1.94807912,1.22149558,0.02225979,1.49928719,0.39062665,0.00000000
-5.74187094,3.23209628,1.91421095,1.20885069,0.02286968,1.48357509,0.38140885,0.00000000
-5.73586793,3.20371107,1.87969099,1.19686279,0.02354904,1.46885994,0.37185785,0.00000000
-5.72986493,3.17716732,1.84467381,1.18563424,0.02429142,1.45514759,0.36209378,0.00000000
-5.72386193,3.15242919,1.80926154,1.17520221,0.02508798,1.44236317,0.35222969,0.00000000
-5.71785893,3.12930278,1.77350981,1.16554093,0.02592778,1.43035844,0.34236936,0.00000000
-5.71185593,3.10745220,1.73743522,1.15656666,0.02679816,1.41892183,0.33260559,0.00000000
-5.70585293,3.08642145,1.70102420,1.14814522,0.02768520,1.40779081,0.32301913,0.00000000
-5.69984992,3.06566135,1.66424274,1.14010171,0.02857421,1.39666608,0.31367825,0.00000000
-5.69384692,3.04456040,1.62704660,1.13223215,0.02945029,1.38522705,0.30463894,0.00000000
-5.68784392,3.02247823,1.58939148,1.12431625,0.03029890,1.37314794,0.29594564,0.00000000
-5.68184092,2.99878024,1.55124279,1.11613100,0.03110635,1.36011384,0.28763258,0.00000000
-5.67583792,2.97287190,1.51258447,1.10746420,0.03186037,1.34583607,0.27972544,0.00000000
-5.66983492,2.94423106,1.47342651,1.09812744,0.03255054,1.33006620,0.27224332,0.00000000
-5.66383192,2.91243694,1.43381085,1.08796787,0.03316863,1.31260811,0.26520088,0.00000000
-5.65782891,2.87719428,1.39381536,1.07687807,0.03370896,1.29332753,0.25861048,0.00000000
-5.65182591,2.83835167,1.35355569,1.06480379,0.03416846,1.27215877,0.25248421,0.00000000
-5.64582291,2.79591309,1.31318509,1.05174893,0.03454681,1.24910821,0.24683573,0.00000000
-5.63981991,2.75004239,1.27289201,1.03777777,0.03484636,1.22425462,0.24168171,0.00000000
-5.63381691,2.70106032,1.23289581,1.02301425,0.03507193,1.19774612,0.23704303,0.00000000
-5.62781391,2.64943455,1.19344083,1.00763836,0.03523056,1.16979422,0.23294544,0.00000000
-5.62181091,2.59576327,1.15478903,0.99188007,0.03533117,1.14066509,0.22941985,0.00000000
-5.61580790,2.54075319,1.11721177,0.97601085,0.03538412,1.11066866,0.22650224,0.00000000
-5.60980490,2.48519328,1.08098104,0.96033353,0.03540078,1.08014605,0.22423316,0.00000000
-5.60380190,2.42992554,1.04636071,0.94517086,0.03539301,1.04945606,0.22265689,0.00000000
-5.59779890,2.37581427,1.01359820,0.93085337,0.03537277,1.01896133,0.22182037,0.00000000
-5.59179590,2.32371532,0.98291693,0.91770720,0.03535160,0.98901493,0.22177191,0.00000000
-5.58579290,2.27444676,0.95451000,0.90604234,0.03534029,0.95994790,0.22255972,0.00000000
-5.57978989,2.22876213,0.92853530,0.89614183,0.03534852,0.93205841,0.22423033,0.00000000
-5.57378689,2.18732732,0.90511213,0.88825229,0.03538458,0.90560287,0.22682696,0.00000000
