energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,8.20428583,0.02799451,1.02800423,1.81312566,0.41314460,2.90532657,1.30921825,0.11170787,3.60537662
-5.99399700,8.47160482,0.02897193,1.06234580,1.88530215,0.42678188,3.01184979,1.36169335,0.11565119,3.71811949
-5.98799400,8.70710209,0.02983593,1.09260651,1.94976977,0.43878410,3.10734307,1.40968650,0.11926498,3.81630332
-5.98199100,8.90788704,0.03057570,1.11843366,2.00552343,0.44900350,3.19057427,1.45264912,0.12252067,3.89864651
-5.97598799,9.07157321,0.03118255,1.13954225,2.05168917,0.45731838,3.26048017,1.49010483,0.12539469,3.96409899
-5.96998499,9.19632522,0.03165014,1.15572030,2.08754483,0.46363564,3.31618878,1.52165872,0.12786878,4.01186425
-5.96398199,9.28089317,0.03197449,1.16683236,2.11253731,0.46789274,3.35703722,1.54700456,0.12993024,4.04141585
-5.95797899,9.32463382,0.03215408,1.17282084,2.12629568,0.47005885,3.38258476,1.56592984,0.13157205,4.05250803
-5.95197599,9.32751792,0.03218970,1.17370535,2.12863983,0.47013522,3.39262046,1.57831836,0.13279297,4.04518000
-5.94597299,9.29012409,0.03208441,1.16958011,2.11958427,0.46815485,3.38716548,1.58415065,0.13359760,4.01975415
-5.93996998,9.21361995,0.03184328,1.16060956,2.09933715,0.46418139,3.36646995,1.58350222,0.13399632,3.97682821
-5.93396698,9.09973185,0.03147319,1.14702267,2.06829449,0.45830746,3.33100478,1.57653989,0.13400533,3.91726199
-5.92796398,8.95070478,0.03098252,1.12910597,2.02703009,0.45065240,3.28144894,1.56351669,0.13364659,3.84215918
-5.92196098,8.76925450,0.03038088,1.10719596,1.97628138,0.44135959,3.21867273,1.54476544,0.13294787,3.75284519
-5.91595798,8.55851379,0.02967879,1.08167110,1.91693190,0.43059355,3.14371782,1.52069168,0.13194273,3.65084170
-5.90995498,8.32197492,0.02888735,1.05294370,1.84999104,0.41853675,3.05777484,1.49176596,0.13067055,3.53783880
-5.90395198,8.06342997,0.02801803,1.02145218,1.77657170,0.40538648,2.96215929,1.45851618,0.12917657,3.41566568
-5.89794897,7.78691073,0.02708235,0.98765368,1.69786661,0.39135164,2.85828646,1.42151983,0.12751184,3.28626034
-5.89194597,7.49662901,0.02609174,0.95201742,1.61512407,0.37664968,2.74764608,1.38139655,0.12573318,3.15163914
-5.88594297,7.19691835,0.02505733,0.91501870,1.52962361,0.36150369,2.63177719,1.33880087,0.12390297,3.01386645
-5.87993997,6.89217717,0.02398986,0.87713364,1.44265228,0.34613957,2.51224374,1.29441519,0.12208881,2.87502486
-5.87393697,6.58681347,0.02289958,0.83883446,1.35548199,0.33078344,2.39061112,1.24894274,0.12036299,2.73718590
-5.86793397,6.28519055,0.02179626,0.80058535,1.26934835,0.31565907,2.26842382,1.20310052,0.11880168,2.60238153
-5.86193097,5.99157330,0.02068912,0.76283858,1.18543123,0.30098541,2.14718446,1.15761171,0.11748382,2.47257610
-5.85592796,5.71007437,0.01958690,0.72603072,1.10483731,0.28697418,2.02833398,1.11319764,0.11648978,2.34963888
-5.84992496,5.44459972,0.01849782,0.69057881,1.02858468,0.27382732,1.91323309,1.07056890,0.11589958,2.23531711
-5.84392196,5.19879321,0.01742966,0.65687632,0.95758962,0.26173449,1.80314499,1.03041555,0.11579090,2.13120934
-5.83791896,4.97598027,0.01638973,0.62528875,0.89265538,0.25087037,1.69921916,0.99339633,0.11623673,2.03873948
-5.83191596,4.77911100,0.01538491,0.59614890,0.83446315,0.24139193,1.60247642,0.96012708,0.11730285,1.95913154
-5.82591296,4.61070362,0.01442158,0.56975172,0.78356491,0.23343560,1.51379523,0.93116834,0.11904516,1.89338565
-5.81990995,4.47278958,0.01350562,0.54634905,0.74037821,0.22711444,1.43389948,0.90701258,0.12150694,1.84225579
-5.81390695,4.36686207,0.01264237,0.52614415,0.70518282,0.22251538,1.36334787,0.88807142,0.12471621,1.80623009
-5.80790395,4.29383018,0.01183650,0.50928646,0.67811911,0.21969663,1.30252531,0.87466333,0.12868335,1.78551440
-5.80190095,4.25398087,0.01109195,0.49586677,0.65918829,0.21868544,1.25163664,0.86700239,0.13339893,1.78002017
