energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,7.95636208,0.02439183,1.02658222,7.24622037,4.10943749,0.68557180,0.13097714,2.01815928,0.00000000
-5.99399700,7.53101680,0.02333649,0.96543470,6.92056134,3.88247770,0.65858141,0.12379981,1.91120411,0.00000000
-5.98799400,7.11136199,0.02225688,0.90694972,6.59569122,3.65775034,0.63092432,0.11680922,1.80582488,0.00000000
-5.98199100,6.70171355,0.02116216,0.85159112,6.27533956,3.43742435,0.60296018,0.11008364,1.70326754,0.00000000
-5.97598799,6.30603101,0.02006138,0.79974933,5.96288082,3.22352993,0.57505272,0.10369187,1.60466252,0.00000000
-5.96998499,5.92786421,0.01896334,0.75173623,5.66127081,3.01793223,0.54756654,0.09769240,1.51101197,0.00000000
-5.96398199,5.57031353,0.01787659,0.70778200,5.37300046,2.82230988,0.52086390,0.09213276,1.42318175,0.00000000
-5.95797899,5.23600365,0.01680934,0.66803421,5.10006795,2.63813834,0.49530146,0.08704951,1.34189790,0.00000000
-5.95197599,4.92707061,0.01576940,0.63255903,4.84396924,2.46667824,0.47122674,0.08246832,1.26774709,0.00000000
-5.94597299,4.64516101,0.01476415,0.60134452,4.60570623,2.30896846,0.44897444,0.07840462,1.20118045,0.00000000
-5.93996998,4.39144188,0.01380047,0.57430572,4.38581072,2.16582342,0.42886228,0.07486436,1.14251996,0.00000000
-5.93396698,4.16661926,0.01288464,0.55129134,4.18438179,2.03783406,0.41118659,0.07184503,1.09196675,0.00000000
-5.92796398,3.97096346,0.01202231,0.53209157,4.00113378,1.92537190,0.39621752,0.06933687,1.04961033,0.00000000
-5.92196098,3.80433902,0.01121837,0.51644672,3.83545148,1.82859547,0.38419398,0.06732410,1.01543827,0.00000000
-5.91595798,3.66623716,0.01047691,0.50405636,3.68644939,1.74745845,0.37531847,0.06578615,0.98934558,0.00000000
-5.90995498,3.55580932,0.00980111,0.49458840,3.55303186,1.68171914,0.36975198,0.06469895,0.97114340,0.00000000
-5.90395198,3.47190038,0.00919321,0.48768802,3.43395118,1.63095069,0.36760903,0.06403602,0.96056672,0.00000000
-5.89794897,3.41308073,0.00865440,0.48298603,3.32786127,1.59455211,0.36895339,0.06376953,0.95728100,0.00000000
-5.89194597,3.37767675,0.00818480,0.48010662,3.23336518,1.57175982,0.37379434,0.06387120,0.96088787,0.00000000
