energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Li_s_up,Li_s_down,S_s_up,S_s_down,S_p_up,S_p_down
4.79339670,1.63207877,-0.57016070,0.03650206,-0.02605162,0.08387600,-0.03462748,0.40832318,-0.11731263,0.02194186,-0.02938082,1.31766294,-0.18895052,0.05457112,-0.01458695,0.26279111,-0.04394571
4.79939970,1.61045569,-0.59939652,0.03696908,-0.02697135,0.08424341,-0.03654002,0.40174343,-0.12336930,0.02176574,-0.03120606,1.30617003,-0.19984092,0.05231244,-0.01518937,0.26074163,-0.04684257
4.80540270,1.58798917,-0.62676180,0.03747265,-0.02774203,0.08442317,-0.03831724,0.39543430,-0.12912242,0.02158110,-0.03295754,1.29391082,-0.21045956,0.05008986,-0.01574432,0.25823028,-0.04968840
4.81140570,1.56500066,-0.65192179,0.03801024,-0.02834845,0.08442977,-0.03993358,0.38945174,-0.13450785,0.02139168,-0.03461069,1.28107175,-0.22079417,0.04792432,-0.01624612,0.25531744,-0.05245887
4.81740870,1.54173570,-0.67461421,0.03857576,-0.02877950,0.08427672,-0.04136666,0.38382221,-0.13947753,0.02119999,-0.03614303,1.26778562,-0.23086655,0.04583267,-0.01669181,0.25205880,-0.05513444
4.82341171,1.51835477,-0.69466193,0.03915952,-0.02902861,0.08397564,-0.04259819,0.37854202,-0.14400183,0.02100717,-0.03753494,1.25412447,-0.24073632,0.04382744,-0.01708140,0.24850292,-0.05770158
4.82941471,1.49492812,-0.71198335,0.03974839,-0.02909403,0.08353553,-0.04361477,0.37357779,-0.14807161,0.02081298,-0.03877047,1.24009536,-0.25050357,0.04191690,-0.01741804,0.24468917,-0.06015401
4.83541771,1.47143478,-0.72659992,0.04032612,-0.02897906,0.08296220,-0.04440856,0.36886819,-0.15169940,0.02061578,-0.03983797,1.22563921,-0.26031014,0.04010510,-0.01770809,0.24064636,-0.06249366
4.84142071,1.44776605,-0.73864054,0.04087378,-0.02869196,0.08225806,-0.04497788,0.36432671,-0.15492010,0.02041265,-0.04073073,1.21063329,-0.27033935,0.03839221,-0.01796109,0.23639194,-0.06473148
4.84742371,1.42373364,-0.74834219,0.04137043,-0.02824582,0.08142206,-0.04532749,0.35984572,-0.15779064,0.02019949,-0.04144736,1.19489720,-0.28081411,0.03677488,-0.01818959,0.23193201,-0.06688804
