energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.89083268,0.01688738,0.22682974,1.17244507,0.33480221,2.01064823,1.26526417,0.00574830,0.97531641
-5.99399700,2.95455586,0.01648774,0.23515871,1.18160415,0.34297414,2.04382997,1.31213509,0.00551017,0.98249435
-5.98799400,3.02166904,0.01609633,0.24388312,1.19050881,0.35215413,2.07611120,1.36133770,0.00534206,0.98972413
-5.98199100,3.09175705,0.01571381,0.25290235,1.19936184,0.36222732,2.10737515,1.41249507,0.00524056,0.99708767
-5.97598799,3.16437408,0.01534099,0.26211373,1.20840373,0.37305719,2.13758499,1.46518077,0.00520183,1.00469107
-5.96998499,3.23903289,0.01497873,0.27141384,1.21789855,0.38448691,2.16677118,1.51891895,0.00522173,1.01265466
-5.96398199,3.31519770,0.01462790,0.28070012,1.22811949,0.39634175,2.19501792,1.57318773,0.00529583,1.02110299
-5.95797899,3.39228179,0.01428923,0.28987274,1.23933462,0.40843244,2.22244950,1.62742580,0.00541947,1.03015525
-5.95197599,3.46965019,0.01396336,0.29883678,1.25179360,0.42055943,2.24921723,1.68104240,0.00558786,1.03991654
-5.94597299,3.54662747,0.01365073,0.30750448,1.26571567,0.43251792,2.27548721,1.73343033,0.00579612,1.05047059
-5.93996998,3.62251037,0.01335159,0.31579749,1.28127951,0.44410334,2.30142949,1.78398132,0.00603934,1.06187395
-5.93396698,3.69658420,0.01306602,0.32364899,1.29861502,0.45511715,2.32720845,1.83210322,0.00631266,1.07415186
-5.92796398,3.76814197,0.01279392,0.33100553,1.31779723,0.46537262,2.35297443,1.87723782,0.00661135,1.08729589
-5.92196098,3.83650475,0.01253506,0.33782835,1.33884226,0.47470028,2.37885646,1.91887852,0.00693085,1.10126313
-5.91595798,3.90104166,0.01228908,0.34409410,1.36170531,0.48295275,2.40495572,1.95658653,0.00726685,1.11597680
-5.90995498,3.96118792,0.01205557,0.34979493,1.38628035,0.49000879,2.43133953,1.99000471,0.00761535,1.13132800
-5.90395198,4.01645944,0.01183405,0.35493765,1.41240135,0.49577616,2.45803552,2.01886809,0.00797270,1.14717831
-5.89794897,4.06646278,0.01162405,0.35954229,1.43984483,0.50019334,2.48502594,2.04301023,0.00833562,1.16336295
-5.89194597,4.11089957,0.01142507,0.36363973,1.46833336,0.50322995,2.51224187,2.06236511,0.00870119,1.17969416
-5.88594297,4.14956498,0.01123664,0.36726877,1.49753993,0.50488576,2.53955766,2.07696418,0.00906690,1.19596461
-5.87993997,4.18234029,0.01105826,0.37047267,1.52709303,0.50518858,2.56678556,2.08692877,0.00943053,1.21195075
-5.87393697,4.20918007,0.01088945,0.37329538,1.55658223,0.50419089,2.59367129,2.09245822,0.00979017,1.22741577
-5.86793397,4.23009507,0.01072968,0.37577768,1.58556449,0.50196577,2.61989073,2.09381454,0.01014409,1.24211250
-5.86193097,4.24513202,0.01057837,0.37795351,1.61357103,0.49860197,2.64504859,2.09130444,0.01049068,1.25578599
-5.85592796,4.25435220,0.01043484,0.37984665,1.64011491,0.49419878,2.66867949,2.08525990,0.01082834,1.26817614
-5.84992496,4.25781049,0.01029831,0.38146811,1.66469949,0.48886082,2.69025219,2.07601866,0.01115539,1.27902045
-5.84392196,4.25553672,0.01016788,0.38281437,1.68682773,0.48269299,2.70917735,2.06390563,0.01146996,1.28805709
-5.83791896,4.24752122,0.01004248,0.38386654,1.70601251,0.47579612,2.72481906,2.04921673,0.01176991,1.29502848
-5.83191596,4.23370570,0.00992090,0.38459069,1.72178777,0.46826320,2.73651050,2.03220596,0.01205277,1.29968564
-5.82591296,4.21398088,0.00980180,0.38493924,1.73372052,0.46017675,2.74357316,2.01307658,0.01231569,1.30179317
-5.81990995,4.18819110,0.00968372,0.38485343,1.74142339,0.45160707,2.74533953,1.99197708,0.01255547,1.30113515
-5.81390695,4.15614621,0.00956510,0.38426672,1.74456736,0.44261176,2.74117831,1.96900193,0.01276854,1.29752167
-5.80790395,4.11764009,0.00944440,0.38310892,1.74289430,0.43323627,2.73052124,1.94419711,0.01295108,1.29079594
-5.80190095,4.07247473,0.00932007,0.38131084,1.73622867,0.42351542,2.71289033,1.91756998,0.01309909,1.28084167
-5.79589795,4.02048852,0.00919069,0.37880919,1.72448796,0.41347579,2.68792416,1.88910267,0.01320853,1.26759029
-5.78989495,3.96158664,0.00905500,0.37555136,1.70769097,0.40313874,2.65540187,1.85876807,0.01327550,1.25102783
-5.78389195,3.89577169,0.00891199,0.37149991,1.68596362,0.39252378,2.61526333,1.82654724,0.01329640,1.23120072
-5.77788894,3.82317221,0.00876099,0.36663630,1.65954149,0.38165214,2.56762434,1.79244699,0.01326815,1.20822030
-5.77188594,3.74406715,0.00860167,0.36096390,1.62876889,0.37055015,2.51278577,1.75651642,0.01318832,1.18226552
-5.76588294,3.65890426,0.00843416,0.35450973,1.59409397,0.35925229,2.45123569,1.71886134,0.01305539,1.15358361
-5.75987994,3.56831113,0.00825902,0.34732519,1.55605995,0.34780360,2.38364423,1.67965542,0.01286882,1.12248828
-5.75387694,3.47309760,0.00807728,0.33948544,1.51529250,0.33626148,2.31085086,1.63914763,0.01262921,1.08935558
-5.74787394,3.37424936,0.00789045,0.33108756,1.47248364,0.32469649,2.23384464,1.59766518,0.01233841,1.05461729
-5.74187094,3.27291262,0.00770045,0.32224771,1.42837265,0.31319235,2.15373791,1.55561210,0.01199950,1.01875208
-5.73586793,3.17037077,0.00750959,0.31309720,1.38372481,0.30184504,2.07173461,1.51346346,0.01161683,0.98227470
-5.72986493,3.06801400,0.00732050,0.30377793,1.33930879,0.29076106,1.98909459,1.47175571,0.01119593,0.94572367
-5.72386193,2.96730367,0.00713605,0.29443735,1.29587365,0.28005502,1.90709535,1.43107384,0.01074345,0.90964803
-5.71785893,2.86973336,0.00695924,0.28522319,1.25412661,0.26984666,1.82699314,1.39203622,0.01026698,0.87459364
-5.71185593,2.77678866,0.00679313,0.27627836,1.21471238,0.26025759,1.74998491,1.35527802,0.00977492,0.84108975
-5.70585293,2.68990775,0.00664071,0.26773616,1.17819523,0.25140776,1.67717299,1.32143435,0.00927623,0.80963636
-5.69984992,2.61044493,0.00650481,0.25971612,1.14504444,0.24341203,1.60953398,1.29112396,0.00878028,0.78069302
-5.69384692,2.53963863,0.00638802,0.25232064,1.11562378,0.23637701,1.54789312,1.26493443,0.00829655,0.75466938
-5.68784392,2.47858537,0.00629258,0.24563256,1.09018545,0.23039814,1.49290506,1.24340948,0.00783448,0.73191797
-5.68184092,2.42822056,0.00622033,0.23971380,1.06886866,0.22555737,1.44504195,1.22703896,0.00740322,0.71272930
-5.67583792,2.38930647,0.00617265,0.23460494,1.05170264,0.22192133,1.40458871,1.21625164,0.00701143,0.69732944
-5.66983492,2.36242745,0.00615042,0.23032592,1.03861385,0.21954016,1.37164586,1.21141101,0.00666710,0.68587985
