energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Y_p_up,Y_d_up
-6.00000000,1.61030473,0.00102394,0.15703067,0.04548774,0.82614405,0.24740446,0.39285656,0.20621992,0.14979644
-5.99399700,1.56138009,0.00099752,0.16538537,0.04234900,0.78622813,0.23339118,0.38113813,0.21129591,0.15992970
-5.98799400,1.52360634,0.00098857,0.17745988,0.03947933,0.74904557,0.22061245,0.36968607,0.21985246,0.17397935
-5.98199100,1.49869637,0.00099741,0.19364655,0.03691619,0.71524338,0.20922524,0.35885470,0.23229903,0.19236908
-5.97598799,1.48839927,0.00102448,0.21435912,0.03469312,0.68546214,0.19938460,0.34901276,0.24906279,0.21554385
-5.96998499,1.49445825,0.00107034,0.24002287,0.03283947,0.66032078,0.19123946,0.34053287,0.27057811,0.24395933
-5.96398199,1.51856188,0.00113560,0.27106200,0.03138011,0.64040036,0.18492811,0.33378011,0.29727342,0.27806877
-5.95797899,1.56228983,0.00122091,0.30788466,0.03033513,0.62622734,0.18057365,0.32910023,0.32955586,0.31830718
-5.95197599,1.62705439,0.00132685,0.35086576,0.02971958,0.61825666,0.17827939,0.32680771,0.36779378,0.36507336
-5.94597299,1.71403921,0.00145392,0.40032814,0.02954313,0.61685520,0.17812426,0.32717421,0.41229778,0.41871011
-5.93996998,1.82413754,0.00160244,0.45652256,0.02980972,0.62228608,0.18015848,0.33041786,0.46330084,0.47948319
-5.93396698,1.95789186,0.00177254,0.51960733,0.03051729,0.63469438,0.18439957,0.33669353,0.52093822,0.54755995
-5.92796398,2.11543764,0.00196402,0.58962845,0.03165738,0.65409493,0.19082885,0.34608477,0.58522816,0.62298833
-5.92196098,2.29645377,0.00217639,0.66650111,0.03321495,0.68036255,0.19938870,0.35859751,0.65605403,0.70567737
-5.91595798,2.50012224,0.00240876,0.74999358,0.03516808,0.71322558,0.20998053,0.37415584,0.73314930,0.79538014
-5.90995498,2.72509976,0.00265985,0.83971456,0.03748793,0.75226292,0.22246387,0.39260020,0.81608591,0.89168032
-5.90395198,2.96950363,0.00292793,0.93510476,0.04013876,0.79690512,0.23665656,0.41368801,0.90426729,0.99398325
-5.89794897,3.23091385,0.00321086,1.03543379,0.04307810,0.84643986,0.25233614,0.43709687,0.99692665,1.10151245
-5.89194597,3.50639284,0.00350604,1.13980272,0.04625720,0.90002188,0.26924268,0.46243034,1.09313123,1.21331241
-5.88594297,3.79252372,0.00381050,1.24715308,0.04962155,0.95668748,0.28708282,0.48922621,1.19179293,1.32825789
-5.87993997,4.08546697,0.00412089,1.35628220,0.05311175,1.01537324,0.30553515,0.51696702,1.29168539,1.44507015
-5.87393697,4.38103476,0.00443353,1.46586487,0.05666449,1.07493880,0.32425683,0.54509269,1.39146747,1.56233984
-5.86793397,4.67478109,0.00474453,1.57448083,0.06021378,1.13419294,0.34289121,0.57301476,1.48971238,1.67855612
-5.86193097,4.96210527,0.00504981,1.68064727,0.06369233,1.19192236,0.36107631,0.60013187,1.58494187,1.79214112
-5.85592796,5.23836521,0.00534520,1.78285534,0.06703305,1.24692211,0.37845376,0.62584598,1.67566417,1.90148865
-5.84992496,5.49899656,0.00562654,1.87960909,0.07017062,1.29802678,0.39467809,0.64957876,1.76041432,2.00500561
-5.84392196,5.73963321,0.00588978,1.96946563,0.07304308,1.34414118,0.40942580,0.67078758,1.83779529,2.10115465
-5.83791896,5.95622425,0.00613106,2.05107452,0.07559344,1.38426953,0.42240400,0.68898054,1.90651829,2.18849610
-5.83191596,6.14514290,0.00634681,2.12321499,0.07777105,1.41754195,0.43335827,0.70372990,1.96544029,2.26572760
