energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-2.36818409,4.55074722,0.31935665,1.01936177,0.00869523,0.01962643,0.52785698,3.51608565,0.00886244,0.27012354
-2.36218109,4.42669646,0.30888361,0.99341694,0.00843337,0.01952061,0.51397330,3.41448545,0.00884818,0.26462868
-2.35617809,4.30047656,0.29824023,0.96593797,0.00813296,0.01938649,0.49923692,3.31312663,0.00883559,0.25853060
-2.35017509,4.17402162,0.28754430,0.93711919,0.00779891,0.01923318,0.48388912,3.21372329,0.00882679,0.25195090
-2.34417209,4.04927767,0.27691321,0.90722130,0.00743661,0.01907142,0.46817658,3.11792385,0.00882388,0.24501738
-2.33816908,3.92813809,0.26646015,0.87656253,0.00705181,0.01891337,0.45234264,3.02725648,0.00882881,0.23786005
-2.33216608,3.81238180,0.25629066,0.84550800,0.00665040,0.01877229,0.43661876,2.94307948,0.00884329,0.23060710
-2.32616308,3.70361674,0.24649943,0.81445786,0.00623830,0.01866227,0.42121663,2.86653842,0.00886865,0.22338098
-2.32016008,3.60323088,0.23716778,0.78383456,0.00582130,0.01859792,0.40632113,2.79853167,0.00890578,0.21629492
-2.31415708,3.51235241,0.22836158,0.75406992,0.00540492,0.01859404,0.39208468,2.73968561,0.00895502,0.20944979
-2.30815408,3.43182052,0.22012983,0.72559227,0.00499427,0.01866530,0.37862297,2.69034011,0.00901614,0.20293155
-2.30215108,3.36216771,0.21250389,0.69881424,0.00459401,0.01882585,0.36601237,2.65054494,0.00908829,0.19680938
-2.29614807,3.30361380,0.20549743,0.67412138,0.00420822,0.01908907,0.35428916,2.62006670,0.00917001,0.19113455
-2.29014507,3.25607159,0.19910690,0.65186204,0.00384034,0.01946714,0.34345045,2.59840596,0.00925927,0.18593992
-2.28414207,3.21916345,0.19331272,0.63233866,0.00349318,0.01997075,0.33345677,2.58482362,0.00935353,0.18124025
-2.27813907,3.19224764,0.18808093,0.61580054,0.00316890,0.02060871,0.32423624,2.57837512,0.00944981,0.17703315
-2.27213607,3.17445298,0.18336533,0.60243832,0.00286902,0.02138767,0.31568998,2.57795093,0.00954482,0.17330067
-2.26613307,3.16471979,0.17910995,0.59238003,0.00259444,0.02231170,0.30769850,2.58232152,0.00963510,0.17001129
-2.26013007,3.16184535,0.17525176,0.58568880,0.00234551,0.02338207,0.30012881,2.59018471,0.00971713,0.16712241
-2.25412706,3.16453141,0.17172359,0.58236214,0.00212211,0.02459689,0.29284177,2.60021351,0.00978752,0.16458297
-2.24812406,3.17143194,0.16845693,0.58233270,0.00192365,0.02595091,0.28569943,2.61110227,0.00984311,0.16233630
-2.24212106,3.18119882,0.16538474,0.58547042,0.00174921,0.02743529,0.27857198,2.62160943,0.00988118,0.16032279
-2.23611806,3.19252387,0.16244395,0.59158602,0.00159760,0.02903750,0.27134392,2.63059524,0.00989949,0.15848256
-2.23011506,3.20417561,0.15957773,0.60043574,0.00146737,0.03074128,0.26391933,2.63705290,0.00989646,0.15675776
-2.22411206,3.21502981,0.15673731,0.61172713,0.00135696,0.03252668,0.25622594,2.64013254,0.00987118,0.15509458
-2.21810905,3.22409280,0.15388329,0.62512603,0.00126470,0.03437029,0.24821782,2.63915706,0.00982351,0.15344486
-2.21210605,3.23051763,0.15098662,0.64026432,0.00118886,0.03624550,0.23987678,2.63363001,0.00975400,0.15176722
-2.20610305,3.23361290,0.14802887,0.65674858,0.00112772,0.03812298,0.23121237,2.62323555,0.00966397,0.15002783
-2.20010005,3.23284478,0.14500215,0.67416940,0.00107957,0.03997120,0.22226060,2.60783122,0.00955534,0.14820068
-2.19409705,3.22783314,0.14190848,0.69211111,0.00104275,0.04175720,0.21308155,2.58743445,0.00943061,0.14626750
-2.18809405,3.21834249,0.13875880,0.71016173,0.00101566,0.04344729,0.20375601,2.56220395,0.00929272,0.14421740
-2.18209105,3.20426919,0.13557163,0.72792290,0.00099677,0.04500804,0.19438143,2.53241741,0.00914486,0.14204616
-2.17608804,3.18562578,0.13237142,0.74501946,0.00098461,0.04640717,0.18506739,2.49844688,0.00899040,0.13975549
-2.17008504,3.16252382,0.12918682,0.76110828,0.00097782,0.04761450,0.17593082,2.46073336,0.00883267,0.13735201
-2.16408204,3.13515618,0.12604886,0.77588609,0.00097509,0.04860296,0.16709134,2.41976178,0.00867482,0.13484636
-2.15807904,3.10377976,0.12298907,0.78909597,0.00097523,0.04934942,0.15866674,2.37603775,0.00851968,0.13225221
-2.15207604,3.06869935,0.12003782,0.80053214,0.00097709,0.04983554,0.15076893,2.33006699,0.00836967,0.12958545
-2.14607304,3.03025320,0.11722279,0.81004284,0.00097964,0.05004837,0.14350050,2.28233812,0.00822662,0.12686342
-2.14007004,2.98880068,0.11456768,0.81753125,0.00098194,0.04998086,0.13695190,2.23330949,0.00809177,0.12410432
-2.13406703,2.94471222,0.11209121,0.82295420,0.00098314,0.04963218,0.13119942,2.18340012,0.00796571,0.12132674
-2.12806403,2.89836160,0.10980648,0.82631888,0.00098251,0.04900775,0.12630387,2.13298481,0.00784837,0.11854933
-2.12206103,2.85012055,0.10772061,0.82767775,0.00097943,0.04811915,0.12231007,2.08239333,0.00773905,0.11579063
-2.11605803,2.80035549,0.10583475,0.82712177,0.00097338,0.04698376,0.11924690,2.03191306,0.00763650,0.11306898
-2.11005503,2.74942623,0.10414440,0.82477249,0.00096400,0.04562421,0.11712802,1.98179482,0.00753897,0.11040250
-2.10405203,2.69768644,0.10264000,0.82077345,0.00095105,0.04406769,0.11595311,1.93226103,0.00744439,0.10780920
-2.09804902,2.64548571,0.10130779,0.81528129,0.00093442,0.04234508,0.11570935,1.88351575,0.00735044,0.10530703
-2.09204602,2.59317272,0.10013080,0.80845726,0.00091413,0.04049004,0.11637328,1.83575569,0.00725472,0.10291399
-2.08604302,2.54109965,0.09909008,0.80045944,0.00089033,0.03853795,0.11791275,1.78918158,0.00715491,0.10064828
-2.08004002,2.48962713,0.09816586,0.79143633,0.00086329,0.03652495,0.12028886,1.74400930,0.00704892,0.09852828
-2.07403702,2.43912977,0.09733888,0.78152191,0.00083339,0.03448691,0.12345790,1.70048010,0.00693503,0.09657271
-2.06803402,2.39000182,0.09659151,0.77083267,0.00080109,0.03245854,0.12737311,1.65886929,0.00681200,0.09480050
-2.06203102,2.34266251,0.09590889,0.75946642,0.00076695,0.03047254,0.13198621,1.61949321,0.00667921,0.09323087
-2.05602801,2.29756087,0.09527983,0.74750316,0.00073156,0.02855891,0.13724873,1.58271384,0.00653675,0.09188315
-2.05002501,2.25517954,0.09469755,0.73500751,0.00069557,0.02674436,0.14311296,1.54894099,0.00638543,0.09077669
-2.04402201,2.21603715,0.09416015,0.72203265,0.00065963,0.02505192,0.14953272,1.51863187,0.00622689,0.08993072
-2.03801901,2.18068891,0.09367091,0.70862530,0.00062442,0.02350067,0.15646370,1.49228799,0.00606353,0.08936411
-2.03201601,2.14972523,0.09323820,0.69483123,0.00059057,0.02210559,0.16386364,1.47044944,0.00589854,0.08909515
-2.02601301,2.12376789,0.09287530,0.68070085,0.00055870,0.02087759,0.17169216,1.45368677,0.00573578,0.08914133
-2.02001001,2.10346376,0.09259983,0.66629454,0.00052935,0.01982359,0.17991038,1.44259066,0.00557978,0.08951906
