energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.03839607,0.00594164,0.12799223,0.35804293,0.67504444,0.03005801,0.56830443,0.63850283,0.18512154
-5.99399700,1.94339386,0.00554632,0.12592494,0.33784093,0.64626752,0.02856621,0.53644167,0.61422942,0.17396738
-5.98799400,1.84766429,0.00516738,0.12353681,0.31813787,0.61686480,0.02703662,0.50492484,0.58988100,0.16286899
-5.98199100,1.75204087,0.00480926,0.12084775,0.29907085,0.58713895,0.02548840,0.47400717,0.56552807,0.15192786
-5.97598799,1.65739052,0.00447647,0.11789145,0.28078050,0.55740062,0.02394039,0.44394996,0.54126768,0.14124189
-5.96998499,1.56460690,0.00417355,0.11471563,0.26341075,0.52796585,0.02241087,0.41502005,0.51722583,0.13090419
-5.96398199,1.47460357,0.00390508,0.11138190,0.24710869,0.49915367,0.02091730,0.38748726,0.49355877,0.12100208
-5.95797899,1.38830701,0.00367567,0.10796501,0.23202423,0.47128376,0.01947618,0.36162182,0.47045327,0.11161637
-5.95197599,1.30664919,0.00348995,0.10455172,0.21830956,0.44467423,0.01810286,0.33769196,0.44812556,0.10282082
-5.94597299,1.23055951,0.00335257,0.10123915,0.20611843,0.41963925,0.01681150,0.31596141,0.42681900,0.09468190
-5.93996998,1.16095595,0.00326812,0.09813269,0.19560496,0.39648650,0.01561497,0.29668697,0.40680054,0.08725863
-5.93396698,1.09873508,0.00324115,0.09534355,0.18692217,0.37551444,0.01452480,0.28011586,0.38835575,0.08060254
-5.92796398,1.04476078,0.00327610,0.09298599,0.18021992,0.35700914,0.01355117,0.26648301,0.37178275,0.07475774
-5.92196098,0.99985154,0.00337718,0.09117420,0.17564235,0.34124082,0.01270287,0.25600792,0.35738494,0.06976100
-5.91595798,0.96476634,0.00354831,0.09001906,0.17332473,0.32846006,0.01198728,0.24889128,0.34546276,0.06564168
-5.90995498,0.94018913,0.00379300,0.08962478,0.17338983,0.31889370,0.01141033,0.24531108,0.33630471,0.06242177
-5.90395198,0.92671218,0.00411416,0.09008540,0.17594371,0.31274050,0.01097645,0.24541839,0.33017771,0.06011561
-5.89794897,0.92481869,0.00451400,0.09148147,0.18107117,0.31016683,0.01068853,0.24933271,0.32731720,0.05872971
-5.89194597,0.93486512,0.00499380,0.09387684,0.18883088,0.31130236,0.01054783,0.25713701,0.32791733,0.05826223
-5.88594297,0.95706396,0.00555377,0.09731563,0.19925047,0.31623614,0.01055389,0.26887275,0.33212131,0.05870258
-5.87993997,0.99146761,0.00619283,0.10181963,0.21232166,0.32501312,0.01070448,0.28453482,0.34001263,0.06003076
-5.87393697,1.03795429,0.00690845,0.10738615,0.22799586,0.33763137,0.01099552,0.30406691,0.35160719,0.06221689
-5.86793397,1.09621674,0.00769654,0.11398640,0.24618029,0.35404025,0.01142102,0.32735743,0.36684694,0.06522058
-5.86193097,1.16575473,0.00855129,0.12156452,0.26673503,0.37413955,0.01197303,0.35423639,0.38559522,0.06899061
-5.85592796,1.24587200,0.00946514,0.13003735,0.28947125,0.39777990,0.01264168,0.38447343,0.40763422,0.07346464
