energy_ev,total_up,As_p_up,As_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,0.50189699,0.14561169,0.00000000,0.33051857,0.08619787,0.01513010,0.10189232
-5.99399700,0.52546248,0.14802543,0.00000000,0.34428293,0.09079812,0.01671870,0.10983618
-5.98799400,0.55192813,0.15040796,0.00000000,0.35880039,0.09609102,0.01871687,0.11888667
-5.98199100,0.58148313,0.15279780,0.00000000,0.37422141,0.10210862,0.02112572,0.12909629
-5.97598799,0.61431190,0.15524541,0.00000000,0.39070309,0.10888033,0.02394273,0.14050739
-5.96998499,0.65057460,0.15780918,0.00000000,0.40839759,0.11642924,0.02716085,0.15314712
-5.96398199,0.69038623,0.16055094,0.00000000,0.42743974,0.12476829,0.03076736,0.16702234
-5.95797899,0.73379581,0.16353120,0.00000000,0.44793464,0.13389642,0.03474294,0.18211467
-5.95197599,0.78076659,0.16680433,0.00000000,0.46994577,0.14379495,0.03906078,0.19837595
-5.94597299,0.83115862,0.17041400,0.00000000,0.49348433,0.15442445,0.04368592,0.21572464
-5.93996998,0.88471490,0.17438911,0.00000000,0.51850058,0.16572230,0.04857481,0.23404309
-5.93396698,0.94105226,0.17874050,0.00000000,0.54487761,0.17760111,0.05367528,0.25317630
-5.92796398,0.99965778,0.18345857,0.00000000,0.57242822,0.18994826,0.05892676,0.27293217
-5.92196098,1.05989162,0.18851205,0.00000000,0.60089520,0.20262668,0.06426105,0.29308341
-5.91595798,1.12099649,0.19384801,0.00000000,0.62995533,0.21547683,0.06960337,0.31337126
-5.90995498,1.18211392,0.19939321,0.00000000,0.65922694,0.22832003,0.07487396,0.33351097
-5.90395198,1.24230705,0.20505663,0.00000000,0.68828121,0.24096306,0.07998997,0.35319886
-5.89794897,1.30058920,0.21073329,0.00000000,0.71665645,0.25320380,0.08486775,0.37212083
-5.89194597,1.35595730,0.21630910,0.00000000,0.74387527,0.26483784,0.08942534,0.38996202
