energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.33442888,0.01854676,0.03940983,0.43294346,0.15373735,0.00347748,0.92188462,0.52354078,0.13988448
-5.99399700,1.29469067,0.01801642,0.03847163,0.41875636,0.14904193,0.00333789,0.89328752,0.50147726,0.13629436
-5.98799400,1.24987743,0.01739647,0.03736256,0.40288683,0.14378808,0.00319852,0.86129229,0.47801729,0.13217613
-5.98199100,1.20046427,0.01669970,0.03609553,0.38552611,0.13803035,0.00305788,0.82623946,0.45341291,0.12756790
-5.97598799,1.14704050,0.01594039,0.03468733,0.36689666,0.13183563,0.00291511,0.78854403,0.42793469,0.12252410
-5.96998499,1.09029591,0.01513396,0.03315827,0.34724641,0.12528180,0.00276998,0.74868608,0.40186672,0.11711420
-5.96398199,1.03100419,0.01429666,0.03153174,0.32684246,0.11845601,0.00262283,0.70719957,0.37550127,0.11142104
-5.95797899,0.97000438,0.01344524,0.02983365,0.30596433,0.11145272,0.00247447,0.66466000,0.34913335,0.10553879
-5.95197599,0.90818123,0.01259664,0.02809183,0.28489724,0.10437173,0.00232615,0.62167140,0.32305554,0.09957073
-5.94597299,0.84644532,0.01176769,0.02633541,0.26392554,0.09731596,0.00217945,0.57885319,0.29755307,0.09362694
-5.93996998,0.78571383,0.01097487,0.02459417,0.24332660,0.09038951,0.00203620,0.53682764,0.27289952,0.08782185
-5.93396698,0.72689261,0.01023402,0.02289792,0.22336546,0.08369564,0.00189842,0.49620821,0.24935318,0.08227201
-5.92796398,0.67086015,0.00956018,0.02127591,0.20429026,0.07733513,0.00176818,0.45758927,0.22715426,0.07709385
-5.92196098,0.61845402,0.00896740,0.01975636,0.18632858,0.07140474,0.00164762,0.42153746,0.20652289,0.07240170
-5.91595798,0.57045979,0.00846854,0.01836596,0.16968488,0.06599606,0.00153878,0.38858480,0.18765807,0.06830601
-5.90995498,0.52760273,0.00807522,0.01712952,0.15453882,0.06119458,0.00144364,0.35922362,0.17073738,0.06491171
-5.90395198,0.49054204,0.00779760,0.01606968,0.14104452,0.05707911,0.00136399,0.33390322,0.15591752,0.06231692
