energy_ev,total_up,total_down,Ga_p_up,Ga_p_down,Ga_d_up,Ga_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
3.58079040,0.82276667,-0.82276665,0.33825392,-0.33825391,0.00000000,-0.00000000,0.40202116,-0.40202115,0.22860554,-0.22860553,0.01942653,-0.01942653,0.29521734,-0.29521733
3.58679340,0.79517628,-0.79517626,0.33295420,-0.33295420,0.00000000,-0.00000000,0.38529399,-0.38529397,0.21952730,-0.21952729,0.01899083,-0.01899083,0.28420695,-0.28420694
3.59279640,0.77191356,-0.77191354,0.32955258,-0.32955258,0.00000000,-0.00000000,0.37064674,-0.37064673,0.21169026,-0.21169025,0.01861852,-0.01861852,0.27432608,-0.27432607
3.59879940,0.75231899,-0.75231898,0.32779464,-0.32779464,0.00000000,-0.00000000,0.35774820,-0.35774819,0.20490660,-0.20490659,0.01828963,-0.01828963,0.26535237,-0.26535237
3.60480240,0.73572430,-0.73572429,0.32741710,-0.32741710,0.00000000,-0.00000000,0.34626548,-0.34626548,0.19898603,-0.19898602,0.01798547,-0.01798547,0.25706371,-0.25706371
3.61080540,0.72147411,-0.72147410,0.32815303,-0.32815303,0.00000000,-0.00000000,0.33587673,-0.33587672,0.19374255,-0.19374255,0.01768908,-0.01768908,0.24924762,-0.24924761
3.61680840,0.70894563,-0.70894562,0.32973694,-0.32973694,0.00000000,-0.00000000,0.32628238,-0.32628237,0.18900050,-0.18900049,0.01738559,-0.01738559,0.24170964,-0.24170964
3.62281141,0.69756590,-0.69756589,0.33190968,-0.33190968,0.00000000,-0.00000000,0.31721483,-0.31721483,0.18459971,-0.18459970,0.01706249,-0.01706249,0.23428054,-0.23428054
3.62881441,0.68682601,-0.68682600,0.33442298,-0.33442298,0.00000000,-0.00000000,0.30844633,-0.30844633,0.18039973,-0.18039973,0.01670980,-0.01670980,0.22682190,-0.22682190
3.63481741,0.67629240,-0.67629239,0.33704366,-0.33704366,0.00000000,-0.00000000,0.29979482,-0.29979481,0.17628303,-0.17628302,0.01632019,-0.01632019,0.21923026,-0.21923025
3.64082041,0.66561494,-0.66561493,0.33955739,-0.33955739,0.00000000,-0.00000000,0.29112790,-0.29112789,0.17215710,-0.17215710,0.01588895,-0.01588895,0.21143959,-0.21143959
3.64682341,0.65453216,-0.65453215,0.34177202,-0.34177202,0.00000000,-0.00000000,0.28236498,-0.28236497,0.16795572,-0.16795572,0.01541393,-0.01541393,0.20342236,-0.20342235
3.65282641,0.64287367,-0.64287366,0.34352056,-0.34352056,0.00000000,-0.00000000,0.27347769,-0.27347768,0.16363920,-0.16363920,0.01489539,-0.01489539,0.19518904,-0.19518903
3.65882941,0.63056031,-0.63056030,0.34466375,-0.34466375,0.00000000,-0.00000000,0.26448890,-0.26448889,0.15919392,-0.15919392,0.01433574,-0.01433574,0.18678654,-0.18678653
3.66483242,0.61760223,-0.61760222,0.34509227,-0.34509227,0.00000000,-0.00000000,0.25547050,-0.25547049,0.15463127,-0.15463126,0.01373932,-0.01373932,0.17829557,-0.17829556
3.67083542,0.60409545,-0.60409543,0.34472860,-0.34472860,0.00000000,-0.00000000,0.24654027,-0.24654026,0.14998595,-0.14998595,0.01311205,-0.01311205,0.16982720,-0.16982719
3.67683842,0.59021708,-0.59021706,0.34352857,-0.34352857,0.00000000,-0.00000000,0.23785806,-0.23785805,0.14531410,-0.14531410,0.01246117,-0.01246117,0.16151895,-0.16151894
3.68284142,0.57621972,-0.57621970,0.34148245,-0.34148245,0.00000000,-0.00000000,0.22962147,-0.22962147,0.14069097,-0.14069097,0.01179486,-0.01179485,0.15353043,-0.15353042
3.68884442,0.56242505,-0.56242504,0.33861563,-0.33861563,0.00000000,-0.00000000,0.22206129,-0.22206128,0.13620856,-0.13620856,0.01112195,-0.01112195,0.14603892,-0.14603892
3.69484742,0.54921688,-0.54921686,0.33498875,-0.33498874,0.00000000,-0.00000000,0.21543665,-0.21543664,0.13197311,-0.13197311,0.01045166,-0.01045166,0.13923492,-0.13923491
3.70085043,0.53703357,-0.53703356,0.33069720,-0.33069720,0.00000000,-0.00000000,0.21003012,-0.21003011,0.12810255,-0.12810254,0.00979330,-0.00979329,0.13331767,-0.13331767
3.70685343,0.52635996,-0.52635995,0.32586995,-0.32586995,0.00000000,-0.00000000,0.20614262,-0.20614261,0.12472385,-0.12472384,0.00915606,-0.00915606,0.12849097,-0.12849097
