energy_ev,total_up,Ir_p_up,Ir_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,5.75593811,0.85169693,2.90210395,1.05803150,0.00696343,2.29511352,0.00000000
-5.99399700,5.67809078,0.84549270,2.86577483,1.02343804,0.00691806,2.26107137,0.00000000
-5.98799400,5.59967053,0.84135659,2.82845324,0.98906812,0.00686333,2.22604098,0.00000000
-5.98199100,5.52196816,0.83956016,2.79084086,0.95535494,0.00679946,2.19029805,0.00000000
-5.97598799,5.44631474,0.84035916,2.75367088,0.92272619,0.00672703,2.15413713,0.00000000
-5.96998499,5.37407506,0.84399106,2.71770422,0.89159701,0.00664693,2.11788229,0.00000000
-5.96398199,5.30663559,0.85067196,2.68372270,0.86236284,0.00656034,2.08189455,0.00000000
-5.95797899,5.24538575,0.86059263,2.65251864,0.83539201,0.00646874,2.04657518,0.00000000
-5.95197599,5.19169232,0.87391380,2.62488076,0.81101827,0.00637377,2.01236418,0.00000000
-5.94597299,5.14686716,0.89076048,2.60157650,0.78953346,0.00627726,1.97973349,0.00000000
-5.93996998,5.11212900,0.91121555,2.58333120,0.77118033,0.00618109,1.94917516,0.00000000
-5.93396698,5.08856088,0.93531290,2.57080482,0.75614586,0.00608711,1.92118491,0.00000000
-5.92796398,5.07706501,0.96303026,2.56456730,0.74455530,0.00599710,1.89624198,0.00000000
-5.92196098,5.07831736,0.99428231,2.56507360,0.73646723,0.00591263,1.87478640,0.00000000
-5.91595798,5.09272480,1.02891446,2.57263989,0.73186977,0.00583503,1.85719514,0.00000000
-5.90995498,5.12038709,1.06669774,2.58742223,0.73067852,0.00576529,1.84375859,0.00000000
-5.90395198,5.16106670,1.10732541,2.60939906,0.73273612,0.00570403,1.83465900,0.00000000
-5.89794897,5.21416854,1.15041158,2.63835887,0.73781389,0.00565149,1.82995220,0.00000000
-5.89194597,5.27873176,1.19549238,2.67389405,0.74561559,0.00560747,1.82955403,0.00000000
-5.88594297,5.35343492,1.24202990,2.71540169,0.75578338,0.00557139,1.83323231,0.00000000
-5.87993997,5.43661537,1.28941898,2.76209186,0.76790595,0.00554228,1.84060528,0.00000000
-5.87393697,5.52630296,1.33699705,2.81300351,0.78152864,0.00551888,1.85114654,0.00000000
-5.86793397,5.62026731,1.38405672,2.86702763,0.79616540,0.00549966,1.86419678,0.00000000
-5.86193097,5.71607733,1.42986096,2.92293708,0.81131218,0.00548294,1.87898155,0.00000000
-5.85592796,5.81117083,1.47366034,2.97942201,0.82646136,0.00546695,1.89463465,0.00000000
-5.84992496,5.90293162,1.51471185,3.03512965,0.84111659,0.00544995,1.91022578,0.00000000
-5.84392196,5.98877087,1.55229859,3.08870658,0.85480775,0.00543030,1.92479144,0.00000000
-5.83791896,6.06620932,1.58574952,3.13884204,0.86710499,0.00540656,1.93736751,0.00000000
-5.83191596,6.13295675,1.61445861,3.18430998,0.87763173,0.00537755,1.94702213,0.00000000
-5.82591296,6.18698515,1.63790244,3.22400833,0.88607564,0.00534242,1.95288726,0.00000000
-5.81990995,6.22659220,1.65565555,3.25699332,0.89219732,0.00530070,1.95418773,0.00000000
-5.81390695,6.25045235,1.66740285,3.28250758,0.89583621,0.00525229,1.95026638,0.00000000
-5.80790395,6.25765292,1.67294853,3.30000041,0.89691342,0.00519747,1.94060438,0.00000000
-5.80190095,6.24771390,1.67222102,3.30913960,0.89543130,0.00513688,1.92483591,0.00000000
-5.79589795,6.22059046,1.66527369,3.30981399,0.89146987,0.00507149,1.90275678,0.00000000
-5.78989495,6.17665832,1.65228151,3.30212699,0.88518018,0.00500251,1.87432689,0.00000000
-5.78389195,6.11668309,1.63353343,3.28638144,0.87677500,0.00493134,1.83966645,0.00000000
-5.77788894,6.04177513,1.60942119,3.26305671,0.86651732,0.00485951,1.79904672,0.00000000
-5.77188594,5.95333279,1.58042497,3.23277949,0.85470726,0.00478854,1.75287559,0.00000000
-5.76588294,5.85297700,1.54709652,3.19628991,0.84166818,0.00471994,1.70167917,0.00000000
