energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,2.70932509,0.22413916,0.00842509,1.84345024,1.10629192,1.11884513,0.00000000
-5.99399700,2.66716646,0.22806973,0.00801696,1.76228110,1.10416532,1.13499828,0.00000000
-5.98799400,2.63056938,0.23225613,0.00763049,1.68732234,1.10348822,1.15265545,0.00000000
-5.98199100,2.59880571,0.23654554,0.00726808,1.61850657,1.10383390,1.17107843,0.00000000
-5.97598799,2.57089616,0.24077271,0.00693108,1.55555702,1.10467753,1.18945869,0.00000000
-5.96998499,2.54566938,0.24476669,0.00661986,1.49801981,1.10542249,1.20694991,0.00000000
-5.96398199,2.52183009,0.24835808,0.00633398,1.44530250,1.10543018,1.22270341,0.00000000
-5.95797899,2.49803277,0.25138648,0.00607232,1.39671707,1.10405213,1.23590475,0.00000000
-5.95197599,2.47295730,0.25370780,0.00583329,1.35152500,1.10066261,1.24580984,0.00000000
-5.94597299,2.44538272,0.25520120,0.00561502,1.30898227,1.09469030,1.25177894,0.00000000
-5.93996998,2.41425567,0.25577518,0.00541560,1.26838222,1.08564734,1.25330691,0.00000000
-5.93396698,2.37875009,0.25537260,0.00523323,1.22909415,1.07315454,1.25004823,0.00000000
-5.92796398,2.33831549,0.25397442,0.00506640,1.19059622,1.05696150,1.24183563,0.00000000
-5.92196098,2.29271176,0.25160195,0.00491408,1.15250119,1.03696080,1.22869143,0.00000000
-5.91595798,2.24202883,0.24831747,0.00477577,1.11457418,1.01319577,1.21083098,0.00000000
-5.90995498,2.18669086,0.24422324,0.00465164,1.07674186,0.98586159,1.18865805,0.00000000
-5.90395198,2.12744480,0.23945892,0.00454254,1.03909328,0.95529981,1.16275243,0.00000000
-5.89794897,2.06533427,0.23419751,0.00444998,1.00187228,0.92198684,1.13385013,0.00000000
-5.89194597,2.00166026,0.22863995,0.00437610,0.96546262,0.88651699,1.10281728,0.00000000
-5.88594297,1.93793062,0.22300871,0.00432358,0.93036647,0.84958104,1.07061864,0.00000000
-5.87993997,1.87580075,0.21754050,0.00429552,0.89717770,0.81194140,1.03828223,0.00000000
-5.87393697,1.81700819,0.21247847,0.00429530,0.86655121,0.77440502,1.00686153,0.00000000
-5.86793397,1.76330409,0.20806419,0.00432638,0.83916987,0.73779518,0.97739673,0.00000000
-5.86193097,1.71638404,0.20452970,0.00439215,0.81571047,0.70292346,0.95087660,0.00000000
-5.85592796,1.67782139,0.20208985,0.00449568,0.79681009,0.67056266,0.92820252,0.00000000
-5.84992496,1.64900514,0.20093524,0.00463960,0.78303428,0.64142195,0.91015579,0.00000000
-5.84392196,1.63108482,0.20122596,0.00482584,0.77484814,0.61612468,0.89736958,0.00000000
-5.83791896,1.62492407,0.20308628,0.00505548,0.77259143,0.59518977,0.89030627,0.00000000
