energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,1.91432890,0.57979266,0.82137299,0.03221030,0.17829465,0.39888682,0.01169679,0.82713282
-5.99399700,2.00738180,0.59324797,0.87801068,0.03233024,0.18417962,0.39552148,0.01183660,0.86795238
-5.98799400,2.10377258,0.60714327,0.93732011,0.03228662,0.19029782,0.39065064,0.01197466,0.91044231
-5.98199100,2.20307703,0.62142920,0.99902983,0.03208459,0.19662697,0.38442591,0.01211020,0.95438722
-5.97598799,2.30477008,0.63603825,1.06279874,0.03173162,0.20313046,0.37702004,0.01224230,0.99953052
-5.96998499,2.40821615,0.65088169,1.12821268,0.03123716,0.20975720,0.36862069,0.01236981,1.04556994
-5.96398199,2.51266423,0.66584765,1.19478379,0.03061229,0.21644206,0.35942383,0.01249131,1.09215513
-5.95797899,2.61724853,0.68080032,1.26195276,0.02986930,0.22310704,0.34962694,0.01260510,1.13888775
-5.95197599,2.72099526,0.69558072,1.32909442,0.02902135,0.22966311,0.33942254,0.01270919,1.18532435
-5.94597299,2.82283597,0.71000875,1.39552685,0.02808213,0.23601265,0.32899206,0.01280140,1.23098215
-5.93996998,2.92162733,0.72388682,1.46052379,0.02706549,0.24205246,0.31850052,0.01287941,1.27534773
-5.93396698,3.01617717,0.73700479,1.52333034,0.02598523,0.24767723,0.30809220,0.01294090,1.31788859
-5.92796398,3.10527589,0.74914601,1.58318147,0.02485484,0.25278336,0.29788730,0.01298369,1.35806703
-5.92196098,3.18773244,0.76009446,1.63932280,0.02368739,0.25727292,0.28797993,0.01300588,1.39535612
-5.91595798,3.26241327,0.76964243,1.69103292,0.02249541,0.26105772,0.27843731,0.01300611,1.42925689
-5.90995498,3.32828294,0.77759849,1.73764647,0.02129082,0.26406318,0.26930020,0.01298367,1.45931625
-5.90395198,3.38444456,0.78379545,1.77857707,0.02008495,0.26623199,0.26058446,0.01293876,1.48514463
-5.89794897,3.43017829,0.78809786,1.81333908,0.01888859,0.26752733,0.25228369,0.01287261,1.50643262
-5.89194597,3.46497618,0.79040864,1.84156735,0.01771200,0.26793553,0.24437259,0.01278771,1.52296586
-5.88594297,3.48857174,0.79067462,1.86303403,0.01656500,0.26746812,0.23681102,0.01268789,1.53463728
-5.87993997,3.50096279,0.78889065,1.87766170,0.01545709,0.26616311,0.22954845,0.01257848,1.54145626
-5.87393697,3.50242650,0.78510208,1.88553226,0.01439747,0.26408548,0.22252848,0.01246634,1.54355407
-5.86793397,3.49352575,0.77940550,1.88689099,0.01339513,0.26132687,0.21569341,0.01235989,1.54118541
-5.86193097,3.47510641,0.77194760,1.88214571,0.01245892,0.25800439,0.20898837,0.01226910,1.53472579
-5.85592796,3.44828533,0.76292239,1.87186085,0.01159759,0.25425867,0.20236510,0.01220542,1.52466487
-5.84992496,3.41442945,0.75256658,1.85674663,0.01081975,0.25025102,0.19578499,0.01218161,1.51159602
-5.84392196,3.37512643,0.74115363,1.83764361,0.01013391,0.24615996,0.18922144,0.01221162,1.49620233
-5.83791896,3.33214775,0.72898633,1.81550316,0.00954841,0.24217695,0.18266134,0.01231028,1.47923967
-5.83191596,3.28740532,0.71638859,1.79136427,0.00907135,0.23850167,0.17610576,0.01249307,1.46151732
-5.82591296,3.24290274,0.70369626,1.76632758,0.00871048,0.23533664,0.16956973,0.01277574,1.44387681
-5.81990995,3.20068270,0.69124770,1.74152715,0.00847311,0.23288160,0.16308123,0.01317390,1.42716955
