energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,7.05590783,0.05894545,0.01365394,0.01609311,0.03870459,0.21738708,0.14674832,6.56504652
-5.99399700,6.99091554,0.05911252,0.01506605,0.01492629,0.03936711,0.21545847,0.14666275,6.48951154
-5.98799400,6.94932164,0.05932928,0.01657933,0.01386621,0.04004342,0.21382480,0.14694946,6.43639400
-5.98199100,6.93118073,0.05958729,0.01818761,0.01291280,0.04072069,0.21247789,0.14760853,6.40581248
-5.97598799,6.93590931,0.05987481,0.01988269,0.01206496,0.04138587,0.21139911,0.14862886,6.39728272
-5.96998499,6.96227375,0.06017696,0.02165423,0.01132053,0.04202585,0.21055929,0.14998786,6.40970631
-5.96398199,7.00839775,0.06047600,0.02348981,0.01067628,0.04262759,0.20991911,0.15165159,6.44137769
-5.95797899,7.07179011,0.06075188,0.02537496,0.01012802,0.04317827,0.20942988,0.15357524,6.49001010
-5.95197599,7.14939264,0.06098275,0.02729327,0.00967055,0.04366545,0.20903475,0.15570395,6.55278035
-5.94597299,7.23764737,0.06114574,0.02922653,0.00929780,0.04407722,0.20867027,0.15797404,6.62639172
-5.93996998,7.33258150,0.06121771,0.03115493,0.00900288,0.04440236,0.20826818,0.16031446,6.70715335
-5.93396698,7.42990747,0.06117605,0.03305735,0.00877817,0.04463046,0.20775747,0.16264852,6.79107395
-5.92796398,7.52513533,0.06099948,0.03491162,0.00861547,0.04475210,0.20706651,0.16489583,6.87396694
-5.92196098,7.61369363,0.06066889,0.03669487,0.00850607,0.04475898,0.20612522,0.16697432,6.95156365
-5.91595798,7.69105505,0.06016795,0.03838397,0.00844097,0.04464405,0.20486722,0.16880234,7.01963088
-5.90995498,7.75286226,0.05948380,0.03995589,0.00841096,0.04440165,0.20323176,0.17030082,7.07408886
-5.90395198,7.79505004,0.05860746,0.04138820,0.00840682,0.04402759,0.20116557,0.17139533,7.11112555
-5.89794897,7.81395922,0.05753421,0.04265954,0.00841948,0.04351929,0.19862436,0.17201797,7.12730338
-5.89194597,7.80643878,0.05626374,0.04375009,0.00844017,0.04287580,0.19557407,0.17210920,7.11965486
