energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,5.24978584,0.02567492,0.32240782,1.45723828,2.01715972,1.08469869,0.41584131,0.08566658,2.74305605
-5.99399700,5.24921512,0.02489504,0.32119353,1.44432467,2.02223480,1.10077225,0.41555138,0.08523393,2.74870653
-5.98799400,5.24001408,0.02414448,0.31996919,1.42939161,2.02405801,1.11490111,0.41477518,0.08457346,2.74854868
-5.98199100,5.22165754,0.02342039,0.31872549,1.41243604,2.02242558,1.12685538,0.41341161,0.08368902,2.74221043
-5.97598799,5.19397619,0.02271984,0.31747801,1.39355329,2.01727093,1.13646121,0.41138445,0.08259014,2.72951039
-5.96998499,5.15716463,0.02204006,0.31626644,1.37293484,2.00866826,1.14360590,0.40864514,0.08129180,2.71046452
-5.96398199,5.11177445,0.02137861,0.31515251,1.35086137,1.99683034,1.14824117,0.40517446,0.07981407,2.68528539
-5.95797899,5.05869297,0.02073351,0.31421687,1.32769152,1.98210091,1.15038406,0.40098289,0.07818151,2.65437382
-5.95197599,4.99910852,0.02010340,0.31355484,1.30384697,1.96494164,1.15011581,0.39610992,0.07642246,2.61830370
-5.94597299,4.93446411,0.01948763,0.31327159,1.27979479,1.94591459,1.14757824,0.39062204,0.07456813,2.57780040
-5.93996998,4.86640163,0.01888624,0.31347677,1.25602778,1.92566086,1.14296815,0.38460971,0.07265171,2.53371403
-5.93396698,4.79669930,0.01830005,0.31427894,1.23304407,1.90487643,1.13652967,0.37818334,0.07070731,2.48698864
-5.92796398,4.72720523,0.01773058,0.31578014,1.21132681,1.88428630,1.12854504,0.37146854,0.06876899,2.43862887
-5.92196098,4.65977032,0.01717997,0.31807084,1.19132516,1.86461822,1.11932408,0.36460081,0.06686975,2.38966553
-5.91595798,4.59618352,0.01665092,0.32122556,1.17343728,1.84657727,1.10919301,0.35771990,0.06504064,2.34112163
-5.90995498,4.53811252,0.01614657,0.32529934,1.15799637,1.83082229,1.09848301,0.35096425,0.06330996,2.29398038
-5.90395198,4.48705249,0.01567034,0.33032528,1.14526028,1.81794549,1.08751905,0.34446555,0.06170259,2.24915664
-5.89794897,4.44428523,0.01522585,0.33631335,1.13540506,1.80845604,1.07660970,0.33834388,0.06023950,2.20747281
-5.89194597,4.41085032,0.01481676,0.34325031,1.12852291,1.80276834,1.06603820,0.33270358,0.05893739,2.16964036
-5.88594297,4.38752941,0.01444668,0.35110099,1.12462431,1.80119546,1.05605539,0.32762996,0.05780856,2.13624754
-5.87993997,4.37484403,0.01411902,0.35981071,1.12364436,1.80394794,1.04687473,0.32318717,0.05686090,2.10775348
-5.87393697,4.37306638,0.01383698,0.36930867,1.12545264,1.81113772,1.03866971,0.31941714,0.05609813,2.08448898
-5.86793397,4.38224215,0.01360341,0.37951220,1.12986628,1.82278679,1.03157357,0.31633972,0.05552006,2.06666321
-5.86193097,4.40222346,0.01342083,0.39033157,1.13666525,1.83883990,1.02568149,0.31395390,0.05512313,2.05437594
-5.85592796,4.43270943,0.01329137,0.40167501,1.14560910,1.85918025,1.02105474,0.31224003,0.05490092,2.04763407
-5.84992496,4.47329172,0.01321677,0.41345373,1.15645415,1.88364702,1.01772677,0.31116293,0.05484479,2.04637129
-5.84392196,4.52350154,0.01319835,0.42558645,1.16897019,1.91205343,1.01571045,0.31067555,0.05494451,2.05046943
-5.83791896,4.58285519,0.01323704,0.43800333,1.18295557,1.94420411,1.01500625,0.31072302,0.05518891,2.05977989
-5.83191596,4.65089454,0.01333338,0.45064887,1.19825003,1.97991025,1.01561041,0.31124686,0.05556647,2.07414377
-5.82591296,4.72721982,0.01348747,0.46348358,1.21474423,2.01900157,1.01752286,0.31218895,0.05606586,2.09340913
-5.81990995,4.81151207,0.01369898,0.47648434,1.23238560,2.06133404,1.02075399,0.31349510,0.05667633,2.11744421
-5.81390695,4.90354356,0.01396712,0.48964326,1.25117994,2.10679273,1.02532997,0.31511802,0.05738801,2.14614569
-5.80790395,5.00317518,0.01429057,0.50296520,1.27118875,2.15528943,1.03129610,0.31701943,0.05819211,2.17944123
-5.80190095,5.11034068,0.01466744,0.51646389,1.29252228,2.20675506,1.03871795,0.31917121,0.05908091,2.21728624
-5.79589795,5.22501868,0.01509516,0.53015700,1.31532863,2.26112742,1.04768013,0.32155563,0.06004770,2.25965483
-5.78989495,5.34719403,0.01557049,0.54406043,1.33977962,2.31833499,1.05828276,0.32416449,0.06108652,2.30652584
-5.78389195,5.47681139,0.01608936,0.55818204,1.36605398,2.37827797,1.07063582,0.32699749,0.06219189,2.35786465
-5.77788894,5.61372400,0.01664688,0.57251546,1.39431913,2.44080801,1.08485169,0.33005972,0.06335840,2.41360227
-5.77188594,5.75764157,0.01723726,0.58703422,1.42471235,2.50570818,1.10103641,0.33335867,0.06458029,2.47361319
-5.76588294,5.90808127,0.01785383,0.60168672,1.45732274,2.57267492,1.11928023,0.33690091,0.06585105,2.53769376
-5.75987994,6.06432575,0.01848908,0.61639242,1.49217487,2.64130350,1.13964810,0.34068870,0.06716305,2.60554280
-5.75387694,6.22539189,0.01913467,0.63103964,1.52921549,2.71107864,1.16217074,0.34471681,0.06850721,2.67674613
-5.74787394,6.39001356,0.01978162,0.64548519,1.56830394,2.78137119,1.18683698,0.34896980,0.06987280,2.75076652
-5.74187094,6.55664055,0.02042042,0.65955596,1.60920719,2.85144208,1.21358794,0.35342000,0.07124737,2.82694019
-5.73586793,6.72345522,0.02104124,0.67305265,1.65159990,2.92045364,1.24231351,0.35802631,0.07261677,2.90448069
