energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,6.65636788,1.88072877,4.53567375,0.00199924,0.54728960,1.46714988,1.09022098,0.46098924,0.00000000
-5.99399700,6.76154663,1.92976246,4.62275316,0.00197092,0.55483545,1.49392626,1.09516583,0.46247095,0.00000000
-5.98799400,6.86531303,1.98027943,4.71072018,0.00194572,0.56195927,1.52038460,1.09848353,0.46399440,0.00000000
-5.98199100,6.96647312,2.03206853,4.79825400,0.00192410,0.56859823,1.54613877,1.10028302,0.46558147,0.00000000
-5.97598799,7.06384322,2.08489894,4.88396838,0.00190651,0.57470050,1.57081992,1.10071959,0.46726477,0.00000000
-5.96998499,7.15629493,2.13852817,4.96645928,0.00189339,0.58022850,1.59409387,1.09999098,0.46908682,0.00000000
-5.96398199,7.24280008,2.19270972,5.04435535,0.00188514,0.58516169,1.61567730,1.09833217,0.47109874,0.00000000
-5.95797899,7.32247338,2.24719992,5.11636859,0.00188213,0.58949891,1.63535210,1.09600874,0.47335851,0.00000000
-5.95197599,7.39461013,2.30176333,5.18134292,0.00188469,0.59325986,1.65297672,1.09330911,0.47592865,0.00000000
-5.94597299,7.45871679,2.35617635,5.23829805,0.00189309,0.59648572,1.66849412,1.09053587,0.47887363,0.00000000
-5.93996998,7.51453231,2.41022878,5.28646630,0.00190754,0.59923878,1.68193548,1.08799638,0.48225695,0.00000000
-5.93396698,7.56203858,2.46372321,5.32532044,0.00192814,0.60160086,1.69341951,1.08599293,0.48613796,0.00000000
-5.92796398,7.60145910,2.51647229,5.35459099,0.00195494,0.60367078,1.70314720,1.08481267,0.49056864,0.00000000
-5.92196098,7.63324532,2.56829429,5.37427201,0.00198787,0.60556057,1.71139198,1.08471782,0.49559036,0.00000000
-5.91595798,7.65805109,2.61900710,5.38461497,0.00202674,0.60739093,1.71848595,1.08593615,0.50123078,0.00000000
-5.90995498,7.67669618,2.66842155,5.38611108,0.00207129,0.60928572,1.72480252,1.08865234,0.50750108,0.00000000
-5.90395198,7.69012072,2.71633451,5.37946296,0.00212112,0.61136600,1.73073654,1.09300035,0.51439358,0.00000000
-5.89794897,7.69933263,2.76252253,5.36554714,0.00217576,0.61374372,1.73668273,1.09905712,0.52187987,0.00000000
-5.89194597,7.70535111,2.80673684,5.34536946,0.00223463,0.61651545,1.74301369,1.10683789,0.52990964,0.00000000
-5.88594297,7.70914891,2.84870015,5.32001572,0.00229708,0.61975639,1.75005855,1.11629339,0.53841032,0.00000000
-5.87993997,7.71159680,2.88810603,5.29060020,0.00236240,0.62351501,1.75808353,1.12730893,0.54728744,0.00000000
-5.87393697,7.71341321,2.92462101,5.25821466,0.00242983,0.62780868,1.76727543,1.13970564,0.55642601,0.00000000
-5.86793397,7.71512175,2.95788971,5.22388044,0.00249859,0.63262037,1.77772885,1.15324389,0.56569268,0.00000000
-5.86193097,7.71701913,2.98754283,5.18850608,0.00256789,0.63789678,1.78943814,1.16762869,0.57493883,0.00000000
-5.85592796,7.71915513,3.01320788,5.15285220,0.00263694,0.64354802,1.80229423,1.18251715,0.58400437,0.00000000
-5.84992496,7.72132565,3.03452199,5.11750548,0.00270502,0.64944883,1.81608667,1.19752769,0.59272229,0.00000000
-5.84392196,7.72307929,3.05114624,5.08286233,0.00277141,0.65544135,1.83051076,1.21225069,0.60092361,0.00000000
-5.83791896,7.72373692,3.06278072,5.04912300,0.00283547,0.66133948,1.84517935,1.22626030,0.60844269,0.00000000
-5.83191596,7.72242314,3.06917938,5.01629567,0.00289663,0.66693442,1.85963868,1.23912700,0.61512262,0.00000000
-5.82591296,7.71810778,3.07016381,4.98420998,0.00295436,0.67200149,1.87338730,1.25043040,0.62082045,0.00000000
-5.81990995,7.70965521,3.06563510,4.95253879,0.00300822,0.67630760,1.88589726,1.25977190,0.62541205,0.00000000
-5.81390695,7.69587875,3.05558298,4.92082654,0.00305782,0.67961939,1.89663627,1.26678669,0.62879631,0.00000000
-5.80790395,7.67559721,3.04009162,4.88852247,0.00310281,0.68171143,1.90508971,1.27115465,0.63089856,0.00000000
