energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,2.06688979,0.01385477,0.14567958,0.33581726,0.38631583,1.25923287,0.69366485,0.00000000
-5.99399700,2.07002572,0.01389114,0.14680573,0.33318821,0.39373824,1.25570742,0.69959031,0.00000000
-5.98799400,2.09072155,0.01410469,0.14862614,0.33264747,0.40607197,1.26172900,0.71216672,0.00000000
-5.98199100,2.12926925,0.01449809,0.15115773,0.33426648,0.42329154,1.27767647,0.73135989,0.00000000
-5.97598799,2.18563370,0.01507045,0.15439900,0.33807144,0.44528437,1.30375608,0.75700274,0.00000000
-5.96998499,2.25943426,0.01581724,0.15832824,0.34403999,0.47184788,1.33998697,0.78879141,0.00000000
-5.96398199,2.34993353,0.01673026,0.16290226,0.35209878,0.50268834,1.38619040,0.82628445,0.00000000
-5.95797899,2.45603460,0.01779769,0.16805586,0.36212239,0.53742156,1.44198346,0.86890547,0.00000000
-5.95197599,2.57628764,0.01900419,0.17370217,0.37393360,0.57557575,1.50677789,0.91594967,0.00000000
-5.94597299,2.70890646,0.02033113,0.17973379,0.38730520,0.61659684,1.57978416,0.96659436,0.00000000
-5.93996998,2.85179557,0.02175687,0.18602482,0.40196346,0.65985617,1.66002128,1.01991358,0.00000000
-5.93396698,3.00258741,0.02325714,0.19243384,0.41759315,0.70466082,1.74633218,1.07489674,0.00000000
-5.92796398,3.15868927,0.02480550,0.19880756,0.43384421,0.75026634,1.83740454,1.13047087,0.00000000
-5.92196098,3.31733901,0.02637393,0.20498519,0.45033982,0.79589181,1.93179655,1.18552607,0.00000000
-5.91595798,3.47566788,0.02793337,0.21080328,0.46668564,0.84073687,2.02796708,1.23894338,0.00000000
-5.90995498,3.63076885,0.02945448,0.21610089,0.48248008,0.88400029,2.12430926,1.28962417,0.00000000
-5.90395198,3.77976801,0.03090830,0.22072486,0.49732515,0.92489952,2.21918671,1.33652015,0.00000000
-5.89794897,3.91989694,0.03226697,0.22453487,0.51083749,0.96269071,2.31097111,1.37866278,0.00000000
-5.89194597,4.04856328,0.03350450,0.22740825,0.52265933,0.99668828,2.39808016,1.41519099,0.00000000
-5.88594297,4.16341726,0.03459740,0.22924413,0.53246877,1.02628362,2.47901468,1.44537614,0.00000000
-5.87993997,4.26241166,0.03552535,0.22996688,0.53998914,1.05096194,2.55239374,1.46864316,0.00000000
-5.87393697,4.34385327,0.03627171,0.22952864,0.54499694,1.07031677,2.61698695,1.48458700,0.00000000
