energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.92015226,0.00594476,0.04886551,0.02567248,0.42515782,0.09009753,0.05785213,0.22335501,0.05739274
-5.99399700,0.99689357,0.00635555,0.05213411,0.02751114,0.46260147,0.09945028,0.06209528,0.24438161,0.06196811
-5.98799400,1.07506246,0.00674917,0.05529757,0.02929771,0.50120931,0.10943781,0.06630716,0.26638330,0.06654481
-5.98199100,1.15430609,0.00711935,0.05832133,0.03100966,0.54087409,0.12008683,0.07045763,0.28934355,0.07108574
-5.97598799,1.23432919,0.00746024,0.06117408,0.03262605,0.58151449,0.13142977,0.07452120,0.31325807,0.07555756
-5.96998499,1.31490806,0.00776663,0.06382880,0.03412826,0.62308014,0.14350456,0.07847818,0.33813610,0.07993221
-5.96398199,1.39590159,0.00803416,0.06626354,0.03550072,0.66555523,0.15635412,0.08231564,0.36400076,0.08418820
-5.95797899,1.47725839,0.00825955,0.06846210,0.03673156,0.70896022,0.17002535,0.08602818,0.39088849,0.08831175
-5.95197599,1.55901923,0.00844075,0.07041441,0.03781310,0.75335139,0.18456754,0.08961829,0.41884727,0.09229763
-5.94597299,1.64131434,0.00857711,0.07211660,0.03874224,0.79881812,0.20003044,0.09309644,0.44793378,0.09614963
-5.93996998,1.72435542,0.00866948,0.07357084,0.03952059,0.84547769,0.21646177,0.09648082,0.47820944,0.09988068
-5.93396698,1.80842243,0.00872025,0.07478488,0.04015455,0.89346793,0.23390443,0.09979660,0.50973547,0.10351244
-5.92796398,1.89384558,0.00873339,0.07577129,0.04065507,0.94293780,0.25239339,0.10307499,0.54256708,0.10707462
-5.92196098,1.98098336,0.00871435,0.07654659,0.04103728,0.99403632,0.27195246,0.10635187,0.57674725,0.11060375
-5.91595798,2.07019744,0.00867000,0.07713015,0.04131995,1.04690039,0.29259104,0.10966620,0.61230018,0.11414165
-5.90995498,2.16182569,0.00860843,0.07754297,0.04152482,1.10164203,0.31430101,0.11305823,0.64922486,0.11773355
-5.90395198,2.25615449,0.00853876,0.07780648,0.04167572,1.15833557,0.33705390,0.11656758,0.68748903,0.12142597
-5.89794897,2.35339178,0.00847084,0.07794142,0.04179771,1.21700552,0.36079845,0.12023127,0.72702388,0.12526446
-5.89194597,2.45364194,0.00841502,0.07796667,0.04191613,1.27761554,0.38545873,0.12408176,0.76771981,0.12929124
-5.88594297,2.55688364,0.00838174,0.07789846,0.04205558,1.34005913,0.41093282,0.12814510,0.80942323,0.13354288
-5.87993997,2.66295168,0.00838125,0.07774955,0.04223903,1.40415235,0.43709218,0.13243931,0.85193494,0.13804807
-5.87393697,2.77152350,0.00842321,0.07752889,0.04248692,1.46962885,0.46378166,0.13697286,0.89500977,0.14282567
-5.86793397,2.88211082,0.00851636,0.07724133,0.04281635,1.53613748,0.49082027,0.14174357,0.93835772,0.14788295
-5.86193097,2.99405666,0.00866816,0.07688769,0.04324046,1.60324248,0.51800251,0.14673772,0.98164654,0.15321423
-5.85592796,3.10653783,0.00888450,0.07646508,0.04376784,1.67042618,0.54510038,0.15192960,1.02450545,0.15879990
-5.84992496,3.21857269,0.00916941,0.07596734,0.04440221,1.73709419,0.57186588,0.15728130,1.06653008,0.16460593
