energy_ev,total_up,As_p_up,As_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,6.43779250,1.90980059,0.00000000,6.00512423,3.37020628,1.49614221,0.00000000
-5.99399700,6.40687894,1.88205687,0.00000000,5.97699499,3.34463663,1.50168532,0.00000000
-5.98799400,6.35607268,1.84921357,0.00000000,5.93000274,3.30853181,1.50289397,0.00000000
-5.98199100,6.28556843,1.81144530,0.00000000,5.86411991,3.26213614,1.49969032,0.00000000
-5.97598799,6.19584426,1.76898429,0.00000000,5.77962278,3.20584046,1.49205989,0.00000000
-5.96998499,6.08764704,1.72211638,0.00000000,5.67707816,3.14017097,1.48005111,0.00000000
-5.96398199,5.96197469,1.67117701,0.00000000,5.55732557,3.06577635,1.46377418,0.00000000
-5.95797899,5.82005543,1.61654730,0.00000000,5.42145553,2.98341353,1.44339934,0.00000000
-5.95197599,5.66332417,1.55864986,0.00000000,5.27078430,2.89393234,1.41915438,0.00000000
-5.94597299,5.49339658,1.49794445,0.00000000,5.10682568,2.79825924,1.39132158,0.00000000
-5.93996998,5.31204094,1.43492321,0.00000000,4.93126038,2.69738047,1.36023371,0.00000000
-5.93396698,5.12114829,1.37010540,0.00000000,4.74590356,2.59232485,1.32626934,0.00000000
-5.92796398,4.92270130,1.30403164,0.00000000,4.55267133,2.48414653,1.28984739,0.00000000
-5.92196098,4.71874230,1.23725747,0.00000000,4.35354670,2.37390801,1.25142086,0.00000000
-5.91595798,4.51134104,1.17034648,0.00000000,4.15054572,2.26266374,1.21146990,0.00000000
-5.90995498,4.30256273,1.10386290,0.00000000,3.94568448,2.15144453,1.17049423,0.00000000
-5.90395198,4.09443700,1.03836375,0.00000000,3.74094746,2.04124312,1.12900513,0.00000000
-5.89794897,3.88892827,0.97439091,0.00000000,3.53825787,1.93300117,1.08751708,0.00000000
-5.89194597,3.68790825,0.91246314,0.00000000,3.33945042,1.82759784,1.04653928,0.00000000
-5.88594297,3.49313109,0.85306827,0.00000000,3.14624689,1.72584021,1.00656732,0.00000000
-5.87993997,3.30621170,0.79665594,0.00000000,2.96023491,1.62845578,0.96807510,0.00000000
-5.87393697,3.12860772,0.74363102,0.00000000,2.78285005,1.53608698,0.93150750,0.00000000
-5.86793397,2.96160561,0.69434793,0.00000000,2.61536156,1.44928796,0.89727376,0.00000000
-5.86193097,2.80631094,0.64910616,0.00000000,2.45886164,1.36852356,0.86574202,0.00000000
-5.85592796,2.66364340,0.60814704,0.00000000,2.31425832,1.29417047,0.83723513,0.00000000
-5.84992496,2.53433620,0.57165198,0.00000000,2.18227197,1.22652046,0.81202792,0.00000000
-5.84392196,2.41894006,0.53974213,0.00000000,2.06343505,1.16578550,0.79034589,0.00000000
-5.83791896,2.31783139,0.51247961,0.00000000,1.95809523,1.11210466,0.77236560,0.00000000
-5.83191596,2.23122430,0.48987009,0.00000000,1.86642131,1.06555237,0.75821645,0.00000000
-5.82591296,2.15918586,0.47186675,0.00000000,1.78841191,1.02614774,0.74798386,0.00000000
-5.81990995,2.10165401,0.45837532,0.00000000,1.72390644,0.99386463,0.74171361,0.00000000
-5.81390695,2.05845719,0.44926012,0.00000000,1.67259815,0.96864193,0.73941701,0.00000000
-5.80790395,2.02933487,0.44435069,0.00000000,1.63404866,0.95039367,0.74107669,0.00000000
-5.80190095,2.01395801,0.44344883,0.00000000,1.60770390,0.93901844,0.74665250,0.00000000
-5.79589795,2.01194848,0.44633572,0.00000000,1.59291073,0.93440767,0.75608723,0.00000000
-5.78989495,2.02289653,0.45277875,0.00000000,1.58893406,0.93645233,0.76931170,0.00000000
-5.78389195,2.04637543,0.46253788,0.00000000,1.59497398,0.94504767,0.78624897,0.00000000
-5.77788894,2.08195257,0.47537119,0.00000000,1.61018248,0.96009574,0.80681732,0.00000000
-5.77188594,2.12919662,0.49103934,0.00000000,1.63367947,0.98150537,0.83093179,0.00000000
-5.76588294,2.18768020,0.50930891,0.00000000,1.66456770,1.00918970,0.85850426,0.00000000
-5.75987994,2.25697827,0.52995443,0.00000000,1.70194623,1.04306120,0.88944197,0.00000000
-5.75387694,2.33666229,0.55275898,0.00000000,1.74492241,1.08302437,0.92364465,0.00000000
-5.74787394,2.42629063,0.57751365,0.00000000,1.79262196,1.12896663,0.96100049,0.00000000
-5.74187094,2.52539605,0.60401569,0.00000000,1.84419720,1.18074764,1.00138125,0.00000000
-5.73586793,2.63347105,0.63206574,0.00000000,1.89883341,1.23818795,1.04463689,0.00000000
-5.72986493,2.74995233,0.66146437,0.00000000,1.95575332,1.30105737,1.09059017,0.00000000
-5.72386193,2.87420537,0.69200818,0.00000000,2.01421994,1.36906403,1.13903167,0.00000000
-5.71785893,3.00551060,0.72348585,0.00000000,2.07353795,1.44184486,1.18971575,0.00000000
-5.71185593,3.14305205,0.75567451,0.00000000,2.13305387,1.51895802,1.24235769,0.00000000
-5.70585293,3.28590981,0.78833673,0.00000000,2.19215543,1.59987825,1.29663254,0.00000000
-5.69984992,3.43305696,0.82121849,0.00000000,2.25027035,1.68399534,1.35217577,0.00000000
-5.69384692,3.58336160,0.85404837,0.00000000,2.30686496,1.77061629,1.40858586,0.00000000
-5.68784392,3.73559443,0.88653812,0.00000000,2.36144294,1.85897124,1.46542892,0.00000000
-5.68184092,3.88844158,0.91838473,0.00000000,2.41354436,1.94822309,1.52224513,0.00000000
-5.67583792,4.04052268,0.94927397,0.00000000,2.46274529,2.03748073,1.57855676,0.00000000
-5.66983492,4.19041317,0.97888531,0.00000000,2.50865806,2.12581518,1.63387740,0.00000000
-5.66383192,4.33667017,1.00689801,0.00000000,2.55093212,2.21227818,1.68772218,0.00000000
-5.65782891,4.47786074,1.03299797,0.00000000,2.58925555,2.29592244,1.73961814,0.00000000
-5.65182591,4.61259111,1.05688526,0.00000000,2.62335701,2.37582261,1.78911469,0.00000000
-5.64582291,4.73953572,1.07828163,0.00000000,2.65300798,2.45109611,1.83579329,0.00000000
-5.63981991,4.85746472,1.09693777,0.00000000,2.67802504,2.52092283,1.87927624,0.00000000
-5.63381691,4.96526868,1.11263983,0.00000000,2.69827204,2.58456301,1.91923399,0.00000000
-5.62781391,5.06197953,1.12521502,0.00000000,2.71366176,2.64137235,1.95539080,0.00000000
-5.62181091,5.14678700,1.13453568,0.00000000,2.72415712,2.69081392,1.98752854,0.00000000
-5.61580790,5.21904981,1.14052198,0.00000000,2.72977159,2.73246643,2.01548848,0.00000000
-5.60980490,5.27830168,1.14314290,0.00000000,2.73056870,2.76602857,2.03917130,0.00000000
-5.60380190,5.32425194,1.14241553,0.00000000,2.72666083,2.79131949,2.05853509,0.00000000
-5.59779890,5.35678106,1.13840286,0.00000000,2.71820696,2.80827559,2.07359187,0.00000000
-5.59179590,5.37593180,1.13121016,0.00000000,2.70540971,2.81694394,2.08440267,0.00000000
-5.58579290,5.38189640,1.12098016,0.00000000,2.68851163,2.81747284,2.09107153,0.00000000
-5.57978989,5.37500081,1.10788748,0.00000000,2.66779075,2.81010013,2.09373867,0.00000000
-5.57378689,5.35568677,1.09213241,0.00000000,2.64355565,2.79513994,2.09257325,0.00000000
-5.56778389,5.32449255,1.07393456,0.00000000,2.61614007,2.77296846,2.08776588,0.00000000
-5.56178089,5.28203327,1.05352657,0.00000000,2.58589700,2.74400963,2.07952126,0.00000000
-5.55577789,5.22898154,1.03114819,0.00000000,2.55319248,2.70872107,2.06805114,0.00000000
-5.54977489,5.16604903,1.00704091,0.00000000,2.51839907,2.66758109,2.05356773,0.00000000
-5.54377189,5.09396955,0.98144332,0.00000000,2.48188897,2.62107710,2.03627793,0.00000000
-5.53776888,5.01348405,0.95458735,0.00000000,2.44402689,2.56969570,2.01637821,0.00000000
-5.53176588,4.92532779,0.92669530,0.00000000,2.40516273,2.51391482,1.99405058,0.00000000
-5.52576288,4.83021987,0.89797769,0.00000000,2.36562416,2.45419786,1.96945939,0.00000000
-5.51975988,4.72885527,0.86863196,0.00000000,2.32570924,2.39099003,1.94274928,0.00000000
-5.51375688,4.62189920,0.83884179,0.00000000,2.28567934,2.32471648,1.91404416,0.00000000
-5.50775388,4.50998399,0.80877694,0.00000000,2.24575260,2.25578238,1.88344725,0.00000000
-5.50175088,4.39370807,0.77859359,0.00000000,2.20609822,2.18457442,1.85104227,0.00000000
-5.49574787,4.27363708,0.74843498,0.00000000,2.16683202,2.11146360,1.81689561,0.00000000
-5.48974487,4.15030688,0.71843224,0.00000000,2.12801351,2.03680889,1.78105951,0.00000000
-5.48374187,4.02422810,0.68870533,0.00000000,2.08964489,1.96096147,1.74357615,0.00000000
