energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,2.46213880,0.00709483,0.00000000,0.00179256,0.10821772,0.36611671,1.87484931,0.61870960,0.00000000
-5.99399700,2.57068478,0.00768436,0.00000000,0.00188488,0.11832848,0.37770204,1.94004929,0.65951648,0.00000000
-5.98799400,2.68115891,0.00836411,0.00000000,0.00200345,0.12881494,0.39148194,2.00109751,0.70509121,0.00000000
-5.98199100,2.79258656,0.00913033,0.00000000,0.00214717,0.13958920,0.40733301,2.05745676,0.75500461,0.00000000
-5.97598799,2.90392730,0.00997772,0.00000000,0.00231454,0.15055491,0.42510431,2.10862659,0.80874289,0.00000000
-5.96998499,3.01408648,0.01089947,0.00000000,0.00250380,0.16160931,0.44461845,2.15414659,0.86571574,0.00000000
-5.96398199,3.12192912,0.01188731,0.00000000,0.00271292,0.17264555,0.46567321,2.19359923,0.92526645,0.00000000
-5.95797899,3.22629628,0.01293162,0.00000000,0.00293974,0.18355522,0.48804370,2.22661292,0.98668405,0.00000000
-5.95197599,3.32602424,0.01402156,0.00000000,0.00318202,0.19423112,0.51148522,2.25286538,1.04921752,0.00000000
-5.94597299,3.41996636,0.01514526,0.00000000,0.00343757,0.20457004,0.53573687,2.27208775,1.11209161,0.00000000
-5.93996998,3.50701746,0.01629006,0.00000000,0.00370435,0.21447545,0.56052595,2.28406940,1.17452422,0.00000000
-5.93396698,3.58614007,0.01744278,0.00000000,0.00398063,0.22386005,0.58557312,2.28866353,1.23574466,0.00000000
-5.92796398,3.65639173,0.01858999,0.00000000,0.00426509,0.23264800,0.61059808,2.28579330,1.29501224,0.00000000
-5.92196098,3.71695222,0.01971837,0.00000000,0.00455695,0.24077672,0.63532566,2.27545813,1.35163466,0.00000000
-5.91595798,3.76714934,0.02081498,0.00000000,0.00485611,0.24819822,0.65949202,2.25773989,1.40498523,0.00000000
-5.90995498,3.80648203,0.02186763,0.00000000,0.00516325,0.25487978,0.68285059,2.23280819,1.45451835,0.00000000
-5.90395198,3.83463916,0.02286514,0.00000000,0.00547992,0.26080410,0.70517750,2.20092434,1.49978241,0.00000000
-5.89794897,3.85151290,0.02379762,0.00000000,0.00580859,0.26596868,0.72627610,2.16244344,1.54042947,0.00000000
-5.89194597,3.85720551,0.02465669,0.00000000,0.00615267,0.27038468,0.74598021,2.11781395,1.57622131,0.00000000
-5.88594297,3.85202866,0.02543559,0.00000000,0.00651651,0.27407522,0.76415614,2.06757446,1.60703133,0.00000000
-5.87993997,3.83649521,0.02612933,0.00000000,0.00690533,0.27707315,0.78070299,2.01234742,1.63284231,0.00000000
-5.87393697,3.81130324,0.02673470,0.00000000,0.00732513,0.27941852,0.79555143,1.95282977,1.65374016,0.00000000
-5.86793397,3.77731309,0.02725019,0.00000000,0.00778251,0.28115586,0.80866112,1.88978056,1.66990383,0.00000000
-5.86193097,3.73551830,0.02767590,0.00000000,0.00828452,0.28233139,0.82001664,1.82400616,1.68159207,0.00000000
-5.85592796,3.68701202,0.02801338,0.00000000,0.00883839,0.28299036,0.82962275,1.75634331,1.68912789,0.00000000
-5.84992496,3.63295047,0.02826540,0.00000000,0.00945131,0.28317471,0.83749885,1.68764094,1.69288132,0.00000000
-5.84392196,3.57451542,0.02843574,0.00000000,0.01013014,0.28292108,0.84367359,1.61874147,1.69325177,0.00000000
-5.83791896,3.51287777,0.02852888,0.00000000,0.01088112,0.28225940,0.84817975,1.55046244,1.69065087,0.00000000
-5.83191596,3.44916410,0.02854979,0.00000000,0.01170961,0.28121211,0.85105002,1.48357938,1.68548673,0.00000000
-5.82591296,3.38442787,0.02850369,0.00000000,0.01261985,0.27979395,0.85231413,1.41881056,1.67815055,0.00000000
-5.81990995,3.31962678,0.02839583,0.00000000,0.01361473,0.27801249,0.85199745,1.35680444,1.66900631,0.00000000
-5.81390695,3.25560723,0.02823131,0.00000000,0.01469561,0.27586921,0.85012148,1.29813017,1.65838388,0.00000000
-5.80790395,3.19309637,0.02801501,0.00000000,0.01586222,0.27336109,0.84670609,1.24327148,1.64657589,0.00000000
-5.80190095,3.13270174,0.02775151,0.00000000,0.01711264,0.27048260,0.84177357,1.19262406,1.63383833,0.00000000
-5.79589795,3.07491804,0.02744506,0.00000000,0.01844325,0.26722796,0.83535403,1.14649626,1.62039455,0.00000000
-5.78989495,3.02013998,0.02709966,0.00000000,0.01984889,0.26359344,0.82749198,1.10511283,1.60644205,0.00000000
-5.78389195,2.96867987,0.02671914,0.00000000,0.02132300,0.25957960,0.81825346,1.06862118,1.59216153,0.00000000
-5.77788894,2.92078834,0.02630721,0.00000000,0.02285778,0.25519329,0.80773312,1.03709952,1.57772716,0.00000000
-5.77188594,2.87667622,0.02586770,0.00000000,0.02444450,0.25044929,0.79606073,1.01056625,1.56331708,0.00000000
-5.76588294,2.83653590,0.02540460,0.00000000,0.02607376,0.24537142,0.78340648,0.98898978,1.54912329,0.00000000
-5.75987994,2.80056019,0.02492220,0.00000000,0.02773577,0.23999308,0.76998437,0.97229814,1.53535984,0.00000000
-5.75387694,2.76895716,0.02442524,0.00000000,0.02942064,0.23435718,0.75605346,0.96038762,1.52226861,0.00000000
-5.74787394,2.74195964,0.02391891,0.00000000,0.03111860,0.22851547,0.74191640,0.95312999,1.51012182,0.00000000
-5.74187094,2.71982843,0.02340888,0.00000000,0.03282025,0.22252719,0.72791516,0.95037783,1.49922099,0.00000000
-5.73586793,2.70284877,0.02290132,0.00000000,0.03451664,0.21645737,0.71442383,0.95196772,1.48989201,0.00000000
-5.72986493,2.69131995,0.02240275,0.00000000,0.03619936,0.21037449,0.70183876,0.95772112,1.48247637,0.00000000
-5.72386193,2.68553862,0.02191993,0.00000000,0.03786051,0.20434808,0.69056619,0.96744314,1.47731876,0.00000000
-5.71785893,2.68577654,0.02145970,0.00000000,0.03949264,0.19844598,0.68100786,0.98091936,1.47475171,0.00000000
-5.71185593,2.69225415,0.02102871,0.00000000,0.04108854,0.19273171,0.67354536,0.99791114,1.47507783,0.00000000
