energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,1.50351318,0.01081402,0.11953275,0.17780284,0.00000000,1.06863116,0.50564013,0.01160432,0.82284711
-5.99399700,1.44236966,0.01069757,0.10970599,0.16787688,0.00000000,1.04738852,0.47342720,0.01157959,0.79623736
-5.98799400,1.38997732,0.01071428,0.10051187,0.15876700,0.00000000,1.03274024,0.44397343,0.01164282,0.77428662
-5.98199100,1.34727927,0.01088182,0.09200956,0.15061849,0.00000000,1.02517098,0.41763652,0.01180419,0.75753564
-5.97598799,1.31507961,0.01121677,0.08425136,0.14355697,0.00000000,1.02504150,0.39474364,0.01207206,0.74643904
-5.96998499,1.29403425,0.01173416,0.07728163,0.13768694,0.00000000,1.03258489,0.37558833,0.01245267,0.74136123
-5.96398199,1.28465015,0.01244693,0.07113635,0.13309126,0.00000000,1.04790955,0.36042999,0.01294997,0.74257715
-5.95797899,1.28729244,0.01336543,0.06584306,0.12983156,0.00000000,1.07100872,0.34949556,0.01356556,0.75027772
-5.95197599,1.30219844,0.01449694,0.06142131,0.12794931,0.00000000,1.10177571,0.34298318,0.01429853,0.76457920
-5.94597299,1.32949693,0.01584519,0.05788351,0.12746757,0.00000000,1.14002375,0.34106720,0.01514550,0.78553571
-5.93996998,1.36923091,0.01740991,0.05523599,0.12839313,0.00000000,1.18550901,0.34390387,0.01610067,0.81315364
-5.93396698,1.42138184,0.01918647,0.05348018,0.13071885,0.00000000,1.23795519,0.35163713,0.01715586,0.84740690
-5.92796398,1.48589304,0.02116561,0.05261383,0.13442606,0.00000000,1.29707778,0.36440368,0.01830068,0.88825159
-5.92196098,1.56269024,0.02333321,0.05263214,0.13948680,0.00000000,1.36260622,0.38233679,0.01952271,0.93563891
-5.91595798,1.65169725,0.02567024,0.05352863,0.14586572,0.00000000,1.43430233,0.40556811,0.02080766,0.98952506
-5.90995498,1.75284505,0.02815284,0.05529573,0.15352151,0.00000000,1.51197317,0.43422712,0.02213967,1.04987714
-5.90395198,1.86607309,0.03075250,0.05792498,0.16240784,0.00000000,1.59547737,0.46843780,0.02350156,1.11667429
-5.89794897,1.99132198,0.03343651,0.06140686,0.17247359,0.00000000,1.68472396,0.50831248,0.02487510,1.18990360
-5.89194597,2.12851741,0.03616847,0.06573019,0.18366258,0.00000000,1.77966328,0.55394280,0.02624136,1.26955063
-5.88594297,2.27754584,0.03890900,0.07088112,0.19591265,0.00000000,1.88027023,0.60538814,0.02758101,1.35558487
-5.87993997,2.43822296,0.04161662,0.07684181,0.20915434,0.00000000,1.98652054,0.66266194,0.02887469,1.44794072
-5.87393697,2.61025668,0.04424871,0.08358886,0.22330917,0.00000000,2.09836124,0.72571663,0.03010332,1.54649510
-5.86793397,2.79320694,0.04676259,0.09109163,0.23828779,0.00000000,2.21567722,0.79442794,0.03124845,1.65104290
-5.86193097,2.98644487,0.04911664,0.09931040,0.25398814,0.00000000,2.33825580,0.86857960,0.03229263,1.76127200
-5.85592796,3.18911439,0.05127143,0.10819483,0.27029381,0.00000000,2.46575185,0.94784941,0.03321966,1.87673949
-5.84992496,3.40009908,0.05319083,0.11768251,0.28707279,0.00000000,2.59765597,1.03179776,0.03401497,1.99685103
-5.84392196,3.61799743,0.05484301,0.12769794,0.30417685,0.00000000,2.73326811,1.11985963,0.03466584,2.12084502
-5.83791896,3.84110883,0.05620135,0.13815201,0.32144162,0.00000000,2.87167900,1.21134080,0.03516167,2.24778321
-5.83191596,4.06743266,0.05724514,0.14894201,0.33868750,0.00000000,3.01176131,1.30541912,0.03549416,2.37654900
-5.82591296,4.29468174,0.05796014,0.15995228,0.35572153,0.00000000,3.15217171,1.40115125,0.03565748,2.50585432
-5.81990995,4.52031088,0.05833888,0.17105560,0.37234003,0.00000000,3.29136490,1.49748500,0.03564837,2.63425550
-5.81390695,4.74156028,0.05838072,0.18211514,0.38833223,0.00000000,3.42761937,1.59327718,0.03546621,2.76017808
-5.80790395,4.95551283,0.05809171,0.19298710,0.40348452,0.00000000,3.55907438,1.68731666,0.03511299,2.88194986
-5.80190095,5.15916317,0.05748422,0.20352388,0.41758527,0.00000000,3.68377673,1.77835164,0.03459327,2.99784097
-5.79589795,5.34949602,0.05657638,0.21357762,0.43043005,0.00000000,3.79973533,1.86512055,0.03391407,3.10610963
-5.78989495,5.52357046,0.05539130,0.22300414,0.44182694,0.00000000,3.90498110,1.94638503,0.03308468,3.20505132
-5.78389195,5.67860653,0.05395622,0.23166690,0.45160172,0.00000000,3.99762936,2.02096395,0.03211651,3.29304949
-5.77788894,5.81207030,0.05230156,0.23944109,0.45960271,0.00000000,4.07594172,2.08776705,0.03102274,3.36862526
-5.77188594,5.92175385,0.05045987,0.24621738,0.46570498,0.00000000,4.13838457,2.14582675,0.02981811,3.43048415
-5.76588294,6.00584648,0.04846488,0.25190552,0.46981389,0.00000000,4.18368134,2.19432712,0.02851859,3.47755761
-5.75987994,6.06299456,0.04635048,0.25643738,0.47186756,0.00000000,4.21085642,2.23262874,0.02714102,3.50903769
-5.75387694,6.09234747,0.04414989,0.25976948,0.47183850,0.00000000,4.21926865,2.26028879,0.02570279,3.52440352
-5.74787394,6.09358850,0.04189483,0.26188493,0.46973404,0.00000000,4.20863344,2.27707577,0.02422150,3.52343877
-5.74187094,6.06694976,0.03961493,0.26279467,0.46559587,0.00000000,4.17903285,2.28297851,0.02271464,3.50623964
-5.73586793,6.01321151,0.03733722,0.26253810,0.45949855,0.00000000,4.13091378,2.27820953,0.02119929,3.47321363
-5.72986493,5.93368675,0.03508575,0.26118301,0.45154721,0.00000000,4.06507505,2.26320306,0.01969183,3.42506958
-5.72386193,5.83019255,0.03288148,0.25882493,0.44187459,0.00000000,3.98264447,2.23860798,0.01820770,3.36279992
-5.71785893,5.70501011,0.03074215,0.25558594,0.43063757,0.00000000,3.88504766,2.20527641,0.01676126,3.28765638
-5.71185593,5.56083571,0.02868244,0.25161298,0.41801328,0.00000000,3.77397029,2.16424861,0.01536555,3.20112047
-5.70585293,5.40072498,0.02671407,0.24707573,0.40419514,0.00000000,3.65131585,2.11673472,0.01403226,3.10487027
-5.69984992,5.22803243,0.02484615,0.24216418,0.38938881,0.00000000,3.51916071,2.06409420,0.01277165,3.00074464
-5.69384692,5.04634842,0.02308546,0.23708581,0.37380822,0.00000000,3.37970818,2.00781324,0.01159255,2.89070637
-5.68784392,4.85943503,0.02143684,0.23206264,0.35767185,0.00000000,3.23524321,1.94948088,0.01050238,2.77680507
-5.68184092,4.67116209,0.01990356,0.22732792,0.34119919,0.00000000,3.08808872,1.89076378,0.00950727,2.66114061
-5.67583792,4.48544419,0.01848768,0.22312269,0.32460750,0.00000000,2.94056447,1.83338024,0.00861212,2.54582770
-5.66983492,4.30617910,0.01719044,0.21969216,0.30810884,0.00000000,2.79494901,1.77907314,0.00782082,2.43296184
-5.66383192,4.13718793,0.01601251,0.21728192,0.29190741,0.00000000,2.65344499,1.72958218,0.00713633,2.32458678
-5.65782891,3.98215690,0.01495434,0.21613398,0.27619704,0.00000000,2.51814781,1.68661532,0.00656096,2.22266352
-5.65182591,3.84458100,0.01401630,0.21648277,0.26115898,0.00000000,2.39101766,1.65181952,0.00609649,2.12904076
-5.64582291,3.72770942,0.01319891,0.21855105,0.24695986,0.00000000,2.27385468,1.62675104,0.00574447,2.04542685
-5.63981991,3.63449342,0.01250298,0.22254594,0.23374983,0.00000000,2.16827729,1.61284560,0.00550634,1.97336325
