energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,2.91660189,-2.81817269,0.00836123,-0.01205909,0.21662822,-0.18070116,1.28613144,-1.30585265,0.93952613,-0.80262626,0.01200613,-0.01097048,1.46298490,-1.47184657,0.86575980,-0.88364214,0.16383739,-0.16309257
-5.99399700,2.89102791,-2.85685046,0.00774375,-0.01167497,0.21654127,-0.18627171,1.26279855,-1.31606052,0.94572006,-0.82741092,0.01214835,-0.01125928,1.44482336,-1.48541006,0.85167379,-0.88874058,0.16176822,-0.16494847
-5.98799400,2.85537027,-2.88438485,0.00713678,-0.01124214,0.21573237,-0.19104766,1.23419694,-1.31958758,0.94909879,-0.84991361,0.01225923,-0.01153409,1.42143269,-1.49301198,0.83458597,-0.89010517,0.15904971,-0.16605661
-5.98199100,2.81059919,-2.90036121,0.00654827,-0.01076539,0.21433825,-0.19497275,1.20090811,-1.31641654,0.94993477,-0.86982053,0.01233660,-0.01178896,1.39324035,-1.49451635,0.81479629,-0.88771589,0.15573977,-0.16640231
-5.97598799,2.75784460,-2.90460625,0.00598579,-0.01025093,0.21251823,-0.19801042,1.16357667,-1.30666283,0.94857494,-0.88687396,0.01237920,-0.01201868,1.36073723,-1.48991216,0.79263410,-0.88162999,0.15190502,-0.16598680
-5.96998499,2.69836131,-2.89718569,0.00545640,-0.00970616,0.21044963,-0.20014611,1.12289077,-1.29056793,0.94542966,-0.90088063,0.01238678,-0.01221876,1.32446210,-1.47930729,0.76844732,-0.87197630,0.14761882,-0.16482661
-5.96398199,2.63349268,-2.87839598,0.00496657,-0.00913943,0.20832221,-0.20138903,1.07956265,-1.26848912,0.94095944,-0.91171884,0.01236026,-0.01238548,1.28498656,-1.46291926,0.74259234,-0.85894734,0.14295923,-0.16295256
-5.95797899,2.56463393,-2.84875064,0.00452215,-0.00855970,0.20633202,-0.20177330,1.03430978,-1.24088614,0.93565947,-0.91934403,0.01230180,-0.01251599,1.24290109,-1.44106344,0.71542485,-0.84278999,0.13800713,-0.16040835
-5.95197599,2.49319618,-2.80896219,0.00412841,-0.00797635,0.20467467,-0.20135846,0.98783744,-1.20830547,0.93004268,-0.92379247,0.01221493,-0.01260837,1.19880256,-1.41413950,0.68729209,-0.82379510,0.13284450,-0.15724889
-5.94597299,2.42057233,-2.75992060,0.00379005,-0.00739883,0.20353827,-0.20022916,0.94082313,-1.17136295,0.92462180,-0.92518296,0.01210461,-0.01266172,1.15328355,-1.38261692,0.65852669,-0.80228665,0.12755288,-0.15353846
-5.93996998,2.34810550,-2.70266912,0.00351130,-0.00683655,0.20309645,-0.19849409,0.89390322,-1.13072562,0.91989090,-0.92371638,0.01197727,-0.01267624,1.10692360,-1.34702005,0.62944201,-0.77861093,0.12221212,-0.14934878
-5.93396698,2.27706067,-2.63837840,0.00329599,-0.00629861,0.20350146,-0.19628399,0.84766218,-1.08709326,0.91630719,-0.91967282,0.01184083,-0.01265335,1.06028238,-1.30791368,0.60032926,-0.75312631,0.11689940,-0.14475705
-5.92796398,2.20860021,-2.56831968,0.00314769,-0.00579370,0.20487787,-0.19374891,0.80262440,-1.04118067,0.91427363,-0.91340627,0.01170464,-0.01259576,1.01389468,-1.26588945,0.57145601,-0.72619397,0.11168841,-0.13984415
-5.92196098,2.14376334,-2.49383761,0.00306979,-0.00533002,0.20731704,-0.19105461,0.75924874,-0.99370090,0.91412311,-0.90533687,0.01157941,-0.01250758,0.96826696,-1.22155356,0.54306603,-0.69816986,0.10664889,-0.13469287
-5.91595798,2.08345005,-2.41632340,0.00306555,-0.00491520,0.21087250,-0.18837819,0.71792551,-0.94535029,0.91610471,-0.89594074,0.01147701,-0.01239434,0.92387522,-1.17551617,0.51538023,-0.66939816,0.10184624,-0.12938644
-5.90995498,2.02840927,-2.33718844,0.00313822,-0.00455630,0.21555670,-0.18590318,0.67897588,-0.89679535,0.92037279,-0.88573747,0.01141028,-0.01226303,0.88116372,-1.12838245,0.48859836,-0.64020633,0.09734129,-0.12400721
-5.90395198,1.97923143,-2.25783893,0.00329102,-0.00425984,0.22133905,-0.18381393,0.64265319,-0.84866188,0.92697928,-0.87527565,0.01139277,-0.01212210,0.84054433,-1.08074542,0.46290106,-0.61090170,0.09319019,-0.11863563
-5.89794897,1.93634524,-2.17965142,0.00352714,-0.00403183,0.22814563,-0.18228978,0.60914609,-0.80152642,0.93586972,-0.86511655,0.01143837,-0.01198141,0.80239596,-1.03318034,0.43845217,-0.58176960,0.08944428,-0.11334938
-5.89194597,1.90001841,-2.10394953,0.00384968,-0.00387782,0.23586049,-0.18149897,0.57858296,-0.75590985,0.94688328,-0.85581657,0.01156094,-0.01185211,0.76706398,-0.98624043,0.41540079,-0.55307272,0.08614992,-0.10822275
-5.88594297,1.87036215,-2.03198186,0.00426154,-0.00380298,0.24432857,-0.18159251,0.55103728,-0.71227317,0.95975688,-0.84790897,0.01177387,-0.01174647,0.73485911,-0.94045369,0.39388294,-0.52505155,0.08334834,-0.10332617
-5.87993997,1.84733898,-1.96490120,0.00476528,-0.00381210,0.25336032,-0.18269839,0.52653370,-0.67101513,0.97413354,-0.84188522,0.01208965,-0.01167769,0.70605579,-0.89632031,0.37402268,-0.49792554,0.08107525,-0.09872582
-5.87393697,1.83077356,-1.90374501,0.00536291,-0.00390965,0.26273775,-0.18491611,0.50505429,-0.63247149,0.98957455,-0.83817707,0.01251932,-0.01165957,0.68088984,-0.85431044,0.35593234,-0.47189470,0.07936041,-0.09448333
-5.86793397,1.82036601,-1.84941745,0.00605569,-0.00409973,0.27222181,-0.18831199,0.48654492,-0.59691559,1.00557531,-0.83713958,0.01307204,-0.01170624,0.65955537,-0.81486196,0.33971211,-0.44714137,0.07822710,-0.09065547
-5.86193097,1.81570733,-1.80267320,0.00684384,-0.00438605,0.28156083,-0.19291536,0.47092128,-0.56455996,1.02158414,-0.83903619,0.01375457,-0.01183169,0.64220110,-0.77837784,0.32544870,-0.42383171,0.07769143,-0.08729382
-5.85592796,1.81629638,-1.76410316,0.00772630,-0.00477186,0.29049967,-0.19871578,0.45807457,-0.53555857,1.03702342,-0.84402627,0.01457086,-0.01204939,0.62892622,-0.74522302,0.31321328,-0.40211695,0.07776157,-0.08444432
-5.84992496,1.82155788,-1.73412270,0.00870046,-0.00525976,0.29878935,-0.20566167,0.44787654,-0.51000962,1.05131226,-0.85215597,0.01552163,-0.01237180,0.61977602,-0.71572065,0.30305892,-0.38213383,0.07843703,-0.08214675
-5.84392196,1.83086098,-1.71296253,0.00976191,-0.00585156,0.30619664,-0.21366021,0.44018391,-0.48795858,1.06388978,-0.86335278,0.01660403,-0.01280990,0.61473764,-0.69014757,0.29501751,-0.36400451,0.07970783,-0.08043408
-5.83791896,1.84353784,-1.70066299,0.01090424,-0.00654810,0.31251332,-0.22257884,0.43484212,-0.46940128,1.07423797,-0.87742430,0.01781148,-0.01337266,0.61373623,-0.66872917,0.28909655,-0.34783557,0.08155393,-0.07933169
-5.83191596,1.85890187,-1.69707184,0.01211885,-0.00734898,0.31756465,-0.23224824,0.43168841,-0.45428708,1.08190320,-0.89406150,0.01913343,-0.01406659,0.61663198,-0.65163391,0.28527602,-0.33371632,0.08394466,-0.07885659
-5.82591296,1.87626507,-1.70184622,0.01339488,-0.00825229,0.32121676,-0.24246687,0.43055420,-0.44252194,1.08651551,-0.91284649,0.02055548,-0.01489527,0.62321832,-0.63896748,0.28350560,-0.32171642,0.08683850,-0.07901648
-5.81990995,1.89495429,-1.71445897,0.01471919,-0.00925446,0.32338264,-0.25300685,0.43126705,-0.43397159,1.08780475,-0.93326480,0.02205939,-0.01585899,0.63322163,-0.63076732,0.28370246,-0.31188300,0.09018308,-0.07980888
