energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,3.83145674,0.11121812,0.24496694,0.44655902,0.14352080,0.15980618,1.76749245,2.13176204,0.87387584
-5.99399700,3.93829698,0.11607927,0.25313454,0.45117362,0.14893232,0.16384181,1.82541370,2.21060551,0.87630774
-5.98799400,4.06203204,0.12082506,0.26399978,0.45636559,0.15507293,0.16867095,1.89029698,2.29552530,0.88432698
-5.98199100,4.20234239,0.12542191,0.27763147,0.46210462,0.16185642,0.17421765,1.96176624,2.38705532,0.89820029
-5.97598799,4.35857949,0.12983322,0.29407940,0.46834823,0.16917719,0.18038095,2.03927700,2.48572402,0.91810709
-5.96998499,4.52978282,0.13401963,0.31337692,0.47504174,0.17691279,0.18703747,2.12212650,2.59204407,0.94413628
-5.96398199,4.71470443,0.13793956,0.33554354,0.48211838,0.18492711,0.19404463,2.20946852,2.70650160,0.97628406
-5.95797899,4.91184057,0.14154997,0.36058699,0.48949954,0.19307405,0.20124468,2.30033256,2.82954497,1.01445277
-5.95197599,5.11946895,0.14480740,0.38850459,0.49709546,0.20120161,0.20846920,2.39364688,2.96157280,1.05845075
-5.94597299,5.33569014,0.14766918,0.41928376,0.50480610,0.20915622,0.21554399,2.48826444,3.10292118,1.10799336
-5.93996998,5.55847150,0.15009480,0.45290135,0.51252253,0.21678720,0.22229424,2.58299098,3.25384963,1.16270514
-5.93396698,5.78569155,0.15204737,0.48932177,0.52012854,0.22395115,0.22854969,2.67661408,3.41452540,1.22212316
-5.92796398,6.01518312,0.15349512,0.52849381,0.52750274,0.23051613,0.23414969,2.76793210,3.58500577,1.28570165
-5.92196098,6.24477330,0.15441283,0.57034629,0.53452072,0.23636540,0.23894787,2.85578177,3.76521832,1.35281775
-5.91595798,6.47231881,0.15478313,0.61478257,0.54105756,0.24140062,0.24281635,2.93906350,3.95493903,1.42277863
-5.90995498,6.69573547,0.15459755,0.66167422,0.54699022,0.24554433,0.24564933,3.01676335,4.15376869,1.49482974
-5.90395198,6.91302110,0.15385734,0.71085426,0.55220005,0.24874164,0.24736585,3.08797103,4.36110835,1.56816426
-5.89794897,7.12227160,0.15257393,0.76211030,0.55657504,0.25096101,0.24791176,3.15189327,4.57613488,1.64193358
-5.89194597,7.32169041,0.15076903,0.81517816,0.56001188,0.25219411,0.24726072,3.20786254,4.79777810,1.71525889
-5.88594297,7.50959226,0.14847438,0.86973653,0.56241775,0.25245487,0.24541437,3.25534096,5.02470134,1.78724357
-5.87993997,7.68440223,0.14573107,0.92540303,0.56371177,0.25177763,0.24240156,3.29391983,5.25528724,1.85698635
-5.87393697,7.84465185,0.14258854,0.98173252,0.56382609,0.25021462,0.23827682,3.32331530,5.48763112,1.92359506
-5.86793397,7.98897385,0.13910328,1.03821775,0.56270667,0.24783286,0.23311800,3.34336081,5.71954353,1.98620077
-5.86193097,8.11609742,0.13533727,1.09429289,0.56031375,0.24471068,0.22702346,3.35399736,5.94856402,2.04397211
-5.85592796,8.22484567,0.13135622,1.14934018,0.55662204,0.24093402,0.22010867,3.35526228,6.17198715,2.09612959
-5.84992496,8.31413679,0.12722770,1.20269953,0.55162070,0.23659269,0.21250251,3.34727759,6.38690162,2.14195957
-5.84392196,8.38298991,0.12301925,1.25368121,0.54531311,0.23177686,0.20434347,3.33023873,6.59024239,2.18082773
-5.83791896,8.43053632,0.11879649,1.30158105,0.53771660,0.22657378,0.19577574,3.30440429,6.77885508,2.21219175
-5.83191596,8.45603625,0.11462139,1.34569793,0.52886196,0.22106511,0.18694544,3.27008740,6.94957108,2.23561285
-5.82591296,8.45890057,0.11055065,1.38535269,0.51879291,0.21532470,0.17799710,3.22764903,7.09929094,2.25076600
-5.81990995,8.43871656,0.10663435,1.41990790,0.50756553,0.20941710,0.16907039,3.17749337,7.22507314,2.25744854
-5.81390695,8.39527636,0.10291479,1.44878752,0.49524759,0.20339676,0.16029734,3.12006521,7.32422464,2.25558683
-5.80790395,8.32860619,0.09942571,1.47149571,0.48191772,0.19730781,0.15179997,3.05584902,7.39438932,2.24524089
-5.80190095,8.23899455,0.09619171,1.48763377,0.46766458,0.19118459,0.14368840,2.98536948,7.43363042,2.22660666
-5.79589795,8.12701714,0.09322808,1.49691458,0.45258579,0.18505263,0.13605945,2.90919274,7.44050295,2.20001580
-5.78989495,7.99355660,0.09054082,1.49917384,0.43678681,0.17893006,0.12899576,2.82792801,7.41411271,2.16593284
-5.78389195,7.83981519,0.08812707,1.49437738,0.42037961,0.17282942,0.12256536,2.74222889,7.35415887,2.12494967
-5.77788894,7.66731895,0.08597569,1.48262450,0.40348119,0.16675957,0.11682158,2.65279379,7.26095792,2.07777735
-5.77188594,7.47791211,0.08406817,1.46414682,0.38621202,0.16072770,0.11180343,2.56036505,7.13544758,2.02523514
-5.76588294,7.27374131,0.08237967,1.43930291,0.36869434,0.15474123,0.10753618,2.46572638,6.97917043,1.96823705
-5.75987994,7.05722918,0.08088027,1.40856886,0.35105039,0.14880957,0.10403224,2.36969832,6.79423757,1.90777597
-5.75387694,6.83103797,0.07953629,1.37252513,0.33340066,0.14294558,0.10129215,2.27313157,6.58327405,1.84490560
-5.74787394,6.59802368,0.07831173,1.33184022,0.31586217,0.13716665,0.09930568,2.17689819,6.34934809,1.78072059
-5.74187094,6.36118227,0.07716967,1.28725192,0.29854684,0.13149540,0.09805300,2.08188089,6.09588739,1.71633513
-5.73586793,6.12358916,0.07607368,1.23954685,0.28156001,0.12595998,0.09750576,1.98896043,5.82658568,1.65286057
-5.72986493,5.88833417,0.07498915,1.18953893,0.26499915,0.12059389,0.09762816,1.89900161,5.54530359,1.59138245
-5.72386193,5.65845375,0.07388447,1.13804787,0.24895285,0.11543540,0.09837789,1.81283821,5.25596761,1.53293750
-5.71785893,5.43686264,0.07273205,1.08587810,0.23349998,0.11052662,0.09970694,1.73125732,4.96247090,1.47849125
-5.71185593,5.22628717,0.07150914,1.03379913,0.21870924,0.10591226,0.10156235,1.65498350,4.66857969,1.42891674
-5.70585293,5.02920226,0.07019846,0.98252771,0.20463887,0.10163805,0.10388673,1.58466348,4.37784825,1.38497498
-5.69984992,4.84777416,0.06878847,0.93271250,0.19133676,0.09774912,0.10661877,1.52085168,4.09354505,1.34729785
-5.69384692,4.68381077,0.06727353,0.88492143,0.17884069,0.09428822,0.10969363,1.46399725,3.81859215,1.31637376
-5.68784392,4.53872111,0.06565373,0.83963220,0.16717889,0.09129391,0.11304331,1.41443314,3.55551907,1.29253684
-5.68184092,4.41348557,0.06393447,0.79722595,0.15637080,0.08879889,0.11659702,1.37236751,3.30643194,1.27595997
-5.67583792,4.30863773,0.06212589,0.75798410,0.14642793,0.08682844,0.12028160,1.33787815,3.07299774,1.26665204
-5.66983492,4.22425892,0.06024212,0.72208841,0.13735494,0.08539919,0.12402206,1.31091011,2.85644335,1.26445967
-5.66383192,4.15998572,0.05830039,0.68962398,0.12915081,0.08451805,0.12774223,1.29127681,2.65756816,1.26907349
-5.65782891,4.11503053,0.05632006,0.66058490,0.12181002,0.08418167,0.13136554,1.27866497,2.47676888,1.28003901
-5.65182591,4.08821495,0.05432167,0.63488238,0.11532391,0.08437612,0.13481605,1.27264327,2.31407468,1.29677176
-5.64582291,4.07801507,0.05232600,0.61235485,0.10968186,0.08507717,0.13801956,1.27267479,2.16919077,1.31857645
-5.63981991,4.08261742,0.05035315,0.59277957,0.10487262,0.08625088,0.14090494,1.27813286,2.04154811,1.34466947
-5.63381691,4.09998387,0.04842183,0.57588553,0.10088542,0.08785465,0.14340551,1.28832011,1.93035713,1.37420413
-5.62781391,4.12792337,0.04654869,0.56136684,0.09771108,0.08983862,0.14546054,1.30248996,1.83466325,1.40629770
-5.62181091,4.16416791,0.04474793,0.54889644,0.09534286,0.09214750,0.14701672,1.31987008,1.75340203,1.44005927
-5.61580790,4.20644986,0.04303095,0.53813949,0.09377715,0.09472251,0.14802957,1.33968669,1.68545204,1.47461743
-5.60980490,4.25257765,0.04140624,0.52876604,0.09301393,0.09750361,0.14846468,1.36118897,1.62968362,1.50914643
-5.60380190,4.30050662,0.03987944,0.52046260,0.09305682,0.10043171,0.14829877,1.38367239,1.58500201,1.54289004
-5.59779890,4.34840189,0.03845346,0.51294220,0.09391290,0.10345094,0.14752045,1.40649994,1.55038350,1.57518177
-5.59179590,4.39469062,0.03712879,0.50595260,0.09559205,0.10651062,0.14613060,1.42912033,1.52490363,1.60546068
-5.58579290,4.43810091,0.03590376,0.49928256,0.09810599,0.10956708,0.14414242,1.45108201,1.50775674,1.63328207
-5.57978989,4.47768578,0.03477499,0.49276582,0.10146689,0.11258506,0.14158104,1.47204258,1.49826656,1.65832248
-5.57378689,4.51283086,0.03373772,0.48628288,0.10568563,0.11553865,0.13848272,1.49177270,1.49588779,1.68037894
-5.56778389,4.54324553,0.03278619,0.47976044,0.11076986,0.11841170,0.13489371,1.51015457,1.50019908,1.69936241
-5.56178089,4.56893813,0.03191396,0.47316880,0.11672171,0.12119772,0.13086876,1.52717475,1.51088801,1.71528597
-5.55577789,4.59017646,0.03111417,0.46651728,0.12353558,0.12389918,0.12646929,1.54291182,1.52772934,1.72824846
-5.54977489,4.60743617,0.03037974,0.45984807,0.13119589,0.12652625,0.12176145,1.55751954,1.55055756,1.73841456
-5.54377189,4.62133982,0.02970355,0.45322869,0.13967502,0.12909514,0.11681407,1.57120645,1.57923560,1.74599263
-5.53776888,4.63259035,0.02907851,0.44674375,0.14893169,0.13162602,0.11169649,1.58421311,1.61362138,1.75121155
-5.53176588,4.64190308,0.02849762,0.44048618,0.15890978,0.13414065,0.10647663,1.59678830,1.65353407,1.75429820
-5.52576288,4.64994015,0.02795400,0.43454865,0.16953786,0.13665993,0.10121910,1.60916583,1.69872210,1.75545689
-5.51975988,4.65725170,0.02744092,0.42901537,0.18072944,0.13920146,0.09598363,1.62154311,1.74883481,1.75485216
-5.51375688,4.66422728,0.02695182,0.42395498,0.19238416,0.14177726,0.09082375,1.63406312,1.80339944,1.75259596
-5.50775388,4.67106055,0.02648038,0.41941463,0.20438977,0.14439181,0.08578588,1.64680074,1.86180494,1.74874016
-5.50175088,4.67772949,0.02602057,0.41541572,0.21662504,0.14704060,0.08090875,1.65975443,1.92329392,1.74327471
-5.49574787,4.68399331,0.02556680,0.41195139,0.22896345,0.14970913,0.07622318,1.67284364,1.98696327,1.73613172
-5.48974487,4.68940604,0.02511402,0.40898592,0.24127747,0.15237262,0.07175227,1.68591229,2.05177404,1.72719497
-5.48374187,4.69334603,0.02465796,0.40645593,0.25344337,0.15499634,0.06751183,1.69873786,2.11657013,1.71631437
-5.47773887,4.69505906,0.02419525,0.40427342,0.26534619,0.15753661,0.06351112,1.71104554,2.18010528,1.70332409
