energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,4.48963008,0.00787573,0.55462864,1.41619574,1.58319535,1.17400134,0.68176356,0.01243666,1.66125621
-5.99399700,4.45677085,0.00765409,0.55152941,1.39186467,1.58147082,1.16675205,0.67387688,0.01263055,1.64249725
-5.98799400,4.40871172,0.00742863,0.54641472,1.36332663,1.57428682,1.15560303,0.66358123,0.01279743,1.61817371
-5.98199100,4.34690390,0.00720576,0.53945100,1.33121435,1.56201139,1.14091626,0.65112381,0.01294175,1.58892170
-5.97598799,4.27295793,0.00699168,0.53082772,1.29617467,1.54507564,1.12309061,0.63678346,0.01306876,1.55543081
-5.96998499,4.18859351,0.00679219,0.52075166,1.25885120,1.52395902,1.10254973,0.62086206,0.01318419,1.51842347
-5.96398199,4.09558847,0.00661250,0.50944109,1.21986840,1.49917391,1.07973005,0.60367552,0.01329408,1.47863428
-5.95797899,3.99572869,0.00645709,0.49711969,1.17981746,1.47125013,1.05506907,0.58554455,0.01340442,1.43679007
-5.95197599,3.89076043,0.00632961,0.48401073,1.13924414,1.44071996,1.02899446,0.56678563,0.01352090,1.39359116
-5.94597299,3.78234659,0.00623274,0.47033142,1.09863910,1.40810409,1.00191406,0.54770240,0.01364859,1.34969440
-5.93996998,3.67202830,0.00616811,0.45628783,1.05843040,1.37389906,0.97420731,0.52857776,0.01379163,1.30569854
-5.93396698,3.56119278,0.00613634,0.44207044,1.01897858,1.33856654,0.94621806,0.50966698,0.01395304,1.26213212
-5.92796398,3.45104844,0.00613693,0.42785043,0.98057404,1.30252484,0.91824911,0.49119199,0.01413442,1.21944440
-5.92196098,3.34260783,0.00616837,0.41377692,0.94343676,1.26614273,0.89055850,0.47333704,0.01433584,1.17799929
-5.91595798,3.23667853,0.00622814,0.39997509,0.90771807,1.22973580,0.86335764,0.45624585,0.01455574,1.13807258
-5.90995498,3.13386219,0.00631283,0.38654530,0.87350448,1.19356528,0.83681116,0.44002035,0.01479088,1.09985227
-5.90395198,3.03456115,0.00641824,0.37356315,0.84082310,1.15783930,0.81103854,0.42472087,0.01503642,1.06344201
-5.89794897,2.93899217,0.00653950,0.36108046,0.80964855,1.12271615,0.78611715,0.41036795,0.01528606,1.02886727
-5.89194597,2.84720618,0.00667126,0.34912696,0.77991103,1.08830950,0.76208674,0.39694547,0.01553220,0.99608398
-5.88594297,2.75911302,0.00680787,0.33771269,0.75150512,1.05469497,0.73895484,0.38440490,0.01576626,0.96498921
-5.87993997,2.67450977,0.00694352,0.32683087,0.72429915,1.02191769,0.71670291,0.37267068,0.01597898,0.93543330
-5.87393697,2.59311113,0.00707249,0.31646108,0.69814462,0.99000038,0.69529294,0.36164616,0.01616083,0.90723302
-5.86793397,2.51458057,0.00718929,0.30657258,0.67288550,0.95895139,0.67467395,0.35122013,0.01630232,0.88018499
-5.86193097,2.43856054,0.00728888,0.29712757,0.64836688,0.92877239,0.65478834,0.34127336,0.01639452,0.85407901
-5.85592796,2.36470058,0.00736681,0.28808429,0.62444287,0.89946520,0.63557750,0.33168507,0.01642934,0.82871058
-5.84992496,2.29268217,0.00741940,0.27939974,0.60098340,0.87103744,0.61698673,0.32233907,0.01639997,0.80389221
-5.84392196,2.22223938,0.00744383,0.27103202,0.57787973,0.84350689,0.59896903,0.31312912,0.01630117,0.77946316
-5.83791896,2.15317473,0.00743824,0.26294218,0.55504858,0.81690438,0.58148782,0.30396362,0.01612952,0.75529722
-5.83191596,2.08537016,0.00740182,0.25509560,0.53243483,0.79127516,0.56451856,0.29476931,0.01588360,0.73130852
-5.82591296,2.01879289,0.00733478,0.24746283,0.51001274,0.76667898,0.54804924,0.28549386,0.01556413,0.70745520
-5.81990995,1.95349687,0.00723839,0.24002011,0.48778594,0.74318900,0.53208000,0.27610759,0.01517398,0.68374099
-5.81390695,1.88962014,0.00711492,0.23274951,0.46578619,0.72088990,0.51662197,0.26660402,0.01471812,0.66021508
-5.80790395,1.82737910,0.00696757,0.22563887,0.44407125,0.69987542,0.50169562,0.25699954,0.01420352,0.63697023
-5.80190095,1.76706059,0.00680035,0.21868164,0.42272197,0.68024576,0.48732884,0.24733233,0.01363891,0.61413968
-5.79589795,1.70901264,0.00661800,0.21187668,0.40183904,0.66210521,0.47355506,0.23766052,0.01303459,0.59189312
-5.78989495,1.65363494,0.00642583,0.20522818,0.38153951,0.64556024,0.46041154,0.22805989,0.01240211,0.57043199
-5.78389195,1.60136970,0.00622958,0.19874574,0.36195329,0.63071837,0.44793802,0.21862121,0.01175397,0.54998444
-5.77788894,1.55269348,0.00603527,0.19244457,0.34321997,0.61768784,0.43617594,0.20944739,0.01110327,0.53080029
-5.77188594,1.50811040,0.00584905,0.18634597,0.32548593,0.60657831,0.42516813,0.20065056,0.01046339,0.51314597
-5.76588294,1.46814671,0.00567707,0.18047788,0.30890191,0.59750231,0.41495899,0.19234915,0.00984765,0.49729971
-5.75987994,1.43334660,0.00552530,0.17487556,0.29362091,0.59057735,0.40559512,0.18466510,0.00926900,0.48354684
-5.75387694,1.40426871,0.00539944,0.16958228,0.27979661,0.58592843,0.39712611,0.17772125,0.00873975,0.47217523
-5.74787394,1.38148287,0.00530479,0.16464985,0.26758187,0.58369051,0.38960540,0.17163877,0.00827130,0.46347067
-5.74187094,1.36556618,0.00524613,0.16013897,0.25712748,0.58401057,0.38309092,0.16653483,0.00787391,0.45771199
-5.73586793,1.35709774,0.00522762,0.15611914,0.24858074,0.58704882,0.37764533,0.16252030,0.00755654,0.45516595
-5.72986493,1.35665129,0.00525271,0.15266823,0.24208389,0.59297868,0.37333556,0.15969756,0.00732664,0.45608144
-5.72386193,1.36478511,0.00532405,0.14987143,0.23777209,0.60198515,0.37023165,0.15815831,0.00719006,0.46068318
-5.71785893,1.38202887,0.00544341,0.14781961,0.23577094,0.61426138,0.36840472,0.15798139,0.00715095,0.46916470
-5.71185593,1.40886728,0.00561162,0.14660715,0.23619342,0.63000322,0.36792400,0.15923058,0.00721164,0.48168085
-5.70585293,1.44572070,0.00582850,0.14632908,0.23913624,0.64940186,0.36885309,0.16195245,0.00737266,0.49833982
-5.69984992,1.49292345,0.00609281,0.14707785,0.24467567,0.67263472,0.37124559,0.16617426,0.00763265,0.51919515
-5.69384692,1.55070038,0.00640220,0.14893963,0.25286304,0.69985489,0.37514026,0.17190201,0.00798839,0.54423799
-5.68784392,1.61914320,0.00675322,0.15199039,0.26371997,0.73117958,0.38055612,0.17911873,0.00843485,0.57339012
-5.68184092,1.69818767,0.00714129,0.15629197,0.27723376,0.76667830,0.38748764,0.18778317,0.00896521,0.60649822
-5.67583792,1.78759340,0.00756074,0.16188831,0.29335305,0.80636128,0.39590064,0.19782895,0.00957097,0.64332992
-5.66983492,1.88692765,0.00800487,0.16880196,0.31198426,0.85016900,0.40572897,0.20916436,0.01024211,0.68357212
-5.66383192,1.99555480,0.00846604,0.17703133,0.33298893,0.89796357,0.41687245,0.22167287,0.01096720,0.72683195
-5.65782891,2.11263260,0.00893580,0.18654862,0.35618246,0.94952251,0.42919633,0.23521449,0.01173369,0.77264079
-5.65182591,2.23711642,0.00940504,0.19729881,0.38133434,1.00453570,0.44253228,0.24962798,0.01252807,0.82046139
-5.64582291,2.36777203,0.00986421,0.20919962,0.40817017,1.06260588,0.45668124,0.26473392,0.01333625,0.86969817
-5.63981991,2.50319701,0.01030352,0.22214285,0.43637550,1.12325289,0.47141782,0.28033868,0.01414379,0.91971049
-5.63381691,2.64185072,0.01071321,0.23599681,0.46560165,1.18592184,0.48649639,0.29623896,0.01493630,0.96982850
-5.62781391,2.78209172,0.01108380,0.25060997,0.49547317,1.24999502,0.50165835,0.31222709,0.01569978,1.01937107
-5.62181091,2.92222152,0.01140638,0.26581576,0.52559701,1.31480707,0.51664053,0.32809654,0.01642095,1.06766499
-5.61580790,3.06053283,0.01167288,0.28143823,0.55557294,1.37966296,0.53118403,0.34364773,0.01708760,1.11406479
-5.60980490,3.19536030,0.01187628,0.29729843,0.58500480,1.44385796,0.54504326,0.35869358,0.01768889,1.15797212
-5.60380190,3.32513131,0.01201090,0.31322122,0.61351224,1.50669856,0.55799463,0.37306481,0.01821562,1.19885394
-5.59779890,3.44841459,0.01207254,0.32904218,0.64074234,1.56752365,0.56984445,0.38661461,0.01866045,1.23625851
-5.59179590,3.56396411,0.01205860,0.34461420,0.66638052,1.62572455,0.58043551,0.39922240,0.01901801,1.26982854
-5.58579290,3.67075622,0.01196822,0.35981355,0.69016034,1.68076324,0.58965223,0.41079668,0.01928502,1.29931076
-5.57978989,3.76801805,0.01180226,0.37454497,0.71187153,1.73218768,0.59742381,0.42127661,0.01946024,1.32456153
-5.57378689,3.85524591,0.01156325,0.38874541,0.73136593,1.77964352,0.60372545,0.43063251,0.01954441,1.34554818
-5.56778389,3.93221260,0.01125535,0.40238640,0.74856096,1.82288174,0.60857745,0.43886497,0.01954009,1.36234609
-5.56178089,3.99896345,0.01088413,0.41547457,0.76344041,1.86176174,0.61204236,0.44600294,0.01945148,1.37513169
-5.55577789,4.05580129,0.01045642,0.42805043,0.77605245,1.89624989,0.61422025,0.45210071,0.01928411,1.38417176
-5.54977489,4.10326115,0.00998003,0.44018532,0.78650490,1.92641375,0.61524246,0.45723401,0.01904455,1.38980969
-5.54377189,4.14207618,0.00946354,0.45197658,0.79495808,1.95241223,0.61526411,0.46149551,0.01874014,1.39244924
-5.53776888,4.17313639,0.00891597,0.46354126,0.80161539,1.97448242,0.61445579,0.46498988,0.01837859,1.39253679
-5.53176588,4.19744245,0.00834652,0.47500843,0.80671219,1.99292384,0.61299498,0.46782872,0.01796773,1.39054282
-5.52576288,4.21605680,0.00776430,0.48651067,0.81050348,2.00808090,0.61105739,0.47012552,0.01751522,1.38694346
-5.51975988,4.23005437,0.00717807,0.49817507,0.81325098,2.02032465,0.60880889,0.47199104,0.01702827,1.38220289
-5.51375688,4.24047525,0.00659602,0.51011404,0.81521016,2.03003460,0.60639821,0.47352909,0.01651350,1.37675732
-5.50775388,4.24828122,0.00602559,0.52241668,0.81661795,2.03758155,0.60395081,0.47483304,0.01597679,1.37100100
-5.50175088,4.25431807,0.00547332,0.53514090,0.81768163,2.04331226,0.60156416,0.47598307,0.01542318,1.36527480
-5.49574787,4.25928487,0.00494476,0.54830684,0.81856937,2.04753631,0.59930441,0.47704420,0.01485690,1.35985743
-5.48974487,4.26371130,0.00444439,0.56189189,0.81940283,2.05051588,0.59720476,0.47806516,0.01428136,1.35495957
-5.48374187,4.26794326,0.00397564,0.57582761,0.82025219,2.05245845,0.59526524,0.47907803,0.01369924,1.35072081
-5.47773887,4.27213706,0.00354088,0.58999866,0.82113367,2.05351255,0.59345403,0.48009848,0.01311261,1.34720911
-5.47173587,4.27626156,0.00314150,0.60424394,0.82200958,2.05376646,0.59170996,0.48112667,0.01252305,1.34442282
-5.46573287,4.28010769,0.00277797,0.61835975,0.82279085,2.05324955,0.58994614,0.48214854,0.01193180,1.34229458
-5.45972986,4.28330428,0.00244999,0.63210495,0.82334185,2.05193583,0.58805440,0.48313737,0.01133992,1.34069703
-5.45372686,4.28533902,0.00215654,0.64520796,0.82348715,2.04974932,0.58591031,0.48405563,0.01074840,1.33944991
-5.44772386,4.28558331,0.00189608,0.65737504,0.82301985,2.04657069,0.58337859,0.48485676,0.01015829,1.33832800
-5.44172086,4.28331966,0.00166660,0.66829984,0.82171106,2.04224477,0.58031854,0.48548700,0.00957077,1.33706989
-5.43571786,4.27777040,0.00146579,0.67767353,0.81932019,2.03658833,0.57658948,0.48588713,0.00898726,1.33538706
-5.42971486,4.26812661,0.00129115,0.68519530,0.81560539,2.02939788,0.57205583,0.48599395,0.00840938,1.33297309
-5.42371186,4.25357618,0.00114008,0.69058257,0.81033383,2.02045716,0.56659186,0.48574175,0.00783903,1.32951282
-5.41770885,4.23333034,0.00100995,0.69358083,0.80329149,2.00954405,0.56008576,0.48506348,0.00727830,1.32469131
-5.41170585,4.20664781,0.00089821,0.69397241,0.79429185,1.99643686,0.55244326,0.48389188,0.00672943,1.31820235
-5.40570285,4.17285640,0.00080243,0.69158406,0.78318350,1.98091998,0.54359049,0.48216041,0.00619479,1.30975657
-5.39969985,4.13137144,0.00072032,0.68629308,0.76985620,1.96278879,0.53347611,0.47980422,0.00567675,1.29908890
-5.39369685,4.08171122,0.00064980,0.67803165,0.75424538,1.94185413,0.52207286,0.47676100,0.00517763,1.28596535
-5.38769385,4.02350912,0.00058901,0.66678943,0.73633488,1.91794623,0.50937827,0.47297196,0.00469960,1.27018900
-5.38169085,3.95652264,0.00053630,0.65261423,0.71615805,1.89091841,0.49541483,0.46838280,0.00424461,1.25160518
-5.37568784,3.88063932,0.00049023,0.63561090,0.69379708,1.86065046,0.48022939,0.46294478,0.00381432,1.23010558
-5.36968484,3.79587985,0.00044958,0.61593843,0.66938083,1.82705197,0.46389213,0.45661587,0.00341009,1.20563142
