energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,1.11134185,0.00340753,0.38234320,0.58868841,0.51989191,0.03794654,0.10401290
-5.99399700,1.10954801,0.00332165,0.38337872,0.58945063,0.52074883,0.03815299,0.10222644
-5.98799400,1.10721028,0.00323551,0.38410998,0.58955164,0.52139937,0.03825197,0.10053576
-5.98199100,1.10415348,0.00314905,0.38446280,0.58888572,0.52175019,0.03822965,0.09893713
-5.97598799,1.10021362,0.00306200,0.38437019,0.58737066,0.52170919,0.03807418,0.09742352
-5.96998499,1.09525686,0.00297399,0.38377885,0.58495709,0.52119466,0.03777630,0.09598643
-5.96398199,1.08919704,0.00288455,0.38265516,0.58163617,0.52014418,0.03732981,0.09461771
-5.95797899,1.08201107,0.00279318,0.38099029,0.57744529,0.51852251,0.03673198,0.09331138
-5.95197599,1.07375085,0.00269941,0.37880405,0.57247137,0.51632827,0.03598379,0.09206515
-5.94597299,1.06455125,0.00260281,0.37614727,0.56685150,0.51359873,0.03509002,0.09088175
-5.93996998,1.05463337,0.00250308,0.37310253,0.56077076,0.51041243,0.03405920,0.08976984
-5.93396698,1.04430279,0.00240003,0.36978312,0.55445725,0.50688954,0.03290344,0.08874451
-5.92796398,1.03394280,0.00229362,0.36633018,0.54817448,0.50318963,0.03163809,0.08782733
-5.92196098,1.02400256,0.00218399,0.36290815,0.54221141,0.49950704,0.03028129,0.08704594
-5.91595798,1.01498095,0.00207141,0.35969871,0.53687055,0.49606391,0.02885349,0.08643315
-5.90995498,1.00740641,0.00195635,0.35689336,0.53245462,0.49310121,0.02737682,0.08602564
-5.90395198,1.00181394,0.00183939,0.35468510,0.52925239,0.49086806,0.02587446,0.08586230
-5.89794897,0.99872014,0.00172123,0.35325945,0.52752437,0.48961000,0.02437002,0.08598234
-5.89194597,0.99859756,0.00160268,0.35278532,0.52748902,0.48955660,0.02288683,0.08642310
-5.88594297,1.00184952,0.00148459,0.35340617,0.52931009,0.49090907,0.02144740,0.08721792
-5.87993997,1.00878670,0.00136784,0.35523183,0.53308588,0.49382861,0.02007276,0.08839392
-5.87393697,1.01960665,0.00125334,0.35833145,0.53884089,0.49842589,0.01878202,0.08997005
-5.86793397,1.03437737,0.00114192,0.36272799,0.54652031,0.50475251,0.01759190,0.09195532
-5.86193097,1.05302582,0.00103438,0.36839445,0.55598783,0.51279462,0.01651639,0.09434739
-5.85592796,1.07533214,0.00093143,0.37525218,0.56702679,0.52246936,0.01556645,0.09713163
-5.84992496,1.10093001,0.00083369,0.38317144,0.57934500,0.53362428,0.01474988,0.10028069
-5.84392196,1.12931333,0.00074165,0.39197410,0.59258279,0.54603976,0.01407123,0.10375464
-5.83791896,1.15984925,0.00065569,0.40143861,0.60632434,0.55943475,0.01353176,0.10750159
-5.83191596,1.19179703,0.00057606,0.41130701,0.62011164,0.57347530,0.01312960,0.11145906
-5.82591296,1.22433229,0.00050290,0.42129367,0.63346063,0.58778586,0.01285990,0.11555576
-5.81990995,1.25657563,0.00043624,0.43109558,0.64587892,0.60196285,0.01271509,0.11971393
-5.81390695,1.28762459,0.00037598,0.44040367,0.65688422,0.61558992,0.01268520,0.12385214
-5.80790395,1.31658787,0.00032195,0.44891471,0.66602280,0.62825450,0.01275827,0.12788839
-5.80190095,1.34262031,0.00027391,0.45634346,0.67288719,0.63956474,0.01292077,0.13174348
-5.79589795,1.36495743,0.00023153,0.46243443,0.67713244,0.64916634,0.01315812,0.13534453
-5.78989495,1.38294812,0.00019444,0.46697284,0.67849013,0.65675863,0.01345520,0.13862844
-5.78389195,1.39608435,0.00016225,0.46979447,0.67677972,0.66210913,0.01379685,0.14154528
-5.77788894,1.40402659,0.00013455,0.47079380,0.67191681,0.66506620,0.01416849,0.14406143
-5.77188594,1.40662421,0.00011090,0.46993039,0.66391789,0.66556913,0.01455658,0.14616230
-5.76588294,1.40392990,0.00009088,0.46723306,0.65290163,0.66365545,0.01494912,0.14785460
-5.75987994,1.39620771,0.00007409,0.46280185,0.63908663,0.65946506,0.01533616,0.14916801
-5.75387694,1.38393430,0.00006014,0.45680770,0.62278585,0.65324111,0.01571009,0.15015612
-5.74787394,1.36779330,0.00004867,0.44948976,0.60439802,0.64532746,0.01606601,0.15089670
-5.74187094,1.34866293,0.00003934,0.44115049,0.58439638,0.63616287,0.01640187,0.15149111
-5.73586793,1.32759714,0.00003185,0.43214878,0.56331535,0.62627201,0.01671859,0.15206283
-5.72986493,1.30580070,0.00002594,0.42289108,0.54173545,0.61625346,0.01701999,0.15275523
-5.72386193,1.28459900,0.00002136,0.41382097,0.52026725,0.60676510,0.01731263,0.15372846
