energy_ev,total_up,Ag_p_up,Ag_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.69189251,0.84786855,2.23681163,0.76559216,0.00000000,0.01695199,0.16192227,0.01414815,0.89928320
-5.99399700,3.76553783,0.85945499,2.28475189,0.79195294,0.00000000,0.01711806,0.16212731,0.01426653,0.91954156
-5.98799400,3.84037608,0.87282993,2.33314746,0.81883292,0.00000000,0.01723337,0.16333079,0.01437174,0.93946764
-5.98199100,3.91646145,0.88806983,2.38204579,0.84608379,0.00000000,0.01730111,0.16563919,0.01446337,0.95895594
-5.97598799,3.99390946,0.90522590,2.43155588,0.87356516,0.00000000,0.01732538,0.16914896,0.01454095,0.97791240
-5.96998499,4.07290324,0.92432374,2.48185168,0.90114768,0.00000000,0.01731102,0.17394413,0.01460400,0.99625973
-5.96398199,4.15369566,0.94536346,2.53317215,0.92871539,0.00000000,0.01726337,0.18009392,0.01465218,1.01394245
-5.95797899,4.23660670,0.96832003,2.58581721,0.95616710,0.00000000,0.01718804,0.18765041,0.01468534,1.03093099
-5.95197599,4.32201542,0.99314368,2.64013970,0.98341670,0.00000000,0.01709071,0.19664615,0.01470360,1.04722472
-5.94597299,4.41034611,1.01976012,2.69653302,1.01039238,0.00000000,0.01697680,0.20709184,0.01470742,1.06285348
-5.93996998,4.50204885,1.04807033,2.75541485,1.03703471,0.00000000,0.01685133,0.21897414,0.01469769,1.07787738
-5.93396698,4.59757482,1.07794995,2.81720730,1.06329380,0.00000000,0.01671864,0.23225366,0.01467573,1.09238484
-5.92796398,4.69734709,1.10924805,2.88231422,1.08912559,0.00000000,0.01658224,0.24686324,0.01464331,1.10648868
-5.92196098,4.80172817,1.14178547,2.95109657,1.11448760,0.00000000,0.01644467,0.26270664,0.01460262,1.12032057
-5.91595798,4.91098563,1.17535286,3.02384673,1.13933444,0.00000000,0.01630742,0.27965769,0.01455623,1.13402376
-5.90995498,5.02525760,1.20970865,3.10076322,1.16361337,0.00000000,0.01617086,0.29756017,0.01450701,1.14774473
-5.90395198,5.14451999,1.24457731,3.18192661,1.18726031,0.00000000,0.01603432,0.31622836,0.01445804,1.16162389
-5.89794897,5.26855720,1.27964831,3.26727831,1.21019661,0.00000000,0.01589611,0.33544852,0.01441249,1.17578608
-5.89194597,5.39693832,1.31457616,3.35660285,1.23232695,0.00000000,0.01575365,0.35498126,0.01437345,1.19033121
-5.88594297,5.52900039,1.34898199,3.44951517,1.25353850,0.00000000,0.01560368,0.37456497,0.01434383,1.20532571
