energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,2.26773284,0.07254038,0.00214022,0.01990023,1.48715077,0.59603574,0.86552005
-5.99399700,2.32466331,0.07437036,0.00219356,0.02012100,1.52266241,0.61069836,0.88662937
-5.98799400,2.37341845,0.07601197,0.00223629,0.02027035,1.55293914,0.62260241,0.90482412
-5.98199100,2.41296699,0.07743004,0.00226787,0.02034237,1.57727220,0.63150843,0.91971887
-5.97598799,2.44249591,0.07859562,0.00228804,0.02033299,1.59509372,0.63724083,0.93100894
-5.96998499,2.46143888,0.07948688,0.00229678,0.02024017,1.60599682,0.63969448,0.93848158
-5.96398199,2.46949458,0.08008986,0.00229434,0.02006401,1.60974926,0.63883877,0.94202321
-5.95797899,2.46663455,0.08039874,0.00228122,0.01980671,1.60630000,0.63471888,0.94162262
-5.95197599,2.45310003,0.08041584,0.00225812,0.01947256,1.59577862,0.62745434,0.93736987
-5.94597299,2.42938837,0.08015129,0.00222598,0.01906769,1.57848755,0.61723489,0.92945108
-5.93996998,2.39622989,0.07962236,0.00218584,0.01859990,1.55488795,0.60431391,0.91813956
-5.93396698,2.35455659,0.07885258,0.00213888,0.01807832,1.52557987,0.58899996,0.90378374
-5.92796398,2.30546457,0.07787060,0.00208635,0.01751308,1.49127801,0.57164654,0.88679259
-5.92196098,2.25017218,0.07670903,0.00202952,0.01691495,1.45278435,0.55264103,0.86761952
-5.91595798,2.18997621,0.07540308,0.00196962,0.01629500,1.41095913,0.53239303,0.84674547
-5.90995498,2.12620841,0.07398936,0.00190784,0.01566421,1.36669170,0.51132287,0.82466229
-5.90395198,2.06019446,0.07250464,0.00184526,0.01503322,1.32087267,0.48985074,0.80185701
-5.89794897,1.99321723,0.07098483,0.00178286,0.01441204,1.27436860,0.46838689,0.77879813
-5.89194597,1.92648595,0.06946412,0.00172144,0.01380983,1.22800037,0.44732339,0.75592411
-5.88594297,1.86111230,0.06797431,0.00166170,0.01323479,1.18252590,0.42702754,0.73363484
-5.87993997,1.79809402,0.06654438,0.00160417,0.01269408,1.13862778,0.40783715,0.71228609
-5.87393697,1.73830609,0.06520032,0.00154922,0.01219378,1.09690590,0.39005775,0.69218714
