energy_ev,total_up,Ga_p_up,Ga_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,1.28221797,0.15976286,0.00000000,0.90675643,0.47794505,0.82962525,0.00000000
-5.99399700,1.33645231,0.16913593,0.00000000,0.93952682,0.49997099,0.86681136,0.00000000
-5.98799400,1.39449548,0.17841771,0.00000000,0.97415972,0.52367733,0.90651844,0.00000000
-5.98199100,1.45643921,0.18755312,0.00000000,1.01060371,0.54914033,0.94885388,0.00000000
-5.97598799,1.52235845,0.19649785,0.00000000,1.04881153,0.57642483,0.99390971,0.00000000
-5.96998499,1.59230359,0.20521917,0.00000000,1.08873933,0.60557971,1.04175613,0.00000000
-5.96398199,1.66628868,0.21369588,0.00000000,1.13034283,0.63663204,1.09243279,0.00000000
-5.95797899,1.74427603,0.22191739,0.00000000,1.17357068,0.66957977,1.14593751,0.00000000
-5.95197599,1.82615747,0.22988189,0.00000000,1.21835497,0.70438355,1.20221325,0.00000000
-5.94597299,1.91173337,0.23759381,0.00000000,1.26459947,0.74095782,1.26113360,0.00000000
-5.93996998,2.00069078,0.24506064,0.00000000,1.31216640,0.77916191,1.32248794,0.00000000
-5.93396698,2.09258213,0.25228933,0.00000000,1.36086275,0.81879163,1.38596730,0.00000000
-5.92796398,2.18680665,0.25928249,0.00000000,1.41042715,0.85957230,1.45115204,0.00000000
-5.92196098,2.28259615,0.26603470,0.00000000,1.46051890,0.90115376,1.51750283,0.00000000
-5.91595798,2.37900722,0.27252922,0.00000000,1.51070998,0.94310828,1.58435599,0.00000000
-5.90995498,2.47492139,0.27873524,0.00000000,1.56048159,0.98493176,1.65092431,0.00000000
-5.90395198,2.56905451,0.28460608,0.00000000,1.60922584,1.02604890,1.71630417,0.00000000
-5.89794897,2.65997615,0.29007841,0.00000000,1.65625344,1.06582244,1.77948950,0.00000000
-5.89194597,2.74613913,0.29507262,0.00000000,1.70080750,1.10356653,1.83939247,0.00000000
-5.88594297,2.82591860,0.29949440,0.00000000,1.74208333,1.13856392,1.89487074,0.00000000
-5.87993997,2.89765962,0.30323759,0.00000000,1.77925367,1.17008654,1.94476025,0.00000000
-5.87393697,2.95973115,0.30618793,0.00000000,1.81149828,1.19741850,1.98791251,0.00000000
-5.86793397,3.01058426,0.30822788,0.00000000,1.83803645,1.21988075,2.02323446,0.00000000
-5.86193097,3.04881169,0.30924187,0.00000000,1.85816090,1.23685603,2.04972936,0.00000000
-5.85592796,3.07320552,0.30912207,0.00000000,1.87127098,1.24781295,2.06653636,0.00000000
-5.84992496,3.08281017,0.30777397,0.00000000,1.87690339,1.25232799,2.07296685,0.00000000
-5.84392196,3.07696738,0.30512178,0.00000000,1.87475843,1.25010414,2.06853550,0.00000000
-5.83791896,3.05535089,0.30111308,0.00000000,1.86472017,1.24098525,2.05298431,0.00000000
-5.83191596,3.01798848,0.29572263,0.00000000,1.84686912,1.22496512,2.02629825,0.00000000
-5.82591296,2.96527013,0.28895498,0.00000000,1.82148639,1.20219098,1.98871157,0.00000000
