energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,4.36076106,0.11322482,0.04044159,0.54553490,0.67310682,0.51388966,1.68704789,0.10079066,1.14030663
-5.99399700,4.53591424,0.11710077,0.04276635,0.58107559,0.70042910,0.53792028,1.74844716,0.10548628,1.18992876
-5.98799400,4.70576458,0.12065426,0.04511403,0.61690112,0.72524978,0.56191052,1.80816262,0.10985555,1.23855356
-5.98199100,4.86827927,0.12381284,0.04745669,0.65272428,0.74721390,0.58556057,1.86547681,0.11384569,1.28563384
-5.97598799,5.02174532,0.12651472,0.04976684,0.68826513,0.76604501,0.60859336,1.91979803,0.11741417,1.33069522
-5.96998499,5.16481133,0.12871018,0.05201791,0.72325484,0.78155406,0.63075960,1.97067404,0.12052991,1.37334763
-5.96398199,5.29651289,0.13036268,0.05418467,0.75743940,0.79364508,0.65184158,2.01779880,0.12317404,1.41329300
-5.95797899,5.41628094,0.13144940,0.05624358,0.79058328,0.80231749,0.67165594,2.06101236,0.12534010,1.45032909
-5.95197599,5.52393350,0.13196149,0.05817323,0.82247296,0.80766483,0.69005517,2.10029392,0.12703387,1.48434945
-5.94597299,5.61965193,0.13190384,0.05995460,0.85292054,0.80987025,0.70692831,2.13574879,0.12827259,1.51533983
-5.93996998,5.70394403,0.13129449,0.06157136,0.88176743,0.80919877,0.72220074,2.16759020,0.12908380,1.54337148
-5.93396698,5.77759647,0.13016374,0.06301016,0.90888794,0.80598710,0.73583346,2.19611720,0.12950391,1.56859201
-5.92796398,5.84162006,0.12855307,0.06426082,0.93419303,0.80063124,0.74782181,2.22168999,0.12957629,1.59121441
-5.92196098,5.89719104,0.12651378,0.06531655,0.95763382,0.79357280,0.75819406,2.24470438,0.12934940,1.61150511
-5.91595798,5.94559208,0.12410559,0.06617411,0.97920494,0.78528457,0.76700980,2.26556665,0.12887473,1.62977166
-5.90995498,5.98815599,0.12139518,0.06683393,0.99894729,0.77625616,0.77435835,2.28467045,0.12820477,1.64635088
-5.90395198,6.02621507,0.11845466,0.06730017,1.01695022,0.76698025,0.78035714,2.30237672,0.12739119,1.66159784
-5.89794897,6.06105820,0.11536021,0.06758073,1.03335263,0.75794019,0.78515013,2.31899765,0.12648317,1.67587631
-5.89194597,6.09389712,0.11219060,0.06768717,1.04834284,0.74959923,0.78890624,2.33478530,0.12552602,1.68955072
-5.88594297,6.12584256,0.10902597,0.06763459,1.06215695,0.74239193,0.79181754,2.34992509,0.12456020,1.70297994
-5.87993997,6.15789017,0.10594660,0.06744136,1.07507546,0.73671769,0.79409727,2.36453408,0.12362055,1.71651263
-5.87393697,6.19091552,0.10303177,0.06712879,1.08741802,0.73293668,0.79597746,2.37866377,0.12273605,1.73048412
-5.86793397,6.22567660,0.10035872,0.06672066,1.09953626,0.73136784,0.79770600,2.39230656,0.12192976,1.74521430
-5.86193097,6.26282231,0.09800166,0.06624271,1.11180468,0.73228876,0.79954314,2.40540517,0.12121911,1.76100635
-5.85592796,6.30290453,0.09603082,0.06572199,1.12460981,0.73593719,0.80175726,2.41786405,0.12061645,1.77814572
-5.84992496,6.34639184,0.09451148,0.06518612,1.13833787,0.74251359,0.80461993,2.42956161,0.12012974,1.79689903
-5.84392196,6.39368269,0.09350312,0.06466256,1.15336128,0.75218433,0.80840034,2.44036241,0.11976335,1.81751244
-5.83791896,6.44511616,0.09305847,0.06417777,1.17002448,0.76508500,0.81335904,2.45012834,0.11951890,1.84020930
-5.83191596,6.50097900,0.09322261,0.06375640,1.18862966,0.78132352,0.81974133,2.45872803,0.11939611,1.86518680
-5.82591296,6.56150769,0.09403214,0.06342058,1.20942285,0.80098238,0.82777031,2.46604397,0.11939353,1.89261164
-5.81990995,6.62688539,0.09551428,0.06318912,1.23258108,0.82412003,0.83763997,2.47197705,0.11950918,1.92261472
-5.81390695,6.69723351,0.09768615,0.06307695,1.25820113,0.85077089,0.84950851,2.47644832,0.11974105,1.95528500
-5.80790395,6.77259878,0.10055404,0.06309464,1.28629053,0.88094411,0.86349216,2.47939818,0.12008740,1.99066298
-5.80190095,6.85293664,0.10411286,0.06324803,1.31676113,0.91462098,0.87965984,2.48078333,0.12054696,2.02873396
-5.79589795,6.93809242,0.10834573,0.06353813,1.34942586,0.95175111,0.89802889,2.48057191,0.12111889,2.06942164
-5.78989495,7.02778203,0.11322375,0.06396111,1.38399873,0.99224776,0.91856208,2.47873748,0.12180266,2.11258262
-5.78389195,7.12157371,0.11870602,0.06450855,1.42009842,1.03598246,0.94116615,2.47525248,0.12259781,2.15800198
-5.77788894,7.21887279,0.12473990,0.06516788,1.45725541,1.08277937,0.96569199,2.47008192,0.12350355,2.20539066
-5.77188594,7.31891101,0.13126152,0.06592297,1.49492248,1.13240992,0.99193658,2.46317788,0.12451843,2.25438482
