energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.97138375,0.49371418,0.00211024,0.84307434,0.02813963,1.06391813,0.89432814,0.69547345
-5.99399700,2.91206907,0.47481193,0.00196722,0.83043968,0.02777022,1.03784720,0.87697646,0.68292184
-5.98799400,2.84504035,0.45553612,0.00182578,0.81467303,0.02739340,1.01024554,0.85706284,0.66815050
-5.98199100,2.77198164,0.43618299,0.00168691,0.79633141,0.02701001,0.98163954,0.83511082,0.65162210
-5.97598799,2.69469595,0.41704623,0.00155154,0.77602594,0.02662094,0.95257241,0.81168859,0.63383592
-5.96998499,2.61505586,0.39841055,0.00142046,0.75440365,0.02622723,0.92359094,0.78739373,0.61531336
-5.96398199,2.53495193,0.38054520,0.00129438,0.73212889,0.02583020,0.89523132,0.76283703,0.59658308
-5.95797899,2.45624109,0.36369739,0.00117388,0.70986493,0.02543151,0.86800472,0.73862591,0.57816648
-5.95197599,2.38069685,0.34808624,0.00105946,0.68825659,0.02503314,0.84238308,0.71534835,0.56056388
-5.94597299,2.30996327,0.33389715,0.00095150,0.66791427,0.02463738,0.81878579,0.69355760,0.54424209
-5.93996998,2.24551445,0.32127700,0.00085031,0.64940015,0.02424674,0.79756792,0.67375858,0.52962358
-5.93396698,2.18862077,0.31033045,0.00075608,0.63321657,0.02386381,0.77901050,0.65639633,0.51707761
-5.92796398,2.14032322,0.30111741,0.00066893,0.61979709,0.02349120,0.76331329,0.64184680,0.50691349
-5.92196098,2.10141618,0.29365186,0.00058891,0.60950017,0.02313138,0.75059063,0.63041047,0.49937609
-5.91595798,2.07243919,0.28790217,0.00051598,0.60260532,0.02278661,0.74087035,0.62230876,0.49464342
-5.90995498,2.05367733,0.28379293,0.00045005,0.59931173,0.02245889,0.73409611,0.61768323,0.49282628
-5.90395198,2.04516994,0.28120826,0.00039096,0.59973893,0.02214991,0.73013292,0.61659767,0.49396974
-5.89794897,2.04672670,0.27999645,0.00033851,0.60392927,0.02186113,0.72877581,0.61904259,0.49805613
-5.89194597,2.05795007,0.27997597,0.00029248,0.61185180,0.02159385,0.72976125,0.62494190,0.50500932
-5.88594297,2.07826272,0.28094246,0.00025261,0.62340716,0.02134929,0.73278085,0.63416150,0.51469982
-5.87993997,2.10693863,0.28267649,0.00021864,0.63843319,0.02112883,0.73749679,0.64651907,0.52695066
-5.87393697,2.14313640,0.28495190,0.00019029,0.65671091,0.02093415,0.74355829,0.66179482,0.54154347
-5.86793397,2.18593314,0.28754434,0.00016730,0.67797062,0.02076747,0.75061848,0.67974258,0.55822472
-5.86193097,2.23435786,0.29023953,0.00014942,0.70189794,0.02063170,0.75835074,0.70010071,0.57671184
-5.85592796,2.28742284,0.29284125,0.00013643,0.72813976,0.02053065,0.76646401,0.72260252,0.59669912
-5.84992496,2.34415202,0.29517833,0.00012814,0.75630987,0.02046910,0.77471609,0.74698553,0.61786323
-5.84392196,2.40360552,0.29711066,0.00012437,0.78599453,0.02045293,0.78292450,0.77299947,0.63986843
-5.83791896,2.46489960,0.29853376,0.00012500,0.81675788,0.02048903,0.79097423,0.80041253,0.66237140
-5.83191596,2.52722165,0.29938187,0.00012993,0.84814728,0.02058522,0.79882198,0.82901569,0.68502577
-5.82591296,2.58983997,0.29962924,0.00013910,0.87969888,0.02075004,0.80649671,0.85862504,0.70748638
-5.81990995,2.65210843,0.29928976,0.00015247,0.91094323,0.02099243,0.81409626,0.88908200,0.72941335
-5.81390695,2.71346627,0.29841480,0.00017004,0.94141121,0.02132137,0.82178025,0.92025145,0.75047605
-5.80790395,2.77343341,0.29708938,0.00019181,0.97064027,0.02174537,0.82975952,0.95201804,0.77035699
-5.80190095,2.83160200,0.29542699,0.00021782,0.99818090,0.02227194,0.83828251,0.98428077,0.78875566
-5.79589795,2.88762488,0.29356305,0.00024811,1.02360332,0.02290706,0.84761925,1.01694624,0.80539231
-5.78989495,2.94120200,0.29164764,0.00028274,1.04650430,0.02365451,0.85804369,1.04992098,0.82001173
-5.78389195,2.99206552,0.28983750,0.00032175,1.06651380,0.02451542,0.86981531,1.08310328,0.83238674
-5.77788894,3.03996486,0.28828802,0.00036522,1.08330143,0.02548768,0.88316080,1.11637504,0.84232162
-5.77188594,3.08465246,0.28714541,0.00041323,1.09658233,0.02656554,0.89825701,1.14959418,0.84965508
-5.76588294,3.12587132,0.28653937,0.00046585,1.10612232,0.02773938,0.91521579,1.18258813,0.85426280
-5.75987994,3.16334509,0.28657688,0.00052321,1.11174219,0.02899547,0.93407182,1.21514891,0.85605945
-5.75387694,3.19677147,0.28733703,0.00058545,1.11332072,0.03031604,0.95477398,1.24703023,0.85499998
-5.74787394,3.22581925,0.28886745,0.00065273,1.11079651,0.03167950,0.97718087,1.27794691,0.85108016
-5.74187094,3.25012960,0.29118217,0.00072531,1.10416844,0.03306077,1.00106075,1.30757692,0.84433626
-5.73586793,3.26932130,0.29426126,0.00080346,1.09349469,0.03443188,1.02609602,1.33556615,0.83484394
-5.72986493,3.28300000,0.29805197,0.00088758,1.07889044,0.03576272,1.05189205,1.36153573,0.82271622
-5.72386193,3.29077092,0.30247139,0.00097812,1.06052424,0.03702186,1.07798996,1.38509175,0.80810064
-5.71785893,3.29225436,0.30741035,0.00107562,1.03861328,0.03817756,1.10388274,1.40583711,0.79117577
