energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,3.58879496,0.00701346,2.01723128,0.11720730,0.47180426,2.69722436,1.75511345
-5.99399700,3.80458244,0.00738109,2.14429046,0.12473146,0.49727741,2.86293277,1.86747862
-5.98799400,4.01856274,0.00772712,2.27141157,0.13205544,0.52180843,3.03004756,1.97953301
-5.98199100,4.22837871,0.00804706,2.39738271,0.13908659,0.54505612,3.19670733,2.09032347
-5.97598799,4.43172573,0.00833662,2.52102111,0.14573047,0.56668844,3.36108134,2.19892629
-5.96998499,4.62639410,0.00859178,2.64119553,0.15189258,0.58638850,3.52140189,2.30446556
-5.96398199,4.81031061,0.00880888,2.75684779,0.15748039,0.60386052,3.67599609,2.40613052
-5.95797899,4.98157821,0.00898469,2.86701269,0.16240536,0.61883572,3.82331610,2.50319123
-5.95197599,5.13851250,0.00911650,2.97083563,0.16658517,0.63107799,3.96196691,2.59501182
-5.94597299,5.27967360,0.00920214,3.06758699,0.16994586,0.64038912,4.09073045,2.68106075
-5.93996998,5.40389215,0.00924012,3.15667256,0.17242399,0.64661363,4.20858496,2.76091726
-5.93396698,5.51028801,0.00922957,3.23763933,0.17396856,0.64964276,4.31471852,2.83427366
-5.92796398,5.59828055,0.00917039,3.31017608,0.17454278,0.64941766,4.40853579,2.90093292
-5.92196098,5.66758975,0.00906316,3.37410840,0.17412550,0.64593162,4.48965741,2.96080151
-5.91595798,5.71822757,0.00890925,3.42938822,0.17271225,0.63923103,4.55791163,3.01387762
-5.90995498,5.75047970,0.00871074,3.47607809,0.17031586,0.62941518,4.61331845,3.06023493
-5.90395198,5.76487816,0.00847042,3.51433078,0.16696650,0.61663466,4.65606684,3.10000298
-5.89794897,5.76216611,0.00819175,3.54436539,0.16271132,0.60108858,4.68648605,3.13334485
-5.89194597,5.74325624,0.00787880,3.56644109,0.15761349,0.58302035,4.70501278,3.16043353
-5.88594297,5.70918531,0.00753616,3.58083024,0.15175071,0.56271254,4.71215604,3.18142855
-5.87993997,5.66106703,0.00716891,3.58779253,0.14521340,0.54048058,4.70846189,3.19645423
-5.87393697,5.60004628,0.00678244,3.58755196,0.13810233,0.51666592,4.69448064,3.20558136
-5.86793397,5.52725728,0.00638242,3.58027842,0.13052609,0.49162861,4.67073863,3.20881369
-5.86193097,5.44378844,0.00597465,3.56607533,0.12259834,0.46573979,4.63771676,3.20608048
-5.85592796,5.35065601,0.00556500,3.54497453,0.11443491,0.43937431,4.59583757,3.19723609
-5.84992496,5.24878821,0.00515924,3.51693916,0.10615107,0.41290381,4.54546189,3.18206704
-5.84392196,5.13902081,0.00476301,3.48187467,0.09785877,0.38669047,4.48689573,3.16030664
-5.83791896,5.02210433,0.00438170,3.43964767,0.08966433,0.36108167,4.42040692,3.13165658
-5.83191596,4.89872220,0.00402038,3.39011169,0.08166624,0.33640569,4.34625088,3.09581444
-5.82591296,4.76951824,0.00368375,3.33313821,0.07395355,0.31296857,4.26470348,3.05250577
-5.81990995,4.63513160,0.00337605,3.26865147,0.06660453,0.29105205,4.17609891,3.00151874
-5.81390695,4.49623603,0.00310109,3.19666443,0.05968589,0.27091257,4.08086982,2.94273937
-5.80790395,4.35358070,0.00286216,3.11731387,0.05325240,0.25278118,3.97958668,2.87618496
-5.80190095,4.20802910,0.00266206,3.03089215,0.04734690,0.23686416,3.87299334,2.80203384
-5.79589795,4.06059291,0.00250305,2.93787349,0.04200075,0.22334414,3.76203601,2.72064911
-5.78989495,3.91245812,0.00238686,2.83893283,0.03723449,0.21238136,3.64788305,2.63259499
-5.78389195,3.76500079,0.00231470,2.73495598,0.03305885,0.20411502,3.53193364,2.53864440
-5.77788894,3.61979101,0.00228724,2.62704007,0.02947583,0.19866427,3.41581417,2.43977718
-5.77188594,3.47858406,0.00230457,2.51648389,0.02647994,0.19612876,3.30136158,2.33716861
-5.76588294,3.34329850,0.00236625,2.40476847,0.02405940,0.19658862,3.19059412,2.23216883
-5.75987994,3.21598213,0.00247126,2.29352862,0.02219736,0.20010370,3.08567036,2.12627383
-5.75387694,3.09876688,0.00261799,2.18451654,0.02087292,0.20671212,2.98883810,2.02108947
-5.74787394,2.99381488,0.00280422,2.07955923,0.02006217,0.21642824,2.90237534,1.91829007
-5.74187094,2.90325790,0.00302713,1.98051137,0.01973887,0.22923999,2.82852583,1.81957336
-5.73586793,2.82913298,0.00328328,1.88920574,0.01987514,0.24510595,2.76943194,1.72661389
-5.72986493,2.77331699,0.00356862,1.80740288,0.02044182,0.26395234,2.72706759,1.64101654
-5.72386193,2.73746293,0.00387853,1.73674209,0.02140874,0.28567008,2.70317404,1.56427211
-5.71785893,2.72294044,0.00420783,1.67869515,0.02274484,0.31011238,2.69920072,1.49771634
-5.71185593,2.73078287,0.00455086,1.63452432,0.02441815,0.33709293,2.71625350,1.44249380
-5.70585293,2.76164280,0.00490155,1.60524565,0.02639571,0.36638512,2.75505184,1.39952751
-5.69984992,2.81575744,0.00525356,1.59159850,0.02864340,0.39772241,2.81589633,1.36949501
-5.69384692,2.89292512,0.00560036,1.59402189,0.03112585,0.43079999,2.89864724,1.35281135
-5.68784392,2.99249341,0.00593542,1.61263805,0.03380628,0.46527788,3.00271485,1.34961907
-5.68184092,3.11335944,0.00625234,1.64724345,0.03664652,0.50078555,3.12706137,1.35978525
-5.67583792,3.25398223,0.00654507,1.69730742,0.03960705,0.53692790,3.27021465,1.38290540
-5.66983492,3.41240709,0.00680804,1.76197829,0.04264720,0.57329265,3.43029308,1.41831401
-5.66383192,3.58630148,0.00703639,1.84009725,0.04572546,0.60945884,3.60504122,1.46510134
-5.65782891,3.77300189,0.00722608,1.93021952,0.04879999,0.64500645,3.79187547,1.52213620
-5.65182591,3.96957084,0.00737413,2.03064292,0.05182926,0.67952660,3.98793899,1.58809424
-5.64582291,4.17286320,0.00747866,2.13944345,0.05477274,0.71263239,4.19016470,1.66149127
-5.63981991,4.37960052,0.00753904,2.25451737,0.05759185,0.74396976,4.39534548,1.74072119
-5.63381691,4.58645200,0.00755595,2.37362933,0.06025084,0.77322842,4.60020994,1.82409772
-5.62781391,4.79012049,0.00753142,2.49446556,0.06271783,0.80015220,4.80150227,1.90989920
-5.62181091,4.98743131,0.00746877,2.61469101,0.06496579,0.82454883,4.99606427,1.99641557
-5.61580790,5.17542168,0.00737262,2.73200900,0.06697345,0.84629871,5.18091742,2.08199623
-5.60980490,5.35142818,0.00724874,2.84422164,0.06872616,0.86536241,5.35334240,2.16509744
-5.60380190,5.51316902,0.00710397,2.94928904,0.07021656,0.88178675,5.51095357,2.24432786
-5.59779890,5.65881837,0.00694603,3.04538519,0.07144508,0.89570913,5.65176545,2.31849036
-5.59179590,5.78706929,0.00678331,3.13094814,0.07242014,0.90735985,5.77424845,2.38661854
-5.58579290,5.89718231,0.00662471,3.20472230,0.07315811,0.91706234,5.87737096,2.44800619
-5.57978989,5.98901666,0.00647936,3.26579084,0.07368301,0.92523102,5.96062558,2.50222811
-5.57378689,6.06304189,0.00635641,3.31359625,0.07402581,0.93236656,6.02403719,2.54915095
-5.56778389,6.12032795,0.00626478,3.34794788,0.07422354,0.93904855,6.06815182,2.58893304
-5.56178089,6.16251270,0.00621294,3.36901559,0.07431799,0.94592536,6.09400548,2.62201273
-5.55577789,6.19174696,0.00620862,3.37730936,0.07435432,0.95370124,6.10307351,2.64908510
-5.54977489,6.21061773,0.00625867,3.37364557,0.07437935,0.96312065,6.09720165,2.67106756
-5.54377189,6.22205200,0.00636884,3.35910104,0.07443976,0.97495003,6.07852133,2.68905552
-5.53776888,6.22920387,0.00654359,3.33495699,0.07458030,0.98995721,6.04935234,2.70426967
-5.53176588,6.23532930,0.00678600,3.30263537,0.07484188,1.00888882,6.01209710,2.71799713
-5.52576288,6.24365317,0.00709760,3.26363065,0.07525990,1.03244638,5.96913136,2.73152896
-5.51975988,6.25723421,0.00747838,3.21944038,0.07586268,1.06126138,5.92269641,2.74609691
-5.51375688,6.27883349,0.00792673,3.17149797,0.07667013,1.09587044,5.87479807,2.76281238
-5.50775388,6.31079245,0.00843946,3.12111099,0.07769281,1.13669112,5.82711780,2.78261040
-5.50175088,6.35492573,0.00901187,3.06940812,0.07893124,1.18399953,5.78094015,2.80620155
-5.49574787,6.41243413,0.00963788,3.01729716,0.08037569,1.23791044,5.73710071,2.83403399
-5.48974487,6.48384154,0.01031016,2.96543624,0.08200635,1.29836114,5.69595702,2.86626748
-5.48374187,6.56895901,0.01102036,2.91421914,0.08379387,1.36509959,5.65738415,2.90276078
-5.47773887,6.66687770,0.01175932,2.86377527,0.08570031,1.43767798,5.62079506,2.94307268
-5.47173587,6.77599118,0.01251735,2.81398383,0.08768041,1.51545211,5.58518448,2.98647686
-5.46573287,6.89404609,0.01328451,2.76450071,0.08968319,1.59758708,5.54919395,3.03198944
-5.45972986,7.01821880,0.01405090,2.71479650,0.09165365,1.68306957,5.51119424,3.07840787
-5.45372686,7.14521484,0.01480698,2.66420283,0.09353475,1.77072654,5.46938066,3.12435911
-5.44772386,7.27138631,0.01554385,2.61196431,0.09526932,1.85925006,5.42187593,3.16835461
-5.44172086,7.39286229,0.01625348,2.55729306,0.09680205,1.94722768,5.36683517,3.20884942
-5.43571786,7.50568644,0.01692900,2.49942261,0.09808127,2.03317741,5.30254735,3.24430260
-5.42971486,7.60595598,0.01756480,2.43765832,0.09906066,2.11558619,5.22752810,3.27323609
-5.42371186,7.68995630,0.01815669,2.37142194,0.09970066,2.19295062,5.14059915,3.29428956
-5.41770885,7.75428590,0.01870195,2.30028799,0.09996960,2.26381850,5.04095106,3.30626896
-5.41170585,7.79596704,0.01919933,2.22401066,0.09984457,2.32682951,4.92818627,3.30818695
-5.40570285,7.81253820,0.01964894,2.14254032,0.09931189,2.38075384,4.80234150,3.29929391
-5.39969985,7.80212568,0.02005213,2.05602940,0.09836726,2.42452700,4.66388895,3.27909878
-5.39369685,7.76349255,0.02041130,1.96482809,0.09701566,2.45727982,4.51371773,3.24737958
-5.38769385,7.69606423,0.02072964,1.86947065,0.09527085,2.47836234,4.35309720,3.20418376
-5.38169085,7.59993124,0.02101089,1.77065392,0.09315464,2.48736085,4.18362548,3.14981925
-5.37568784,7.47583041,0.02125907,1.66920943,0.09069601,2.48410765,4.00716640,3.08483730
-5.36968484,7.32510658,0.02147815,1.56607126,0.08792994,2.46868306,3.82577907,3.01000851
-5.36368184,7.14965779,0.02167189,1.46224130,0.08489625,2.44141003,3.64164387,2.92629360
-5.35767884,6.95186701,0.02184354,1.35875407,0.08163828,2.40284164,3.45698903,2.83481055
-5.35167584,6.73452393,0.02199576,1.25664255,0.07820164,2.35374211,3.27402095,2.73679977
-5.34567284,6.50074033,0.02213046,1.15690665,0.07463294,2.29506235,3.09486161,2.63358876
-5.33966983,6.25386240,0.02224885,1.06048542,0.07097863,2.22791105,2.92149498,2.52655753
-5.33366683,5.99738315,0.02235141,0.96823377,0.06728398,2.15352247,2.75572423,2.41710603
-5.32766383,5.73485761,0.02243809,0.88090429,0.06359213,2.07322233,2.59914024,2.30662416
-5.32166083,5.46982306,0.02250841,0.79913419,0.05994338,1.98839277,2.45310145,2.19646525
-5.31565783,5.20572615,0.02256177,0.72343732,0.05637460,1.90043785,2.31872442,2.08792302
-5.30965483,4.94585794,0.02259765,0.65420087,0.05291882,1.81075042,2.19688370,1.98221242
-5.30365183,4.69329782,0.02261591,0.59168612,0.04960498,1.72068131,2.08821961,1.88045393
-5.29764882,4.45086653,0.02261710,0.53603273,0.04645782,1.63151170,1.99315177,1.78366146
-5.29164582,4.22108816,0.02260265,0.48726573,0.04349793,1.54442903,1.91189678,1.69273313
-5.28564282,4.00616103,0.02257511,0.44530442,0.04074185,1.46050692,1.84448789,1.60844495
-5.27963982,3.80793671,0.02253830,0.40997279,0.03820232,1.38068935,1.79079525,1.53144669
-5.27363682,3.62790682,0.02249741,0.38101050,0.03588855,1.30577901,1.75054535,1.46225980
-5.26763382,3.46719683,0.02245893,0.35808431,0.03380655,1.23642979,1.72333854,1.40127707
-5.26163082,3.32656637,0.02243062,0.34079926,0.03195943,1.17314334,1.70866440,1.34876373
-5.25562781,3.20641549,0.02242131,0.32870969,0.03034778,1.11626920,1.70591446,1.30485994
-5.24962481,3.10679649,0.02244064,0.32132968,0.02896999,1.06600844,1.71439270,1.26958458
-5.24362181,3.02743086,0.02249877,0.31814301,0.02782254,1.02242030,1.73332422,1.24284035
-5.23761881,2.96773115,0.02260593,0.31861272,0.02690026,0.98543152,1.76186280,1.22442017
-5.23161581,2.92682739,0.02277204,0.32219014,0.02619661,0.95484794,1.79909804,1.21401501
-5.22561281,2.90359777,0.02300628,0.32832365,0.02570388,0.93036815,1.84406310,1.21122306
-5.21960980,2.89670323,0.02331656,0.33646712,0.02541336,0.91159856,1.89574352,1.21556039
-5.21360680,2.90462555,0.02370916,0.34608810,0.02531550,0.89806972,1.95308788,1.22647299
-5.20760380,2.92570818,0.02418828,0.35667583,0.02540008,0.88925348,2.01502061,1.24335002
-5.20160080,2.95819932,0.02475566,0.36774888,0.02565632,0.88458045,2.08045709,1.26553822
-5.19559780,3.00029629,0.02541038,0.37886243,0.02607303,0.88345763,2.14832087,1.29235713
-5.18959480,3.05019022,0.02614854,0.38961499,0.02663873,0.88528566,2.21756282,1.32311487
-5.18359180,3.10611018,0.02696323,0.39965452,0.02734178,0.88947536,2.28718156,1.35712410
-5.17758879,3.16636555,0.02784446,0.40868351,0.02817057,0.89546336,2.35624439,1.39371782
-5.17158579,3.22938569,0.02877929,0.41646311,0.02911366,0.90272626,2.42390820,1.43226443
-5.16558279,3.29375588,0.02975199,0.42281599,0.03015994,0.91079334,2.48943916,1.47218196
-5.15957979,3.35824866,0.03074435,0.42762782,0.03129887,0.91925733,2.55223068,1.51295073
-5.15357679,3.42184973,0.03173610,0.43084730,0.03252064,0.92778323,2.61181860,1.55412426
-5.14757379,3.48377789,0.03270536,0.43248468,0.03381638,0.93611498,2.66789320,1.59533815
-5.14157079,3.54349840,0.03362926,0.43260885,0.03517834,0.94407986,2.72030721,1.63631647
-5.13556778,3.60072952,0.03448454,0.43134298,0.03660008,0.95159067,2.76907958,1.67687552
-5.12956478,3.65544207,0.03524822,0.42885896,0.03807658,0.95864552,2.81439466,1.71692484
-5.12356178,3.70785178,0.03589833,0.42537079,0.03960438,0.96532547,2.85659672,1.75646518
-5.11755878,3.75840471,0.03641458,0.42112702,0.04118158,0.97178981,2.89617967,1.79558350
-5.11155578,3.80775581,0.03677901,0.41640264,0.04280781,0.97826926,2.93377223,1.83444494
-5.10555278,3.85674091,0.03697664,0.41149059,0.04448415,0.98505707,2.97011873,1.87328180
-5.09954977,3.90634262,0.03699594,0.40669311,0.04621289,0.99249820,3.00605578,1.91237976
-5.09354677,3.95765067,0.03682930,0.40231313,0.04799727,1.00097657,3.04248544,1.95206152
-5.08754377,4.01181735,0.03647331,0.39864598,0.04984104,1.01090077,3.08034516,1.99266828
-5.08154077,4.07000909,0.03592891,0.39597151,0.05174802,1.02268833,3.12057537,2.03453944
-5.07553777,4.13335499,0.03520143,0.39454678,0.05372152,1.03674885,3.16408523,2.07799117
-5.06953477,4.20289392,0.03430041,0.39459943,0.05576370,1.05346635,3.21171756,2.12329450
-5.06353177,4.27952131,0.03323934,0.39632182,0.05787499,1.07318129,3.26421374,2.17065363
-5.05752876,4.36393752,0.03203523,0.39986596,0.06005335,1.09617281,3.32217963,2.22018544
-5.05152576,4.45659951,0.03070808,0.40533931,0.06229371,1.12264158,3.38605365,2.27190097
-5.04552276,4.55767764,0.02928021,0.41280149,0.06458738,1.15269417,3.45607796,2.32568971
-5.03951976,4.66701959,0.02777557,0.42226193,0.06692162,1.18632936,3.53227412,2.38130766
-5.03351676,4.78412319,0.02621900,0.43367846,0.06927934,1.22342721,3.61442396,2.43836983
-5.02751376,4.90811979,0.02463544,0.44695697,0.07163897,1.26374146,3.70205700,2.49634776
-5.02151076,5.03776966,0.02304921,0.46195212,0.07397450,1.30689589,3.79444501,2.55457256
-5.01550775,5.17147043,0.02148331,0.47846909,0.07625582,1.35238510,3.89060453,2.61224371
-5.00950475,5.30727919,0.01995883,0.49626660,0.07844920,1.39958004,3.98930780,2.66844355
-5.00350175,5.44294832,0.01849442,0.51506103,0.08051802,1.44773846,4.08910230,2.72215732
-4.99749875,5.57597468,0.01710589,0.53453173,0.08242370,1.49602025,4.18833880,2.77229815
-4.99149575,5.70366107,0.01580594,0.55432752,0.08412681,1.54350736,4.28520765,2.81773637
-4.98549275,5.82318838,0.01460399,0.57407432,0.08558830,1.58922795,4.37778247,2.85733217
-4.97948974,5.93169624,0.01350623,0.59338374,0.08677083,1.63218381,4.46407038,2.88997052
-4.97348674,6.02636970,0.01251562,0.61186255,0.08764008,1.67138049,4.54206743,2.91459706
-4.96748374,6.10452885,0.01163219,0.62912282,0.08816613,1.70585878,4.60981759,2.93025380
-4.96148074,6.16371814,0.01085328,0.64479238,0.08832463,1.73472649,4.66547366,2.93611309
-4.95547774,6.20179213,0.01017398,0.65852546,0.08809792,1.75718927,4.70735790,2.93150870
-4.94947474,6.21699418,0.00958749,0.67001300,0.08747591,1.77257915,4.73402049,2.91596277
-4.94347174,6.20802495,0.00908565,0.67899238,0.08645669,1.78037966,4.74429347,2.88920749
-4.93746873,6.17409781,0.00865939,0.68525606,0.08504695,1.78024625,4.73733813,2.85120060
-4.93146573,6.11497865,0.00829925,0.68865893,0.08326200,1.77202131,4.71268383,2.80213420
-4.92546273,6.03100818,0.00799577,0.68912384,0.08112555,1.75574286,4.67025639,2.74243614
-4.91945973,5.92310551,0.00774000,0.68664510,0.07866919,1.73164650,4.61039469,2.67276406
-4.91345673,5.79275246,0.00752380,0.68128973,0.07593153,1.70016051,4.53385415,2.59399213
-4.90745373,5.64195877,0.00734020,0.67319620,0.07295722,1.66189405,4.44179670,2.50719085
-4.90145073,5.47320937,0.00718364,0.66257071,0.06979560,1.61761903,4.33576698,2.41360048
-4.89544772,5.28939531,0.00705017,0.64968100,0.06649933,1.56824618,4.21765523,2.31459922
-4.88944472,5.09373085,0.00693754,0.63484783,0.06312283,1.51479632,4.08964791,2.21166698
-4.88344172,4.88965977,0.00684531,0.61843451,0.05972077,1.45836799,3.95416770,2.10634612
-4.87743872,4.68075427,0.00677479,0.60083463,0.05634648,1.40010259,3.81380480,2.00020061
-4.87143572,4.47061043,0.00672900,0.58245875,0.05305051,1.34114857,3.67124226,1.89477483
-4.86543272,4.26274394,0.00671257,0.56372028,0.04987930,1.28262592,3.52917791,1.79155369
-4.85942971,4.06049028,0.00673155,0.54502137,0.04687399,1.22559250,3.39024622,1.69192524
-4.85342671,3.86691281,0.00679327,0.52673920,0.04406952,1.17101332,3.25694288,1.59714722
-4.84742371,3.68472238,0.00690604,0.50921341,0.04149387,1.11973408,3.13155531,1.50831847
-4.84142071,3.51621118,0.00707898,0.49273515,0.03916764,1.07245977,3.01610168,1.42635629
-4.83541771,3.36320301,0.00732170,0.47753817,0.03710384,1.02973914,2.91228083,1.35198019
-4.82941471,3.22702162,0.00764403,0.46379241,0.03530800,0.99195546,2.82143483,1.28570254
-4.82341171,3.10847769,0.00805574,0.45160035,0.03377844,0.95932367,2.74452558,1.22782622
-4.81740870,3.00787429,0.00856622,0.44099612,0.03250689,0.93189392,2.68212569,1.17844888
-4.81140570,2.92503011,0.00918419,0.43194761,0.03147914,0.90956108,2.63442375,1.13747370
-4.80540270,2.85931855,0.00991739,0.42436114,0.03067604,0.89207952,2.60124302,1.10462554
-4.79939970,2.80972060,0.01077226,0.41808873,0.03007446,0.87908238,2.58207212,1.07947192
-4.79339670,2.77488841,0.01175367,0.41293731,0.02964840,0.87010437,2.57610573,1.06144755
-4.78739370,2.75321661,0.01286461,0.40867954,0.02937014,0.86460682,2.58229289,1.04988135
-4.78139070,2.74291768,0.01410593,0.40506570,0.02921133,0.86200385,2.59939029,1.04402471
-4.77538769,2.74209814,0.01547614,0.40183598,0.02914405,0.86168844,2.62601768,1.04307984
-4.76938469,2.74883196,0.01697116,0.39873258,0.02914177,0.86305730,2.66071274,1.04622698
-4.76338169,2.76122832,0.01858419,0.39551116,0.02918016,0.86553329,2.70198286,1.05264968
-4.75737869,2.77749109,0.02030563,0.39195100,0.02923775,0.86858476,2.74835163,1.06155701
-4.75137569,2.79596787,0.02212305,0.38786347,0.02929642,0.87174085,2.79839823,1.07220238
-4.74537269,2.81518727,0.02402122,0.38309863,0.02934169,0.87460244,2.85078866,1.08389832
-4.73936968,2.83388374,0.02598228,0.37754944,0.02936281,0.87684852,2.90429797,1.09602709
-4.73336668,2.85100985,0.02798595,0.37115392,0.02935270,0.87823791,2.95782365,1.10804722
-4.72736368,2.86573676,0.03000981,0.36389493,0.02930765,0.87860671,3.01039058,1.11949610
-4.72136068,2.87744416,0.03202975,0.35579801,0.02922697,0.87786192,3.06114863,1.12998916
-4.71535768,2.88570143,0.03402037,0.34692747,0.02911245,0.87597192,3.10936443,1.13921606
-4.70935468,2.89024214,0.03595559,0.33738107,0.02896779,0.87295462,3.15440897,1.14693476
-4.70335168,2.89093453,0.03780916,0.32728386,0.02879795,0.86886431,3.19574324,1.15296401
-4.69734867,2.88775017,0.03955529,0.31678150,0.02860851,0.86377791,3.23290373,1.15717516
-4.69134567,2.88073356,0.04116931,0.30603365,0.02840515,0.85778188,3.26548992,1.15948397
-4.68534267,2.86997473,0.04262822,0.29520793,0.02819303,0.85096033,3.29315560,1.15984309
-4.67933967,2.85558695,0.04391129,0.28447471,0.02797644,0.84338529,3.31560537,1.15823589
-4.67333667,2.83769101,0.04500058,0.27400326,0.02775851,0.83510956,3.33259768,1.15467193
-4.66733367,2.81640709,0.04588138,0.26395940,0.02754101,0.82616264,3.34395491,1.14918461
-4.66133067,2.79185487,0.04654257,0.25450490,0.02732442,0.81654972,3.34958071,1.14183092
-4.65532766,2.76416163,0.04697690,0.24579851,0.02710799,0.80625399,3.34948445,1.13269361
-4.64932466,2.73347794,0.04718116,0.23799884,0.02689010,0.79524163,3.34381164,1.12188539
-4.64332166,2.69999977,0.04715621,0.23126859,0.02666855,0.78346941,3.33287936,1.10955499
-4.63731866,2.66399546,0.04690700,0.22578005,0.02644114,0.77089407,3.31721458,1.09589465
-4.63131566,2.62583572,0.04644239,0.22172154,0.02620609,0.75748298,3.29759356,1.08114851
-4.62531266,2.58602453,0.04577500,0.21930408,0.02596268,0.74322512,3.27507966,1.06562124
-4.61930965,2.54522856,0.04492085,0.21876817,0.02571170,0.72814173,3.25105696,1.04968623
-4.61330665,2.50430283,0.04389908,0.22038974,0.02545598,0.71229586,3.22725702,1.03379258
-4.60730365,2.46431031,0.04273149,0.22448506,0.02520075,0.69580003,3.20577587,1.01847015
-4.60130065,2.42653329,0.04144218,0.23141379,0.02495390,0.67882147,3.18907858,1.00433181
-4.59529765,2.39247479,0.04005698,0.24157983,0.02472611,0.66158446,3.17998912,0.99207237
-4.58929465,2.36384836,0.03860303,0.25542942,0.02453080,0.64436947,3.18166324,0.98246345
-4.58329165,2.34255542,0.03710821,0.27344610,0.02438396,0.62750889,3.19754298,0.97634382
-4.57728864,2.33064953,0.03560066,0.29614227,0.02430370,0.61137952,3.23129176,0.97460492
-4.57128564,2.33028768,0.03410818,0.32404729,0.02430976,0.59639186,3.28670989,0.97817149
-4.56528264,2.34366927,0.03265775,0.35769190,0.02442280,0.58297675,3.36763115,0.98797724
-4.55927964,2.37296414,0.03127497,0.39758940,0.02466357,0.57156972,3.47780208,1.00493617
-4.55327664,2.42023155,0.02998349,0.44421382,0.02505202,0.56259381,3.62074653,1.02990991
-4.54727364,2.48733273,0.02880458,0.49797556,0.02560629,0.55644152,3.79961904,1.06367223
-4.54127064,2.57583999,0.02775657,0.55919553,0.02634178,0.55345674,4.01705189,1.10687170
-4.53526763,2.68694620,0.02685444,0.62807844,0.02727017,0.55391744,4.27500099,1.15999393
-4.52926463,2.82137822,0.02610945,0.70468659,0.02839855,0.55802002,4.57459728,1.22332521
-4.52326163,2.97931877,0.02552881,0.78891526,0.02972868,0.56586603,4.91601016,1.29691888
-4.51725863,3.16034068,0.02511543,0.88047109,0.03125635,0.57745201,5.29833022,1.38056674
-4.51125563,3.36335765,0.02486782,0.97885486,0.03297106,0.59266305,5.71947842,1.47377682
-4.50525263,3.58659511,0.02478009,1.08334981,0.03485584,0.61127059,6.17614816,1.57575958
-4.49924962,3.82758429,0.02484204,1.19301691,0.03688736,0.63293467,6.66378630,1.68542365
-4.49324662,4.08318184,0.02503939,1.30669786,0.03903627,0.65721087,7.17661766,1.80138256
-4.48724362,4.34961615,0.02535422,1.42302664,0.04126793,0.68356182,7.70771602,1.92197294
-4.48124062,4.62256075,0.02576539,1.54044988,0.04354322,0.71137307,8.24912282,2.04528459
-4.47523762,4.89723357,0.02624926,1.65725612,0.04581980,0.73997277,8.79201240,2.16920197
-4.46923462,5.16851982,0.02678033,1.77161320,0.04805336,0.76865462,9.32690055,2.29145640
-4.46323162,5.43111482,0.02733211,1.88161320,0.05019921,0.79670320,9.84389059,2.40968736
-4.45722861,5.67968209,0.02787793,1.98532317,0.05221388,0.82342070,10.33294908,2.52151100
-4.45122561,5.90902081,0.02839185,2.08084012,0.05405675,0.84815414,10.78420140,2.62459336
-4.44522261,6.11423632,0.02884951,2.16634808,0.05569175,0.87032166,11.18823589,2.71672562
-4.43921961,6.29090649,0.02922895,2.24017491,0.05708886,0.88943712,11.53640400,2.79589815
-4.43321661,6.43523706,0.02951135,2.30084646,0.05822548,0.90513158,11.82110400,2.86037052
-4.42721361,6.54419904,0.02968163,2.34713561,0.05908764,0.91717084,12.03603553,2.90873423
-4.42121061,6.61564203,0.02972898,2.37810415,0.05967081,0.92546815,12.17641371,2.93996568
-4.41520760,6.64837817,0.02964712,2.39313522,0.05998054,0.93009138,12.23913286,2.95346677
