energy_ev,total_up,Pb_p_up,Pb_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.06938555,0.07313866,0.00155879,1.01530983,0.77977185,0.02028086,1.16297260
-5.99399700,2.03332078,0.06953000,0.00155214,0.99603378,0.77256914,0.02014124,1.14162104
-5.98799400,1.99814798,0.06615000,0.00154531,0.97628196,0.76581533,0.02004407,1.12054971
-5.98199100,1.96419897,0.06302894,0.00153867,0.95613713,0.75962850,0.01998222,1.09993388
-5.97598799,1.93175658,0.06019305,0.00153257,0.93566019,0.75411339,0.01994773,1.07992058
-5.96998499,1.90106074,0.05766491,0.00152733,0.91489427,0.74936268,0.01993220,1.06063256
-5.96398199,1.87231596,0.05546393,0.00152327,0.89386973,0.74545838,0.01992723,1.04217307
-5.95797899,1.84569911,0.05360688,0.00152069,0.87260978,0.74247320,0.01992482,1.02463095
-5.95197599,1.82136678,0.05210852,0.00151985,0.85113625,0.74047157,0.01991774,1.00808554
-5.94597299,1.79946144,0.05098209,0.00152098,0.82947497,0.73951015,0.01989985,0.99261091
-5.93996998,1.78011588,0.05023982,0.00152427,0.80766053,0.73963776,0.01986635,0.97827912
-5.93396698,1.76345528,0.04989329,0.00152986,0.78573995,0.74089457,0.01981394,0.96516222
-5.92796398,1.74959704,0.04995367,0.00153786,0.76377516,0.74331063,0.01974096,0.95333278
-5.92196098,1.73864805,0.05043168,0.00154830,0.74184413,0.74690379,0.01964732,0.94286299
-5.91595798,1.73069994,0.05133746,0.00156114,0.72004059,0.75167733,0.01953450,0.93382250
-5.90995498,1.72582256,0.05268016,0.00157628,0.69847255,0.75761727,0.01940533,0.92627509
-5.90395198,1.72405644,0.05446730,0.00159354,0.67725969,0.76468994,0.01926380,0.92027471
-5.89794897,1.72540494,0.05670399,0.00161266,0.65653007,0.77283980,0.01911480,0.91586101
-5.89194597,1.72982676,0.05939194,0.00163330,0.63641615,0.78198809,0.01896376,0.91305506
-5.88594297,1.73722974,0.06252845,0.00165505,0.61705075,0.79203220,0.01881635,0.91185547
-5.87993997,1.74746641,0.06610522,0.00167744,0.59856308,0.80284636,0.01867815,0.91223537
-5.87393697,1.76033211,0.07010735,0.00169994,0.58107512,0.81428335,0.01855430,0.91414057
-5.86793397,1.77556580,0.07451235,0.00172199,0.56469865,0.82617765,0.01844926,0.91748909
-5.86193097,1.79285395,0.07928932,0.00174299,0.54953293,0.83834964,0.01836654,0.92217222
-5.85592796,1.81183742,0.08439854,0.00176238,0.53566331,0.85061106,0.01830852,0.92805702
-5.84992496,1.83212111,0.08979121,0.00177959,0.52316054,0.86277116,0.01827637,0.93499042
-5.84392196,1.85328611,0.09540974,0.00179411,0.51208088,0.87464368,0.01826996,0.94280434
-5.83791896,1.87490371,0.10118842,0.00180549,0.50246693,0.88605397,0.01828793,0.95132207
-5.83191596,1.89655067,0.10705454,0.00181338,0.49434883,0.89684625,0.01832776,0.96036511
-5.82591296,1.91782509,0.11292996,0.00181752,0.48774587,0.90689044,0.01838593,0.96976050
-5.81990995,1.93836209,0.11873309,0.00181778,0.48266817,0.91608842,0.01845808,0.97934799
-5.81390695,1.95784850,0.12438123,0.00181415,0.47911841,0.92437924,0.01853932,0.98898694
-5.80790395,1.97603607,0.12979315,0.00180676,0.47709331,0.93174330,0.01862442,0.99856238
-5.80190095,1.99275222,0.13489178,0.00179587,0.47658483,0.93820496,0.01870811,1.00799005
-5.79589795,2.00790818,0.13960701,0.00178186,0.47758092,0.94383374,0.01878534,1.01722017
-5.78989495,2.02150377,0.14387823,0.00176525,0.48006589,0.94874380,0.01885151,1.02623964
-5.78389195,2.03362865,0.14765670,0.00174663,0.48402023,0.95309175,0.01890269,1.03507264
-5.77788894,2.04445987,0.15090743,0.00172669,0.48942003,0.95707284,0.01893578,1.04377947
-5.77188594,2.05425565,0.15361063,0.00170619,0.49623589,0.96091546,0.01894868,1.05245366
-5.76588294,2.06334543,0.15576236,0.00168592,0.50443154,0.96487428,0.01894027,1.06121740
-5.75987994,2.07211660,0.15737466,0.00166669,0.51396218,0.96922196,0.01891049,1.07021539
-5.75387694,2.08099811,0.15847484,0.00164927,0.52477253,0.97423988,0.01886030,1.07960738
-5.74787394,2.09044165,0.15910406,0.00163444,0.53679498,0.98020797,0.01879153,1.08955949
-5.74187094,2.10090095,0.15931528,0.00162287,0.54994762,0.98739408,0.01870678,1.10023483
-5.73586793,2.11280994,0.15917061,0.00161518,0.56413245,0.99604306,0.01860921,1.11178363
-5.72986493,2.12656071,0.15873821,0.00161185,0.57923394,1.00636619,0.01850237,1.12433329
-5.72386193,2.14248208,0.15808891,0.00161328,0.59511782,1.01853099,0.01838994,1.13797884
-5.71785893,2.16081966,0.15729273,0.00161968,0.61163048,1.03265213,0.01827550,1.15277415
-5.71185593,2.18171843,0.15641546,0.00163116,0.62859884,1.04878354,0.01816231,1.16872437
-5.70585293,2.20520851,0.15551546,0.00164762,0.64583092,1.06691229,0.01805311,1.18578001
-5.69984992,2.23119494,0.15464095,0.00166886,0.66311708,1.08695441,0.01794994,1.20383282
-5.69384692,2.25945199,0.15382785,0.00169447,0.68023205,1.10875291,0.01785396,1.22271402
-5.68784392,2.28962253,0.15309824,0.00172393,0.69693763,1.13207824,0.01776541,1.24219477
-5.68184092,2.32122242,0.15245966,0.00175656,0.71298619,1.15663122,0.01768349,1.26198918
-5.67583792,2.35365016,0.15190512,0.00179155,0.72812477,1.18204845,0.01760642,1.28175967
-5.66983492,2.38620133,0.15141394,0.00182799,0.74209980,1.20791006,0.01753146,1.30112465
-5.66383192,2.41808755,0.15095321,0.00186490,0.75466220,1.23374972,0.01745499,1.31966824
-5.65782891,2.44845903,0.15047993,0.00190122,0.76557287,1.25906641,0.01737270,1.33695169
-5.65182591,2.47643023,0.14994361,0.00193585,0.77460821,1.28333782,0.01727967,1.35252606
-5.64582291,2.50110735,0.14928920,0.00196771,0.78156562,1.30603477,0.01717068,1.36594573
-5.63981991,2.52161679,0.14846015,0.00199571,0.78626877,1.32663630,0.01704033,1.37678227
-5.63381691,2.53713353,0.14740157,0.00201883,0.78857239,1.34464482,0.01688334,1.38463805
-5.62781391,2.54690829,0.14606314,0.00203614,0.78836650,1.35960098,0.01669469,1.38915914
-5.62181091,2.55029260,0.14440184,0.00204679,0.78557984,1.37109757,0.01646991,1.39004711
-5.61580790,2.54676086,0.14238419,0.00205007,0.78018249,1.37879223,0.01620521,1.38706920
