energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,W_p_up,W_d_up
3.43671836,1.56132401,0.06008514,0.27719174,0.33542923,0.16134038,0.03711552,0.11836608,0.66895422,0.85671687
3.44272136,1.56354241,0.06021117,0.27988142,0.33793676,0.16129747,0.03857742,0.11951199,0.66338260,0.85508174
3.44872436,1.56289302,0.06010550,0.28193908,0.34002518,0.16088357,0.04042690,0.12077846,0.65558012,0.85157367
3.45472736,1.55982343,0.05979230,0.28341944,0.34186943,0.16011789,0.04267353,0.12221735,0.64576848,0.84644205
3.46073037,1.55488070,0.05930040,0.28439634,0.34366352,0.15902944,0.04532772,0.12388610,0.63421527,0.83999307
3.46673337,1.54869646,0.05866247,0.28496097,0.34561395,0.15765641,0.04840048,0.12584599,0.62122605,0.83258157
3.47273637,1.54196789,0.05791407,0.28521936,0.34793217,0.15604521,0.05190286,0.12815996,0.60713525,0.82460080
3.47873937,1.53543506,0.05709261,0.28528912,0.35082639,0.15424919,0.05584515,0.13089003,0.59229609,0.81647035
3.48474237,1.52985543,0.05623630,0.28529542,0.35449299,0.15232694,0.06023576,0.13409455,0.57707001,0.80862259
3.49074537,1.52597606,0.05538295,0.28536657,0.35910780,0.15034044,0.06507984,0.13782517,0.56181573,0.80148796
3.49674837,1.52450469,0.05456888,0.28562906,0.36481761,0.14835287,0.07037770,0.14212378,0.54687860,0.79547983
3.50275138,1.52608056,0.05382783,0.28620239,0.37173233,0.14642633,0.07612313,0.14701952,0.53258026,0.79097909
3.50875438,1.53124619,0.05318982,0.28719394,0.37991805,0.14461946,0.08230173,0.15252598,0.51920922,0.78831940
3.51475738,1.54042131,0.05268027,0.28869391,0.38939136,0.14298509,0.08888925,0.15863872,0.50701252,0.78777338
3.52076038,1.55387999,0.05231912,0.29077077,0.40011538,0.14156803,0.09585020,0.16533335,0.49618885,0.78954041
3.52676338,1.57173222,0.05212009,0.29346729,0.41199749,0.14040309,0.10313679,0.17256416,0.48688329,0.79373664
3.53276638,1.59391094,0.05209022,0.29679741,0.42488933,0.13951336,0.11068822,0.18026354,0.47918399,0.80038754
3.53876938,1.62016529,0.05222953,0.30074417,0.43858889,0.13890899,0.11843057,0.18834224,0.47312086,0.80942361
3.54477239,1.65006085,0.05253089,0.30525885,0.45284487,0.13858641,0.12627729,0.19669045,0.46866642,0.82067941
3.55077539,1.68298722,0.05298021,0.31026133,0.46736332,0.13852805,0.13413024,0.20517994,0.46573880,0.83389624
3.55677839,1.71817295,0.05355679,0.31564184,0.48181630,0.13870277,0.14188150,0.21366691,0.46420684,0.84872849
3.56278139,1.75470775,0.05423399,0.32126406,0.49585228,0.13906673,0.14941572,0.22199580,0.46389724,0.86475364
3.56878439,1.79157125,0.05498004,0.32696943,0.50910808,0.13956491,0.15661308,0.23000374,0.46460336,0.88148560
3.57478739,1.82766746,0.05575916,0.33258263,0.52122173,0.14013317,0.16335267,0.23752561,0.46609563,0.89839114
3.58079040,1.86186375,0.05653278,0.33791796,0.53184587,0.14070070,0.16951626,0.24439939,0.46813296,0.91490876
3.58679340,1.89303279,0.05726090,0.34278642,0.54066105,0.14119286,0.17499219,0.25047173,0.47047495,0.93046930
3.59279640,1.92009580,0.05790358,0.34700317,0.54738841,0.14153426,0.17967931,0.25560346,0.47289412,0.94451769
3.59879940,1.94206537,0.05842243,0.35039508,0.55180114,0.14165192,0.18349070,0.25967470,0.47518801,0.95653475
3.60480240,1.95808585,0.05878201,0.35280805,0.55373429,0.14147842,0.18635701,0.26258951,0.47719031,0.96605829
3.61080540,1.96746967,0.05895121,0.35411369,0.55309227,0.14095485,0.18822933,0.26427974,0.47878068,0.97270254
3.61680840,1.96972783,0.05890447,0.35421522,0.54985396,0.14003349,0.18908126,0.26470799,0.47989271,0.97617503
3.62281141,1.96459316,0.05862269,0.35305217,0.54407495,0.13868002,0.18891029,0.26386941,0.48051970,0.97629022
3.62881441,1.95203524,0.05809404,0.35060371,0.53588685,0.13687522,0.18773816,0.26179245,0.48071776,0.97297918
3.63481741,1.93226626,0.05731436,0.34689046,0.52549378,0.13461610,0.18561045,0.25853828,0.48060619,0.96629476
3.64082041,1.90573729,0.05628731,0.34197473,0.51316602,0.13191630,0.18259507,0.25419908,0.48036484,0.95641215
3.64682341,1.87312526,0.05502423,0.33595903,0.49923117,0.12880588,0.17878007,0.24889519,0.48022865,0.94362446
3.65282641,1.83531086,0.05354364,0.32898304,0.48406317,0.12533045,0.17427052,0.24277120,0.48047930,0.92833363
3.65882941,1.79334842,0.05187056,0.32121906,0.46806966,0.12154965,0.16918491,0.23599122,0.48143438,0.91103690
3.66483242,1.74842889,0.05003547,0.31286624,0.45167807,0.11753509,0.16365094,0.22873341,0.48343436,0.89230931
3.67083542,1.70183739,0.04807321,0.30414358,0.43532122,0.11336785,0.15780114,0.22118414,0.48682793,0.87278297
3.67683842,1.65490708,0.04602164,0.29528231,0.41942276,0.10913558,0.15176835,0.21353185,0.49195615,0.85312381
3.68284142,1.60897121,0.04392026,0.28651768,0.40438316,0.10492939,0.14568135,0.20596093,0.49913614,0.83400684
3.68884442,1.56531520,0.04180886,0.27808059,0.39056667,0.10084065,0.13966071,0.19864588,0.50864497,0.81609077
3.69484742,1.52513067,0.03972609,0.27018942,0.37828981,0.09695773,0.13381522,0.19174586,0.52070433,0.79999311
3.70085043,1.48947322,0.03770827,0.26304235,0.36781169,0.09336295,0.12823882,0.18539996,0.53546680,0.78626657
3.70685343,1.45922549,0.03578819,0.25681043,0.35932650,0.09012975,0.12300827,0.17972319,0.55300416,0.77537793
3.71285643,1.43506696,0.03399424,0.25163172,0.35295842,0.08732021,0.11818169,0.17480350,0.57329856,0.76768993
3.71885943,1.41745158,0.03234959,0.24760675,0.34875904,0.08498303,0.11379774,0.17069974,0.59623669,0.76344714
3.72486243,1.40659400,0.03087177,0.24479535,0.34670736,0.08315198,0.10987581,0.16744075,0.62160764,0.76276621
3.73086543,1.40246492,0.02957233,0.24321516,0.34671232,0.08184495,0.10641681,0.16502553,0.64910443,0.76563097
3.73686843,1.40479565,0.02845680,0.24284172,0.34861767,0.08106358,0.10340473,0.16342446,0.67832945,0.77189262
3.74287144,1.41309175,0.02752493,0.24361021,0.35220913,0.08079348,0.10080884,0.16258154,0.70880370,0.78127491
3.74887444,1.42665509,0.02677106,0.24541882,0.35722336,0.08100501,0.09858624,0.16241750,0.73997957,0.79338438
3.75487744,1.44461367,0.02618471,0.24813351,0.36335859,0.08165471,0.09668486,0.16283379,0.77125694,0.80772498
3.76088044,1.46595802,0.02575135,0.25159411,0.37028645,0.08268711,0.09504663,0.16371705,0.80200188,0.82371692
3.76688344,1.48958283,0.02545330,0.25562150,0.37766465,0.08403709,0.09361069,0.16494424,0.83156760,0.84071883
3.77288644,1.51433240,0.02527071,0.26002553,0.38514997,0.08563257,0.09231656,0.16638798,0.85931657,0.85805245
3.77888944,1.53904818,0.02518270,0.26461344,0.39241125,0.08739742,0.09110709,0.16792200,0.88464341,0.87502912
3.78489245,1.56261677,0.02516844,0.26919854,0.39914189,0.08925460,0.08993115,0.16942658,0.90699728,0.89097693
3.79089545,1.58401661,0.02520834,0.27360855,0.40507144,0.09112933,0.08874591,0.17079375,0.92590321,0.90526759
3.79689845,1.60236174,0.02528516,0.27769360,0.40997581,0.09295216,0.08751868,0.17193203,0.94098143,0.91734209
3.80290145,1.61694093,0.02538517,0.28133330,0.41368598,0.09466195,0.08622829,0.17277073,0.95196381,0.92673413
3.80890445,1.62725101,0.02549917,0.28444276,0.41609465,0.09620846,0.08486590,0.17326342,0.95870697,0.93309045
3.81490745,1.63302295,0.02562350,0.28697716,0.41716086,0.09755464,0.08343534,0.17339069,0.96120129,0.93618747
3.82091046,1.63423994,0.02576088,0.28893482,0.41691218,0.09867843,0.08195300,0.17316204,0.95957548,0.93594335
3.82691346,1.63114674,0.02592123,0.29035853,0.41544471,0.09957398,0.08044718,0.17261681,0.95409664,0.93242537
3.83291646,1.62425001,0.02612223,0.29133506,0.41292064,0.10025233,0.07895705,0.17182411,0.94516551,0.92585210
3.83891946,1.61430959,0.02638980,0.29199286,0.40956367,0.10074147,0.07753136,0.17088190,0.93330729,0.91659050
3.84492246,1.60232100,0.02675841,0.29249812,0.40565232,0.10108574,0.07622672,0.16991508,0.91915825,0.90514785
3.85092546,1.58948985,0.02727110,0.29304911,0.40151154,0.10134465,0.07510579,0.16907277,0.90344859,0.89215909
3.85692846,1.57719890,0.02797938,0.29386915,0.39750279,0.10159119,0.07423525,0.16852475,0.88698224,0.87836980
3.86293147,1.56696897,0.02894280,0.29519853,0.39401302,0.10190949,0.07368373,0.16845732,0.87061429,0.86461543
3.86893447,1.56041484,0.03022830,0.29728543,0.39144288,0.10239226,0.07351973,0.16906855,0.85522686,0.85179763
3.87493747,1.55919757,0.03190930,0.30037646,0.39019459,0.10313770,0.07380958,0.17056312,0.84170415,0.84085829
3.88094047,1.56497474,0.03406436,0.30470695,0.39065982,0.10424631,0.07461550,0.17314685,0.83090770,0.83275210
3.88694347,1.57934989,0.03677569,0.31049156,0.39320787,0.10581751,0.07599377,0.17702108,0.82365237,0.82841858
3.89294647,1.60382277,0.04012721,0.31791529,0.39817466,0.10794621,0.07799317,0.18237700,0.82068400,0.82875419
3.89894947,1.63974163,0.04420231,0.32712555,0.40585255,0.11071955,0.08065347,0.18939007,0.82265924,0.83458545
3.90495248,1.68825876,0.04908139,0.33822530,0.41648146,0.11421368,0.08400425,0.19821467,0.83012806,0.84664364
3.91095548,1.75029059,0.05483903,0.35126764,0.43024129,0.11849092,0.08806390,0.20897907,0.84351938,0.86554179
3.91695848,1.82648306,0.06154103,0.36625207,0.44724595,0.12359714,0.09283883,0.22178074,0.86313008,0.89175444
3.92296148,1.91718331,0.06924124,0.38312248,0.46753880,0.12955966,0.09832290,0.23668233,0.88911748,0.92560072
3.92896448,2.02241825,0.07797839,0.40176701,0.49108991,0.13638548,0.10449714,0.25370806,0.92149536,0.96723109
3.93496748,2.14188066,0.08777297,0.42201964,0.51779480,0.14406010,0.11132953,0.27284099,0.96013346,1.01661808
3.94097049,2.27492306,0.09862429,0.44366371,0.54747486,0.15254682,0.11877516,0.29402088,1.00476022,1.07355122
3.94697349,2.42055974,0.11050794,0.46643693,0.57987929,0.16178660,0.12677646,0.31714294,1.05496862,1.13763638
3.95297649,2.57747703,0.12337360,0.49003794,0.61468858,0.17169851,0.13526370,0.34205751,1.11022484,1.20829958
3.95897949,2.74405162,0.13714369,0.51413404,0.65151939,0.18218074,0.14415563,0.36857053,1.16987936,1.28479518
3.96498249,2.91837691,0.15171256,0.53836986,0.68993079,0.19311211,0.15336039,0.39644513,1.23318018,1.36621854
3.97098549,3.09829684,0.16694678,0.56237670,0.72943172,0.20435422,0.16277658,0.42540407,1.29928789,1.45152269
3.97698849,3.28144659,0.18268628,0.58578206,0.76948969,0.21575404,0.17229449,0.45513326,1.36729211,1.53953896
3.98299150,3.46529946,0.19874659,0.60821931,0.80954035,0.22714699,0.18179763,0.48528623,1.43622910,1.62900098
3.98899450,3.64721881,0.21492205,0.62933678,0.84899811,0.23836039,0.19116440,0.51548954,1.50510002,1.71857157
3.99499750,3.82451389,0.23099015,0.64880636,0.88726735,0.24921730,0.20026992,0.54534900,1.57288960,1.80687185
4.00100050,3.99449809,0.24671657,0.66633103,0.92375414,0.25954048,0.20898809,0.57445678,1.63858496,1.89251191
4.00700350,4.15454819,0.26186113,0.68165126,0.95787829,0.26915659,0.21719381,0.60239901,1.70119400,1.97412201
4.01300650,4.30216273,0.27618418,0.69455003,0.98908533,0.27790029,0.22476521,0.62876400,1.75976327,2.05038362
4.01900950,4.43501796,0.28945328,0.70485635,1.01685828,0.28561833,0.23158603,0.65315064,1.81339494,2.12005918
4.02501251,4.55101953,0.30144995,0.71244727,1.04072868,0.29217324,0.23754801,0.67517695,1.86126243,2.18201983
4.03101551,4.64834829,0.31197612,0.71724828,1.06028688,0.29744678,0.24255317,0.69448849,1.90262461,2.23527011
4.03701851,4.72549880,0.32085999,0.71923237,1.07519093,0.30134280,0.24651599,0.71076634,1.93683811,2.27896883
