energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.87756415,0.01416183,0.06266329,0.03320996,0.31161288,0.09180871,0.26744875,0.01570637,0.12014879
-5.99399700,0.94083228,0.01233096,0.06368675,0.03657541,0.33841540,0.09349837,0.30895362,0.01560570,0.13276610
-5.98799400,1.01936826,0.01066016,0.06551167,0.04039956,0.37096623,0.09694509,0.35614100,0.01569737,0.14757811
-5.98199100,1.11342510,0.00914996,0.06812884,0.04467257,0.40945316,0.10223161,0.40925746,0.01597847,0.16449096
-5.97598799,1.22303542,0.00779769,0.07151145,0.04937424,0.45398022,0.10942200,0.46847557,0.01644182,0.18339289
-5.96998499,1.34798839,0.00659795,0.07561545,0.05447339,0.50455789,0.11856024,0.53387935,0.01707618,0.20414829
-5.96398199,1.48781025,0.00554321,0.08038012,0.05992769,0.56109437,0.12966886,0.60545050,0.01786649,0.22659281
-5.95797899,1.64174969,0.00462427,0.08572908,0.06568361,0.62338824,0.14274783,0.68305605,0.01879423,0.25052988
-5.95197599,1.80876904,0.00383086,0.09157156,0.07167687,0.69112314,0.15777372,0.76643821,0.01983785,0.27572854
-5.94597299,1.98754245,0.00315201,0.09780411,0.07783312,0.76386489,0.17469937,0.85520709,0.02097328,0.30192288
-5.93996998,2.17646201,0.00257657,0.10431260,0.08406910,0.84106174,0.19345411,0.94883684,0.02217447,0.32881313
-5.93396698,2.37365283,0.00209350,0.11097451,0.09029409,0.92204806,0.21394481,1.04666607,0.02341411,0.35606841
-5.92796398,2.57699750,0.00169219,0.11766159,0.09641178,1.00605202,0.23605775,1.14790266,0.02466427,0.38333103
-5.92196098,2.78417042,0.00136273,0.12424267,0.10232239,1.09220742,0.25966163,1.25163359,0.02589719,0.41022251
-5.91595798,2.99268173,0.00109607,0.13058680,0.10792507,1.17956977,0.28461164,1.35683973,0.02708607,0.43635086
-5.90995498,3.19993040,0.00088420,0.13656631,0.11312048,1.26713668,0.31075479,1.46241545,0.02820589,0.46131908
-5.90395198,3.40326534,0.00072020,0.14206011,0.11781345,1.35387205,0.33793631,1.56719280,0.02923420,0.48473464
