energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.69662756,0.01848360,0.00971024,0.52825766,0.29919528,0.27358268,0.02983727,0.05941938,1.04811988
-5.99399700,1.71669840,0.01809300,0.00985285,0.52728099,0.31648392,0.27002318,0.02921052,0.05780069,1.05678396
-5.98799400,1.74616275,0.01795751,0.01002931,0.52937004,0.33486240,0.26808469,0.02889514,0.05661231,1.07137863
-5.98199100,1.78416236,0.01807557,0.01023256,0.53433804,0.35414896,0.26766539,0.02887270,0.05582495,1.09138913
-5.97598799,1.82966486,0.01844053,0.01045519,0.54192985,0.37413522,0.26863130,0.02912128,0.05540320,1.11619096
-5.96998499,1.88148305,0.01904072,0.01068955,0.55182951,0.39458866,0.27082026,0.02961559,0.05530638,1.14506209
-5.96398199,1.93829717,0.01985959,0.01092798,0.56366873,0.41525563,0.27404646,0.03032715,0.05548951,1.17719707
-5.95797899,1.99867948,0.02087590,0.01116287,0.57703619,0.43586472,0.27810526,0.03122460,0.05590427,1.21172257
-5.95197599,2.06112053,0.02206406,0.01138689,0.59148721,0.45613056,0.28277821,0.03227403,0.05650008,1.24771395
-5.94597299,2.12405671,0.02339458,0.01159306,0.60655373,0.47575801,0.28783812,0.03343944,0.05722513,1.28421250
-5.93996998,2.18589862,0.02483457,0.01177489,0.62175436,0.49444679,0.29305401,0.03468326,0.05802740,1.32024323
-5.93396698,2.24506006,0.02634838,0.01192651,0.63660440,0.51189645,0.29819601,0.03596688,0.05885559,1.35483288
-5.92796398,2.29998733,0.02789835,0.01204270,0.65062578,0.52781171,0.30303994,0.03725134,0.05966010,1.38702803
-5.92196098,2.34918857,0.02944563,0.01211898,0.66335674,0.54190818,0.30737174,0.03849803,0.06039385,1.41591315
-5.91595798,2.39126277,0.03095107,0.01215168,0.67436119,0.55391827,0.31099158,0.03966938,0.06101309,1.44062842
-5.90995498,2.42492816,0.03237618,0.01213794,0.68323774,0.56359723,0.31371766,0.04072966,0.06147812,1.46038696
-5.90395198,2.44904926,0.03368408,0.01207574,0.68962808,0.57072923,0.31538963,0.04164572,0.06175395,1.47449129
-5.89794897,2.46266206,0.03484046,0.01196393,0.69322468,0.57513313,0.31587169,0.04238771,0.06181086,1.48234855
-5.89194597,2.46499657,0.03581451,0.01180220,0.69377757,0.57666793,0.31505506,0.04292980,0.06162485,1.48348403
-5.88594297,2.45549587,0.03657972,0.01159107,0.69110001,0.57523747,0.31286011,0.04325079,0.06117802,1.47755264
-5.87993997,2.43383072,0.03711461,0.01133188,0.68507275,0.57079425,0.30923777,0.04333458,0.06045881,1.46434762
-5.87393697,2.39990923,0.03740329,0.01102672,0.67564680,0.56334212,0.30417028,0.04317059,0.05946210,1.44380617
-5.86793397,2.35388042,0.03743587,0.01067842,0.66284441,0.55293761,0.29767126,0.04275394,0.05818922,1.41601161
-5.86193097,2.29613165,0.03720863,0.01029048,0.64675822,0.53968985,0.28978497,0.04208557,0.05664770,1.38119159
-5.85592796,2.22727928,0.03672402,0.00986697,0.62754844,0.52375880,0.28058482,0.04117210,0.05485103,1.33971239
-5.84992496,2.14815270,0.03599045,0.00941250,0.60543818,0.50535198,0.27017108,0.04002554,0.05281810,1.29206921
-5.84392196,2.05977208,0.03502192,0.00893206,0.58070687,0.48471966,0.25866785,0.03866287,0.05057267,1.23887265
-5.83791896,1.96332047,0.03383739,0.00843099,0.55368215,0.46214865,0.24621944,0.03710542,0.04814254,1.18083179
-5.83191596,1.86011106,0.03246006,0.00791479,0.52473036,0.43795494,0.23298620,0.03537813,0.04555877,1.11873448
-5.82591296,1.75155101,0.03091656,0.00738908,0.49424603,0.41247543,0.21913989,0.03350878,0.04285477,1.05342541
-5.81990995,1.63910294,0.02923596,0.00685942,0.46264078,0.38605912,0.20485893,0.03152707,0.04006530,0.98578300
-5.81390695,1.52424591,0.02744887,0.00633122,0.43033199,0.35905812,0.19032356,0.02946372,0.03722552,0.91669573
-5.80790395,1.40843706,0.02558643,0.00580966,0.39773178,0.33181874,0.17571109,0.02734959,0.03437011,0.84703914
-5.80190095,1.29307561,0.02367941,0.00529952,0.36523657,0.30467316,0.16119150,0.02521479,0.03153232,0.77765409
-5.79589795,1.17947043,0.02175739,0.00480515,0.33321779,0.27793186,0.14692353,0.02308794,0.02874321,0.70932721
-5.78989495,1.06881233,0.01984797,0.00433037,0.30201382,0.25187719,0.13305122,0.02099548,0.02603101,0.64277424
-5.78389195,0.96215178,0.01797621,0.00387844,0.27192359,0.22675815,0.11970131,0.01896113,0.02342057,0.57862659
-5.77788894,0.86038279,0.01616412,0.00345199,0.24320186,0.20278667,0.10698126,0.01700547,0.02093296,0.51742164
-5.77188594,0.76423295,0.01443037,0.00305303,0.21605639,0.18013527,0.09497805,0.01514567,0.01858527,0.45959675
-5.76588294,0.67425972,0.01279010,0.00268295,0.19064672,0.15893620,0.08375780,0.01339534,0.01639049,0.40548699
-5.75987994,0.59085251,0.01125489,0.00234254,0.16708478,0.13928200,0.07336607,0.01176457,0.01435757,0.35532640
-5.75387694,0.51423989,0.00983285,0.00203203,0.14543685,0.12122715,0.06382870,0.01026001,0.01249164,0.30925232
-5.74787394,0.44450124,0.00852881,0.00175112,0.12572685,0.10479089,0.05515336,0.00888508,0.01079422,0.26731241
