energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,3.65730336,1.50087904,0.01009254,0.03535072,0.94037549,1.69469920,0.71466581
-5.99399700,3.61035634,1.48606202,0.01007812,0.03407107,0.92469700,1.70341514,0.70644694
-5.98799400,3.55651976,1.46875022,0.01004182,0.03269944,0.90701801,1.70970339,0.69718232
-5.98199100,3.49707315,1.44944235,0.00998690,0.03125214,0.88768925,1.71394384,0.68712605
-5.97598799,3.43329571,1.42862295,0.00991655,0.02974673,0.86707151,1.71647567,0.67652293
-5.96998499,3.36640803,1.40673877,0.00983381,0.02820153,0.84552046,1.71757294,0.66559673
-5.96398199,3.29751823,1.38417776,0.00974136,0.02663506,0.82337193,1.71742406,0.65453978
-5.95797899,3.22757588,1.36125184,0.00964137,0.02506553,0.80092887,1.71611650,0.64350452
-5.95197599,3.15733605,1.33818450,0.00953544,0.02351038,0.77845035,1.71362782,0.63259738
-5.94597299,3.08733566,1.31510380,0.00942451,0.02198578,0.75614345,1.70982372,0.62187546
-5.93996998,3.01788324,1.29204128,0.00930883,0.02050637,0.73415829,1.70446334,0.61134610
-5.93396698,2.94906253,1.26893678,0.00918801,0.01908494,0.71258653,1.69721165,0.60096938
-5.92796398,2.88074950,1.24564874,0.00906106,0.01773230,0.69146320,1.68765834,0.59066342
-5.92196098,2.81264142,1.22196941,0.00892651,0.01645723,0.67077184,1.67534200,0.58031208
-5.91595798,2.74429621,1.19764398,0.00878252,0.01526653,0.65045230,1.65977842,0.56977473
-5.90995498,2.67517927,1.17239244,0.00862704,0.01416518,0.63041095,1.64049122,0.55889729
-5.90395198,2.60471514,1.14593286,0.00845799,0.01315654,0.61053233,1.61704307,0.54752421
-5.89794897,2.53234055,1.11800479,0.00827342,0.01224266,0.59069172,1.58906573,0.53551037
-5.89194597,2.45755600,1.08839128,0.00807164,0.01142460,0.57076776,1.55628713,0.52273252
-5.88594297,2.37997268,1.05693837,0.00785141,0.01070275,0.55065437,1.51855402,0.50909941
-5.87993997,2.29935227,1.02357103,0.00761205,0.01007720,0.53027140,1.47584887,0.49456023
-5.87393697,2.21563752,0.98830464,0.00735350,0.00954802,0.50957332,1.42830022,0.47911085
-5.86793397,2.12897208,0.95125142,0.00707639,0.00911555,0.48855562,1.37618597,0.46279754
