energy_ev,total_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,3.08611879,0.27669277,0.00000000,1.04820543,0.00000000,2.73684345,0.95628233
-5.99399700,3.11152367,0.27432844,0.00000000,1.06557211,0.00000000,2.79287810,0.95455190
-5.98799400,3.12355068,0.27053061,0.00000000,1.07847891,0.00000000,2.83614997,0.94884224
-5.98199100,3.12118424,0.26533220,0.00000000,1.08635734,0.00000000,2.86530575,0.93900558
-5.97598799,3.10368158,0.25879149,0.00000000,1.08874687,0.00000000,2.87925024,0.92496944
-5.96998499,3.07060483,0.25099099,0.00000000,1.08531074,0.00000000,2.87719019,0.90674195
-5.96398199,3.02184341,0.24203536,0.00000000,1.07584782,0.00000000,2.85866854,0.88441450
-5.95797899,2.95762527,0.23204872,0.00000000,1.06029982,0.00000000,2.82358743,0.85816177
-5.95197599,2.87851635,0.22117136,0.00000000,1.03875338,0.00000000,2.77221847,0.82823876
-5.94597299,2.78540797,0.20955597,0.00000000,1.01143714,0.00000000,2.70519978,0.79497506
-5.93996998,2.67949259,0.19736353,0.00000000,0.97871369,0.00000000,2.62351965,0.75876641
-5.93396698,2.56222903,0.18475914,0.00000000,0.94106681,0.00000000,2.52848769,0.72006407
-5.92796398,2.43529862,0.17190775,0.00000000,0.89908481,0.00000000,2.42169469,0.67936230
-5.92196098,2.30055440,0.15897016,0.00000000,0.85344042,0.00000000,2.30496316,0.63718453
-5.91595798,2.15996552,0.14609934,0.00000000,0.80486846,0.00000000,2.18029082,0.59406886
-5.90995498,2.01555941,0.13343717,0.00000000,0.75414221,0.00000000,2.04978957,0.55055352
-5.90395198,1.86936416,0.12111169,0.00000000,0.70204945,0.00000000,1.91562271,0.50716277
-5.89794897,1.72335351,0.10923509,0.00000000,0.64936934,0.00000000,1.77994304,0.46439397
-5.89194597,1.57939647,0.09790222,0.00000000,0.59685080,0.00000000,1.64483416,0.42270614
-5.88594297,1.43921335,0.08718980,0.00000000,0.54519354,0.00000000,1.51225726,0.38251044
-5.87993997,1.30433958,0.07715629,0.00000000,0.49503188,0.00000000,1.38400506,0.34416286
-5.87393697,1.17609810,0.06784227,0.00000000,0.44692223,0.00000000,1.26166405,0.30795911
-5.86793397,1.05558063,0.05927137,0.00000000,0.40133408,0.00000000,1.14658598,0.27413194
