energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,4.35528790,0.60765922,3.27978187,0.01356264,0.06128725,0.73355959,0.00000000,0.36475725,0.32909661
-5.99399700,4.40479895,0.62905234,3.27965615,0.01404607,0.06379407,0.75820701,0.00000000,0.37957396,0.34634972
-5.98799400,4.46395671,0.65204566,3.28575170,0.01457033,0.06647087,0.78522464,0.00000000,0.39484579,0.36484879
-5.98199100,4.53316084,0.67651132,3.29875567,0.01513752,0.06930780,0.81445597,0.00000000,0.41047729,0.38451321
-5.97598799,4.61265705,0.70229884,3.31926544,0.01574902,0.07229312,0.84570221,0.00000000,0.42636607,0.40523731
-5.96998499,4.70249323,0.72923379,3.34774494,0.01640535,0.07541279,0.87872169,0.00000000,0.44240271,0.42688993
-5.96398199,4.80248152,0.75711723,3.38448491,0.01710611,0.07865009,0.91323068,0.00000000,0.45847095,0.44931475
-5.95797899,4.91216843,0.78572604,3.42956914,0.01784991,0.08198536,0.94890551,0.00000000,0.47444818,0.47233152
-5.95197599,5.03081503,0.81481416,3.48284844,0.01863433,0.08539588,0.98538627,0.00000000,0.49020628,0.49573822
-5.94597299,5.15738871,0.84411494,3.54392409,0.01945593,0.08885582,1.02228188,0.00000000,0.50561271,0.51931414
-5.93996998,5.29056737,0.87334451,3.61214158,0.02031033,0.09233642,1.05917664,0.00000000,0.52053206,0.54282383
-5.93396698,5.42875661,0.90220614,3.68659549,0.02119222,0.09580624,1.09563801,0.00000000,0.53482782,0.56602181
-5.92796398,5.57011959,0.93039564,3.76614552,0.02209553,0.09923164,1.13122549,0.00000000,0.54836462,0.58865789
-5.92196098,5.71261888,0.95760744,3.84944330,0.02301358,0.10257740,1.16550020,0.00000000,0.56101052,0.61048302
-5.91595798,5.85406879,0.98354140,3.93496905,0.02393917,0.10580743,1.19803510,0.00000000,0.57263971,0.63125528
-5.90995498,5.99219623,1.00790992,4.02107667,0.02486487,0.10888563,1.22842516,0.00000000,0.58313517,0.65074601
-5.90395198,6.12470786,1.03044523,4.10604555,0.02578316,0.11177684,1.25629740,0.00000000,0.59239150,0.66874569
-5.89794897,6.24936052,1.05090644,4.18813668,0.02668666,0.11444775,1.28132018,0.00000000,0.60031755,0.68506932
-5.89194597,6.36403211,1.06908615,4.26565086,0.02756833,0.11686791,1.30321160,0.00000000,0.60683898,0.69956120
