energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.20823847,-1.41904554,0.00915638,-0.00477230,0.03940675,-0.06323435,1.43771715,-1.02782681,0.27415141,-0.19422174,0.73873872,-0.58711742,0.62307148,-0.13349716,1.29783827,-0.89430007,0.00000000,-0.00000000
-5.99399700,2.22064143,-1.42755845,0.00915327,-0.00435647,0.03877228,-0.06307779,1.43892384,-1.03860467,0.27619203,-0.19435173,0.74373508,-0.59086573,0.62659807,-0.13448877,1.30658207,-0.90087657,0.00000000,-0.00000000
-5.98799400,2.22121730,-1.42771496,0.00910697,-0.00399515,0.03801089,-0.06267059,1.43312788,-1.04295658,0.27673864,-0.19345131,0.74475154,-0.59090775,0.62649437,-0.13481609,1.30830797,-0.90195170,0.00000000,-0.00000000
-5.98199100,2.21013667,-1.41947511,0.00902054,-0.00367944,0.03714135,-0.06200292,1.42049640,-1.04091139,0.27579394,-0.19149482,0.74177251,-0.58724885,0.62284126,-0.13447210,1.30307177,-0.89751282,0.00000000,-0.00000000
-5.97598799,2.18784786,-1.40302661,0.00889801,-0.00340124,0.03618515,-0.06107530,1.40134174,-1.03266230,0.27339889,-0.18848695,0.73487284,-0.57998675,0.61580066,-0.13347289,1.29109354,-0.88769016,0.00000000,-0.00000000
-5.96998499,2.15505758,-1.37878030,0.00874422,-0.00315342,0.03516562,-0.05989837,1.37610781,-1.01856258,0.26963081,-0.18446239,0.72421363,-0.56930889,0.60560948,-0.13185764,1.27274779,-0.87275387,0.00000000,-0.00000000
-5.96398199,2.11270358,-1.34735782,0.00856461,-0.00292982,0.03410696,-0.05849242,1.34535271,-0.99911566,0.26460043,-0.17948431,0.71003556,-0.55548658,0.59257099,-0.12968778,1.24854867,-0.85310623,0.00000000,-0.00000000
-5.95797899,2.06192027,-1.30957205,0.00836505,-0.00272531,0.03303333,-0.05688645,1.30972828,-0.97495982,0.25844784,-0.17364182,0.69264983,-0.53886642,0.57704412,-0.12704539,1.21913109,-0.82926934,0.00000000,-0.00000000
-5.95197599,2.00399893,-1.26640113,0.00815169,-0.00253573,0.03196796,-0.05511698,1.26995752,-0.94684831,0.25133766,-0.16704667,0.67242736,-0.51985920,0.55943107,-0.12403094,1.18522841,-0.80186890,0.00000000,-0.00000000
-5.94597299,1.94034426,-1.21895732,0.00793071,-0.00235790,0.03093229,-0.05322653,1.22681053,-0.91562548,0.24345362,-0.15982914,0.64978641,-0.49892689,0.54016382,-0.12076033,1.14764780,-0.77161479,0.00000000,-0.00000000
-5.93996998,1.87242901,-1.16845196,0.00770817,-0.00218945,0.02994525,-0.05126196,1.18108025,-0.88220015,0.23499266,-0.15213358,0.62517937,-0.47656825,0.51969023,-0.11736154,1.10724419,-0.73927915,0.00000000,-0.00000000
-5.93396698,1.80174861,-1.11615809,0.00748987,-0.00202880,0.02902268,-0.04927264,1.13355859,-0.84751706,0.22615889,-0.14411350,0.59907904,-0.45330372,0.49846028,-0.11397080,1.06489392,-0.70567315,0.00000000,-0.00000000
-5.92796398,1.72977755,-1.06337208,0.00728118,-0.00187502,0.02817687,-0.04730861,1.08501416,-0.81252780,0.21715759,-0.13592674,0.57196510,-0.42966015,0.47691292,-0.11072860,1.02146922,-0.67162304,0.00000000,-0.00000000
-5.92196098,1.65792921,-1.01137590,0.00708699,-0.00172772,0.02741624,-0.04541873,1.03617213,-0.77816212,0.20818948,-0.12773067,0.54431113,-0.40615601,0.45546429,-0.10777559,0.97781427,-0.63794677,0.00000000,-0.00000000
-5.91595798,1.58752028,-0.96140123,0.00691158,-0.00158694,0.02674525,-0.04364892,0.98769706,-0.74530091,0.19944540,-0.11967777,0.51657266,-0.38328762,0.43449747,-0.10524853,0.93472381,-0.60543164,0.00000000,-0.00000000
-5.90995498,1.51974102,-0.91459679,0.00675859,-0.00145306,0.02616443,-0.04204061,0.94017922,-0.71475167,0.19110162,-0.11191154,0.48917667,-0.36151687,0.41435422,-0.10327643,0.89292488,-0.57481406,0.00000000,-0.00000000
-5.90395198,1.45563196,-0.87199970,0.00663102,-0.00132669,0.02567059,-0.04062930,0.89412454,-0.68722748,0.18331585,-0.10456319,0.46251270,-0.34126081,0.39532887,-0.10197698,0.85306215,-0.54676189,0.00000000,-0.00000000
-5.89794897,1.39606728,-0.83451191,0.00653123,-0.00120863,0.02525714,-0.03944350,0.84994859,-0.66332999,0.17622397,-0.09774880,0.43692590,-0.32288333,0.37766436,-0.10145347,0.81568698,-0.52185979,0.00000000,-0.00000000
-5.89194597,1.34174494,-0.80288195,0.00646094,-0.00109975,0.02491459,-0.03850382,0.80797429,-0.64353698,0.16993767,-0.09156734,0.41271191,-0.30668918,0.36155046,-0.10179212,0.78125045,-0.50059809,0.00000000,-0.00000000
-5.88594297,1.29318312,-0.77769260,0.00642128,-0.00100098,0.02463111,-0.03782247,0.76843336,-0.62819478,0.16454281,-0.08609937,0.39011381,-0.29292035,0.34712391,-0.10306012,0.75009996,-0.48336517,0.00000000,-0.00000000
-5.87993997,1.25072246,-0.75935431,0.00641286,-0.00091327,0.02439316,-0.03740303,0.73147088,-0.61751560,0.16009862,-0.08140646,0.36932079,-0.28175467,0.33447030,-0.10530420,0.72247927,-0.47044350,0.00000000,-0.00000000
-5.87393697,1.21453305,-0.74810444,0.00643578,-0.00083755,0.02418613,-0.03724054,0.69715265,-0.61157965,0.15663756,-0.07753130,0.35046854,-0.27330672,0.32362731,-0.10854997,0.69853153,-0.46200918,0.00000000,-0.00000000
-5.86793397,1.18462550,-0.74401180,0.00648971,-0.00077475,0.02399507,-0.03732192,0.66547470,-0.61034176,0.15416586,-0.07449844,0.33364110,-0.26763052,0.31458903,-0.11280191,0.67830465,-0.45813474,0.00000000,-0.00000000
-5.86193097,1.16086491,-0.74698621,0.00657388,-0.00072575,0.02380527,-0.03762660,0.63637423,-0.61364201,0.15266462,-0.07231553,0.31887393,-0.26472404,0.30731089,-0.11804409,0.66175869,-0.45879500,0.00000000,-0.00000000
-5.85592796,1.14298680,-0.75679227,0.00668716,-0.00069146,0.02360289,-0.03812744,0.60974141,-0.62121981,0.15209137,-0.07097494,0.30615788,-0.26453501,0.30171502,-0.12424145,0.64877456,-0.46387539,0.00000000,-0.00000000
-5.84992496,1.13061422,-0.77306679,0.00682802,-0.00067278,0.02337546,-0.03879191,0.58543148,-0.63273067,0.15238207,-0.07045582,0.29544392,-0.26696771,0.29769555,-0.13134182,0.63916357,-0.47318249,0.00000000,-0.00000000
-5.84392196,1.12327515,-0.79533892,0.00699456,-0.00067064,0.02311231,-0.03958331,0.56327636,-0.64776483,0.15345338,-0.07072622,0.28664824,-0.27189050,0.29512372,-0.13927836,0.63267743,-0.48645604,0.00000000,-0.00000000
-5.83791896,1.12041981,-0.82305231,0.00718451,-0.00068602,0.02280483,-0.04046217,0.54309558,-0.66586711,0.15520529,-0.07174541,0.27965764,-0.27914357,0.29385266,-0.14797246,0.62901834,-0.50338218,0.00000000,-0.00000000
-5.83191596,1.12143728,-0.85558822,0.00739517,-0.00071997,0.02244674,-0.04138775,0.52470596,-0.68655680,0.15752390,-0.07346616,0.27433498,-0.28854669,0.29372155,-0.15733697,0.62784894,-0.52360713,0.00000000,-0.00000000
-5.82591296,1.12567138,-0.89228893,0.00762343,-0.00077361,0.02203408,-0.04231942,0.50792981,-0.70934700,0.16028438,-0.07583689,0.27052448,-0.29990657,0.29455940,-0.16727960,0.62880183,-0.54675089,0.00000000,-0.00000000
-5.81990995,1.13243563,-0.93248038,0.00786570,-0.00084817,0.02156527,-0.04321811,0.49260156,-0.73376258,0.16335414,-0.07880373,0.26805692,-0.31302360,0.29618817,-0.17770633,0.63148882,-0.57242049,0.00000000,-0.00000000
-5.81390695,1.14102741,-0.97549339,0.00811796,-0.00094497,0.02104092,-0.04404756,0.47857274,-0.75935587,0.16659602,-0.08231215,0.26675451,-0.32769772,0.29842559,-0.18852469,0.63550959,-0.60022222,0.00000000,-0.00000000
-5.80790395,1.15074137,-1.02068257,0.00837572,-0.00106539,0.02046366,-0.04477551,0.46571533,-0.78571977,0.16987163,-0.08630848,0.26643555,-0.34373319,0.30108763,-0.19964680,0.64046010,-0.62977245,0.00000000,-0.00000000
-5.80190095,1.16088222,-1.06744244,0.00863407,-0.00121093,0.01983787,-0.04537457,0.45392353,-0.81249753,0.17304458,-0.09074093,0.26691863,-0.36094217,0.30399073,-0.21099193,0.64594048,-0.66070675,0.00000000,-0.00000000
-5.79589795,1.17077712,-1.11522006,0.00888770,-0.00138309,0.01916938,-0.04582303,0.44311432,-0.83938907,0.17598381,-0.09556027,0.26802657,-0.37914706,0.30695404,-0.22248850,0.65156261,-0.69268686,0.00000000,-0.00000000
