energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,7.06522789,0.00992967,1.18048587,1.72746982,2.36422898,0.14754849,1.34772089,0.28602456,0.97634797
-5.99399700,7.06584756,0.01022322,1.22676329,1.73691398,2.44148223,0.14951340,1.31716510,0.28195894,0.93264239
-5.98799400,7.09055980,0.01053075,1.27738604,1.75147889,2.52717461,0.15114501,1.29042257,0.27940664,0.89354160
-5.98199100,7.13485710,0.01084741,1.33136400,1.76997033,2.61945315,0.15236320,1.26680508,0.27815902,0.85859734
-5.97598799,7.19366832,0.01116800,1.38756975,1.79111940,2.71618623,0.15309631,1.24555932,0.27798079,0.82728663
-5.96998499,7.26154393,0.01148705,1.44476740,1.81362960,2.81502123,0.15328367,1.22590456,0.27862041,0.79904004
-5.96398199,7.33285081,0.01179896,1.50164659,1.83622503,2.91345199,0.15287778,1.20706908,0.27982063,0.77326933
-5.95797899,7.40196989,0.01209808,1.55686078,1.85769800,3.00889412,0.15184597,1.18832407,0.28132889,0.74939320
-5.95197599,7.46348992,0.01237883,1.60906867,1.87695471,3.09876569,0.15017137,1.16901362,0.28290716,0.72686046
-5.94597299,7.51239093,0.01263579,1.65697719,1.89305721,3.18057050,0.14785342,1.14857982,0.28434085,0.70516970
-5.93996998,7.54421159,0.01286381,1.69938471,1.90526063,3.25198111,0.14490769,1.12658224,0.28544648,0.68388523
-5.93396698,7.55519500,0.01305808,1.73522269,1.91304416,3.31091853,0.14136514,1.10271139,0.28607784,0.66264869
-5.92796398,7.54240872,0.01321426,1.76359432,1.91613499,3.35562562,0.13727088,1.07679585,0.28613049,0.64118654
-5.92196098,7.50383533,0.01332852,1.78380850,1.91452418,3.38473131,0.13268252,1.04880325,0.28554431,0.61931329
-5.91595798,7.43843131,0.01339767,1.79540778,1.90847417,3.39730334,0.12766816,1.01883552,0.28430423,0.59693084
-5.90995498,7.34615293,0.01341921,1.79818918,1.89851735,3.39288728,0.12230415,0.98711871,0.28243901,0.57402435
-5.90395198,7.22794889,0.01339140,1.79221691,1.88544591,3.37153042,0.11667275,0.95398838,0.28001820,0.55065496
-5.89794897,7.08572097,0.01331331,1.77782642,1.87029301,3.33378941,0.11085971,0.91987119,0.27714746,0.52695018
-5.89194597,6.92225448,0.01318488,1.75561951,1.85430589,3.28072166,0.10495194,0.88526379,0.27396240,0.50309235
-5.88594297,6.74112184,0.01300690,1.72645078,1.83891161,3.21386046,0.09903531,0.85070990,0.27062129,0.47930586
-5.87993997,6.54656285,0.01278101,1.69140564,1.82567640,3.13517506,0.09319269,0.81677651,0.26729690,0.45584379
-5.87393697,6.34334636,0.01250970,1.65177082,1.81625975,3.04701710,0.08750211,0.78403025,0.26416784,0.43297440
-5.86793397,6.13661823,0.01219622,1.60899838,1.81236457,2.95205529,0.08203529,0.75301479,0.26140978,0.41096820
-5.86193097,5.93174076,0.01184452,1.56466448,1.81568484,2.85320086,0.07685645,0.72422991,0.25918687,0.39008570
-5.85592796,5.73412891,0.01145911,1.52042429,1.82785222,2.75352611,0.07202129,0.69811313,0.25764377,0.37056665
-5.84992496,5.54908834,0.01104497,1.47796464,1.85038309,2.65617892,0.06757634,0.67502419,0.25689860,0.35262057
-5.84392196,5.38166014,0.01060740,1.43895574,1.88462756,2.56429579,0.06355848,0.65523302,0.25703701,0.33641923
-5.83791896,5.23647649,0.01015184,1.40500358,1.93172195,2.48091605,0.05999474,0.63891128,0.25810770,0.32209082
-5.83191596,5.11763088,0.00968376,1.37760436,1.99254581,2.40889942,0.05690222,0.62612772,0.26011958,0.30971613
-5.82591296,5.02856614,0.00920847,1.35810208,2.06768504,2.35084924,0.05428825,0.61684723,0.26304044,0.29932659
-5.81990995,4.97198236,0.00873101,1.34765045,2.15740185,2.30904298,0.05215067,0.61093364,0.26679752,0.29090408
-5.81390695,4.94976642,0.00825602,1.34717998,2.26161263,2.28537162,0.05047826,0.60815578,0.27127959,0.28438250
-5.80790395,4.96294408,0.00778763,1.35737092,2.37987430,2.28128889,0.04925128,0.60819670,0.27634067,0.27965084
-5.80190095,5.01165491,0.00732940,1.37863265,2.51137977,2.29777150,0.04844212,0.61066545,0.28180511,0.27655756
-5.79589795,5.09514977,0.00688425,1.41108983,2.65496256,2.33529076,0.04801611,0.61511095,0.28747377,0.27491611
-5.78989495,5.21181023,0.00645448,1.45457557,2.80911103,2.39379607,0.04793237,0.62103753,0.29313116,0.27451129
-5.78389195,5.35918884,0.00604176,1.50863176,2.97199170,2.47271064,0.04814481,0.62792142,0.29855314,0.27510623
-5.77788894,5.53406874,0.00564716,1.57251648,3.14148169,2.57093931,0.04860315,0.63522762,0.30351484,0.27644981
-5.77188594,5.73254120,0.00527122,1.64521844,3.31520948,2.68688858,0.04925415,0.64242674,0.30779858,0.27828413
-5.76588294,5.95009906,0.00491401,1.72547822,3.49060353,2.81849855,0.05004277,0.64901099,0.31120145,0.28035195
-5.75987994,6.18174417,0.00457525,1.81181592,3.66494758,2.96328646,0.05091345,0.65450912,0.31354216,0.28240374
-5.75387694,6.42210663,0.00425434,1.90256488,3.83544173,3.11840120,0.05181142,0.65849970,0.31466710,0.28420431
-5.74787394,6.66557348,0.00395050,1.99591076,3.99926792,3.28068809,0.05268395,0.66062243,0.31445523,0.28553869
-5.74187094,6.90642416,0.00366282,2.08993530,4.15365830,3.44676269,0.05348166,0.66058726,0.31282186,0.28621719
-5.73586793,7.13897023,0.00339038,2.18266381,4.29596498,3.61309247,0.05415965,0.65818112,0.30972103,0.28607956
-5.72986493,7.35769607,0.00313226,2.27211544,4.42372927,3.77608440,0.05467865,0.65327226,0.30514655,0.28499813
-5.72386193,7.55739761,0.00288764,2.35635475,4.53474867,3.93217663,0.05500591,0.64581209,0.29913188,0.28287986
-5.71785893,7.73331564,0.00265578,2.43354345,4.62713963,4.07793168,0.05511606,0.63583481,0.29174866,0.27966740
-5.71185593,7.88126024,0.00243610,2.50199069,4.69939424,4.21012873,0.05499164,0.62345487,0.28310430,0.27533903
-5.70585293,7.99772289,0.00222815,2.56020037,4.75042886,4.32585201,0.05462358,0.60886257,0.27333862,0.26990772
-5.69984992,8.07997287,0.00203160,2.60691381,4.77962315,4.42257253,0.05401133,0.59231816,0.26261983,0.26341922
