energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,1.79905589,0.00097752,0.56157856,1.53710534,0.63874673,0.36375821,0.00000000
-5.99399700,1.69974861,0.00099186,0.52309377,1.43202060,0.60374148,0.35197896,0.00000000
-5.98799400,1.60620662,0.00100917,0.48619762,1.33116930,0.57101098,0.34163853,0.00000000
-5.98199100,1.51888924,0.00103010,0.45103328,1.23520035,0.54064075,0.33287393,0.00000000
-5.97598799,1.43819052,0.00105524,0.41772720,1.14465669,0.51270452,0.32579905,0.00000000
-5.96998499,1.36443314,0.00108518,0.38638682,1.05997317,0.48726140,0.32050381,0.00000000
-5.96398199,1.29786338,0.00112046,0.35709859,0.98147679,0.46435318,0.31705334,0.00000000
-5.95797899,1.23864677,0.00116155,0.32992638,0.90938905,0.44400166,0.31548753,0.00000000
-5.95197599,1.18686479,0.00120881,0.30491026,0.84382991,0.42620637,0.31582058,0.00000000
-5.94597299,1.14251249,0.00126254,0.28206583,0.78482320,0.41094254,0.31804065,0.00000000
-5.93996998,1.10549730,0.00132291,0.26138398,0.73230306,0.39815967,0.32210967,0.00000000
-5.93396698,1.07563918,0.00138996,0.24283123,0.68612127,0.38778056,0.32796327,0.00000000
-5.92796398,1.05267225,0.00146360,0.22635068,0.64605536,0.37970124,0.33551094,0.00000000
-5.92196098,1.03624829,0.00154360,0.21186347,0.61181724,0.37379149,0.34463657,0.00000000
-5.91595798,1.02594214,0.00162959,0.19927090,0.58306255,0.36989646,0.35519939,0.00000000
-5.90995498,1.02125934,0.00172105,0.18845719,0.55940049,0.36783905,0.36703547,0.00000000
-5.90395198,1.02164597,0.00181734,0.17929270,0.54040419,0.36742340,0.37995985,0.00000000
-5.89794897,1.02650071,0.00191768,0.17163782,0.52562167,0.36843919,0.39376931,0.00000000
-5.89194597,1.03518908,0.00202118,0.16534721,0.51458720,0.37066685,0.40824588,0.00000000
-5.88594297,1.04705944,0.00212687,0.16027448,0.50683304,0.37388353,0.42316090,0.00000000
-5.87993997,1.06146056,0.00223367,0.15627701,0.50190142,0.37786957,0.43827977,0.00000000
-5.87393697,1.07776002,0.00234046,0.15322100,0.49935645,0.38241537,0.45336700,0.00000000
-5.86793397,1.09536310,0.00244607,0.15098637,0.49879578,0.38732835,0.46819167,0.00000000
-5.86193097,1.11373129,0.00254928,0.14947143,0.49986176,0.39243975,0.48253286,0.00000000
-5.85592796,1.13239974,0.00264890,0.14859718,0.50225159,0.39761097,0.49618507,0.00000000
-5.84992496,1.15099309,0.00274373,0.14831103,0.50572627,0.40273922,0.50896326,0.00000000
-5.84392196,1.16923878,0.00283260,0.14858972,0.51011801,0.40776219,0.52070741,0.00000000
-5.83791896,1.18697740,0.00291440,0.14944139,0.51533562,0.41266143,0.53128636,0.00000000
-5.83191596,1.20416949,0.00298806,0.15090665,0.52136785,0.41746438,0.54060084,0.00000000
-5.82591296,1.22089836,0.00305261,0.15305844,0.52828425,0.42224483,0.54858556,0.00000000
-5.81990995,1.23736878,0.00310715,0.15600074,0.53623344,0.42712166,0.55521031,0.00000000
-5.81390695,1.25390121,0.00315090,0.15986611,0.54543886,0.43225589,0.56047992,0.00000000
-5.80790395,1.27092179,0.00318320,0.16481186,0.55619169,0.43784605,0.56443336,0.00000000
-5.80190095,1.28894810,0.00320352,0.17101515,0.56884137,0.44412188,0.56714167,0.00000000
-5.79589795,1.30857103,0.00321151,0.17866697,0.58378358,0.45133655,0.56870509,0.00000000
-5.78989495,1.33043320,0.00320696,0.18796506,0.60144612,0.45975756,0.56924932,0.00000000
-5.78389195,1.35520438,0.00318985,0.19910612,0.62227287,0.46965653,0.56892110,0.00000000
-5.77788894,1.38355467,0.00316034,0.21227732,0.64670632,0.48129816,0.56788312,0.00000000
-5.77188594,1.41612612,0.00311880,0.22764748,0.67516910,0.49492873,0.56630863,0.00000000
-5.76588294,1.45350370,0.00306579,0.24535810,0.70804497,0.51076442,0.56437564,0.00000000
-5.75987994,1.49618639,0.00300208,0.26551464,0.74565988,0.52897985,0.56226104,0.00000000
-5.75387694,1.54455955,0.00292861,0.28817826,0.78826373,0.54969732,0.56013474,0.00000000
-5.74787394,1.59886943,0.00284650,0.31335836,0.83601333,0.57297705,0.55815403,0.00000000
-5.74187094,1.65920091,0.00275701,0.34100632,0.88895736,0.59880888,0.55645828,0.00000000
-5.73586793,1.72545939,0.00266154,0.37101069,0.94702370,0.62710587,0.55516421,0.00000000
-5.72986493,1.79735772,0.00256155,0.40319407,1.01000990,0.65770006,0.55436184,0.00000000
-5.72386193,1.87440897,0.00245856,0.43731196,1.07757711,0.69034077,0.55411133,0.00000000
-5.71785893,1.95592566,0.00235410,0.47305382,1.14924803,0.72469561,0.55444073,0.00000000
-5.71185593,2.04102581,0.00224964,0.51004623,1.22440890,0.76035437,0.55534489,0.00000000
-5.70585293,2.12864594,0.00214659,0.54785846,1.30231601,0.79683583,0.55678543,0.00000000
-5.69984992,2.21756097,0.00204621,0.58601007,1.38210642,0.83359729,0.55869191,0.00000000
-5.69384692,2.30641054,0.00194961,0.62398071,1.46281284,0.87004679,0.56096412,0.00000000
-5.68784392,2.39373102,0.00185772,0.66122151,1.54338238,0.90555751,0.56347541,0.00000000
-5.68184092,2.47799235,0.00177123,0.69716799,1.62269858,0.93948403,0.56607695,0.00000000
-5.67583792,2.55763829,0.00169063,0.73125401,1.69960615,0.97117979,0.56860282,0.00000000
-5.66983492,2.63112891,0.00161614,0.76292614,1.77293765,1.00001528,0.57087557,0.00000000
-5.66383192,2.69698361,0.00154780,0.79165820,1.84154129,1.02539609,0.57271223,0.00000000
-5.65782891,2.75382312,0.00148540,0.81696522,1.90430896,1.04678042,0.57393042,0.00000000
-5.65182591,2.80040912,0.00142858,0.83841646,1.96020361,1.06369502,0.57435440,0.00000000
-5.64582291,2.83567974,0.00137679,0.85564691,2.00828503,1.07574937,0.57382081,0.00000000
-5.63981991,2.85877991,0.00132941,0.86836702,2.04773339,1.08264724,0.57218390,0.00000000
-5.63381691,2.86908553,0.00128570,0.87637007,2.07786964,1.08419537,0.56932025,0.00000000
-5.62781391,2.86622051,0.00124493,0.87953728,2.09817229,1.08030897,0.56513264,0.00000000
-5.62181091,2.85006658,0.00120637,0.87784016,2.10829009,1.07101391,0.55955318,0.00000000
-5.61580790,2.82076539,0.00116937,0.87134042,2.10805031,1.05644550,0.55254562,0.00000000
-5.60980490,2.77871341,0.00113337,0.86018717,2.09746244,1.03684415,0.54410677,0.00000000
-5.60380190,2.72454988,0.00109795,0.84461192,2.07671748,1.01254804,0.53426722,0.00000000
-5.59779890,2.65913863,0.00106289,0.82492139,2.04618265,0.98398324,0.52309116,0.00000000
-5.59179590,2.58354457,0.00102814,0.80148851,2.00639219,0.95165166,0.51067567,0.00000000
-5.58579290,2.49900591,0.00099391,0.77474209,1.95803429,0.91611742,0.49714926,0.00000000
-5.57978989,2.40690318,0.00096062,0.74515546,1.90193483,0.87799213,0.48266988,0.00000000
-5.57378689,2.30872609,0.00092893,0.71323439,1.83903833,0.83791951,0.46742242,0.00000000
-5.56778389,2.20603936,0.00089978,0.67950500,1.77038680,0.79656001,0.45161567,0.00000000
-5.56178089,2.10044834,0.00087431,0.64450166,1.69709686,0.75457579,0.43547894,0.00000000
-5.55577789,1.99356545,0.00085393,0.60875549,1.62033602,0.71261644,0.41925813,0.00000000
-5.54977489,1.88697807,0.00084026,0.57278359,1.54129841,0.67130581,0.40321148,0.00000000
-5.54377189,1.78221840,0.00083510,0.53707930,1.46118066,0.63123021,0.38760492,0.00000000
-5.53776888,1.68073598,0.00084045,0.50210360,1.38115842,0.59292805,0.37270706,0.00000000
-5.53176588,1.58387302,0.00085846,0.46827790,1.30236396,0.55688119,0.35878391,0.00000000
-5.52576288,1.49284277,0.00089137,0.43597804,1.22586530,0.52350792,0.34609329,0.00000000
-5.51975988,1.40871124,0.00094152,0.40552982,1.15264722,0.49315763,0.33487913,0.00000000
-5.51375688,1.33238223,0.00101126,0.37720579,1.08359447,0.46610709,0.32536571,0.00000000
-5.50775388,1.26458564,0.00110288,0.35122334,1.01947751,0.44255834,0.31775187,0.00000000
-5.50175088,1.20586925,0.00121863,0.32774407,0.96094081,0.42263804,0.31220553,0.00000000
-5.49574787,1.15659372,0.00136053,0.30687426,0.90849405,0.40639820,0.30885847,0.00000000
-5.48974487,1.11693093,0.00153039,0.28866635,0.86250620,0.39381820,0.30780163,0.00000000
-5.48374187,1.08686549,0.00172967,0.27312136,0.82320252,0.38480804,0.30908109,0.00000000
-5.47773887,1.06619945,0.00195943,0.26019207,0.79066448,0.37921265,0.31269493,0.00000000
-5.47173587,1.05456006,0.00222018,0.24978693,0.76483261,0.37681717,0.31859097,0.00000000
-5.46573287,1.05141045,0.00251187,0.24177453,0.74551197,0.37735322,0.32666574,0.00000000
-5.45972986,1.05606325,0.00283375,0.23598850,0.73238031,0.38050584,0.33676466,0.00000000
-5.45372686,1.06769676,0.00318433,0.23223283,0.72499856,0.38592125,0.34868347,0.00000000
-5.44772386,1.08537369,0.00356130,0.23028742,0.72282355,0.39321507,0.36217115,0.00000000
-5.44172086,1.10806203,0.00396153,0.22991381,0.72522254,0.40198109,0.37693412,0.00000000
-5.43571786,1.13465782,0.00438104,0.23086094,0.73148948,0.41180024,0.39264186,0.00000000
-5.42971486,1.16400942,0.00481503,0.23287096,0.74086241,0.42224977,0.40893371,0.00000000
-5.42371186,1.19494284,0.00525792,0.23568479,0.75254191,0.43291234,0.42542692,0.00000000
-5.41770885,1.22628759,0.00570346,0.23904760,0.76571003,0.44338497,0.44172552,0.00000000
-5.41170585,1.25690255,0.00614483,0.24271386,0.77954941,0.45328752,0.45743007,0.00000000
-5.40570285,1.28570126,0.00657478,0.24645202,0.79326209,0.46227063,0.47214774,0.00000000
-5.39969985,1.31167595,0.00698587,0.25004874,0.80608771,0.47002281,0.48550268,0.00000000
-5.39369685,1.33391974,0.00737057,0.25331247,0.81732046,0.47627668,0.49714618,0.00000000
-5.38769385,1.35164640,0.00772159,0.25607648,0.82632455,0.48081401,0.50676636,0.00000000
-5.38169085,1.36420709,0.00803198,0.25820105,0.83254776,0.48346957,0.51409701,0.00000000
-5.37568784,1.37110351,0.00829547,0.25957509,0.83553256,0.48413367,0.51892537,0.00000000
-5.36968484,1.37199724,0.00850658,0.26011685,0.83492471,0.48275322,0.52109838,0.00000000
-5.36368184,1.36671477,0.00866084,0.25977394,0.83047889,0.47933149,0.52052730,0.00000000
-5.35767884,1.35524811,0.00875497,0.25852258,0.82206138,0.47392643,0.51719047,0.00000000
-5.35167584,1.33775116,0.00878694,0.25636617,0.80964959,0.46664772,0.51113405,0.00000000
-5.34567284,1.31453164,0.00875607,0.25333318,0.79332855,0.45765259,0.50247075,0.00000000
-5.33966983,1.28603919,0.00866307,0.24947449,0.77328454,0.44714063,0.49137655,0.00000000
-5.33366683,1.25284988,0.00850998,0.24486037,0.74979602,0.43534773,0.47808553,0.00000000
-5.32766383,1.21564776,0.00830012,0.23957699,0.72322232,0.42253938,0.46288305,0.00000000
-5.32166083,1.17520402,0.00803795,0.23372280,0.69399045,0.40900352,0.44609737,0.00000000
-5.31565783,1.13235460,0.00772894,0.22740485,0.66258058,0.39504311,0.42809032,0.00000000
-5.30965483,1.08797684,0.00737938,0.22073508,0.62951065,0.38096881,0.40924698,0.00000000
-5.30365183,1.04296601,0.00699616,0.21382675,0.59532078,0.36709164,0.38996504,0.00000000
-5.29764882,0.99821235,0.00658654,0.20679123,0.56055789,0.35371619,0.37064406,0.00000000
-5.29164582,0.95457929,0.00615795,0.19973498,0.52576109,0.34113413,0.35167500,0.00000000
-5.28564282,0.91288337,0.00571776,0.19275699,0.49144833,0.32961835,0.33343032,0.00000000
-5.27963982,0.87387635,0.00527309,0.18594666,0.45810448,0.31941781,0.31625500,0.00000000
-5.27363682,0.83822968,0.00483060,0.17938206,0.42617137,0.31075298,0.30045862,0.00000000
-5.26763382,0.80652184,0.00439638,0.17312872,0.39603973,0.30381210,0.28630873,0.00000000
-5.26163082,0.77922833,0.00397580,0.16723878,0.36804323,0.29874806,0.27402561,0.00000000
-5.25562781,0.75671467,0.00357345,0.16175062,0.34245459,0.29567615,0.26377852,0.00000000
