energy_ev,total_up,In_p_up,In_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,5.43041730,0.08310115,0.00492026,1.84108928,2.95937173,0.00693942,3.09861342
-5.99399700,5.62852584,0.08537336,0.00493970,1.93418919,3.05489838,0.00700478,3.22778218
-5.98799400,5.82738524,0.08802842,0.00495632,2.02989217,3.14969339,0.00709518,3.35725957
-5.98199100,6.02420890,0.09101527,0.00496858,2.12717792,3.24251350,0.00721037,3.48539230
-5.97598799,6.21646607,0.09428171,0.00497523,2.22507629,3.33229067,0.00734992,3.61066971
-5.96998499,6.40189963,0.09777381,0.00497527,2.32267658,3.41813497,0.00751316,3.73173888
-5.96398199,6.57853338,0.10143553,0.00496792,2.41913354,3.49932952,0.00769901,3.84741303
-5.95797899,6.74466934,0.10520860,0.00495264,2.51367020,3.57531821,0.00790587,3.95667339
-5.95197599,6.89887664,0.10903268,0.00492909,2.60557785,3.64568745,0.00813153,4.05866515
-5.94597299,7.03997362,0.11284592,0.00489708,2.69421360,3.71014356,0.00837311,4.15268838
-5.93996998,7.16700544,0.11658583,0.00485659,2.77899624,3.76848738,0.00862709,4.23818508
-5.93396698,7.27921951,0.12019050,0.00480773,2.85940126,3.82058832,0.00888930,4.31472386
-5.92796398,7.37604122,0.12360014,0.00475073,2.93495572,3.86635962,0.00915501,4.38198360
-5.92196098,7.45705230,0.12675889,0.00468595,3.00523405,3.90573676,0.00941909,4.43973788
-5.91595798,7.52197363,0.12961679,0.00461384,3.06985537,3.93866057,0.00967614,4.48784131
-5.90995498,7.57065413,0.13213184,0.00453498,3.12848302,3.96506625,0.00992069,4.52621904
-5.90395198,7.60306648,0.13427203,0.00445006,3.18082663,3.98487890,0.01014747,4.55486023
-5.89794897,7.61930967,0.13601725,0.00435991,3.22664685,3.99801597,0.01035159,4.57381590
-5.89194597,7.61961797,0.13736089,0.00426547,3.26576252,4.00439598,0.01052881,4.58320098
-5.88594297,7.60437460,0.13831113,0.00416781,3.29805968,4.00395273,0.01067577,4.58320015
-5.87993997,7.57412839,0.13889166,0.00406814,3.32350175,3.99665349,0.01079020,4.57407632
-5.87393697,7.52961076,0.13914194,0.00396781,3.34213975,3.98251950,0.01087107,4.55618059
-5.86793397,7.47175025,0.13911671,0.00386827,3.35412140,3.96164662,0.01091873,4.52996194
-5.86193097,7.40168192,0.13888496,0.00377107,3.35969802,3.93422409,0.01093497,4.49597517
-5.85592796,7.32074881,0.13852817,0.00367783,3.35922789,3.90054941,0.01092302,4.45488514
-5.84992496,7.23049349,0.13813791,0.00359022,3.35317529,3.86103754,0.01088750,4.40746615
-5.84392196,7.13263810,0.13781301,0.00350989,3.34210439,3.81622308,0.01083430,4.35459520
-5.83791896,7.02905224,0.13765607,0.00343844,3.32666782,3.76675460,0.01077042,4.29723850
-5.83191596,6.92170910,0.13776988,0.00337737,3.30758983,3.71338090,0.01070370,4.23643108
-5.82591296,6.81263098,0.13825346,0.00332802,3.28564470,3.65692958,0.01064258,4.17325010
-5.81990995,6.70382650,0.13919820,0.00329149,3.26163125,3.59827895,0.01059579,4.10878279
-5.81390695,6.59722255,0.14068412,0.00326862,3.23634487,3.53832491,0.01057204,4.04409064
-5.80790395,6.49459461,0.14277646,0.00325994,3.21054846,3.47794468,0.01057968,3.98017185
-5.80190095,6.39749955,0.14552273,0.00326559,3.18494428,3.41795988,0.01062639,3.91792428
-5.79589795,6.30721496,0.14895041,0.00328534,3.16014827,3.35910123,0.01071893,3.85811134
-5.78989495,6.22468903,0.15306538,0.00331854,3.13666866,3.30197738,0.01086285,3.80133302
-5.78389195,6.15050428,0.15785107,0.00336414,3.11489020,3.24704992,0.01106232,3.74800414
-5.77788894,6.08485794,0.16326863,0.00342067,3.09506514,3.19461641,0.01131995,3.69834155
-5.77188594,6.02756032,0.16925775,0.00348630,3.07731151,3.14480246,0.01163673,3.65236115
-5.76588294,5.97805193,0.17573843,0.00355889,3.06161871,3.09756372,0.01201198,3.60988525
-5.75987994,5.93543851,0.18261343,0.00363601,3.04786006,3.05269742,0.01244339,3.57055991
-5.75387694,5.89854208,0.18977132,0.00371505,3.03581125,3.00986280,0.01292710,3.53388135
-5.74787394,5.86596501,0.19709000,0.00379329,3.02517323,2.96860911,0.01345779,3.49922973
-5.74187094,5.83616356,0.20444058,0.00386797,3.01559794,2.92840926,0.01402893,3.46590815
-5.73586793,5.80752617,0.21169134,0.00393640,3.00671475,2.88869674,0.01463287,3.43318455
-5.72986493,5.77845214,0.21871166,0.00399605,2.99815575,2.84890365,0.01526115,3.40033365
-5.72386193,5.74742598,0.22537575,0.00404462,2.98957801,2.80849708,0.01590464,3.36667645
-5.71785893,5.71308320,0.23156603,0.00408011,2.98068124,2.76701169,0.01655384,3.33161483
-5.71185593,5.67426405,0.23717599,0.00410090,2.97121958,2.72407653,0.01719903,3.29465921
-5.70585293,5.63005262,0.24211255,0.00410580,2.96100703,2.67943447,0.01783048,3.25544785
-5.69984992,5.57979978,0.24629774,0.00409402,2.94991622,2.63295349,0.01843868,3.21375699
-5.69384692,5.52312957,0.24966976,0.00406529,2.93787105,2.58462936,0.01901443,3.16950155
