energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,5.02005675,0.23012970,0.08096011,1.99518752,0.40555321,1.10047466,1.86308775,0.14900617,1.64564186
-5.99399700,5.18460598,0.23951591,0.08788054,2.07541053,0.42230679,1.15344446,1.90128620,0.15232919,1.70766900
-5.98799400,5.34538627,0.24804118,0.09512274,2.15465285,0.43887981,1.20454492,1.93785119,0.15532256,1.76841902
-5.98199100,5.49985328,0.25559546,0.10261269,2.23192192,0.45503363,1.25319244,1.97194302,0.15791377,1.82700627
-5.97598799,5.64560601,0.26208343,0.11026689,2.30624007,0.47054283,1.29882463,2.00279609,0.16004032,1.88259738
-5.96998499,5.78040965,0.26742662,0.11799334,2.37665905,0.48519770,1.34090766,2.02972412,0.16165065,1.93442048
-5.96398199,5.90221740,0.27156517,0.12569283,2.44227515,0.49880642,1.37894312,2.05212449,0.16270474,1.98177388
-5.95797899,6.00919167,0.27445898,0.13326059,2.50224445,0.51119712,1.41247455,2.06948217,0.16317458,2.02403408
-5.95197599,6.09972535,0.27608834,0.14058830,2.55579825,0.52221978,1.44109362,2.08137317,0.16304453,2.06066360
-5.94597299,6.17246335,0.27645387,0.14756642,2.60225839,0.53174812,1.46444593,2.08746799,0.16231144,2.09121839
-5.93996998,6.22632400,0.27557608,0.15408675,2.64105207,0.53968148,1.48223646,2.08753485,0.16098459,2.11535502
-5.93396698,6.26052013,0.27349425,0.16004528,2.67172578,0.54594670,1.49423461,2.08144264,0.15908550,2.13283736
-5.92796398,6.27457864,0.27026493,0.16534499,2.69395788,0.55049991,1.50027882,2.06916341,0.15664756,2.14354247
-5.92196098,6.26835764,0.26596010,0.16989875,2.70756912,0.55332818,1.50028051,2.05077408,0.15371538,2.14746550
-5.91595798,6.24205942,0.26066500,0.17363201,2.71253068,0.55445081,1.49422733,2.02645696,0.15034405,2.14472291
-5.90995498,6.19623783,0.25447573,0.17648524,2.70896890,0.55392013,1.48218546,1.99649867,0.14659807,2.13555363
-5.90395198,6.13179836,0.24749687,0.17841602,2.69716623,0.55182164,1.46430070,1.96128709,0.14255015,2.12031757
-5.89794897,6.04998932,0.23983891,0.17940057,2.67755786,0.54827329,1.44079812,1.92130587,0.13827969,2.09949094
-5.89194597,5.95238291,0.23161586,0.17943472,2.65072346,0.54342361,1.41198014,1.87712621,0.13387114,2.07365803
-5.88594297,5.84084512,0.22294288,0.17853417,2.61737405,0.53744883,1.37822275,1.82939585,0.12941205,2.04349901
-5.87993997,5.71749435,0.21393410,0.17673415,2.57833370,0.53054864,1.33996970,1.77882493,0.12499101,2.00977378
-5.87393697,5.58464878,0.20470061,0.17408819,2.53451649,0.52294074,1.29772485,1.72616921,0.12069543,1.97330193
-5.86793397,5.44476354,0.19534865,0.17066642,2.48689910,0.51485433,1.25204239,1.67221064,0.11660918,1.93493909
-5.86193097,5.30035940,0.18597800,0.16655308,2.43648994,0.50652251,1.20351546,1.61773597,0.11281029,1.89555055
-5.85592796,5.15394528,0.17668060,0.16184362,2.38429573,0.49817403,1.15276310,1.56351409,0.10936859,1.85598265
-5.84992496,5.00793758,0.16753938,0.15664143,2.33128693,0.49002475,1.10041628,1.51027278,0.10634355,1.81703341
-5.84392196,4.86457977,0.15862735,0.15105425,2.27836352,0.48226895,1.04710316,1.45867596,0.10378228,1.77942352
-5.83791896,4.72586587,0.15000685,0.14519062,2.22632257,0.47507124,0.99343442,1.40930248,0.10171785,1.74376894
-5.83191596,4.59347164,0.14172905,0.13915638,2.17582943,0.46855932,0.93998905,1.36262729,0.10016797,1.71055680
-5.82591296,4.46869717,0.13383371,0.13305142,2.12739386,0.46281800,0.88730134,1.31900620,0.09913411,1.68012576
-5.81990995,4.35242385,0.12634916,0.12696692,2.08135256,0.45788498,0.83584959,1.27866488,0.09860118,1.65265197
-5.81390695,4.24508857,0.11929248,0.12098302,2.03785921,0.45374858,0.78604704,1.24169287,0.09853771,1.62814180
-5.80790395,4.14667677,0.11267001,0.11516719,1.99688263,0.45034766,0.73823542,1.20804308,0.09889662,1.60643180
-5.80190095,4.05673520,0.10647807,0.10957331,1.95821348,0.44757390,0.69268146,1.17753681,0.09961661,1.58719620
-5.79589795,3.97440429,0.10070384,0.10424133,1.92147928,0.44527623,0.64957636,1.14987445,0.10062401,1.56996196
-5.78989495,3.89846877,0.09532658,0.09919779,1.88616713,0.44326745,0.60903834,1.12465113,0.10183524,1.55413065
-5.78389195,3.82742447,0.09031896,0.09445683,1.85165314,0.44133271,0.57111800,1.10137697,0.10315956,1.53900640
-5.77788894,3.75955806,0.08564852,0.09002184,1.81723712,0.43923935,0.53580610,1.07950085,0.10450225,1.52382861
-5.77188594,3.69303595,0.08127932,0.08588755,1.78218070,0.43674786,0.50304351,1.05843662,0.10576794,1.50780792
-5.76588294,3.62599817,0.07717348,0.08204235,1.74574707,0.43362328,0.47273259,1.03759054,0.10686396,1.49016363
-5.75987994,3.55665256,0.07329285,0.07847093,1.70724023,0.42964657,0.44474950,1.01638879,0.10770375,1.47016098
-5.75387694,3.48336484,0.06960054,0.07515684,1.66604185,0.42462545,0.41895676,0.99430346,0.10820993,1.44714625
-5.74787394,3.40474036,0.06606226,0.07208501,1.62164383,0.41840408,0.39521547,0.97087623,0.10831713,1.42057826
-5.74187094,3.31969387,0.06264754,0.06924402,1.57367505,0.41087135,0.37339654,0.94573839,0.10797432,1.39005467
-5.73586793,3.22750421,0.05933072,0.06662811,1.52192116,0.40196728,0.35339059,0.91862655,0.10714668,1.35533208
-5.72986493,3.12785201,0.05609158,0.06423866,1.46633652,0.39168734,0.33511580,0.88939343,0.10581675,1.31633897
-5.72386193,3.02083904,0.05291581,0.06208531,1.40704811,0.38008461,0.31852372,0.85801334,0.10398502,1.27318131
-5.71785893,2.90698920,0.04979509,0.06018648,1.34435136,0.36726969,0.30360264,0.82458246,0.10166986,1.22614060
-5.71185593,2.78723174,0.04672693,0.05856941,1.27869863,0.35340848,0.29037848,0.78931403,0.09890673,1.17566490
-5.70585293,2.66286829,0.04371432,0.05726965,1.21068110,0.33871811,0.27891336,0.75252898,0.09574687,1.12235353
-5.69984992,2.53552609,0.04076502,0.05633011,1.14100548,0.32346115,0.26930179,0.71464262,0.09225544,1.06693629
-5.69384692,2.40710003,0.03789082,0.05579958,1.07046674,0.30793846,0.26166495,0.67614831,0.08850921,1.01024860
-5.68784392,2.27968659,0.03510660,0.05573094,0.99991864,0.29248113,0.25614322,0.63759881,0.08459390,0.95320370
-5.68184092,2.15551306,0.03242933,0.05617907,0.93024341,0.27744169,0.25288735,0.59958642,0.08060133,0.89676332
-5.67583792,2.03686493,0.02987703,0.05719852,0.86232216,0.26318513,0.25204875,0.56272271,0.07662641,0.84190812
-5.66983492,1.92601459,0.02746782,0.05884101,0.79700736,0.25007977,0.25376933,0.52761877,0.07276411,0.78960902
-5.66383192,1.82515373,0.02521893,0.06115298,0.73509828,0.23848854,0.25817120,0.49486649,0.06910662,0.74080047
-5.65782891,1.73633160,0.02314591,0.06417312,0.67732051,0.22876059,0.26534695,0.46502179,0.06574054,0.69635650
-5.65182591,1.66140067,0.02126188,0.06793003,0.62430973,0.22122355,0.27535054,0.43858990,0.06274442,0.65706998
-5.64582291,1.60197080,0.01957701,0.07244023,0.57660031,0.21617638,0.28818951,0.41601320,0.06018663,0.62363561
-5.63981991,1.55937242,0.01809808,0.07770631,0.53461846,0.21388303,0.30381871,0.39766163,0.05812349,0.59663656
