energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.23486829,0.00752847,0.00435026,0.46657822,0.30827465,0.00879077,0.77388760,0.26878144,0.05341859
-5.99399700,1.15364626,0.00656448,0.00411429,0.43117529,0.29239957,0.00826869,0.72287769,0.25064339,0.04980321
-5.98799400,1.08117353,0.00573270,0.00391592,0.39925933,0.27885071,0.00781496,0.67734033,0.23428441,0.04651363
-5.98199100,1.01819726,0.00502459,0.00375723,0.37112780,0.26780127,0.00743876,0.63776162,0.21982618,0.04358617
-5.97598799,0.96532329,0.00443151,0.00363991,0.34702743,0.25939089,0.00714826,0.60453990,0.20735720,0.04105092
-5.96998499,0.92302153,0.00394486,0.00356539,0.32715724,0.25372618,0.00695061,0.57798928,0.19693442,0.03893207
-5.96398199,0.89163427,0.00355624,0.00353484,0.31167265,0.25088187,0.00685191,0.55834486,0.18858558,0.03724834
-5.95797899,0.87138632,0.00325747,0.00354926,0.30068998,0.25090236,0.00685725,0.54576923,0.18231212,0.03601357
-5.95197599,0.86239602,0.00304072,0.00360950,0.29429110,0.25380335,0.00697071,0.54035937,0.17809250,0.03523733
-5.94597299,0.86468605,0.00289855,0.00371633,0.29252771,0.25957348,0.00719534,0.54215335,0.17588554,0.03492551
-5.93996998,0.87819313,0.00282388,0.00387044,0.29542495,0.26817570,0.00753317,0.55113646,0.17563382,0.03508088
-5.93396698,0.90277608,0.00281004,0.00407245,0.30298393,0.27954838,0.00798519,0.56724592,0.17726671,0.03570359
-5.92796398,0.93822147,0.00285076,0.00432288,0.31518319,0.29360602,0.00855132,0.59037425,0.18070313,0.03679140
-5.92196098,0.98424693,0.00294018,0.00462213,0.33197863,0.31023957,0.00923034,0.62037092,0.18585375,0.03833994
-5.91595798,1.04050182,0.00307283,0.00497041,0.35330229,0.32931654,0.01001985,0.65704226,0.19262264,0.04034263
-5.90995498,1.10656576,0.00324362,0.00536767,0.37905972,0.35068078,0.01091623,0.70014988,0.20090847,0.04279053
-5.90395198,1.18194537,0.00344789,0.00581350,0.40912638,0.37415239,0.01191452,0.74940798,0.21060503,0.04567207
-5.89794897,1.26606992,0.00368139,0.00630705,0.44334331,0.39952764,0.01300845,0.80447969,0.22160147,0.04897259
-5.89194597,1.35828661,0.00394030,0.00684690,0.48151227,0.42657941,0.01419034,0.86497330,0.23378203,0.05267384
-5.88594297,1.45785650,0.00422129,0.00743099,0.52339106,0.45505802,0.01545118,0.93043871,0.24702562,0.05675349
-5.87993997,1.56395170,0.00452154,0.00805654,0.56868917,0.48469288,0.01678058,1.00036481,0.26120525,0.06118459
-5.87393697,1.67565492,0.00483877,0.00871992,0.61706440,0.51519490,0.01816691,1.07417826,0.27618755,0.06593518
-5.86793397,1.79196183,0.00517126,0.00941670,0.66812078,0.54625983,0.01959739,1.15124417,0.29183232,0.07096797
-5.86193097,1.91178685,0.00551791,0.01014155,0.72140819,0.57757247,0.02105828,1.23086912,0.30799247,0.07624026
-5.85592796,2.03397269,0.00587824,0.01088828,0.77642397,0.60881170,0.02253509,1.31230667,0.32451426,0.08170397
-5.84992496,2.15730372,0.00625236,0.01164992,0.83261669,0.63965623,0.02401281,1.39476554,0.34123792,0.08730602
-5.84392196,2.28052290,0.00664100,0.01241874,0.88939222,0.66979078,0.02547623,1.47742027,0.35799886,0.09298885
-5.83791896,2.40235206,0.00704541,0.01318644,0.94612197,0.69891256,0.02691027,1.55942431,0.37462918,0.09869130
-5.83191596,2.52151466,0.00746735,0.01394426,1.00215334,0.72673770,0.02830027,1.63992497,0.39095977,0.10434959
-5.82591296,2.63676042,0.00790891,0.01468314,1.05682178,0.75300724,0.02963236,1.71807987,0.40682272,0.10989862
-5.81990995,2.74689074,0.00837248,0.01539396,1.10946448,0.77749265,0.03089379,1.79307416,0.42205403,0.11527337
